pathway	padj	NES	size	leadingEdge
epithelial mesenchymal transition	5.00e-09	2.65	198	MMP2,PFN2,LRRC15,PCOLCE2,GJA1,SPARC,VIM,CAPG,DPYSL3,FN1,ECM2,FOXC2,TFPI2,FAS,IGFBP3,MXRA5,PRRX1,VCAM1,COL1A2,ABI3BP,PTHLH,SERPINE2,COL5A2,HTRA1,FUCA1,POSTN,PLOD2,MFAP5,TPM1,CDH11,COL8A2,FERMT2,SDC4,MSX1,LOXL1,FSTL1,ACTA2,SFRP4,CXCL12,FBN1,PLOD3,LUM,SGCB,PCOLCE,FAP,APLP1,GEM,ITGAV,THBS2,COL16A1,DCN,COL1A1,NNMT,GAS1,CCN1,SPOCK1,VEGFC,LGALS1,COL6A3,COL4A2,CTHRC1,CALD1,ELN,TNFRSF11B,SNAI2,NID2,MATN2,COL4A1,QSOX1,WNT5A,MYLK,BGN,DAB2,CD59,LAMC2,THY1,TGFBI,TNC,PLAUR,COL3A1,SPP1,CADM1,MGP,RGS4,COL6A2,TIMP1,FGF2,CAP2,IL32,MATN3,FMOD,NOTCH2,COL5A1,EFEMP2,THBS1,GREM1,MYL9,CALU,LOX,DKK1,PTX3,ITGB5,MMP1,SFRP1,INHBA,FBN2,CCN2,TGM2,PMP22,TAGLN
kras signaling dn	2.44e-08	-2.14	189	CAMK1D,EPHA5,OXT,ADRA2C,RSAD2,CD207,ARPP21,CCDC106,PNMT,GAMT,KRT13,SPTBN2,MX1,TGM1,GDNF,GP2,FSHB,TLX1,NOS1,SIDT1,CYP11B2,SNCB,IFI44L,WNT16,PAX4,CPA2,SLC6A3,PROP1,SLC30A3,KCNQ2,KRT15,SPRR3,FGF22,SMPX,CPB1,TFCP2L1,AKR1B10,DLK2,CHRNG,SOX10,NGB,TFAP2B,CDH16,SLC38A3,BRDT,AMBN,BMPR1B,CNTFR,VPREB1,TSHB,MYO15A,NR4A2,KLHDC8A,RYR2,ARHGDIG,CLPS,CLDN16,GPRC5C,EDN2,HNF1A,P2RX6,KRT5,TENT5C,ATP6V1B1,SERPINA10,KLK7,INSL5,CACNA1F,KRT4,ALOX12B,EGF,TGFB2,ABCG4,ATP4A,PAX3,MAGIX,KLK8,CKM,CALML5,SCGB1A1,SSTR4,TFF2,TG,RGS11,TNNI3,HTR1D,CLDN8,PDK2,GRID2,IL5,MYH7,FGFR3
uv response dn	4.76e-08	2.22	142	MAP2K5,F3,ABCC1,PIAS3,PTGFR,GJA1,ANXA2,PLPP3,MAGI2,COL1A2,ATXN1,LTBP1,COL5A2,VAV2,ATP2C1,SDC2,WDR37,COL1A1,CCN1,AKT3,PDLIM5,TOGARAM1,HAS2,PTPRM,CDON,ICA1,BMPR1A,KCNMA1,RND3,LPAR1,ATRN,SNAI2,ARHGEF9,IRS1,NFIB,MGMT,EFEMP1,DAB2,TJP1,COL3A1,RGS4,FYN,PIK3R3,CAP2,TFPI,FHL2,VLDLR,NOTCH2,IGFBP5,CAV1,ACVR2A,DLC1,ADGRL2,AGGF1,CDC42BPA,PRKCE,ATP2B4,RBPMS,ATRX,ATP2B1,PLCB4,DYRK1A,NRP1,SRI,BHLHE40,PMP22,CELF2,NEK7,LAMC1,DDAH1,COL11A1,PPARG
e2f targets	1.05e-06	-2.01	191	UBE2S,ANP32E,GINS4,KIF22,MYC,TACC3,PLK1,CDC25B,TIPIN,DONSON,POLD1,PAICS,TMPO,HMGB3,DDX39A,CENPM,CCNB2,NASP,CKS2,AURKB,HNRNPD,H2AX,MCM2,CDKN3,DNMT1,E2F8,TK1,LMNB1,ESPL1,CDC20,ORC6,HMGB2,MYBL2,RFC2,LIG1,NCAPD2,TRIP13,MCM3,RNASEH2A,TRA2B,SYNCRIP,USP1,EXOSC8,MKI67,PCNA,MSH2,TIMELESS,RANBP1,MCM7,SHMT1,ILF3,KIF2C,CDC25A,PTTG1,RAD51AP1,HMGA1,CDKN1A,DEPDC1,RAD51C,MELK,MXD3,MCM6,SMC6,MCM4,DSCC1,POLE,CHEK1,CDCA3,CDCA8,STMN1,SPAG5,H2AZ1,HMMR,CENPE,DLGAP5,POLE4,ASF1B,MAD2L1,BUB1B,BIRC5,CHEK2
protein secretion	1.07e-05	2.07	95	BET1,RAB22A,EGFR,ATP6V1H,RAB5A,VAMP3,ARFIP1,TOM1L1,VPS45,LAMP2,ARFGEF1,STX12,CLN5,MAPK1,CTSC,ICA1,GBF1,CD63,VPS4B,STAM,PAM,ABCA1,CAV2,AP1G1,VAMP7,PPT1,SCAMP1,COPB1,IGF2R,AP3S1,TSG101,COPB2,AP2B1,DST,SOD1,GALC,NAPA,BNIP3,LMAN1,OCRL,SCAMP3,KIF1B,YIPF6,GOLGA4,DNM1L,YKT6,COG2,SCRN1,CLTC,TSPAN8,VAMP4,SEC24D,ATP1A1,ARCN1
coagulation	3.83e-04	1.79	136	MMP2,F3,DUSP14,CLU,RAC1,SPARC,PLEK,C3,FN1,CTSK,MMP9,ISCU,TFPI2,C1S,LAMP2,PLAU,HTRA1,A2M,GNG12,CSRP1,ADAM9,FBN1,CPQ,KLF7,CTSH,C1R,F8,VWF,MSRB2,GP1BA,SERPINA1,CTSB,SERPING1,ACOX2,APOC1,RABIF,FYN,C2,TF,TIMP1,CFD,PRSS23,ARF4,SIRT2,THBS1,CTSO,PROS1,MMP1,CFH,GSN,C1QA
complement	3.83e-04	1.76	192	PPP2CB,F3,LTF,LAP3,ANXA5,ZFPM2,VCPIP1,CLU,GZMK,PLEK,C3,FN1,ITGAM,TFPI2,C1S,LAMP2,CTSL,ATOX1,PLA2G7,CBLB,CSRP1,ADAM9,CPQ,CTSH,C1R,F8,CTSC,GZMA,F5,COL4A2,GATA3,GP1BA,MMP12,LGALS3,SERPINA1,CTSB,SERPING1,CCL5,CTSD,CD59,APOC1,JAK2,PDP1,PLAUR,RABIF,FYN,C2,MSRB1,TIMP1,PRDM4,LIPA,L3MBTL4,RBSN,PSEN1,FCER1G,APOBEC3G,DGKH,CTSO,LCP2,CFH,C1QC,CD36,PLA2G4A,GNAI2,C1QA,CP
g2m checkpoint	3.83e-04	-1.63	193	UBE2S,KIF22,RAD54L,MYC,TACC3,PLK1,EWSR1,CDC25B,TLE3,E2F2,KIF23,TGFB1,SLC7A5,SFPQ,INCENP,TRAIP,TROAP,AMD1,MTF2,TMPO,HMGB3,DDX39A,CCNB2,NEK2,NASP,CKS2,AURKB,HNRNPD,H2AX,MCM2,CDKN3,BUB1,HIRA,LMNB1,ESPL1,CDC20,ORC6,CENPA,MYBL2,CDC45,MCM3,TRA2B,SYNCRIP,UPF1,EGF,MKI67,ODC1,SMARCC1,NCL,SRSF10,H2AZ2,ILF3,KIF2C,CDC25A,PTTG1,RAD23B,PBK,HMGA1,HMGN2,RPS6KA5,UBE2C,RBL1,PRC1,E2F1,MCM6,PML,POLE,CHEK1
il2 stat5 signaling	3.83e-04	1.76	196	AHR,TRAF1,IKZF2,ITIH5,SMPDL3A,GPR83,ENPP1,TIAM1,CAPG,CXCL10,RRAGD,TNFRSF9,CYFIP1,COL6A1,ICOS,WLS,HUWE1,IL4R,CST7,APLP1,BMPR2,ITGAV,TWSG1,PRNP,SH3BGRL2,CTLA4,PRKCH,SYT11,IL2RA,TNFRSF21,MAPKAPK2,BCL2,RNH1,CDC42SE2,EOMES,NOP2,SPP1,IL10,FAM126B,CCR4,PLPP1,GUCY1B1,BCL2L1,NDRG1,IL2RB,BATF,GPX4,BMP2,MXD1,PTRH2,CDKN1C,IGF2R,NFIL3,PLIN2,SPRED2,TNFRSF1B,GALM,DHRS3,FGL2,NRP1,BATF3,BHLHE40,TGM2,CISH,SOCS2,SELP,TNFRSF4,GSTO1,GBP4,IL10RA,SYNGR2,PTGER2,FAH,PENK,PTCH1,EMP1,PLAGL1,PDCD2L,IFNGR1,IKZF4,SOCS1,DENND5A,HIPK2,PRAF2,PHTF2,RORA,CASP3,CCND2,IL1R2,CD86,IGF1R,TNFSF11,AHCY
cholesterol homeostasis	1.04e-03	1.88	71	CTNNB1,NSDHL,LSS,ANXA5,CLU,GLDC,PDK3,FADS2,SCD,GNAI1,MAL2,SQLE,LPL,CPEB2,FBXO6,LGALS3,PLAUR,ATF5,ANTXR2,JAG1,STARD4,TRIB3,NFIL3,S100A11,ATXN2,TP53INP1,CD9,HMGCR,PPARG,HMGCS1,ERRFI1
