pathway	padj	NES	size	leadingEdge
e2f targets	7.14e-10	3.01	182	PRDX4,CDKN2C,MCM5,TIPIN,MCM3,BRCA1,PAICS,CDK4,TACC3,PNN,NCAPD2,POLD1,BARD1,ATAD2,DDX39A,RBBP7,MRE11,H2AX,LYAR,PRKDC,RPA1,SRSF1,NBN,NUP107,WDR90,PTTG1,TIMELESS,KIF18B,SMC6,HMGB2,CKS1B,PCNA,ESPL1,E2F8,BRCA2,SSRP1,ASF1B,RAD51AP1,MXD3,SMC4,EXOSC8,KIF2C,MCM2,CDC25A,POLD2,TP53,POLD3,HELLS,LBR,MLH1,PRIM2,CDKN2A,GINS3,TK1,WEE1,ILF3,MYC,NAP1L1,AK2,CDCA8,MCM7,DEPDC1,MELK,AURKB,GINS1,PLK4,RNASEH2A,CDC20,CCNB2,HNRNPD,TOP2A,CENPE,MKI67,CDCA3,DSCC1,EZH2,RRM2,PLK1,TCF19,MTHFD2,DLGAP5,CENPM,RFC2,CDKN1A,HMMR,CDK1,LIG1,SPC25,PSMC3IP,SNRPB,POLA2,DEK,BIRC5,UNG,KIF22,RFC1,ZW10,ORC6,DNMT1,STAG1,TMPO,MAD2L1,RPA3,TRA2B,RACGAP1,HUS1,CDKN3,SMC3,CKS2,USP1,XPO1,PHF5A,RANBP1,CBX5,MCM6,PAN2,SPAG5,GSPT1,MCM4,DONSON,SYNCRIP,CHEK1,DCLRE1B,RFC3,NASP,MYBL2,PPP1R8,CNOT9,SMC1A,TRIP13,DIAPH3
epithelial mesenchymal transition	7.14e-10	2.57	187	FLNA,TGFBI,CALU,PLOD1,PPIB,P3H1,VIM,SFRP4,IGFBP3,PLOD3,CAPG,SERPINE1,BMP1,CALD1,QSOX1,COL4A2,ECM2,ELN,MXRA5,ITGA5,NNMT,MATN2,COL4A1,FERMT2,CD44,ITGB5,PCOLCE2,LAMC1,VEGFA,BGN,ACTA2,CDH11,TNFRSF12A,TPM2,FAS,PDGFRB,IGFBP4,POSTN,COLGALT1,TIMP3,COPA,ITGB1,LGALS1,GEM,DPYSL3,COL5A1,TNC,SPARC,FBN2,EMP3,FN1,PLOD2,SNTB1,EFEMP2,COL6A2,WNT5A,TNFRSF11B,COL5A2,SERPINH1,MCM7,GPC1,GADD45A,LAMA2,LUM,GPX7,TIMP1,TNFAIP3,TPM4,VCAN,SAT1,LOXL1,PTX3,LOX,CDH2,CCN2,IGFBP2,GLIPR1,IL32,CTHRC1,MGP,MMP2,DAB2,VCAM1,MSX1,COL3A1,PDLIM4,FMOD,ABI3BP,ADAM12,COL1A1,MMP14,COL8A2,LOXL2,LAMA1,ANPEP,NID2,GAS1,MATN3,WIPF1,SPP1,COL6A3,LRP1,CXCL6,MYL9,FAP,FUCA1,CCN1,ITGB3,FBLN5,THBS2,ITGA2,MFAP5
g2m checkpoint	7.14e-10	2.87	180	CDKN2C,WRN,MCM5,STIL,MCM3,CDK4,KPNB1,TACC3,CCND1,BARD1,DDX39A,H2AX,SMARCC1,CUL4A,SRSF1,PML,ABL1,SFPQ,ODF2,PTTG1,G3BP1,CKS1B,RBL1,ESPL1,BRCA2,PRMT5,MAP3K20,KIF23,SMC4,TROAP,KIF2C,MCM2,HNRNPU,PBK,CDC25A,KIF15,LBR,PRIM2,ILF3,NDC80,KNL1,PTTG3P,MYC,NUMA1,UBE2C,RAD54L,TRAIP,NEK2,AURKB,E2F2,PLK4,KIF11,POLQ,NUSAP1,CDC20,CCNB2,HNRNPD,TOP2A,CENPE,MKI67,HOXC10,PRC1,SAP30,ODC1,TTK,EZH2,NCL,MARCKS,PLK1,KATNA1,CDC45,NUP98,SRSF10,TPX2,CENPF,HMMR,CDK1,POLA2,CCNA2,HIF1A,BIRC5,KIF22,H2BC12,CCNT1,TLE3,ORC6,EGF,STAG1,CDC6,TMPO,DBF4,SS18,LIG3,MAD2L1,TFDP1,TRA2B,EXO1,RACGAP1,HUS1,CDKN3,CHAF1A,CKS2,FBXO5,SNRPD1,SMC2,CHMP1A,E2F3,XPO1,ATF5,MCM6,GSPT1,GINS2,SYNCRIP,CHEK1
interferon alpha response	7.14e-10	2.68	79	PSME1,TRIM21,NMI,PARP14,PARP9,DDX60,PSMB8,RIPK2,SAMD9L,IFI44,PLSCR1,RTP4,MVB12A,C1S,IFIH1,LGALS3BP,IFI35,B2M,IFIT3,SAMD9,TRIM26,ELF1,MOV10,PNPT1,ISG15,IFI44L,EPSTI1,IRF2,IRF9,OAS1,IRF1,CXCL10,BST2,TXNIP,PARP12,HELZ2,RSAD2,SP110,IFITM2,BATF2,EIF2AK2,IFIT2,GMPR,SELL,IRF7,IFITM3,ISG20,TRAFD1,UBE2L6,LPAR6,TRIM25,PSMA3,CSF1,CXCL11,CMTR1,IL4R,GBP4,TRIM14,IFI27,PROCR,NUB1,OGFR,LAMP3
interferon gamma response	7.14e-10	2.78	173	SPPL2A,PSME1,MYD88,TRIM21,NMI,PARP14,DDX60,PSMB8,RIPK2,SAMD9L,IFI44,RIPK1,VAMP8,PLSCR1,RNF213,OAS3,RTP4,METTL7B,HLA-DMA,VAMP5,C1S,STAT3,PML,IFIH1,CASP7,STAT1,LGALS3BP,IFI35,B2M,NLRC5,IFIT3,TRIM26,FAS,CD40,CD86,PNPT1,ISG15,SERPING1,IFI44L,EPSTI1,IRF2,IRF9,IRF1,CXCL10,BST2,MVP,LATS2,TXNIP,PARP12,HELZ2,TNFAIP3,HLA-DQA1,RSAD2,SP110,IFITM2,BATF2,IL18BP,PLA2G4A,CMKLR1,EIF2AK2,MTHFD2,TAPBP,CD69,TNFAIP6,SSPN,OAS2,IFIT2,CD38,SRI,CDKN1A,DDX58,VCAM1,IRF7,HIF1A,PTPN6,TNFAIP2,NAMPT,NFKB1,LCP2,GZMA,IFITM3,NFKBIA,ISG20,SOCS3,TRAFD1,PTPN1,UBE2L6,TRIM25,CXCL9,IL10RA,APOL6,CCL5,PSMA3,FPR1,PNP,CSF2RB,CXCL11,IFNAR2,XAF1,ARL4A,CMTR1,RBCK1,IL4R,PSMB10,IL2RB,SAMHD1,PSMB2,GBP4,TRIM14,IFI27,PSMA2,CFB
myc targets v1	7.14e-10	2.5	170	CAD,PRDX4,CANX,HDGF,MCM5,EIF3B,CDK4,KPNB1,SMARCC1,EIF3D,SRSF1,SNRPA,CDK2,LSM2,SSBP1,DDX18,HSPD1,G3BP1,SNRPG,PCNA,PHB,MCM2,HNRNPU,POLD2,AIMP2,CNBP,CBX3,MYC,NAP1L1,CSTF2,RPL18,TRIM28,MCM7,CLNS1A,DDX21,EPRS1,PABPC4,HNRNPR,CDC20,HNRNPD,FBL,ODC1,ILF2,PRPF31,PPM1G,CDC45,CCT5,RRM1,SF3B3,DEK,APEX1,CCNA2,ABCE1,CCT3,U2AF1,TYMS,MRPL23,LSM7,UBE2E1,RSL1D1,MRPS18B,CCT2,MAD2L1,PSMB3,FAM120A,TUFM,PSMA4,TFDP1,TRA2B,NCBP1,SNRPB2,EXOSC7,NCBP2,SNRPD1,RPS6,USP1,XPO1,RANBP1,SF3A1,XPOT,SSB,DHX15,MCM6,SERBP1,GSPT1,MCM4,RPS5,SNRPD2,SYNCRIP,ETF1,PSMB2,RRP9,BUB3,MRPL9,RPLP0,EIF4H,PSMA2,SRSF3,PA2G4,RPL22,PWP1,KPNA2,IFRD1,XRCC6,EIF4G2,C1QBP,POLE3,UBA2,STARD7,SRM,SNRPD3,SRSF7,ERH,PSMC4,RUVBL2,PTGES3,PCBP1,PSMA1,HDAC2,EIF2S2
tnfa signaling via nfkb	7.14e-10	2.24	183	TGIF1,RIPK2,TRIP10,CCND1,BMP2,TNIP2,SERPINE1,ABCA1,PLAU,TNIP1,NINJ1,DRAM1,IFIH1,TLR2,CD44,PDLIM5,RELA,VEGFA,PHLDA1,SPSB1,TANK,GEM,TNC,FJX1,HES1,IRF1,CXCL10,MYC,BTG3,TNFAIP8,GADD45A,NFE2L2,IER5,B4GALT1,TNFAIP3,SAT1,PTX3,ACKR3,KYNU,MARCKS,BCL2A1,MAP3K8,CD69,TNFAIP6,IFIT2,NFKB2,CDKN1A,DDX58,BTG2,CCL20,ATF3,TNFAIP2,NAMPT,NFKB1,IL18,NFKBIA,GFPT2,SOCS3,IL1A,IFNGR2,LITAF,SGK1,TIPARP,IER2,LIF,CCL5,CCNL1,CSF1,CXCL6,CXCL11,FOS,MAFF,CCN1,CEBPD,G0S2,PNRC1,F2RL1,CLCF1,ZBTB10,CEBPB,SPHK1,PFKFB3,ZFP36,EGR2,KLF6,PLAUR,CFLAR,IL6ST,KLF10,FUT4,BIRC2,GPR183,NFIL3,PLEK,EGR1,CCL2,JUN,IER3,JUNB,PMEPA1,TNF,BIRC3,EFNA1,OLR1,ID2,RCAN1,DUSP1
allograft rejection	2.17e-09	2.17	178	FLNA,CSK,RIPK2,BRCA1,TLR3,GPR65,INHBB,AKT1,CAPG,ITGB2,HLA-DMA,ETS1,EIF3D,HLA-E,TLR2,STAT1,NCF4,B2M,HCLS1,FAS,CD40,IGSF6,IFNGR1,CD4,HLA-DMB,CD86,PTPRC,EIF3A,CDKN2A,MAP3K7,MMP9,CTSS,TLR1,GALNT1,RPS19,DARS1,TIMP1,HLA-DQA1,STAB1,RARS1,CCR1,TAPBP,PRF1,CD1D,DEGS1,SRGN,IRF7,ABCE1,HIF1A,DYRK3,PTPN6,CCR2,LCP2,IL18,FYB1,TAP2,LY75,GZMA,CCND2,HLA-DOA,IFNGR2,LY86,CXCL9,LIF,CCL5,TGFB2,CSF1,BCL10,IFNAR2,ITGAL,RPS9,F2R,WAS,C2,IL4R,PSMB10,MRPL3,NCK1,MTIF2,IL12A,IL2RB
il6 jak stat3 signaling	1.68e-08	2.34	78	MYD88,IL10RB,IL13RA1,PDGFC,STAT3,TLR2,STAT1,HMOX1,CD44,TNFRSF12A,FAS,TNFRSF1A,IFNGR1,CD9,IRF9,IRF1,CXCL10,PLA2G2A,ACVRL1,CCR1,MAP3K8,CD38,CD36,IL1R2,CD14,TYK2,TNFRSF1B,SOCS3,OSMR,PTPN1,IFNGR2,TNFRSF21,CXCL9,CBL,IL1R1,CSF1,CSF2RB,CXCL11,ITGA4,ITGB3,IL4R,PIK3R5,EBI3,IL17RA,IL6ST,CSF3R,PIM1,HAX1,JUN,LTBR,TNF,STAT2,BAK1
dna repair	5.46e-07	2.05	131	SEC61A1,ITPA,RAD51,POLD1,NT5C,NME4,HCLS1,PCNA,NELFCD,AAAS,SMAD5,SSRP1,POLA1,TAF12,CETN2,SRSF6,TP53,POLD3,ZNRD1,SF3A3,POLR2F,DDB2,CANT1,ZWINT,POLR3GL,APRT,SDCBP,CLP1,POLR1C,ALYREF,MRPL40,TMED2,TAF10,POLR2G,POLD4,PRIM1,RFC2,LIG1,POLR2H,POLA2,ERCC1,TYMS,REV3L,DCTN4,ELOA,UMPS,XPC,GTF2A2,RPA3,NCBP2,ERCC8,TAF1C,PNP,ERCC4,SURF1,GSDME,RFC3,BCAP31,VPS37B,TARBP2,POLR2D,VPS28,RPA2,GTF3C5,SUPT4H1,DGUOK,RAE1,POLH,NT5C3A
