pathway	padj	NES	size	leadingEdge
e2f targets	8.33e-10	2.55	180	PRDX4,LIG1,CENPM,HMMR,PTTG1,AK2,TIMELESS,MCM2,CCNE1,UBE2T,HMGB3,RNASEH2A,TOP2A,PAICS,ATAD2,CDKN2A,CCNB2,ASF1B,MELK,PNN,DLGAP5,CDKN3,DNMT1,PLK4,KIF2C,DEPDC1,CDCA3,TACC3,CDK1,BARD1,GINS4,HELLS,SPC25,MAD2L1,BIRC5,RAD51AP1,MCM4,POLD2,ZW10,MXD3,RRM2,CDC20,TK1,RPA3,PLK1,CDCA8,SPAG5,BRCA2,TCF19,HMGA1,CENPE,MCM6,BRCA1,CTPS1,H2AX,GSPT1,MCM5,DONSON,SMC4,AURKB,CKS1B,RANBP1,CDK4,EZH2,POLA2,RBBP7,XRCC6,NCAPD2,DCTPP1,POLE,XPO1,POP7,TRIP13,LMNB1,E2F8,CDC25A,ORC6,ILF3,PRKDC,NUP107,TIPIN,MSH2,SLBP,POLD1,DDX39A,MCM7,CSE1L,WDR90,SMC6,PCNA,KIF22,MYBL2,SSRP1,JPT1,MCM3,UBE2S,STMN1,EED,PRIM2,KPNA2,ESPL1,TUBB,HUS1,PA2G4,GINS3,LUC7L3,SRSF1,TP53,KIF18B,CKS2,MTHFD2,NASP,USP1,UNG,SUV39H1,WEE1,DSCC1,RFC3
g2m checkpoint	8.33e-10	2.38	178	HMMR,PTTG1,HOXC10,ORC5,MCM2,HIF1A,BUB1,KIF11,MNAT1,HMGB3,NUSAP1,TOP2A,ATF5,CCNB2,CDKN3,PLK4,KIF2C,TACC3,STIL,CDK1,BARD1,H2BC12,MAD2L1,KIF23,BIRC5,KIF15,RAD54L,TPX2,CENPF,EXO1,UBE2C,SLC7A5,NEK2,E2F2,TTK,CDC20,NDC80,PLK1,BRCA2,HMGA1,CENPE,PBK,PRMT5,MCM6,CDC45,TRAIP,H2AX,CDC6,GSPT1,PRC1,CCNA2,KNL1,MCM5,POLQ,KIF20B,SMC4,AURKB,CKS1B,CDK4,EZH2,POLA2,TROAP,POLE,XPO1,HNRNPU,KPNB1,LMNB1,CDC25A,EGF,ORC6,ILF3,E2F3,SMARCC1,E2F4,DDX39A,SMC2,KIF22,MYBL2,JPT1,MCM3,BUB3,UBE2S,STMN1,PRIM2,KPNA2,CDC7,SLC7A1,ESPL1,TFDP1,HUS1,FBXO5,E2F1,SRSF1,G3BP1,DBF4,CHAF1A,CKS2,NASP,RBL1
glycolysis	8.33e-10	2.41	176	EGLN3,B4GALT4,COPB2,BIK,HAX1,SLC25A10,POLR3K,COL5A1,GOT1,P4HA1,KIF20A,HMMR,SLC37A4,LDHC,COG2,IGFBP3,PLOD2,SPAG4,HS6ST2,GPR87,GOT2,ARTN,G6PD,DEPDC1,LDHA,PGAM2,PMM2,CDK1,LCT,TPI1,TSTA3,SDC1,KDELR3,GMPPA,PAXIP1,PC,VCAN,FUT8,DSC2,SLC25A13,SRD5A3,MDH2,RARS1,CHST6,B3GALT6,B3GNT3,GFPT1,DPYSL4,B4GALT7,EFNA3,ERO1A,ANKZF1,CHPF,PFKP,CAPN5,ALDOB,TFF3,AK4,CHST4,NSDHL,FKBP4,PLOD1,MIOX,ADORA2B,SDHC,SOD1,CASP6,CLDN9,GAL3ST1,PKM,MPI,ENO2,CLDN3,PPFIA4,PFKFB1,SOX9,FAM162A,TALDO1,STMN1,IDH1,XYLT2,ME1,BPNT1,GPC1,NDST3,HS2ST1,ECD,ZNF292,HSPA5,GAPDHS,B4GALT2,GALE,NASP,B3GAT1,PKP2,GUSB,NT5E
inflammatory response	8.33e-10	-2.39	197	IL18R1,ADGRE1,NFKBIA,TNFRSF1B,KLF6,CMKLR1,MARCO,CSF3R,IL7R,IL15RA,CDKN1A,HBEGF,AXL,LDLR,ITGA5,CSF3,RNF144B,LAMP3,SELE,CALCRL,ABCA1,EDN1,PDE4B,IRF1,PIK3R5,NLRP3,C5AR1,PTGER2,LPAR1,VIP,IL1R1,LCP2,PTAFR,MSR1,PROK2,IL6,PTGER4,FPR1,OLR1,BTG2,IL15,GPC3,IL10RA,P2RX7,IL18RAP,CX3CL1,RELA,SCARF1,SERPINE1,EMP3,AQP9,CD69,SLC31A2,PDPN,APLNR,HAS2,IL1B,RGS16,RHOG,RAF1,F3,SLC1A2,KCNJ2,NFKB1,CCL5,TNFSF10,ICAM4,CYBB,CD55,STAB1,CCL2,CD14,CD40,IL2RB,ATP2B1,SGMS2,CCRL2,FZD5,SELL,KCNMB2,TLR1,SLC4A4,PTPRE,GCH1,C3AR1,MYC,PTGIR
myc targets v1	8.33e-10	2.4	167	PRDX4,EPRS1,PSMD3,MCM2,PSMB3,APEX1,HDGF,VDAC1,CSTF2,TYMS,GOT2,PRPS2,CCT3,TUFM,SNRPA,NDUFAB1,LDHA,EIF3B,TOMM70,CBX3,SRM,MAD2L1,CAD,MCM4,POLD2,LSM2,PPM1G,HPRT1,CLNS1A,CDC20,PABPC4,MRPL9,PSMD1,AIMP2,RRM1,ILF2,SRPK1,MCM6,MRPS18B,CDC45,CTPS1,PSMB2,GSPT1,CCNA2,MCM5,RANBP1,CDK4,CYC1,SNRPG,XRCC6,SF3B3,XPO1,NHP2,HNRNPU,RNPS1,KPNB1,PSMD14,CCT5,ABCE1,HNRNPR,SMARCC1,HSPD1,VBP1,SSBP1,PHB,MCM7,IARS1,PCNA,COX5A,NCBP1,CCT4,BUB3,DDX18,XPOT,SNRPA1,SNRPD2,RSL1D1,KPNA2,TFDP1,PA2G4,ERH,SRSF1,G3BP1,SNRPD3,HDAC2,USP1
tnfa signaling via nfkb	8.33e-10	-2.88	179	JUNB,NFKBIA,CEBPB,KLF6,GADD45B,CEBPD,KLF10,KLF4,IL7R,G0S2,IL15RA,CDKN1A,EHD1,NR4A1,DENND5A,KLF2,IER2,HBEGF,LDLR,KLF9,TSC22D1,ETS2,MAFF,EGR1,ABCA1,EDN1,PDE4B,IRF1,NFE2L2,BMP2,PPP1R15A,RCAN1,MAP3K8,SOCS3,ZFP36,FOS,IFIT2,SGK1,RHOB,NFIL3,EGR3,FOSB,DNAJB4,DUSP1,TNFAIP3,ATF3,TIPARP,IL6,ID2,PTGER4,BCL2A1,OLR1,BTG2,PTX3,PNRC1,PLPP3,PFKFB3,CCN1,EGR2,CD44,LITAF,RELA,IER5,IL6ST,SLC16A6,IRS2,SERPINE1,CD69,SNN,JUN,CD83,TNF,IL1B,PTGS2,PLK2,F3,BCL6,NR4A3,NFKB1,CCL5
interferon gamma response	5.03e-09	-2.2	172	P2RY14,NFKBIA,OASL,SELP,CMKLR1,SAMHD1,GBP4,IL15RA,CDKN1A,IFIT3,TRIM25,CSF2RB,VAMP5,TDRD7,PDE4B,IRF1,EIF4E3,SERPING1,SOCS3,IFIT2,PTPN1,WARS1,LCP2,CD274,TNFAIP3,ARID5B,IL6,FAS,LATS2,FPR1,IFITM2,SECTM1,IL15,RSAD2,FGL2,MYD88,IL10RA,TXNIP,IL18BP,CD69,SAMD9L,PTPN6,B2M,CASP7,IDO1,PTGS2,SLC25A28,IFIT1,CMPK2,OAS2,NFKB1,CCL5,TNFSF10,UBE2L6,GZMA,SSPN,LYSMD2,CCL2,IFI27,CD40,IL2RB,TRIM21,PSMB10,DDX60,C1S,CD86,IFITM3,PIM1,BANK1,GCH1,MARCHF1,IRF8,CIITA
uv response dn	8.58e-09	-2.28	128	NR3C1,ZMIZ1,PRKCE,GRK5,PPARG,BMPR1A,LDLR,PTPRM,RXRA,KIT,ADGRL2,GJA1,NEK7,TJP1,PTPN21,NRP1,TGFBR3,ADD3,LPAR1,SMAD7,VLDLR,FBLN5,INSIG1,DUSP1,EFEMP1,CAV1,PMP22,SYNE1,TGFBR2,ATXN1,PTGFR,CDON,ID1,FYN,PLPP3,CCN1,CITED2,BDNF,ATP2B4,PRKAR2B,SERPINE1,RND3,KCNMA1,APBB2,DAB2,HAS2,CELF2,LAMC1,MAP2K5,DYRK1A,F3,DLC1,SDC2,NFKB1,PDGFRB,TFPI,PIK3R3
myc targets v2	1.21e-06	2.29	49	SORD,EXOSC5,GRWD1,PLK4,FARSA,CBX3,SRM,MCM4,MRTO4,PLK1,AIMP2,TFB2M,MPHOSPH10,IMP4,MCM5,PRMT3,SLC29A2,CDK4,DCTPP1,PES1,LAS1L,PUS1,BYSL,HSPD1,WDR74,PHB,TCOF1,MYBBP1A,DDX18,UTP20,NOP2,PA2G4,NOC4L
kras signaling up	3.78e-06	-1.92	171	AKAP12,EMP1,TNFRSF1B,SATB1,CMKLR1,ETS1,KLF4,IL7R,G0S2,GNG11,HBEGF,NIN,RBP4,ENG,TMEM100,PPBP,TSPAN7,GYPC,CAB39L,NRP1,ABCB1,PECAM1,GLRX,BMP2,PPP1R15A,CBL,LAT2,RETN,SPARCL1,TNFAIP3,FLT4,ID2,SLPI,TLR8,EPB41L3,IL10RA,TSPAN13,USP12,HSD11B1,ACE,SPON1,NAP1L2,SPRY2,CCND2,FGF9,ANO1,IL1B,CA2,PTGS2,RGS16,LCP1,TRIB2,BTBD3,RELN,FCER1G,ETV1,LAPTM5,CTSS,DOCK2,TFPI,SERPINA3,WNT7A,CLEC4A,PTPRR,CDADC1,MAFB,CD37,GFPT2,PDCD1LG2,ADGRA2,GUCY1A1,IKZF1
