pathway	padj	NES	size	leadingEdge
adipogenesis	9.29e-10	-2.28	176	ACADL,DHCR7,CRAT,TOB1,HADH,DBT,ME1,OMD,SCP2,BCL6,GPX3,CYP4B1,MARC2,PLIN2,CIDEA,PPARG,MCCC1,HIBCH,SOWAHC,RREB1,SUCLG1,EPHX2,SNCG,ACADM,PTGER3,LIFR,CAVIN2,REEP5,SPARCL1,ACAA2,RTN3,ELOVL6,ADIPOQ,CMPK1,FZD4,MYLK,ALDH2,RIOK3,CAT,DHRS7B,ACOX1,FABP4,ITIH5,PHYH,RMDN3,PPM1B,ATP5PO,CCNG2,DLD,SSPN,COQ3,ATP1B3,CAVIN1,IDH1,SULT1A1,GHITM,CD36,LPL,TST,CS,LTC4S,PFKFB3,IFNGR1
allograft rejection	9.29e-10	2.19	194	WARS1,TIMP1,IGSF6,CCR1,IFNAR2,MMP9,IRF7,EIF5A,INHBA,LYN,LCP2,IL12RB1,TAPBP,CD79A,PSMB10,HLA-G,AKT1,IL2RA,TLR1,DYRK3,IL27RA,NLRP3,CSK,IFNG,CD1D,CTSS,CCND3,THY1,HLA-A,NCR1,LY86,AARS1,GZMB,SIT1,NME1,ICAM1,BRCA1,IL6,RIPK2,BCAT1,HLA-DOA,FYB1,IFNGR2,CXCL9,UBE2N,CDKN2A,C2,CCL7,STAT1,CCL11,CD40LG,KLRD1,IL1B,IL12B,CD80,CD3G,GPR65,CCL5,SRGN,CRTAM,HLA-DMA,TAP1,CCR5,ITGAL,IL18RAP,WAS,CXCL13,MBL2,EIF4G3,CXCR3,MTIF2,ITGB2,SOCS1,PRKCG,CARTPT,PRF1,UBE2D1,MRPL3,GZMA,CD2,IL13,IL2,CD7,ST8SIA4,HCLS1,CD8A,TLR2,NCF4,PTPRC,ETS1
e2f targets	9.29e-10	2.94	183	KIF2C,PLK1,CDC25B,TIMELESS,AURKB,CCNE1,HMMR,CDKN3,DDX39A,DNMT1,TRIP13,PRDX4,ESPL1,CENPM,POLD1,MCM5,PTTG1,ATAD2,KIF4A,AURKA,GSPT1,GINS1,BIRC5,SPAG5,CCNB2,RAD51AP1,MCM3,STMN1,ASF1B,BUB1B,CENPE,CDC25A,TBRG4,CKS2,BRCA2,PA2G4,POLA2,KPNA2,MELK,CDC20,H2AZ1,CDK4,TACC3,RPA3,MCM6,DLGAP5,CDK1,CDCA8,MTHFD2,TK1,KIF18B,SMC4,MKI67,GINS4,TOP2A,LMNB1,RNASEH2A,CDCA3,PLK4,DEPDC1,NME1,LIG1,BRCA1,RACGAP1,RAD51C,PRPS1,RFC3,AK2,SUV39H1,CTPS1,RANBP1,RRM2,TUBG1,PPP1R8,MCM7,H2AX,RAD1,MAD2L1,RFC2,ORC6,MCM4,CDKN2A,PCNA,EZH2,DSCC1,MYBL2,GINS3,HMGB3,TIPIN,CKS1B,DONSON,PSMC3IP,SNRPB,PAICS,UBE2S,SMC6,HELLS,JPT1,SPC25,TUBB,MCM2,NBN,NUP153,DUT,NCAPD2
g2m checkpoint	9.29e-10	2.65	192	KIF2C,CDC45,PLK1,E2F3,CDC25B,EXO1,GINS2,AURKB,HMMR,CCNA2,CDKN3,SLC7A5,PBK,TROAP,DDX39A,ESPL1,MCM5,CDC7,CENPA,TTK,PTTG1,PTTG3P,KIF4A,AURKA,GSPT1,BIRC5,CENPF,CCNB2,MCM3,STMN1,PRC1,NDC80,KIF11,UBE2C,CENPE,SLC7A1,CDC25A,CKS2,BRCA2,TPX2,POLA2,NSD2,KPNA2,RAD54L,CDC20,H2AZ1,CDK4,TACC3,CDC6,NEK2,DTYMK,MCM6,KIF15,CDK1,CHAF1A,SMC4,ODC1,MKI67,TOP2A,LMNB1,BUB1,CDC27,PLK4,KIF23,E2F1,RACGAP1,FBXO5,SUV39H1,PML,H2AX,DBF4,MAD2L1,ORC6,E2F2,ABL1,ODF2,EZH2,MYBL2,HMGB3,CKS1B,SMC2,POLQ
interferon alpha response	9.29e-10	2.58	79	WARS1,SAMD9,LGALS3BP,OASL,ADAR,GMPR,IFIT2,TMEM140,IFI35,PSMB8,IRF7,ISG15,SP110,EIF2AK2,RSAD2,ISG20,IFIT3,DHX58,CCRL2,MX1,CNP,TRIM14,PLSCR1,PSMB9,RIPK2,OAS1,RTP4,LY6E,IRF1,CXCL10,TDRD7,CMTR1,SELL,PARP12,TAP1,STAT2,BST2,HERC6,IFI44L,CASP8,IRF9,OGFR,HLA-C,UBE2L6,CXCL11,TRIM21
interferon gamma response	9.29e-10	2.44	172	UPP1,WARS1,LGALS3BP,OASL,ADAR,FPR1,IFIT2,IFNAR2,OAS3,IFI35,PSMB8,IRF7,ISG15,SP110,EIF2AK2,MVP,RSAD2,LCP2,TAPBP,NUP93,PSMB10,HLA-G,ISG20,SLAMF7,IFIT3,DHX58,PFKP,MTHFD2,ZBP1,TNFAIP6,MX1,HLA-A,IFIT1,ICAM1,TRIM14,PLSCR1,IL6,PSMB9,RIPK2,PML,GPR18,ST3GAL5,PTPN1,CD38,CXCL9,CMKLR1,RTP4,CCL7,LY6E,IRF1,APOL6,CXCL10,PSMB2,STAT1,OAS2,TDRD7,CMTR1,CCL5,PDE4B,PARP12,NAMPT,MX2,HLA-DMA,BPGM,TAP1,STAT2,MT2A,BST2,HERC6,VAMP5,IDO1,SOCS1,IFI44L,CASP8,MYD88,IRF9,OGFR,GZMA,UBE2L6,CXCL11,ST8SIA4,TRIM21,PSME1,IL18BP,RIPK1,SOCS3,XAF1,LAP3,SRI,CD86,TNFAIP3,MARCHF1,IFI44,IFIH1
fatty acid metabolism	1.35e-08	-2.23	141	ACADL,ALDH3A2,GPD1,HMGCS1,CRAT,HSDL2,HADH,DHCR24,ETFDH,ME1,HMGCS2,SLC22A5,GABARAPL1,PPARA,CIDEA,HIBCH,SDHD,ERP29,SUCLG1,GLUL,ACSM3,ACADM,CA2,ACAT2,ALDH3A1,MAOA,ALDH9A1,ACSL1,BCKDHB,ACAA2,AUH,METAP1,ALAD,ADH1C,SUCLA2,HSD17B4,CA6,IDI1,HAO2,ACOX1,ECI1,AOC3,ACADVL,DLD,SERINC1,HADHB,SUCLG2,KMT5A
estrogen response early	3.02e-08	-2.11	191	DHCR7,TOB1,EGR3,OVOL2,PDZK1,HES1,SLC22A5,LRIG1,SNX24,RAPGEFL1,SYBU,BCL11B,FDFT1,HR,REEP1,TFAP2C,KRT15,FLNB,WWC1,KLF4,CLDN7,ABLIM1,KRT8,TPD52L1,THSD4,INHBB,FKBP5,MUC1,ANXA9,CA12,FOS,KLF10,MSMB,CYP26B1,TIAM1,PTGES,SIAH2,SULT2B1,OLFML3,AFF1,KLK10,AR,CELSR2,GJA1,JAK2,BAG1,MYOF,KCNK5,KRT19,SLC27A2,LAD1,CXCL12,ELF3,SLC24A3,CLIC3,ADD3,CELSR1,DHRS3,PODXL,CISH,CHPT1,SCNN1A,TIPARP,TJP3,AKAP1,KRT18,ABAT,MAST4,AQP3,IL6ST,BLVRB,SLC7A2,FRK,FOXC1,MAPT,MYB,ELOVL5,ARL3,GFRA1,PEX11A,SFN,TSKU,DEPTOR,TFF3,MED13L,P2RY2,NCOR2,WFS1,SVIL,XBP1,KDM4B,RET,SLC2A1,FAM102A,HSPB8,RHOD
estrogen response late	8.20e-08	-2.06	195	ALDH3A2,DHCR7,TOB1,EGR3,OVOL2,CPE,PDZK1,ATP2B4,HMGCS2,SLC22A5,ASS1,FGFR3,SORD,RAPGEFL1,CA2,FDFT1,PTGER3,HR,TRIM29,TFAP2C,FLNB,GJB3,UNC13B,KLF4,TPSAB1,IMPA2,TSPAN13,ST14,ACOX2,TPD52L1,FKBP5,ANXA9,CA12,FOS,CYP26B1,TIAM1,CACNA2D2,PTGES,SIAH2,SULT2B1,AFF1,DLG5,PERP,CD9,KLK10,CELSR2,MAPK13,JAK2,PKP3,NMU,BAG1,MYOF,KCNK5,CXCL14,KLK11,KRT19,SLC27A2,LLGL2,CXCL12,SLC24A3,CLIC3,ADD3,PCP4,CAV1,ID2,LSR,CISH,HOMER2,CHPT1,SCNN1A,GPER1,TJP3,JAK1,EMP2,IDH2,IL6ST,BLVRB,FRK,FOXC1,MAPT,MYB,TNNC1,ELOVL5,LAMC2,TST,ARL3,LTF,MEST,SFN,PLXNB1,GAL,TFF3,HSPA4L,CKB
uv response dn	7.20e-07	-2.07	141	PTPN21,CITED2,ATP2B4,FBLN5,ACVR2A,ID1,PPARG,RXRA,ERBB2,NOTCH2,DDAH1,ZMIZ1,EFEMP1,LPAR1,PLPP3,INSIG1,PDLIM5,PLCB4,BMPR1A,NFIB,TENT4A,BCKDHB,DUSP1,ADORA2B,ADGRL2,TGFBR3,NRP1,LTBP1,YTHDC1,GJA1,PTGFR,ANXA4,SDC2,NR3C1,IRS1,PIAS3,CDKN1B,ADD3,SYNE1,CAV1,F3,MIOS,DLG1,ARHGEF9,MGMT,NIPBL,TGFBR2,APBB2,NR1D2,TFPI,TJP1,SMAD3,CDON,IGFBP5,DBP,NFKB1,PHF3,MGLL,MAPK14,ATRX,DMAC2L
dna repair	5.04e-06	2.01	130	TYMS,GSDME,ZWINT,POLD1,POLR2D,DGUOK,STX3,POLA2,NELFCD,FEN1,TAF6,RPA3,ITPA,POLR2F,GTF2A2,TARBP2,HPRT1,RFC4,POLR1C,NME4,NME1,LIG1,POLR3C,MPG,RFC3,SEC61A1,RFC2,TAF10,RAD51,PCNA,SDCBP,RALA,AAAS,ERCC2,PDE4B,ERCC3,USP11,AK1,MRPL40,VPS37B,DUT,POLH,SNAPC5,CLP1,ADRM1,RNMT,POLR2J,HCLS1,RFC5,UPF3B,POLR2K,SNAPC4,POLA1,ERCC4,TK2,POLR2I,TAF13
complement	1.56e-05	1.88	184	TIMP1,COL4A2,S100A13,SERPINE1,PLAUR,C1QA,IRF7,LIPA,FCER1G,RHOG,PLAT,MMP15,LYN,LCP2,CTSD,CXCL1,ATOX1,MMP8,MMP12,CTSB,FN1,PHEX,CTSL,DOCK10,GNAI2,CTSS,PDP1,S100A12,SH2B3,PRKCD,GZMB,SERPINA1,PRDM4,APOBEC3F,MMP13,PREP,PIK3CG,PLSCR1,IL6,PSMB9,GRB2,GZMK,LGMN,ANXA5,MMP14,TFPI2,DOCK4,SIRT6,CR1,ADRA2B,C2,IRF1,RABIF,DGKG,CDK5R1,CD40LG,ADAM9,CCL5,APOA4,PIK3R5,OLR1,WAS,CBLB,LAMP2,FCN1,TIMP2,CTSH,PLEK,FYN,EHD1,MAFF,XPNPEP1,F8,CASP5
inflammatory response	3.91e-05	1.8	190	TIMP1,SERPINE1,C5AR1,PLAUR,FPR1,TNFSF9,DCBLD2,IRF7,CXCL8,RHOG,INHBA,LYN,EIF2AK2,SLC7A1,LCP2,TAPBP,RGS1,SPHK1,CXCL6,C3AR1,TLR1,TNFAIP6,CD14,CD70,RGS16,MSR1,NLRP3,CCRL2,ITGB3,ADGRE1,CXCR6,CSF3R,ICAM1,BEST1,ICAM4,IL6,OSM,RIPK2,MMP14,IFNGR2,CXCL9,EMP3,CMKLR1,RTP4,CCL7,LY6E,IRF1,CXCL10,PTAFR,P2RX4,SELL,IL1B,IL12B,TNFRSF1B,CCL5,PDE4B,NAMPT,PVR,GPR132,IL18RAP,PIK3R5,OLR1,CYBB,BST2,FFAR2
bile acid metabolism	7.50e-05	-1.97	97	DHCR24,ISOC1,AQP9,SCP2,ABCA6,CROT,RXRA,HSD3B1,EPHX2,PEX13,GNPAT,BBOX1,ALDH9A1,CYP39A1,ACSL1,ABCA8,SULT2B1,TFCP2L1,AR,PXMP2,HSD17B4,IDI1,PEX7,SLC27A2,CAT,ABCA5,FADS2,PHYH,IDH2,NR3C2,IDH1,OPTN,RBP1,NEDD4,PEX11A,ALDH1A1
myc targets v2	1.09e-04	2.07	51	PLK1,NOP2,MCM5,BYSL,IMP4,SRM,TBRG4,MRTO4,PA2G4,CDK4,PUS1,PLK4,PES1,SLC19A1,NOC4L,NIP7,MCM4,LAS1L,UTP20,CBX3,RRP12,TCOF1,GRWD1,FARSA,HK2,IPO4,TFB2M,WDR74,NOLC1,PPRC1,AIMP2
mitotic spindle	1.20e-04	1.75	176	KIF2C,PLK1,ARHGDIA,ESPL1,TTK,KIF4A,AURKA,BIRC5,CENPF,CCNB2,PRC1,NDC80,KIF11,PXN,CENPE,KNTC1,BRCA2,TPX2,BCL2L11,MAP3K11,ARHGAP4,NEK2,KIF15,DLGAP5,CDK1,ARHGEF11,ARHGEF2,SMC4,KPTN,TOP2A,LMNB1,KIF3C,BUB1,CDC27,KIF23,CSNK1D,FARP1,RACGAP1,MYO9B,FBXO5,TRIO,NEDD9,DOCK4,NCK2,SEPTIN9,CEP250,ABL1
