pathway	padj	NES	size	leadingEdge
apoptosis	5.00e-10	2.09	161	HMOX1,MMP2,PAK1,TAP1,VDAC2,LGALS3,CDKN1A,BMP2,GNA15,BCAP31,IFITM3,IER3,H1-0,DDIT3,EMP1,CCND1,IL18,SAT1,SOD1,CD14,ERBB2,CLU,SC5D,BCL2L2,DNAJA1,FEZ1,TIMP1,BGN,PLAT,BCL2L1,HSPB1,PRF1,IL6,GPX3,SQSTM1,GPX4,DCN,CCND2,FAS,CD2,CASP1,IFNGR1,IGFBP6,CAV1,DIABLO,GPX1,ATF3,PPT1,RHOT2,ANXA1,SLC20A1,PSEN2,CASP7,RARA,IGF2R,BID,IL1B,DAP,HMGB2,CD44,F2R,DPYD,TSPO,ETF1,LUM,CASP3,DNAJC3,GSR,TNFRSF12A,F2,BRCA1,SOD2,TIMP2,TNFSF10,TIMP3,PDGFRB,BTG3,GSN,FDXR,IRF1,RETSAT,FASLG
coagulation	5.00e-10	2.17	137	SPARC,MMP2,CTSK,CSRP1,DUSP14,PLAU,VWF,MMP9,C3,MMP1,C1QA,ACOX2,C2,RAC1,TMPRSS6,CPQ,LGMN,APOC1,HTRA1,SERPING1,S100A13,FN1,CFD,ISCU,SERPINA1,CLU,MAFF,CTSB,MMP7,CD9,TIMP1,PLAT,TFPI2,LAMP2,F12,A2M,MEP1A,CFH,DUSP6,THBS1,MSRB2,CTSH,C1S,SERPINE1,MST1,C1R,MMP3,OLR1,F3,ANXA1,FBN1,PLEK
complement	5.00e-10	2.09	198	CTSC,CSRP1,GZMA,CCL5,MMP12,S100A9,C3,C1QA,C2,LGALS3,TMPRSS6,PLA2G7,GZMK,ATOX1,FCN1,JAK2,CPQ,CA2,LGMN,LCP2,APOC1,STX4,SERPING1,CEBPB,S100A13,APOBEC3G,FN1,COL4A2,SERPINA1,CLU,LTF,MAFF,CTSD,CTSB,GZMB,ANXA5,ITGAM,CTSL,TIMP1,PLAT,TFPI2,LAMP2,IL6,DGKG,CFH,FCER1G,DUSP6,CASP5,CTSH,DUSP5,C1S,FDX1,CASP1,SERPINE1,C1R,PLSCR1,OLR1,PRCP,F3,TNFAIP3,GATA3,PLEK,PRSS36,ME1,PHEX,F8,CASP7,PSMB9,MSRB1,PPP2CB,L3MBTL4,CD59,DPP4,C1QC,LAP3,CXCL1,PLAUR,ADAM9,PLA2G4A,LIPA,RABIF,DGKH,PREP,GP1BA,CASP3,ZFPM2,SIRT6,PRDM4,F2,CTSV,TIMP2,PIM1,CDH13
epithelial mesenchymal transition	5.00e-10	2.27	199	SPARC,MMP2,LGALS1,TPM1,PCOLCE,MMP1,COL1A2,GREM1,LRRC15,ACTA2,CAPG,VEGFC,ID2,NNMT,TNFRSF11B,PPIB,ANPEP,MXRA5,SDC4,IGFBP3,HTRA1,COL5A1,SAT1,LOXL1,COL6A3,DAB2,FN1,IL32,COL4A2,PFN2,FUCA1,ECM1,TIMP1,BGN,NID2,FERMT2,TFPI2,TGFBI,ABI3BP,VCAM1,COL1A1,MFAP5,IL6,IL15,COLGALT1,SFRP4,PCOLCE2,ITGA5,COL5A2,PTX3,GJA1,THBS1,APLP1,DCN,EFEMP2,FAS,FSTL1,FBLN5,CTHRC1,PTHLH,SERPINE1,SNAI2,FBLN1,CXCL12,POSTN,CCN1,MMP3,SERPINE2,ITGB5,ITGAV,FMOD,COL16A1,GEM,COL4A1,SPOCK1,TNFAIP3,FBN1,FAP,SPP1,SNTB1,CADM1,DPYSL3,PLOD3,CXCL6,PLOD1,FGF2,COL5A3,SLC6A8,MYLK,COL6A2,VIM,COL8A2,THBS2,CD44,CDH11,CD59,THY1,CXCL1,PLOD2,PLAUR
il2 stat5 signaling	5.00e-10	2.05	198	COL6A1,RRAGD,IL10,PLPP1,CYFIP1,TNFRSF1B,GSTO1,CCNE1,BMP2,CAPG,SERPINB6,CXCL10,CST7,IFITM3,NFKBIZ,GBP4,CA2,TNFRSF4,EMP1,HK2,ENO3,CDCP1,FAH,PTGER2,MAFF,MYC,MAPKAPK2,NFIL3,NDRG1,SMPDL3A,DHRS3,ITIH5,UMPS,ECM1,BHLHE40,BCL2L1,GALM,TNFRSF21,TNFRSF9,IL1R2,BATF3,PUS1,AHR,ITGA6,P2RX4,GPX4,SLC39A8,BATF,APLP1,PLIN2,SPRY4,CCND2,IFNGR1,SNX9,PLSCR1,DENND5A,TRAF1,PNP,FGL2,RNH1,ITGAV,WLS,IL18R1,ANXA4,IRF4,SOCS2,SPP1,NRP1,ICOS,PRNP,SELP,PLAGL1,IGF2R,TIAM1,CSF1,TNFRSF8,ENPP1,CD44,DCPS,GUCY1B1,SH3BGRL2,IL2RB,NOP2,IL2RA
inflammatory response	5.00e-10	2.14	200	TLR2,CCL5,IL10,C5AR1,NOD2,CCRL2,CXCL9,C3AR1,SLC31A2,TNFRSF1B,ADGRE1,MARCO,CDKN1A,MSR1,GNA15,CXCL10,ADM,CXCL11,LCP2,CXCR6,IL18,CD14,CHST2,PTGER2,IFITM1,MYC,FPR1,CCL17,STAB1,TIMP1,IL15RA,P2RX7,TNFRSF9,IL6,HBEGF,IL15,SELE,AHR,CMKLR1,P2RX4,ITGA5,TNFSF15,ADORA2B,PTGER4,RTP4,MEP1A,LPAR1,SCN1B,NAMPT,SPHK1,SRI,IL1R1,SERPINE1,KCNJ2,CCL22,NFKBIA,IL7R,OLR1,LAMP3,RNF144B,RGS1,TPBG,IL18R1,OSMR,F3,APLNR,CXCL6,IL18RAP,LY6E,CLEC5A,IL1B,CCL2,CSF1,AQP9,CX3CL1,EBI3,EDN1,ADRM1,SLC11A2,TNFAIP6,PLAUR,P2RY2,IL2RB,HAS2,SELENOS,GP1BA,FZD5,TNFSF9,ATP2C1,ACVR1B,NMI,KLF6,CALCRL,IL10RA,EMP3,CSF3R,CCR7,TNFSF10,PTPRE,ICAM1,IFNGR2,CD70,IRF1,SLC7A2,NDP,FFAR2,AXL,BST2,ABCA1,NLRP3,KCNMB2,RIPK2,RHOG
interferon gamma response	5.00e-10	2.01	196	MT2A,GZMA,CCL5,TAP1,CXCL9,PFKP,CDKN1A,CXCL10,JAK2,IFITM3,CXCL11,GBP4,LCP2,WARS1,SERPING1,HLA-A,PSMA3,TNFAIP2,IDO1,FPR1,LGALS3BP,IFITM2,IL15RA,NUP93,VAMP5,NLRC5,VCAM1,IRF5,DHX58,ST3GAL5,LATS2,IL6,IL15,CMKLR1,XCL1,METTL7B,IFI27,UPP1,STAT4,RTP4,RIPK1,CFH,SAMHD1,UBE2L6,NAMPT,FAS,C1S,IFI44,CASP1,SRI,MVP,STAT1,PSME1,C1R,TOR1B,PLSCR1,PNP,NFKBIA,IFIT1,FGL2,RBCK1,IFI35,TNFAIP3,EIF4E3,IRF4,BPGM,VAMP8,SLAMF7,CASP7,BATF2,PNPT1,SECTM1,SELP,PSMB9,LY6E,CCL2,PTPN1,ISG15,PSMB2,TNFAIP6,LAP3,PLA2G4A,IL2RB,CD274,PARP12,CASP3,P2RY14,PSMB8,B2M,RNF213,NMI,PSMA2,SPPL2A,MTHFD2,SOD2,USP18,PIM1,IL10RA,TDRD7,TNFSF10,TRIM21,ICAM1,FCGR1A,NOD1,ISOC1,IFIT2,IRF1,TRIM14
oxidative phosphorylation	5.00e-10	2.14	196	MGST3,ISCA1,ATP6V0C,POR,VDAC2,ECHS1,TIMM9,NQO2,ACAT1,ATP6V1E1,ATP6V1H,ATP6V1D,ATP6AP1,NDUFA8,ATP1B1,MTX2,SLC25A20,NDUFA6,NDUFS2,UQCRQ,ISCU,MPC1,FXN,CYB5A,TIMM8B,VDAC3,COX7A2,COX5B,ACAA1,ATP5MC1,COX7B,NDUFB8,NDUFB7,HCCS,GPX4,ATP6V0E1,COX5A,NDUFS3,DECR1,NDUFA3,ATP6V1F,ATP5F1E,ALAS1,FDX1,ATP6V0B,NDUFA2,NDUFS4,IDH1,COX7C,RHOT2,MRPS11,TCIRG1,UQCR11,FH,NDUFB1,MAOB,CASP7,NDUFB5,CPT1A,TIMM17A,TIMM50,NDUFB3,SLC25A4,ATP5MC3,NDUFAB1,ACADVL,ETFA,NDUFA4,NDUFB4,IDH3G,ATP5MG,ATP5PD,UQCRB,NDUFV1,ECI1,BDH2,OGDH,SDHD,AFG3L2,MRPL34,HSD17B10,SLC25A5,CYC1,NDUFB6,AIFM1,IMMT,MRPS15,GOT2,NDUFA9,UQCRC2,SUCLA2,MRPL11,MFN2,CYCS,MRPL35,LDHB,GPI,LDHA,UQCR10,NDUFC1,IDH2,NDUFV2,SDHB,COX4I1,ACAA2,MDH2,HSPA9,RETSAT,SUCLG1,TIMM13,ATP5F1D,SURF1,ATP5PO,MDH1,COX8A,HADHB,COX6A1,PHYH,ECH1,DLD,COX10,ATP5MC2,PHB2,DLAT,SLC25A11,MRPL15,UQCRFS1,NDUFA7,PMPCA,SLC25A6,PDHX,VDAC1,NDUFS7,GLUD1,SLC25A12,ATP5F1C,SLC25A3,MRPS22,ATP5PB,BCKDHA
p53 pathway	5.00e-10	2.06	195	NINJ1,HMOX1,DRAM1,EI24,TAP1,RAP2B,TP63,MAPKAPK3,STOM,AEN,ALOX15B,SLC19A2,RXRA,TRAF4,CDKN1A,BMP2,TCN2,GM2A,PMM1,IER3,DDIT3,S100A4,NUDT15,STEAP3,SAT1,IRAK1,ISCU,FUCA1,CTSD,NDRG1,DDB2,RPS27L,PROCR,HINT1,RALGDS,HBEGF,CEBPA,UPP1,TSC22D1,EPHA2,PLK3,CCND2,FAS,TM7SF3,FAM162A,SPHK1,IER5,CASP1,NUPR1,ATF3,PPP1R15A,CTSF,VWA5A,RRP8,PRMT2,RAB40C,BAK1,KLF4,PIDD1,H2AJ,VAMP8,RAD9A,SEC61A1,ABHD4,FGF13,ABCC5,S100A10,RPL18,PERP,F2R,HDAC3,EPHX1,H1-2,CCNK,ZMAT3,KIF13B,DCXR,CDKN2A,TRIB3,TNFSF9,RPL36,ACVR1B,CDH13,KLK8,LDHB,WWP1,RCHY1,PTPRE,ELP1,PLK2,CLCA2,TPRKB,FDXR,TRIAP1,RETSAT,TM4SF1,ADA,PHLDA3
tnfa signaling via nfkb	5.00e-10	2.1	196	CEBPD,NINJ1,DRAM1,TLR2,CCL5,GFPT2,TAP1,PLAU,CCRL2,LITAF,CDKN1A,BMP2,SGK1,CXCL10,ID2,IER3,CXCL11,YRDC,SDC4,PLPP3,RCAN1,CCND1,IL18,SAT1,CEBPB,FJX1,CCL4,TNFAIP2,MAFF,MYC,NFIL3,ACKR3,BHLHE40,IL15RA,CXCL3,TNFRSF9,IL6,HBEGF,SQSTM1,TSC22D1,PTGER4,PTX3,FOSL2,NAMPT,DUSP5,SPHK1,IER5,SERPINE1,DENND5A,CCN1,PDLIM5,TRAF1,TGIF1,NFKBIA,IL7R,OLR1,G0S2,ATF3,MARCKS,PPP1R15A,SLC16A6,GEM,F3,TNFAIP3,PLEK,KLF4,ETS2,CXCL6,IL1B,CCL2,BCL2A1,NFKBIE,CSF1,CD44,EDN1,LAMB3,TNFAIP6,CXCL1,PLAUR,B4GALT5,SLC2A6,FUT4,PANX1,IL6ST,TRIB1,EFNA1,JUNB,TNFSF9,KLF9,DUSP2,KLF6,SOD2,RELB,TRIP10,VEGFA,BTG3,PTPRE,ICAM1,PLK2,IFNGR2,IFIT2,MSC,IRF1
