pathway	padj	NES	size	leadingEdge
adenyl nucleotide binding	5.85e-09	1.72	1338	GMPS,TRIP13,KIF14,CDK2,PLK4,KIF23,MKI67,TENT4A,POLQ,UBE2C,AARS1,CDC6,RAD51,MASTL,KIF2C,CHEK2,HLTF,ERCC6L,MELK,KIF20B,RUVBL1,MCM4,PRKCI,RFC4,AURKA,PKN3,CHEK1,WARS1,KIF18A,OAS2,MTHFD1,PASK,CTPS1,HELLS,HK3,TTL,UBE2T,TTK,TOP2A,GART,CDK4,ABCF1,PRPS1,DHX33,ACAD9,ATAD2,BUB1,MCM6,DNA2,RAD54L,KIF15,TTLL5,PBK,NOLC1,NVL,OAS3,KIF20A,NEK2,TAP2,TTF2,FIGNL1,KIF11,ABCC5,IFIH1,TOR1B,MCM5,KIFC1,MCM3,TK1,ATAD5,RECQL4,HSPA14,PGS1,CHTF18,UBE2Z,MCM7,PCCB,MERTK,PIK3R4,HELZ,STK4,AURKB,TRIO,MYO19,ORC1,TOR2A,DHX16,RAD51C,RRM1,CHD1L,MAP3K13,PRKDC,CDK1,MAPK9,TTLL7,MYO10,SMC4,EIF2AK2,PIF1,WNK3,HSP90AA1,DDX60,MCM8,RYR1,FAM20B,ASNS,CGAS,PIK3CD,MTOR,MYO7A,CASK,MAPKAPK5,CMPK2,NADK,TRIB3,DHX35,MAP3K21,OAS1,HCN3,ACOT7,KIF3B,VRK1,TYK2,UBE2I,SEPHS2,TOR1A,CLK2,FLAD1,KIF22,DNAJA3,AAK1,OASL,MKNK1,LIG1,MSH2,SLFN11,DDX39A,DGKD,CCT4,UHMK1,SUPV3L1,EP400,PFN1,DHX9,HSPD1,MAP4K1,MET,RSKR,PIP4K2C,SMC2,MCCC1,DDX27,KIF18B,DHX36,MYH9,GSS,ACLY,SMC1A,PSMC1,ATP2C1,TDRD9,DDX23,LYN,DDX58,ABCF3,DNAJA1,DDX20,ERCC3,CLP1,CHD8,TARS1,TOR3A,GSK3B,ILF2,EARS2,NEK6,ACTB,KARS1,NAIP,FAM20C,DGUOK,NADK2,MOK,MORC2,PANK4,MCM9,ACBD6,NUBP1,EIF2AK1,ITK,CCT2,CCT8,PHKG2,ABCB10,ATP6V1A,SOAT1,MARS2,IRAK1,ALPK2,CCT7,PI4KA,UBE2S,PIM2,PGK1,SEPHS1,LIMK1,DCK,PAPOLG,HARS2,CHD7,G3BP1,DHX15,CHKA,KIF2A,STK35,DYRK2,ULK1,ORC5,IARS1,ATR,CCT3,ABCA13,MIEF1,SMCHD1,PAICS,SMC3,ABCG1,KHK,PIK3CA,CDK12,YARS1,RECQL,CSNK1G1,MAP3K2,IKBKB,UBE2J2,CAD,ADCY7,DHX40,ZRANB3,COQ8A,MYO5C,ATP13A2,PSTK,IARS2,UBA2,HSPA9,PTK2,DDX60L,ATP2A2,HK2,WRNIP1,CCT5,ATP1A1,RIPK1,PAK2,KATNAL2,TEP1,VRK2,CDK14,BAZ1B,SPHK1,ABCA1,MAP2K1,PDK1,DHX8,DYRK1A,MYO1B,STK38,PIK3CB,PPIP5K1,RAD54L2,UBE2A,BRIP1,STK3,MYO9B,PDPK1,RUNX3,HCK,PRPS2,MAT2A,EHD4,ATP10A,PDIK1L,UBA5,BVES,RFC2,PLK1,ATP5F1B,DDX28,DCAF1,FICD,HNRNPU,RFC1,EIF4A3,CAMK2G,PSMC4,AK2,CSNK1D,PTK2B,ORC4,HLCS,PFAS,SMC6,ATP9A,SETX,RIPK2,PRKCQ,UCKL1,PFKP,TDG,ABL2,LONP1,KIF24,COASY,MARK1,VCP,IRAK2,MAPKAPK2,NTPCR,TNIK,TOP1,STK26,CHUK,DDX31,PSMC2,NARS2,P2RX4,DDX21,PNCK,RPS6KA1,MYO3A,ASS1,EPRS1,ACACA,PKMYT1,FRK,RAD17,MLKL,DYNC1H1,PFKFB4,TBK1,NAT10,HSPA2,LMTK2,PIK3CG,AKT1,TWNK,ACVR1C,TTLL4,HYOU1,PRKD2,AFG3L2,RFC5,DHX38,DGKH,SMC1B,MYO5A,STK17B,ATP13A1,CUL9,NEK11,MAP3K5,PANK2,PRKAA1,GARS1,ZAP70,XRCC6,PSMC3,LCK,HSP90AB1,SPATA5,EIF4G1,SKIV2L,ABCC1,CDK10,N4BP2,YES1,PNKP,MARK3,GATC,SMARCA5,ALPK1,ATRX,UBE2Q1,DDX18,POPDC2,LIMK2,STYK1,GK5,PRKCZ,CDK9,STK31,SMC5,DYNC1LI2,ATP2B4,RFK,DDX17,RIOK1,NLK,HELZ2,DDX46,RPS6KC1,TGFBR1,YARS2,PAPOLA,SCYL2,MAP3K7,DDX3X,FANCM
atpase activity	5.85e-09	2.26	378	KIF14,GINS2,KIF23,POLQ,DSCC1,RAD51,KIF2C,RFC3,HLTF,ERCC6L,KIF20B,RUVBL1,MCM4,RFC4,CDC45,KIF18A,HELLS,TOP2A,ABCF1,DHX33,ATAD2,MCM6,DNA2,RAD54L,KIF15,NVL,KIF20A,TAP2,TTF2,FIGNL1,KIF11,ABCC5,IFIH1,TOR1B,MCM5,KIFC1,MCM3,ATAD5,RECQL4,HSPA14,CHTF18,MCM7,MNAT1,HELZ,MYO19,TOR2A,DHX16,RAD51C,CHD1L,TNNT1,MYO10,PIF1,HSP90AA1,DDX60,MCM8,MYO7A,SHOC1,DHX35,KIF3B,TOR1A,KIF22,MSH2,SLFN11,PFN2,DDX39A,SUPV3L1,EP400,DHX9,HSPD1,DDX27,KIF18B,DHX36,MYH9,WDR34,PSMC1,TDRD9,DDX23,DDX58,ABCF3,DDX20,ERCC3,CHD8,TOR3A,RBBP4,MORC2,PMS2P1,MCM9,CCT8,ABCB10,GTF2H4,MRE11,CHD7,G3BP1,DHX15,KIF2A,NBN,ABCA13,RNF213,SMCHD1,ABCG1,RECQL,GINS1,DHX40,ZRANB3,ATP13A2,HSPA9,DDX60L,WRNIP1,KATNAL2,ABCA1,DHX8,MYO1B,RAD54L2,BRIP1,MYO9B,RFC2,ATP5F1B,DDX28,RFC1,EIF4A3,PSMC4,ACIN1,SETX,LONP1,KIF24,VCP,DDX31,PSMC2,DDX21,MYO3A,RAD17,DYNC1H1,HSPA2,TWNK,RFC5,DHX38,CHTF8,ATP13A1,XRCC6,PSMC3,HSP90AB1,SPATA5,SKIV2L,ABCC1,SMARCA5,ATRX,DDX18,DDX17,HELZ2,DDX46,GINS4,DDX3X,FANCM,KIF16B
atpase activity coupled	5.85e-09	2.44	255	KIF14,GINS2,POLQ,DSCC1,RAD51,RFC3,HLTF,ERCC6L,KIF20B,RUVBL1,MCM4,RFC4,CDC45,KIF18A,HELLS,TOP2A,DHX33,MCM6,DNA2,RAD54L,TTF2,FIGNL1,KIF11,IFIH1,MCM5,MCM3,ATAD5,RECQL4,HSPA14,CHTF18,MCM7,MNAT1,HELZ,DHX16,RAD51C,CHD1L,TNNT1,MYO10,PIF1,HSP90AA1,DDX60,MCM8,MYO7A,DHX35,KIF3B,MSH2,SLFN11,DDX39A,SUPV3L1,EP400,DHX9,DDX27,KIF18B,DHX36,MYH9,WDR34,PSMC1,TDRD9,DDX23,DDX58,DDX20,ERCC3,CHD8,RBBP4,MCM9,CCT8,GTF2H4,MRE11,CHD7,G3BP1,DHX15,NBN,RECQL,GINS1,DHX40,ZRANB3,HSPA9,DDX60L,KATNAL2,DHX8,MYO1B,RAD54L2,BRIP1,RFC2,DDX28,RFC1,EIF4A3,PSMC4,SETX,LONP1,DDX31,PSMC2,DDX21,MYO3A,RAD17,DYNC1H1,HSPA2,TWNK,RFC5,DHX38,CHTF8,XRCC6,HSP90AB1,SKIV2L,SMARCA5,ATRX,DDX18,DDX17,HELZ2,DDX46,GINS4,DDX3X,FANCM,KIF16B,KATNA1,XRCC2,FBH1,CHD1,DDX54,DDX5,HSPA13,SNRNP200,WRN,AQR,SMARCA4
calcium ion binding	5.85e-09	-1.78	583	CRNN,PLCD1,TGM3,ITPR2,PRSS3,EFHC2,GJB2,PRSS2,RPTN,PKD1L2,CDHR1,MYL3,PAMR1,ALOX15B,PLA2G4D,FLG,S100A12,PLA2G4F,STIM1,ENPP3,DSC1,PLCD4,CDH13,MYL5,F9,EFCAB1,TPT1,MASP1,GAS6,DNAH7,CABCOCO1,SLIT3,DSC2,LTBP4,S100A14,SCUBE2,EFCAB5,CALML3,VSNL1,HMCN1,MAN1C1,LRP1,SPARCL1,EHD2,S100A9,S100A7,AOC1,EFEMP2,SNED1,SLIT2,EFHD1,TNNT3,CDH26,SVEP1,LRP1B,ANXA9,RASGRP2,PLA2G4A,CD248,PCDHB3,CALN1,PCDHB6,SELP,S100Z,EFCAB6,PCDHB5,S100A8,MATN2,DNASE1L3,NOL3,ANXA1,HPGDS,HRC,STAB2,RGN,SNCA,SLC25A25,CIB2,EFEMP1,PCDHA5,ENPP1,KCNIP4,EGFL7,PCDHA10,PCDHB2,THBS3,PCDHB4,SYT9,PROS1,RASGRP3,CAPSL,DCHS2,FKBP10,VWCE,DUOX1,S100A16,CDH2,FBLN2,CUBN,DLL1,PRRG3,PCDHB13,TNNC1,EFHB,PCDH12,CIB3,PADI1,TENM2,APCS,RASGRP4,PCDHB18P,CDH20,CDH12,KCNIP3,PCP4,MYL9,CRTAC1,PSPH,CDH19,CABP5,MMRN1,PCDH9,NRXN1,KCNIP1,PLA2G12B,SHH,DLK2,CDH6,EFCC1,NID1,PCDH1,PVALB,EML1,ADGRL3,SNCB,MYL2,AIF1L,CDHR5,UNC13C,CDH23,CAPS,RPH3A,MATN1,CDHR2,FBLN1,PCDH10,EHD3,PCLO,CALML6,PCDH17,CPS1,GUCA1C,RCN3,NOTCH2,FKBP9,CAPN11,SGCA,IHH,CALM1,SLC8A1,LTBP3,GRIN1,TLL1,CETN1,MEGF6,DST,SYT11,F2,CABP2,CALB2,SLC25A23,CABP1,CCBE1,DGKB,FLG2,CAPN9,PCDH18,S100A4,TBC1D9B,CDHR3,CRELD1,SYT13,TRPM4,S100A1,HPCAL4,CDH22,S100G,DLL4,FAT4,NUCB2,CRB1,PLCB4,CDH10,FSTL4,SCIN,ADGRL4,HABP2,CDH18,TPM4,EGFLAM,SMOC2,MYL1,UNC13B,PCDHA2,NELL2,CHP2,FBLN5,PCDHB7,KCNIP2,CRP,CDH8,SRR,PCDHB12,MICU3,ADAMTS13,TNNT2,PLA2G5
catalytic activity acting on dna	5.85e-09	2.63	178	EXO1,GINS2,POLQ,DSCC1,RAD51,RFC3,GEN1,ERCC6L,POLE2,RUVBL1,MCM4,RFC4,NEIL3,POLA1,CDC45,POLE,TOP2A,ISG20,MCM6,DNA2,RAD54L,DCLRE1B,DCLRE1A,MCM5,ALKBH1,MCM3,FEN1,RECQL4,CHRAC1,CHTF18,MCM7,DNMT1,RAD51C,CHD1L,POLG2,PIF1,DFFB,MCM8,MGME1,PCNA,POLA2,THAP10,LIG1,POLE4,UNG,SUPV3L1,DHX9,TERF2,DHX36,DNMT3B,ERCC3,POLD1,EXO5,CHD8,ALKBH2,FAN1,MCM9,METTL4,MBD4,MRE11,CHD7,G3BP1,POLE3,NBN,RECQL,GINS1,ZRANB3,RAD1,EXOG,TEP1,POLD3,APEX1,RAD54L2,APTX,BRIP1,POLH,ERI2,DCLRE1C,RFC2,RAG1,DNASE1L1,SETX,TDG,TOP1,EME1,MUTYH,PTGES3,TWNK,RFC5,CHTF8,XRCC6,ATRX,TDP1,DNMT3A,SMUG1,SLX4,APEX2,GINS4,DDX3X
catalytic activity acting on rna	5.85e-09	2.39	327	EXO1,PRIM1,POLR2H,PRIM2,AARS1,QTRT2,EXOSC10,AGO2,WARS1,EXOSC2,DHX33,ISG20,EXOSC9,IFIH1,METTL3,ALKBH1,FEN1,TARBP1,DHX16,POP1,TSEN34,CPSF3,HENMT1,PIF1,NSUN3,DDX60,TRMT6,POLR2D,RNASEH2A,RNASEH1,ISG20L2,DHX35,POLR3C,ERI1,DBR1,DDX39A,XRN1,SUPV3L1,DHX9,POLR3K,DDX27,DHX36,FTSJ3,TDRD9,DDX23,DDX58,DDX20,NSUN2,TARS1,CMTR1,TGS1,EARS2,KARS1,WDR4,MRM2,MED20,XRN2,PNPT1,PUS1,FTSJ1,DUS4L,MARS2,LCMT2,DROSHA,HARS2,PRORSD1P,G3BP1,MRPL58,DHX15,PARN,ALKBH5,IARS1,PNLDC1,TFB2M,PPP1R8,RPP25,AGO3,YARS1,POLR3A,CNOT7,DHX40,IARS2,DDX60L,EXOG,RPP30,TRMT112,DHX8,PUS10,APEX1,BRIP1,THUMPD2,LACTB2,RPP40,BUD23,JMJD6,ERI2,DTD1,RCL1,EXOSC5,DDX28,POLR1C,POLR2K,EIF4A3,ANGEL2,SND1,ERI3,POLR2B,POP4,DIS3,TOE1,ANGEL1,FBL,TRMT2B,DDX31,CNOT6,NARS2,DDX21,TRMT5,QTRT1,EPRS1,TRMT1,TUT4,PAN2,DHX38,DCP2,EMG1,MEPCE,TRMT11,RBMX2,GARS1,SKIV2L,CNOT8,POLR2G,LRRC47,POLR3F,GATC,SAMHD1,DDX18,DDX17,HELZ2,DDX46,YARS2,DDX3X,FANCM,TSEN54,ZNRD1,TSN,POLR2F,DCPS,DDX54,DDX5,TRMT61B,LARS1,SNRNP200,AQR,WARS2,MTFMT,TRMT1L,POP7,ERN1,CD3EAP,DDX52,EXOSC4,TRIT1,RIDA,DARS1,RNASEH2B
catalytic complex	5.85e-09	2.25	1182	CDK2,PRIM1,MRGBP,POLR2H,CKS1B,PRIM2,UBE2C,CCNB2,BRCA1,POLE2,SAE1,PHC3,WDR5B,RBM15,RUVBL1,ACTL6A,RFC4,ENO2,SKP2,EXOSC10,AGO2,POLA1,PHF19,TAF4,MED30,PIK3R3,TRIM37,EXOSC2,CACYBP,POLE,CDK4,PRPS1,DNA2,NOLC1,NVL,TAF5L,CCNT1,EXOSC9,TBL1XR1,DERL1,RRM2,CCNE1,POGZ,METTL3,TAF5,OTULIN,EXOSC8,CCNE2,CREBBP,TPR,PSMD2,CKS2,MCM3,ANAPC5,GNB1,RPRD1B,ATAD5,EZH2,CHRAC1,CCNA2,KLHL24,DCUN1D2,ALYREF,MNAT1,PIK3R4,GNGT1,ACTR5,SUZ12,MSL2,CASP8,GTF2E1,PHF12,DCAF7,POP1,RAD51C,BARD1,YEATS4,ZNFX1,RRM1,SDHA,BAZ1A,ASB2,CDK1,CCNF,TSEN34,SS18L1,POLG2,MTF2,RPN1,ATG3,CDKN1A,TRMT6,PDSS1,BRD9,POLR2D,PCNA,PIK3CD,CBX5,SNRPG,CYBB,DHX35,POLR3C,EID3,GNG5,CDC20,PSMB2,ZNF541,RBBP7,SINHCAF,UBE2I,MED10,RAD23A,BRD8,KANSL3,MTA1,POLA2,JADE3,SIN3A,PAXIP1,UBE2L6,NCOR2,LSM2,KANSL2,POLE4,EN2,PSMA4,GLMN,PIGU,SUPV3L1,EP400,DHX9,POLR3K,RNF168,NCOA6,UBAP2L,PSMB4,PCGF6,MCCC1,PSMA5,SOCS4,SETD1B,PSMB1,PLOD1,EFTUD2,PIAS4,TAF7L,WDR34,PSMC1,P4HA1,DDX23,CBX2,RBBP5,MSL1,ERCC3,POLD1,ASH2L,CLP1,ARMC8,CHD8,FOXRED1,GNA13,MARCHF6,HNRNPM,GPR37,ACTB,SOCS1,CDC23,PSMA1,WDR4,HMGXB4,RBM22,SNRNP40,RBBP4,LAS1L,MED20,TADA2A,GCLM,ZFAND2A,SNRPB,WDR77,NAA50,RAD18,HNRNPF,PNPT1,KRTCAP2,ENC1,SAP130,BRCC3,PHKG2,GATAD2A,DDB2,GNA12,CHML,GTF2H4,KMT2D,ANAPC11,TEX10,WDR5,JADE2,FBXL12,RNF7,TAF2,UBE2S,SNX4,PSMB5,DROSHA,ARID1A,KBTBD8,PIGK,KLHL15,POLE3,ENO3,PHC2,DYRK2,ULK1,ELMSAN1,DCAF13,NSMCE2,FBXO45,HDAC2,TMEM258,SOCS7,SNRPD1,GPATCH1,PPIL1,DERL2,BRPF3,PIK3CA,CDK12,SNW1,PPP4C,HDAC1,RB1,COP1,RPP25,AGO3,DCUN1D1,KMT2B,ZCCHC8,SRRM1,DPM1,POLR3A,DNTTIP1,PSMB7,IKBKB,GLDC,ZYG11A,UBE2J2,SNRPA1,PIGT,UBA2,MAD2L2,ENO1,RNF2,AGL,RIPK1,SF3B2,HTRA2,PSMB3,RPP30,CDK14,SF3A3,EXOSC6,KHSRP,NDUFA9,TADA1,POLD3,MSL3,KLHL2,KLHL12,NDUFAB1,PPP2R2D,PDK1,U2AF1,DHX8,FBXO4,PSMD14,PIK3CB,SUPT7L,CAND1,HNRNPR,DHTKD1,UBE2A,ERH,PSMB8,PSMB10,PRPF31,HCFC1,RPP40,RBCK1,PRPF19,PRPS2,ORMDL1,SNRPB2,USP14,CCNJ,MAT2A,NDUFB9,DCUN1D5,IER5,EXOSC5,FBXO6,GTF2A1,KEAP1,MED7,POLR1C,GNA11,DCAF1,BCOR,POLR2K,SRSF1,HNRNPU,CUL2,RFC1,RAG1,EIF4A3,PSMD7,PSME1,PSMC4,SDHB,DCAF12,GTF2A2,CBX4,PSMD10,DMAP1,ANAPC13,SMC6,BRMS1,POLR2B,BUD31,MED12,FNTA,POP4,YY1,SOCS3,DIS3,PFKP,PRMT5,MGA,NCK1,LSM3,KCTD5,SRRM2,HNRNPK,NAA10,PSMD4,ZNF217,TSPAN17,VCP,PIGC,PSMD3,P3H4,KDM6A,ZNF827,RALY,ANP32E,CHUK,PSME4,EME1,YY1AP1,AUP1,MED1,CCNK,TAF4B,PSMC2,FADD,ZFC3H1,NDUFA7,PPP1R15B,CDC5L,NDUFS2,BICRA,NDUFA12,RNF19B,DPF2,GPD2,EN1,HNRNPA2B1,FBXO21,DYNC1H1,USP22,DR1,SF3A1,PIK3CG,UBQLN1,SNRPF,PDHA1,ACVR1C,UCHL5,AFG3L2,FBXO7,IFIT5,UBE3C,MEN1,RBM8A,DHX38,PPP4R1,DPY30,TRAF2,DCAF6,PPIL3,CUL9,NAA25,DCAF8,E2F6,RRM2B,MEAF6,MAP3K5,CASP10,PRKAA1,OGT,KDM5A,GTF2E2,PSMF1,SAP30L,PSMC3,TCEA1,PPP2R5E,MECOM,PIGS,GTPBP1,POLR2G,VIRMA,MAT2B,DNAL1,POLR3F,SMARCA5,USP33,SF3A2,CHM,SF3B1,RNF144B,CCND3,EP300,SEC11A,KANSL1,CDK9,SMC5,DYNC1LI2,KAT6A,BCCIP,CBLL1,NFRKB,RIOK1,UBE2V2,UQCRB,SLX4,TAF11,PPP1CA,SMCR8,PSMA3,NOX4,RNF19A,TGFBR1,SMURF2,NSMCE1,MAP3K7,PPP1R10,ENY2,PEF1,PRMT1,PRKAB2,TSEN54,CDK5,ATG12,PSMB6,UBR2,ANKIB1,EPOP,CUL4A,TBPL1,ZNRD1,DCAF16,NDUFB4,UBQLN4,PDHX,CLNS1A,POLR2F,SNRPE,NSMCE4A,CXXC1,ACTR6,TNFAIP1,BCAS2,NAA35,FBH1,FBXO25,CDC73,NCOR1,PPIE,KLHL22,RSF1,DDX5,DYNLT1,KDM4A,PPP2R3A,DCAF15,TRMT61B,DDB1,SNRPD2,ACVR1B,PLRG1,RAD23B,DERL3,SNRNP200,TRIM21,SGF29,AQR,SMARCA4,PSMD8,SNRPD3,IGF1R,TFPT,STT3A,GMPR,MPHOSPH6,RPAP2,RABGGTB,WTAP,IKBKG,DPM2,LSM7,POP7,ERN1,SAP30,PRKAB1,NEDD4,CWC25,CD3EAP,DYNLRB1,PKM,MAGOHB,PSMD5,EXOSC4,SUMO1,UQCRC1,KLHL42,BRMS1L,CRNKL1,PPP1CC,SEC11C,ELOB,UBE2L3,ORMDL3,ZNF451,ING2,PRDM10,DAD1,PIGA,SPTSSA,GNAQ,FARSA,MAGT1,PSMD9,PRPF6,KDM5B,DEPDC5,ARIH1,NRBF2,WDR74,MORF4L1,UBE2D1,TFIP11
catalytic step 2 spliceosome	5.85e-09	2.45	73	ALYREF,SNRPG,DHX35,LSM2,EFTUD2,DDX23,HNRNPM,RBM22,SNRNP40,SNRPB,HNRNPF,SNRPD1,GPATCH1,PPIL1,SNW1,ZCCHC8,SRRM1,SNRPA1,SF3B2,SF3A3,U2AF1,DHX8,HNRNPR,PRPF19,SNRPB2,SRSF1,HNRNPU,EIF4A3,BUD31,LSM3,SRRM2,HNRNPK,RALY,CDC5L,HNRNPA2B1,SF3A1,SNRPF,RBM8A,DHX38,PPIL3,SF3A2,SF3B1,SNRPE,BCAS2,PPIE,DDX5,SNRPD2,PLRG1,SNRNP200,AQR,SNRPD3,LSM7,MAGOHB,CRNKL1,PRPF6,TFIP11,PRPF4B
cation channel activity	5.85e-09	-2.06	283	ITPR2,KCNK7,ANO10,PKD1L2,KCNK10,CNGA1,CACHD1,SCN4B,KCNJ15,SCNN1B,CACNA2D3,GAS6,AQP1,ABCC8,PDE2A,ATP5F1D,CACNA1G,SLC24A3,SCN2B,TRPM6,CNR1,ABCC9,PIEZO2,TRPC6,GRIA1,ANXA9,TPCN1,GRIA2,KCNAB1,GRIA3,CACNB1,KCNMA1,KCNIP4,GPM6A,TRPM3,SCNN1G,HTR3B,KCNE4,KCNK6,P2RX1,KCNMB2,CACNA1C,KCNJ2,SCN3B,KCNK2,KCNIP3,KCNJ5,KCNJ8,ASIC2,GRIK1,TRPC4,KCNK3,KCNIP1,GRIK2,TSPOAP1,TRPA1,JPH3,TRPM1,LRRC38,CACNA1H,CACNA2D4,SLC24A4,TMEM175,KCNB1,GRIA4,CACNG6,SCN7A,KCNH7,GRIK3,KCNJ3,CACNB3,CHRND,KCNN3,CHRNA6,KCNG4,KCNH1,TMEM63C,KCNV1,GRIN1,CACNA1D,KCNT2,TRPC1,KCNS2,KCNQ2,KCNE2,KCNH3,KCNA2,CACNA1S,KCND3,CCT8L2,GRIK5,KCNA4,SNAP25,TRPM4,KCNQ4,GRIN2A,TRPV5,HTR3A,CHRNA1,NALCN,CHRNA9,KCNA1,TRPM7,TMEM37,TRPC5,CACNB4,KCNA5,CACNA2D2,CHRNG,P2RX3,KCNIP2,SCNN1D,KCNK16,TRPV6,CNGA3,CHRNB2,MCOLN3,CHRNA4,KCND2,CACNG4,KCNG1,PKD1L1,TRPC7,ASIC4,CACNG5,KCNV2,ATP5MG,HCN2,HVCN1,SCN1B,KCNA3,KCNN1,KCNK15,KCNC1,SCN5A,CACNG3,HCN1,TRPM8,SCN2A,P2RX2
cellular macromolecule catabolic process	5.85e-09	1.75	980	KIF14,FBXO5,CDK2,TENT4A,UBE2C,MMP12,USP18,CHEK2,ISG15,FOXRED2,NEDD4L,LAMP3,RNPS1,SKP2,AURKA,EXOSC10,AGO2,OAS2,PATL1,EXOSC2,FOXF2,UHRF1,ISG20,USP42,DNA2,USP1,PBK,EXOSC9,TBL1XR1,CTSZ,DERL1,SMG7,IGF2BP3,AEN,METTL3,EXOSC8,PSMD2,PATL2,ANAPC5,FEN1,LAPTM4B,APOE,UBE2Z,AURKB,CASP8,BUB3,POP1,CDK1,CCNF,MAPK9,TNFRSF1B,DFFB,HSP90AA1,CTSL,SNX5,MAD2L1,FASTKD3,POLR2D,PTTG1,RNF34,UPF3B,RNASEH2A,MTOR,RNASEH1,TRIB3,ERI1,USP31,CDC20,PSMB2,DTX3L,PPT1,KPNA1,UBE2I,RAD23A,MTA1,TOR1A,UBE2L6,USP12,PCSK9,LSM2,PSMA4,XRN1,GLMN,IGF2BP2,SUPV3L1,SMG8,DHX9,RNF168,HMGB2,PSMB4,EFNA1,PSMA5,SOCS4,PSMB1,DHX36,SET,FXR1,SENP1,PSMC1,NCBP1,NCBP2,CTSS,ARMC8,EDEM2,UCHL1,GSK3B,SAMD4A,MARCHF6,HNRNPM,CDC23,PSMA1,MEX3D,USP9X,AP2M1,USP21,KPNB1,ZFAND2A,CCAR2,REXO4,RNF111,XRN2,PNPT1,LIN28B,ENC1,TRIB2,CBL,GNA12,FUS,ANAPC11,FBXL12,RNF7,XPO1,UBE2S,OSBPL7,USP24,PSMB5,YBX1,DROSHA,GTPBP2,MAGEF1,KLHL15,SCO1,LSM4,PARN,HERC2,ALKBH5,RAB7A,USP37,HNRNPD,SMURF1,FBXO45,SQSTM1,DENND3,RNF213,MDM2,DERL2,PNLDC1,CDK5RAP3,RNF4,TRIM32,ZHX2,CNOT9,MRTO4,ZC3H12D,COP1,PPP1R8,AGO3,CTSC,FAF2,ZCCHC8,CNOT7,UBQLN2,PSMB7,ELAVL1,PUM1,UBE2J2,NUB1,YTHDF2,DEDD2,PUM2,NRDC,XBP1,RNF130,ATP13A2,IFI27,FASTKD1,PTK2,TNPO1,EXOG,RIPK1,EDEM1,BFAR,NFE2L1,HTRA2,RYBP,PSMB3,RNF121,EXOSC6,FAF1,KHSRP,ELOC,UFD1,USP13,TRIM9,PCYOX1L,GZMA,FBXO4,PSMD14,APEX1,UGGT1,FBXO22,HNRNPR,UBE2A,PSMB8,PARK7,TARDBP,PABPC4,LSM5,PSMB10,RBCK1,PRPF19,TCIRG1,USP14,TRIR,BCAP31,FAP,EXOSC5,FBXO6,PLK1,KEAP1,PTTG1IP,MAN1B1,HNRNPU,CUL2,FOXL2,EIF4A3,PSMD7,PSME1,PSMC4,CSNK1D,ANGEL2,PTK2B,DNASE1L1,TNFAIP3,PSMD10,SND1,USP30,ERI3,USP32,RBM10,DIS3,USP11,LSM3,LONP1,KCTD5,PSMD4,VCP,MAPKAPK2,PSMD3,EDC4,PSME4,UBXN2B,LRPPRC,AUP1,PSMC2,CNOT6,SCGB1A1,RNF115,PAIP1,PNRC2,DFFA,ANP32A,CASP3,TBRG4,RNF19B,SGTB,TUT4,UPF2,COPS3,FBXO21,PSEN1,USP22,SCPEP1,VPS37C,NHLRC3,PAN2,RBM38,AKT1,UBQLN1,LARP1,CHMP4B,UCHL5,FBXO7,ATRAID,UBE3C,RBM8A,DCP2,SMG5,CUL9,LSM6,OGT,LDLR,PSMF1,RLIM,PSMC3,HSP90AB1,EIF4G1,SKIV2L,RPL8,GTPBP1,CNOT8,MTM1,POLR2G,SNF8,USP33,AP2S1,RNF144B,ZC3HAV1,SIAH1,GPX1,SDF2L1,STK31,USP3,BAX,UBE2V2,HELZ2,PSMA3,CHFR,RNF19A,AIFM1,SMURF2,NPLOC4,CTSA,PSMB6,UBR2,ANKIB1,CUL4A,RNFT1,UBQLN4,PLAA,TNFAIP1,ARNTL,TMUB2,SLIRP,SEC61B,TMEM67,FBH1,DCPS,KLHL22,CD2AP,DDX5,DNAJC10,RNF13,DDB1,E2F1,PMAIP1,RAD23B,DERL3,SDCBP,PSMD8,ANKZF1,CACUL1,TAF15,LSM7,ERN1,NEDD4,GSPT1,PSME3IP1,PRR5L,MAGOHB,PSMD5,MANBA,SSB,EXOSC4,ROCK2,SELENOS,SUMO1,SECISBP2,KLHL42,CNOT3,BAG5
