pathway	padj	NES	size	leadingEdge
adenyl nucleotide binding	1.48e-08	1.63	1274	MYO10,STK3,MYO1B,KIF14,MET,UBE2C,CCT5,ATP1A1,ACLY,TDG,MYO5A,ABCF1,LIMK1,DHX36,MAPKAPK5,PTK2,RUVBL1,CCT3,HSPA5,DHX33,KIF2C,TRIP13,SRPK2,RIOK1,PTK7,G3BP1,DDX55,DNAJA1,UBE2Z,RAD54L,TRIO,OAS3,ATAD2,MELK,SCYL1,NEK2,CDC7,OASL,DDX60,TOR1A,PRKDC,CDK1,MCM4,UBE2W,GMPS,EIF2AK2,DNAH17,PC,UBA6,EIF2AK1,CTPS1,TGFBR1,MKI67,CENPE,KIF18A,WARS1,BMPR1B,MCM3,DYRK3,EPHB4,MAP3K13,KIF20A,HNRNPU,SEPHS2,TTK,DNA2,PLK4,MASTL,YES1,TK1,PLK1,CHEK1,HSPH1,AURKB,MYH9,MYH10,TWNK,SMC6,UBE2Q2,PRPS2,DARS2,PIP4K2C,ERCC6L,TLK1,KIF13A,CDK2,AARS1,CCT4,DDX21,ORC1,PSMC2,PIK3R4,MSH6,ATR,DDX31,CHUK,UBE2T,MCM7,ABCE1,ABCF2,CAD,PIK3CA,PKM,RIPK2,CDK6,MCM2,ACVR1,HLTF,CDC6,CSNK2A2,CGAS,KIF3C,ACBD6,DHX58,PGK1,BCKDK,MCM6,MARK1,TOP2A,FIGNL1,DDX20,ERCC3,BRIP1,ABCC4,BUB1,ABCF3,CDK18,BAZ1B,ABCA1,RECQL,BLM,DGUOK,MYO3B,VCP,EHD2,DYNC1H1,EHD4,YARS1,DHX8,BVES,HSPD1,KIFC1,CASK,ORC5,POPDC3,DHX16,KIF3B,IFIH1,SKIV2L,EIF4A3,RPS6KC1,HELLS,DDX18,TOR1B,BBS12,PYGL,MAPKAPK2,RAD51B,ATP2B1,RAD51,ITPK1,KIF5B,PAICS,SMC2,CCT7,KIF18B,NTPCR,CDK5,ABCC1,ADCY3,ABL2,RRM1,PKMYT1,PAK1,RIMKLB,NLRP7,AKT1,PSMC4,NUAK1,POLQ,MORC2,RFC2,LONP1,MARK3,FARSA,DYNC1LI1,DHX37,CDK17,MST1R,KIF23,RPS6KA1,TRIT1,MSH2,UBE2O,STK38L,DDX60L,P2RX4,HK2,NUBPL,MCM8,CDK4,BAG2,CHORDC1,TTL,SPATA5,GSS,KIF20B,HASPIN,ILF2,KIF11,SLC22A4,LANCL2,PFKFB3,DNAH5,HSPA12A,IGF1R,DHX57,ATP13A2,AGK,FANCM,ACSL4,PBK,NEK7,PFN1,BMP2K,IARS1,DHX9,NOLC1,MAP3K11,MAPK6,TBK1,ATP2C1,UBE2H,UHMK1,GET3,SPHK1,EARS2,SUPV3L1,MCM5,NME7,DDX28,PPP5C,DDX10,TTF2,SRC,GARS1,KIF16B,PSMC3,SMC4,HK3,MAP4K3,HELZ2,NOL9,STK17A,PFKFB4,PIP5KL1,OAS2,BMPR1A,FLAD1,WRN,STK31,DHX15,KIF3A,GART,MTHFD1,FARS2,ATP2B4,CHTF18,DDX23,CHD1L,MTOR,GRK4,CLCN7,COASY,TRIB3,RYK,RPS6KA4,NVL,MAPK9,TAP2,EIF2B2,CHD1,ABCD1,PI4K2A,DHX34,SMC3,ZRANB3,ASCC3,TESK1,TARS1,DDX39A,WRNIP1,PAPOLA,PLK2,CLP1,DDX56,TTLL5,MAP3K2,DDX52,DNAJA3,KIF24,SGK1,MOV10,MAP3K7,DYNC2H1,MAST2,ABCA12,DQX1,PCCB,NAT10,ACACA,KATNA1,GTF2F2,MARK4,ABCG1,PAPOLG,DDX58,ABCA13,ATAD5,CCT2,KIFC3,SRXN1,MAP3K21,ACAD9,RFC5,BMPR2,SOAT1,ADK,MAP4K4,KIF22,NARS2,RFC1,ASNS,XRCC2,RUNX3,MIEF1,RAPGEF4,PHKG2,ERCC6,TARS3,TTLL7,LYN,CNNM2,PDGFRB,PANK4,KIF15,PFKP,AAK1,TRPM4,PIF1,UBE2I,TOR3A,GRPEL1,CSNK1A1,PNKP,KATNAL1,MYO19,RAD51C,XRCC3,HELZ,ABL1,SLC27A3,CCT8,EIF4G1,CDC42BPA,ABCC2,FPGS,RECQL4,STK32C,NAV2,RHOBTB3,PNPLA3,BAG3,UBE2D3,MOCS3,UBE2A,LIG4,VARS1,MAP3K20,LIMK2,SLFN5,TTBK2,UBE2L3,STK25,FARSB,NLK,SRPK1,NLRP3,VRK2,SIL1,IRAK1,PRKCI,NME4,LATS1,AXL,OAS1,IGHMBP2,HCK
atpase activity	1.48e-08	2.2	357	MYO10,MYO1B,KIF14,ABCF1,GINS1,DHX36,RUVBL1,HSPA5,DHX33,KIF2C,G3BP1,DDX55,RAD54L,ATAD2,DDX60,TOR1A,DSCC1,MCM4,DNAH17,CDC45,CENPE,KIF18A,MCM3,KIF20A,DNA2,PFN2,MYH9,MYH10,TWNK,ERCC6L,KIF13A,DDX21,PSMC2,MSH6,DDX31,MCM7,ABCE1,ABCF2,MCM2,HLTF,KIF3C,DHX58,MCM6,TOP2A,FIGNL1,DDX20,ERCC3,BRIP1,ABCC4,ABCF3,GINS4,ABCA1,MNAT1,RECQL,BLM,VCP,DYNC1H1,DHX8,HSPD1,KIFC1,DHX16,KIF3B,IFIH1,SKIV2L,EIF4A3,HELLS,DDX18,TOR1B,RAD51B,ATP2B1,RAD51,KIF5B,KIF18B,ACIN1,ABCC1,GINS2,PSMC4,POLQ,MORC2,RFC2,LONP1,DHX37,KIF23,MSH2,DDX60L,MCM8,SPATA5,KIF20B,KIF11,DNAH5,DHX57,ATP13A2,FANCM,DHX9,NBN,GET3,RFC3,SUPV3L1,MCM5,DDX28,DDX10,TTF2,KIF16B,PSMC3,HELZ2,WRN,DHX15,KIF3A,RNF213,CHTF18,DDX23,CHD1L,NVL,TAP2,CHD1,ABCD1,DHX34,ZRANB3,ASCC3,DDX39A,WRNIP1,DDX56,DDX52,KIF24,GTF2H3,MOV10,DYNC2H1,ATP6V1H,ABCA12,DQX1,KATNA1,GTF2F2,ABCG1,DDX58,ABCA13,ATAD5,KIFC3,SHOC1,RFC5,KIF22,RFC1,XRCC2,ERCC6,MRE11,KIF15,PIF1,TOR3A,KATNAL1,MYO19,RAD51C,XRCC3,HELZ,CCT8,ABCC2,RECQL4,NAV2,RHOBTB3
atpase activity coupled	1.48e-08	2.35	240	MYO10,MYO1B,KIF14,GINS1,DHX36,RUVBL1,HSPA5,DHX33,G3BP1,DDX55,RAD54L,DDX60,DSCC1,MCM4,DNAH17,CDC45,KIF18A,MCM3,DNA2,MYH9,MYH10,TWNK,ERCC6L,DDX21,PSMC2,MSH6,DDX31,MCM7,MCM2,HLTF,DHX58,MCM6,TOP2A,FIGNL1,DDX20,ERCC3,BRIP1,GINS4,MNAT1,RECQL,BLM,DYNC1H1,DHX8,DHX16,KIF3B,IFIH1,SKIV2L,EIF4A3,HELLS,DDX18,RAD51B,RAD51,KIF5B,KIF18B,GINS2,PSMC4,POLQ,RFC2,LONP1,DHX37,MSH2,DDX60L,MCM8,KIF20B,KIF11,DNAH5,DHX57,FANCM,DHX9,NBN,RFC3,SUPV3L1,MCM5,DDX28,DDX10,TTF2,KIF16B,HELZ2,WRN,DHX15,KIF3A,CHTF18,DDX23,CHD1L,CHD1,DHX34,ZRANB3,ASCC3,DDX39A,DDX56,DDX52,GTF2H3,MOV10,DYNC2H1,DQX1,KATNA1,GTF2F2,DDX58,ATAD5,KIFC3,RFC5,RFC1,XRCC2,ERCC6,MRE11,PIF1,KATNAL1,RAD51C,XRCC3,HELZ,CCT8,RECQL4,NAV2
catalytic activity acting on dna	1.48e-08	2.33	174	DNMT3B,TDG,GINS1,DHX36,RUVBL1,RAD1,G3BP1,POLE4,RAD54L,EXO1,DSCC1,MCM4,CDC45,MCM3,DNA2,DCLRE1A,DCLRE1B,PTGES3,TWNK,NEIL3,ERCC6L,MGME1,PCNA,POLE2,MCM7,APTX,MCM2,ERCC4,SMUG1,TOP3A,MCM6,TOP2A,POLA2,ERCC3,BRIP1,GINS4,ALKBH1,RECQL,BLM,CHRAC1,TATDN1,EME1,RAD51,RAG1,DNMT1,FEN1,TOP1MT,GINS2,RBBP8,POLQ,POLD3,RFC2,MCM8,TDP1,APEX2,POLE3,DHX9,NBN,RFC3,POLA1,SUPV3L1,MCM5,POLE,WRN,CHTF18,APEX1,CHD1L,ALKBH2,POLD1,CHD1,ZRANB3,ASCC3,METTL4,GEN1,DQX1,GTF2F2,UNG,RFC5,POLD2,PGBD5,MRE11,SLX4,DNASE2,PIF1,RAD51C,XRCC3,RECQL4,NAV2,LIG4,IGHMBP2,TOP3B,MUS81,RUVBL2,ERI2,THAP10,SMARCAD1,LIG1,DNMT3A,DDX1,EXO5,NTHL1,TEP1
catalytic activity acting on rna	1.48e-08	2.19	320	NSUN2,DHX36,RNASEH2A,USB1,EXOSC2,DHX33,G3BP1,DDX55,PARN,PTRH2,POLR2H,EXO1,DDX60,TRMT6,CD3EAP,LACTB2,WARS1,EXOSC4,QTRT2,DARS2,POLR2D,AARS1,DDX21,ISG20L2,DDX31,POP1,RIDA,DROSHA,PRIM2,POLR3D,DHX58,DDX20,BRIP1,METTL1,PRIM1,XRN2,AGO3,ALKBH1,HENMT1,DBR1,PNPT1,YARS1,NSUN4,DHX8,DHX16,TRMT12,IFIH1,SKIV2L,EIF4A3,MED20,DDX18,POP7,POLR1A,EMG1,TRMT61B,POLR1C,WDR4,FEN1,ISY1,NOCT,POLR3F,MRM2,FARSA,DHX37,MRPL58,TRMT10C,TGS1,TRIT1,DDX60L,POLR2C,TYW5,NOP2,PTRH1,FTSJ3,RNASE2,JMJD6,CMTR1,RCL1,TFB2M,POLR3A,DHX57,FANCM,RNMT,TSN,IARS1,DHX9,MTFMT,RBMX2,RNASEH1,POLR2K,EARS2,SUPV3L1,DDX28,DDX10,GARS1,FTSJ1,HELZ2,THUMPD2,DUS4L,DHX15,POLR3G,FARS2,APEX1,DDX23,RPP40,EXOSC10,CPSF3,DHX34,METTL8,NSUN3,TRMT112,DIS3,TARS1,DDX39A,EXOSC5,ERI3,DDX56,ANGEL1,DDX52,MOV10,SND1,DDX58,EXOSC9,POLR3H,ERI1
catalytic complex	1.48e-08	1.73	1134	PLOD1,PSMB2,PSME4,UBE2C,SUPT3H,MED30,DCUN1D5,RPN1,YEATS2,RUVBL1,PSMB4,EXOSC2,SNRPB,P4HA1,RIOK1,PSMB5,FADD,PPP4R4,GNA12,TAF5L,SNRNP40,POLE4,RBCK1,CDC20,POLR2H,PSMA4,PSMA1,CDK1,TRMT6,DNAH17,CCNA1,CHML,CD3EAP,TGFBR1,HMGXB4,CCNE1,CKS2,MCM3,PSMD2,MED10,DERL1,WDR74,CCNB1,HNRNPU,DNA2,PSMB7,SUPT7L,MRGBP,SINHCAF,ACTL6A,DTL,PSMD9,CCNB2,SMC6,EXOSC4,IRS1,PRPS2,FBXO6,PRPF31,DPM1,PSMD12,UBE2V2,PCNA,PSMD14,PSMA2,POLR2D,ANKIB1,CDK2,FBXL4,PSMC2,PIK3R4,CCNE2,TAF2,PSME3,POP1,POLE2,CHUK,NOX4,KLHL42,PPP2R2D,MAGOHB,UBAP2L,PIK3CA,PKM,SNRPF,PSMB3,DROSHA,PRIM2,CDK6,SNRPD1,ACVR1,ERCC4,RRM2,BRCA1,MAD2L2,ATG5,PSMD11,PPIL1,POLR3D,MORF4L2,BCKDK,GTF2E1,NRIP1,DCAF17,POLA2,ERCC3,ENY2,RHBDD2,SMARCD1,RNF19B,PRIM1,PSMD3,USP14,BRMS1,UBE2L6,AGO3,MNAT1,ANAPC13,DDOST,OTULIN,PNPT1,VIRMA,VCP,FBXO39,DYNC1H1,GNAI1,DHX8,CUL1,NCF2,CCNA2,EIF4A3,SPTSSA,CHRAC1,MED20,POP7,POLR1A,MED1,TAF5,ENO2,SNRPA1,EME1,TNFAIP1,ZNF827,SKP2,HNRNPR,PHC2,TRIM37,TBL1XR1,TRMT61B,RAG1,POLR1C,WDR4,NEDD4,CDK5,GLDC,ERCC8,BAZ1A,RRM1,ANAPC10,SPSB1,ISY1,PSMC4,AEBP2,TEX10,PSMA5,POLR3F,PAXIP1,POLD3,CDC73,CKS1B,SNRPG,FARSA,DYNC1LI1,BCCIP,TRMT10C,TUSC3,POLR2C,CDK4,ERH,MPHOSPH6,SOCS3,GATAD2A,SNRPD2,SOCS4,ZDHHC9,HDAC2,RNF2,RBBP5,POLR3A,DNAH5,IGF1R,SHARPIN,LZTR1,PRKAB2,RNMT,HTRA2,PCGF1,POLE3,ENC1,DHX9,NOLC1,NAA50,KLHL7,RALY,CCNK,DCAF4,POLR2K,IFIT5,POLA1,NCOR2,SUPV3L1,NSMCE2,HCFC1,SMURF2,SNRPE,PIGT,EFTUD2,SF3B2,KCTD5,PSMD8,NOP10,RING1,PIK3R3,PSMC3,ACTR5,PEF1,POLE,PHF19,UBQLN1,NRBF2,P3H4,TAF6,CDC5L,WTAP,TSPAN17,RNF7,RRM2B,RAD23A,PSMD7,POLR3G,RPAP2,PPP2R5B,PIGK,PSMA3,PSMD13,MBIP,DDX23,HNRNPF,BRMS1L,NCOA6,KDM5B,PSMB1,KHSRP,PRPF19,RB1CC1,VAC14,POLD1,KLHL21,SIN3B,GTF2E2,TFIP11,BUD31,RPP40,COP1,NVL,DPM2,PSMB8,PRMT5,NUS1,EXOSC10,TRAF7,PSMD5,GNGT1,ATG13,TBP,SNW1,DIS3,C1D,ZNHIT1,EXOSC5,NDUFB5,CDKN1A,NDUFB9,DPY30,STT3A,PPP4C,RBM15,PHF12,TARBP2,CLP1,PPP2R5E,JADE2,GTF2H3,MAP3K7,SOCS5,DYNC2H1,KDM4D,RAD18,RNF168,CCNJL,GTF2F2,DPF1,SMARCB1,GCLM,FBXO2,EN1,TRIM21,ATAD5,EXOSC9,HNRNPM,CHM,ACTR6,SART1,POLR3H,SOCS1,KANSL2,KDM5A,CUL2,PPP1R10,MCRS1,GAR1,CACYBP,SYNCRIP,RFC1,POLD2,ANP32E,ANAPC11,PIGA,EXOSC1,ADRM1,PAGR1,PSMD4,DDB1,PHKG2,ADAT2,SNRPD3,DR1,HDAC1,PSMB6,TWISTNB,PSMB10,SLX4,AUP1,NDUFAB1,HDAC8,TRAF2,PFKP,PCGF6,TAF12,UBE2I
cellular response to dna damage stimulus	1.48e-08	2.17	724	PSME4,KDM1A,FOXM1,SNAI2,SUPT16H,IFI16,TDG,RNASEH2A,RAD51AP1,CYREN,RUVBL1,TRIP13,CDCA5,ISG15,RAD1,ASCC1,TIMELESS,DNAJA1,RAD54L,DTX3L,SSRP1,POLR2H,BAK1,CDC7,EXO1,UFD1,PRKDC,CDK1,MCM4,UBE2W,FANCG,CDC45,BRCA2,UBA6,E2F7,ZMPSTE24,FANCI,MCM3,DYRK3,WDR70,CCNB1,DNA2,DCLRE1A,PALB2,DDIAS,DCLRE1B,MASTL,PLK1,SLF1,CHEK1,ACTL6A,DTL,DONSON,SMC6,FXR1,ZDHHC16,FBXO6,NEIL3,ACKR3,MGME1,AUNIP,MCM10,TLK1,RAD21,UBE2V2,PCNA,PSMD14,POLR2D,CDK2,FBXO5,PARP9,MSH6,ATR,POLE2,UBE2T,MCM7,THOC5,APTX,USP10,SMYD2,MCM2,ERCC4,SFR1,BRCA1,PMAIP1,MAD2L2,SMUG1,CGAS,MORF4L2,WDR76,MCM6,TOP2A,FIGNL1,NONO,ERCC3,BRIP1,NABP2,CHAF1A,CBX3,TNFRSF1A,GINS4,UBE2L6,MDC1,BAZ1B,H2AX,CDC25C,MNAT1,ALKBH1,RECQL,CLSPN,BLM,CD44,COPS7B,VCP,NDRG1,TOPBP1,PARP1,NUDT1,RFWD3,SPIRE1,RMI1,WDHD1,TP63,CEP164,EME1,MAPKAPK2,RAD51B,RAD51,ESCO2,TIPIN,SOX4,REC8,DEK,WDR4,NEDD4,FEN1,TIGAR,ERCC8,ISY1,UBR5,GINS2,PAK1,RBBP8,AKT1,NUAK1,POLQ,PAXIP1,POLD3,MORC2,RFC2,SUV39H1,BCCIP,MSH2,CHAF1B,DDIT4,POLR2C,COPS5,MCM8,TNKS1BP1,CNOT9,COPS8,SPRTN,RBBP5,UHRF1,TDP1,FANCM,NPLOC4,APEX2,TP53BP1,HTRA2,POLE3,PARP2,DHX9,PTTG1,CCNK,NBN,RPA3,POLR2K,RFC3,POLA1,MCM5,NSMCE2,INTS7,USP28,PPP5C,RADX,GNL1,USP45,RIF1,ACTR5,FANCE,GPS1,IRF7,PCLAF,PML,POLE,AEN,AP5S1,FANCL,USP1,WRN,AATF,TMEM161A,FANCC,CDC5L,RRM2B,RAD23A,MAGEF1,SFN,APEX1,HUS1,CHD1L,ALKBH2,NCOA6,PRPF19,POLD1,FAM168A,TFIP11,FNIP2,FANCB,BRAT1,E2F1,SMC3,MYC,ZRANB3,ASCC3,PHLDA3,PARK7,SNW1,ETAA1,IRF3,CDKN1A,PPP4C,TFDP1,FANCA,WRNIP1,PLK2,TFDP2,TICRR,CTLA4,ACD,GEN1,WRAP53,SNAI1,GTF2H3,BCL2A1,SGK1,TRIM28,FAAP24,MRPS11,KDM4D,RAD18,RNF168,GADD45A,SKIL,UNG,CETN2,H4C8,ATAD5,FUS,CNOT3,TTC5,RMI2,ASF1A,RFC5,TRIM32,REXO4,PPP1R10,MCRS1,KIF22,RFC1,POLD2,PTTG1IP,XRCC2,SPRED1,CBL,PAGR1,DDB1,SPRED2,ERCC6
cell cycle	1.48e-08	2.05	1520	PSMB2,KIF14,SLC16A1,HERC5,NDE1,PSME4,RCC2,UBE2C,FOXM1,CEP55,ECT2,GTPBP4,CYP27B1,ODF2,NSUN2,NTMT1,GINS1,MPLKIP,HJURP,ZNRD2,TPX2,RUVBL1,BORA,PSMB4,CDCA2,KIF2C,STIL,TRIP13,DSN1,SRPK2,CKAP5,PSMB5,CDCA5,STAT3,BIRC5,RAD1,TIMELESS,NCAPG2,POLE4,ADAM17,CDCA8,RAD54L,CDC25B,STMN1,MELK,CDC20,ANLN,NEK2,BAK1,CDC7,EXO1,INHBA,SEPTIN11,CDKN3,CXCL8,DSCC1,PSMA4,PSMA1,PRKDC,CDK1,ZWINT,MCM4,OIP5,NUP37,CCNA1,CDC45,BRCA2,PTGS2,TGFBR1,E2F7,ZMPSTE24,RTKN,MKI67,CENPE,KIF18A,CCNE1,CKS2,CCSAP,FANCI,MCM3,PSMD2,USP39,DYRK3,IL1B,DBF4,KIF20A,CCNB1,HNRNPU,RCBTB1,INTS13,TTK,DNA2,DCLRE1A,PSMB7,PLK4,DDIAS,RRAGC,DCLRE1B,MASTL,SKA1,PTPRK,MZT1,PLK1,SLF1,SENP2,CHEK1,DTL,AURKB,PSMD9,DONSON,MYH9,MYH10,CCNB2,REEP3,CENPF,FBXO6,CKAP2,NUF2,ERCC6L,SIAH1,NDC80,AUNIP,MCM10,TLK1,PSMD12,RAD21,PCNA,MISP,PSMD14,PSMA2,KIF13A,CDK2,FBXO5,DLGAP5,ORC1,PSMC2,PIK3R4,CCNE2,TAF2,PSME3,MSH6,ATR,BIRC2,POLE2,ANKLE2,NSFL1C,MCM7,THOC5,IPO7,NUDT15,KLHL42,PPP2R2D,RHOB,TUBB,TNFAIP3,RPTOR,NEDD1,CENPQ,ZWILCH,ITGB1,RIDA,PSMB3,PRIM2,KNSTRN,CDK6,CENPK,MCM2,ACVR1,ERCC4,RRM2,BRCA1,MAD2L2,AFAP1L2,CDC6,PSMD11,CSNK2A2,TOP3A,MIS18A,POC1A,CALR,PSRC1,WDR76,PRC1,PRCC,SASS6,MCM6,TOP2A,FIGNL1,SPC25,POLA2,ERCC3,BRIP1,NABP2,CHAF1A,CBX3,BUB1,NCAPD2,MAD2L1,PRIM1,TMEM67,PSMD3,CEP97,HAUS6,PCID2,CDK18,MDC1,H2AX,CDC25C,CDC25A,MNAT1,MND1,CLSPN,NFE2L1,ANAPC13,BLM,AJUBA,PNPT1,RAN,VCP,RRS1,BOD1,DYNC1H1,NUSAP1,GNAI1,TOPBP1,KIFC1,CUL1,KNL1,MLF1,ORC5,CCNA2,GADD45GIP1,KIF3B,LIN9,OSGIN2,XPO1,RFWD3,NDC1,SPIRE1,RMI1,TACC3,GPNMB,SYCP2,HELLS,TBCE,MED1,WDHD1,NES,PTP4A1,CEP164,EME1,RAD51B,CENPT,MTBP,BUB3,HMMR,MYBL2,ASPM,SKP2,RAD51,ESCO2,SKA3,CLTC,PES1,TIPIN,SOX4,REC8,TRIM37,PDGFB,SMC2,KIF18B,FEN1,CDK5,ORC3,NUDC,RRM1,ANAPC10,TYMS,PKMYT1,TGFB2,APP,RBBP8,AKT1,ZC3HC1,SGO2,CEP72,PSMC4,WASHC5,KLHDC3,PSMA5,PAXIP1,POLD3,CDC73,CKS1B,RFC2,SUV39H1,DYNC1LI1,CDK17,JUN,BCCIP,KIF23,FAP,RPS6KA1,SDE2,MSH2,CHAF1B,BCAT1,COPS5,FLNA,CDK5RAP1,MCM8,CDK4,ERH,AHR,CHORDC1,TTL,YWHAG,TNKS1BP1,KIF20B,NCAPD3,HASPIN,CNOT9,CEP85,KIF11,RNF2,RAE1,UHRF1,CSPP1,FANCM,HORMAD1,SUV39H2,MAPRE1,PBK,PRKAB2,APEX2,NEK7,TP53BP1,HTRA2,SPAG5,POLE3,PSMC3IP,DRG1,NOLC1,NAA50,BMP2,NCAPG,MAPK6,KIZ,PTTG1,CCNK,NBN,RPA3,UHMK1,IL12B,LAMTOR1,SPHK1,MIIP,RFC3,POLA1,BLCAP,CLASP1,MCM5,NSMCE2,HCFC1,PPP1R1C,INTS7,RGS2,ENTR1,USP28,PRNP,PPP5C,CCDC124,PSMD8,SRC,LGMN,RING1,PSMC3,RIF1,PDCD2L,CEP192,PPM1G,TUBAL3,SMC4,IRF1,NAE1,RBL1,PCLAF,PML,WRAP73,GMNN,MAD2L1BP,IRF6,POLE,HAUS8,ARPP19,CDCA3,E2F3,KNTC1,AATF,EDN1,SPDL1,LSM10,P3H4,TAF6,CDC5L,CDH13,WTAP,KIF3A,EIF4EBP1,CDT1,CDK2AP1,RAD23A,PSMD7,DAB2IP,PPP2R5B,ATP2B4,MIS12,CHTF18,SFN,PSMA3,PSMD13,APEX1,HUS1,MTOR,RANBP1,CEP70,PSMB1,FOSL1,TXLNG,PELO,PRPF19,RB1CC1,POLD1,MYBBP1A,THBS1,KLHL21,PDE3A,E2F1,NASP,PSMB8,PRMT5,GIT1,SMC3,GJA1,PSMD5,IFNG,MYC,MIS18BP1,ERF,SKA2,NSL1,CEP290,RHOC,ETAA1,LIN52,CDKN1A,TFDP1,CEP78,PIMREG,SEPTIN9,TAS2R13,FANCA,PLK2,TFDP2,STAMBP,TICRR,SOX9,LSM11,GEN1,IPO5,PTTG3P,PPAT,CNTLN,SPIN1,SND1,GADD45A,CACUL1,SKIL,KPNB1,CENPJ,CCNJL,KATNA1,MARK4,SMARCB1,CETN2,TRIM21,ATAD5,TXNL4B,CNOT3,GSPT1,RMI2,SHOC1,PPME1,NLE1,TUBA1C,MLST8,SPICE1,RFC5,TRIM32,CUL2,TBX3,PPP1R10,RHEB,YAF2,KIF22,RFC1,POLD2,ASNS,ANAPC11,XRCC2,SOX11,RUNX3,RBM14,SLC25A33,CLTCL1,PAGR1,PSMD4,DDB1,DDRGK1,YTHDF2,ERCC6,CHMP1B,KLF11,MRE11,PSMB6,ANKRD17,PDGFRB,PSMB10,SLX4,HDAC8,CEP135,KIF15,TMEM250,PCGF6,UBE2I,HSF1,CSNK1A1,SPDYA,CCNO,MYO19,RAD51C,AURKAIP1,SLC2A8,KHDRBS1,XRCC3,NR2E1,FLCN,DDIT3,ABL1,TDRKH,CENPV,STAG1,CNTROB,ZFHX3,SPOUT1,BAX,EIF4G1,PSMF1
cell cycle checkpoint	1.48e-08	2.15	192	NSUN2,TRIP13,RAD1,TIMELESS,CDC20,PRKDC,CDK1,ZWINT,CDC45,E2F7,CCNB1,TTK,DNA2,DCLRE1B,PLK1,CHEK1,DTL,AURKB,DONSON,CENPF,FBXO6,NDC80,PCNA,CDK2,ORC1,ATR,THOC5,ZWILCH,BRCA1,MAD2L2,CDC6,WDR76,PRCC,TOP2A,BRIP1,NABP2,BUB1,MAD2L1,PCID2,MDC1,H2AX,CDC25C,CLSPN,BLM,TOPBP1,RFWD3,EME1,BUB3,TIPIN,SOX4,DYNC1LI1,MSH2,TNKS1BP1,CNOT9,HORMAD1,TP53BP1,NBN,INTS7,USP28,NAE1,PML,MAD2L1BP,KNTC1,SPDL1,CDC5L,CDT1,SFN,HUS1,PRPF19,E2F1,ETAA1,CDKN1A,TFDP1,PLK2,TFDP2,TICRR,GEN1
cell cycle dna replication	1.48e-08	2.52	56	GINS1,POLE4,CDC7,MCM4,CDC45,BRCA2,E2F7,ZMPSTE24,MCM3,DBF4,DNA2,SENP2,DONSON,PCNA,FBXO5,POLE2,MCM7,PRIM2,MCM2,MCM6,POLA2,PRIM1,RAD51,TIPIN,FEN1,ORC3,POLD3,RFC2,POLE3,RPA3,RFC3,POLA1,MCM5,GMNN,POLE,CDT1,POLD1,ATAD5,RFC5,RFC1,POLD2
