pathway	padj	NES	size	leadingEdge
actin filament based process	8.56e-09	-2.11	625	SHANK3,ARRB1,KCNJ8,SRF,SSH2,FMNL3,ANK2,PPARGC1B,FES,ABLIM3,PRKCE,NEBL,TNNC1,ROCK1,KANK3,MYOM2,TMOD1,ARHGEF10,NEDD9,TNFAIP1,RDX,PDLIM1,MYADM,SEMA5A,PLEKHH2,KIT,ANXA1,GMFB,FRMD3,CSF3,ANKRD1,PHACTR1,IQSEC3,SUN2,PAFAH1B1,WASF3,PREX1,GJA1,SCN4B,CDC42EP2,SMTNL2,GJA5,TEK,PDLIM2,CNN1,S1PR1,MYOC,AQP1,SELE,LIMCH1,IQSEC1,CRK,NRP1,SLIT2,JAM3,EPB41L2,EDN1,CAPZA2,PDE4B,GPR65,GMFG,ARHGEF17,ELMO1,KCNA5,TSC1,DPYSL3,CSRP1,FAM107A,PPM1F,RHOB,CASS4,PRKAR1A,ARHGAP44,PDLIM3,ADD3,LPAR1,MRAS,CASQ2,HCK,PTPN1,ATP1A2,SDCBP,RGCC,CCN2,TNNI2,ARHGEF15,MYH10,TMOD3,GPM6B,CAV1,AIF1L,FCHSD2,CYTH2,RHOBTB1,ARPC5,GAB1,RFLNB,CGNL1,LMOD1,COBL,C9orf72,PTGER4,CORO2B,MYH11,EPB41L5,CFL2,DSTN,BST1,ARPC2,FGD3,GSN,ARHGAP18,CXCL12,BBS4,EPB41L3,SYNPO2,ARHGAP25,CYFIP1,ID1,RHOJ,TYROBP,RAPGEF3,ILK,DIXDC1,RHOA,PLN,KANK4,PYCARD,ARHGAP28,KCNJ5,VIM,CX3CL1,PHLDB2,NTRK3,ADD1,MTSS1,PARVA,EPB41L4A,MYO1C,SYNPO2L,FAM171A1,PARVB,CDC42EP4,EVL,CAVIN3,CARMIL1,PIK3R1,KCNE3,PALLD,ABL1,SORBS3,ARHGEF18,DAAM2,RND3,NEDD4L,PDPN,SFRP1,S100A10,ARAP1,PXN,FHDC1,BCL2,PDE4D,RALA,CCL21,PLA2G1B,ZYX,TNF,CLASP2,MEF2C,EHD2,RHOG,TPM2,LCP1,CNN3,CAPN9,AKAP13,FMNL1,MYOZ1,SMAD4,MYL4,ARHGAP17,SWAP70,DLC1,BCL6,FER,COTL1,SGCD,ALOX15,AIF1,AKAP9,GPD1L,INPP5K,HIP1,KCNJ2,ABR,CACNA1C,GRB2,ARHGAP6,EMP2,NISCH,PDGFRB,DOCK2,ODAM,LIMK2,MEF2A,MYO1B,ARHGEF2,WASF2,TMOD2,RHOBTB2,SYNE2,TLN1,WIPF1,RYR2,VASP,HCLS1,SCN3B,SPTAN1,KANK1,SCN1A,CAV3,SORBS2,KCNN2,AMOTL2,EPHA3
actin filament bundle organization	8.56e-09	-2.44	138	SHANK3,ARRB1,SRF,ROCK1,ARHGEF10,NEDD9,TNFAIP1,RDX,PHACTR1,S1PR1,MYOC,LIMCH1,NRP1,GPR65,TSC1,DPYSL3,FAM107A,PPM1F,RHOB,ADD3,LPAR1,RGCC,CCN2,ARHGEF15,AIF1L,RHOBTB1,RFLNB,PTGER4,CORO2B,BBS4,SYNPO2,ID1,RAPGEF3,RHOA,ARHGAP28,CX3CL1,PHLDB2,ADD1,SYNPO2L,FAM171A1,EVL,CARMIL1,PIK3R1,ABL1,SORBS3,RND3,SFRP1,S100A10,ARAP1,PXN,FHDC1,ZYX,CLASP2,LCP1,SWAP70,DLC1,AIF1,INPP5K,ARHGAP6,MYO1B,WASF2,RHOBTB2
actin filament organization	8.56e-09	-2.21	323	SHANK3,ARRB1,SRF,PPARGC1B,PRKCE,NEBL,ROCK1,KANK3,MYOM2,TMOD1,ARHGEF10,NEDD9,TNFAIP1,RDX,MYADM,SEMA5A,PLEKHH2,GMFB,CSF3,PHACTR1,WASF3,PREX1,CDC42EP2,S1PR1,MYOC,LIMCH1,NRP1,SLIT2,CAPZA2,GPR65,GMFG,TSC1,DPYSL3,FAM107A,PPM1F,RHOB,CASS4,PDLIM3,ADD3,LPAR1,HCK,RGCC,CCN2,ARHGEF15,TMOD3,AIF1L,FCHSD2,RHOBTB1,ARPC5,RFLNB,CGNL1,LMOD1,COBL,C9orf72,PTGER4,CORO2B,CFL2,DSTN,ARPC2,GSN,ARHGAP18,CXCL12,BBS4,SYNPO2,ARHGAP25,CYFIP1,ID1,RHOJ,RAPGEF3,RHOA,KANK4,PYCARD,ARHGAP28,CX3CL1,PHLDB2,ADD1,MYO1C,SYNPO2L,FAM171A1,CDC42EP4,EVL,CARMIL1,PIK3R1,ABL1,SORBS3,RND3,SFRP1,S100A10,ARAP1,PXN,FHDC1,BCL2,CCL21,PLA2G1B,ZYX,CLASP2,RHOG,TPM2,LCP1,ARHGAP17,SWAP70,DLC1,FER,COTL1,ALOX15,AIF1,INPP5K,HIP1,GRB2,ARHGAP6,EMP2,MYO1B,ARHGEF2,WASF2,TMOD2,RHOBTB2,WIPF1,VASP,HCLS1,SPTAN1,KANK1,CAV3,SORBS2
anatomical structure formation involved in morphogenesis	8.56e-09	-1.87	952	SRF,CXCR2,RASIP1,FMNL3,ANK2,CD160,JUNB,PPARGC1B,ADAMTS1,RAMP3,AGTPBP1,SOX17,PPP3CB,DYSF,BMP5,TIE1,NEBL,ACVRL1,PODXL,FOXO1,ETS1,AGTR1,CLEC14A,ANXA3,CSF3R,KLF4,ROCK1,MYOM2,TMOD1,ROBO4,SASH1,EHD1,NR4A1,RECK,STARD13,ACRBP,GPR4,KLF2,SEMA5A,ADGRB3,CDH5,PPARG,BMPR1A,GATA2,APOLD1,NOTCH4,RSPO3,PTPRM,ANXA1,RBP4,HYAL1,ITGA5,C6,TGM2,PTPRB,ENG,ANKRD1,FOXF1,SOX7,PAFAH1B1,PPP1R16B,TMEM100,TANC1,MEIS1,PTGIS,EPAS1,GJA1,GJA5,TEK,ETS2,S1PR1,ADAMTS9,AQP1,CLDN5,FIG4,RAMP2,HHEX,MAP3K3,ATOH8,CD34,VASH1,VEGFC,TSPAN12,NRP1,SLIT2,JAM3,CALCRL,PECAM1,NIBAN2,RORA,TRIM71,EDN1,ELK3,ZEB2,HEYL,NFE2L2,MFNG,PIK3C2A,BMP2,CD36,TSC1,PRKCB,CSRP1,TGFBR3,CCN3,SP1,CLIC4,RHOB,PRKAR1A,C5AR1,EGR3,OSR1,RRAS,ADTRP,GATA5,ADGRG6,TBX2,HERC1,LUZP1,CASQ2,TBX3,GABPA,HOXA5,WARS1,NOTCH1,RGCC,CCN2,CMA1,JCAD,MYH10,BMPR2,TMOD3,MSX1,STK4,TGFB2,CAV1,LAMA3,KNDC1,PROK2,PMP22,TNFAIP3,GAB1,FLT4,IL6,NDNF,EFNB2,LMOD1,MEOX2,TGFBR2,COBL,DLL4,NFASC,TBX4,MYH11,ANGPT1,EPB41L5,NKX3-1,CFL2,RIPOR2,PLEKHO1,WNT2,BBS4,CDON,COL4A3,CX3CR1,EPB41L3,EDNRA,ID1,RHOJ,RFX2,CCN1,CITED2,TYROBP,EGR2,SNAI1,RAPGEF3,ILK,CDH13,SOX18,ADIPOR2,RHOA,SEMA6A,FLT1,SMAD2,PRKD1,ARHGAP24,CX3CL1,PHLDB2,TBC1D20,AXIN2,FGFR2,PARVA,ARL6,SYNPO2L,CLEC1B,DCN,CD81,SPRY2,FGF9,SERPINE1,GATA6,PLXNA2,TRAF6,ABL1,CSPG4,SIRT1,RNH1,JUN,PTPN6,SLC40A1,PDPN,SFRP1,GATA3,APLNR,PRICKLE1,HIF3A,RALA,FKBP1A,FOXJ2,CEMIP2,TNF,IL1B,RTN4,KDR,ITGA8,CLASP2,MEF2C,LAMB1,PTGS2,HOPX,EHD2,DAB2IP,OLFM1,MAP2K5,SPRY1,MMP19,GRN,ENPEP,CAPN9,AKAP13,PRCP,PLK2,CD9,ENPP2,GNA13,F3,PF4,SLC12A6,AR,SETD2,MYOZ1,SMAD4,MAPK1,RELN,DLC1,FGF2,BCL6,GLUL,TWSG1,PTPN11,PLCD1,NR4A3,PRKACB,GRB2,FOLR1,C12orf43,EMP2,HMOX1,CYBB,MEOX1,DCHS1,WNT2B,PDGFRB,RC3H1,STAB1,BMERB1,MEF2A,TAL1,IRX2,NOS3,PIK3R3,UNC13D,WASF2,TMOD2,CCL2,WNT7A,FZD1,ATP8A2,TBX5,AKT3,CD40,NRG3,TCTA,SMARCD3
anchoring junction	8.56e-09	-1.81	692	AKAP12,RASIP1,ANK2,FES,AHNAK,KLF11,PODXL,SYNM,CADM1,SLC6A4,WTIP,PTPRC,NEDD9,LIMS2,GJD3,STARD8,TJP2,COL13A1,RDX,PDLIM1,MYADM,CDH5,USP53,GJA4,PTPRM,STXBP6,KIT,ARHGAP31,ANXA1,ITGA5,TGM2,PDZD2,TMEM47,ENG,FZD4,TRPC6,SGCA,GJA1,SCN4B,VAMP5,GJA5,TEK,PDLIM2,CNN1,FLCN,FLRT3,CLDN5,LMO7,MME,TJP1,NRP1,JAM3,EPB41L2,PECAM1,NIBAN2,TNS3,FERMT2,LIN7A,HEG1,CLDN11,FGFR4,KCNA5,IL1RL1,CSRP1,FXYD1,CCN3,CLIC4,FAM107A,RHOB,CASS4,CDHR3,FRMD4A,RRAS,CLDN18,CYTH1,PDLIM3,ADD3,HCK,JAM2,ATP1A2,TNS2,SMAD7,CBL,LCP2,SDCBP,NOTCH1,JCAD,NEXN,BMPR2,TMOD3,TIAM1,ADGRL3,CAV1,FHL1,JAML,AIF1L,PMP22,CYTH2,SVIL,ARPC5,GAB1,PKD2,CGNL1,PTPN12,EFNB2,NFASC,CORO2B,EPB41L5,ARPC2,GSN,EPB41L3,SYNPO2,CYFIP1,PLPP3,ITK,MAPRE2,PCDH9,ILK,CDH13,DIXDC1,RHOA,P2RX7,CD44,FLT1,ARHGAP24,VIM,ADAM10,PHLDB2,YWHAH,ADD1,TGFB1I1,APBB1IP,PARVA,CDH6,CAT,LIMD1,MPDZ,PCDH12,PRKCZ,TSPAN4,PARVB,CD81,CDC42EP4,EVL,PIK3R1,PALLD,SLC8A1,CSPG4,SORBS3,RND3,KAZN,ANXA6,TLE2,PTPN6,CDH19,PPP1R12A,APC,B2M,BVES,FLNC,PXN,DAB2,SPRY4,RALA,ZYX,HMCN1,PROCR,ITGA8,CLASP2,PARD3B,RHOG,MLC1,LCP1,RAP1B,ZFYVE21,CNN3,TNS1,CD9,GNA13,CD99L2,MRC2,ARHGAP17,MAPK1,DLC1,DDR2,SNAP23,LAYN,FRMD4B,MAGI1,VCL,KCNJ2,GRB2,DST,GIT2,PDGFRB,MSN,EHD3,TSPAN9,LIN7C,ARHGEF2,WASF2,SNTB2,FZD1,CHP1,SYNE2,ANXA5,TLN1,IQGAP1,YWHAB,VASP,ARHGEF7,RAB21,SCN1A,CAV3,SORBS2,PEAK1,AMOTL2,PPP3CA,PARD6B,MPP5,SHROOM2,CORO1C,RAPGEF2,CD53,PRKCD,AKAP6,RSU1,MPRIP,LPXN,RAC2,CCDC85C,TES,MAGI2,FZD5,SYNPO,ITGA6,CLMP,ITGA4,THEMIS
biological adhesion	8.56e-09	-1.83	1152	SRF,STK10,ADGRE1,CD160,FES,CCN5,ICAM2,CEBPB,ZMIZ1,UBASH3B,DYSF,BMP5,PRKCE,SELP,THEMIS2,ACVRL1,HLX,PODXL,CADM1,ETS1,CSF3R,KLF4,ROCK1,ANOS1,IL7R,IL12A,PTPRC,NEDD9,LIMS2,ROBO3,ROBO4,NPNT,CCM2L,VAMP3,COL13A1,RDX,PDLIM1,MYADM,SEMA5A,CDH5,AXL,PTPRM,STXBP6,KIT,LYVE1,SCGB1A1,ANXA1,HYAL1,ITGA5,TGM2,LAMC3,PDZD2,ENG,LAMA4,FOXF1,ITGAL,FZD4,PREX1,SMAD6,VWF,SPOCK2,TEK,FLCN,DPT,S1PR1,FLRT3,CTNNAL1,MYOC,ADAMTS9,SELE,ECM2,CLDN5,FREM1,LMO7,LIMCH1,CD93,CRK,CD34,NRP1,JAM3,AGER,PECAM1,GAS6,FERMT2,COL6A5,IRF1,ZBTB16,CLDN11,ABI3BP,AKNA,PTPRS,BMP2,MAP3K8,CD36,LSAMP,ITGA10,PDE5A,FAT3,TSC1,CSRP1,CCN3,RAPGEF1,FSTL3,FBLN1,FAM107A,PPM1F,RHOB,CASS4,PRKAR1A,TIMM10B,SH2B3,CDHR3,NLRP3,EGR3,CLDN18,ADTRP,GATA5,CYTH1,NTN4,HCK,JAM2,SGCE,SMAD7,CD226,NOTCH1,HBB,RGCC,PCDHB4,CCN2,FBLN5,JCAD,DUSP1,CD274,MYH10,NEXN,TMOD3,TIAM1,ADGRL3,TGFB2,GPM6B,MYL9,CAV1,PTAFR,LAMA2,JAML,LAMA3,PLEKHA2,FERMT3,SPARCL1,PRPH2,VSIG4,MEGF9,CNTN4,IL6,NDNF,SRPX,EFNB2,ITPKB,TGFBR2,RUNX3,NFASC,CORO2B,SIRPA,P2RY12,ANGPT1,EPB41L5,RIPOR2,OLR1,BST1,DOCK8,ARPC2,LRRC4C,GSN,FEZ1,MFAP4,CXCL12,IL15,CDON,C1QTNF1,COL4A3,CX3CR1,ID1,FYN,PLPP3,CCN1,CITED2,MMRN1,FGL2,PCDH9,ILK,OMD,CDH13,LRFN5,S100A8,RHOA,KITLG,BMP6,SEMA6A,CD58,CD44,TFE3,PYCARD,PCDHB15,CX3CL1,ADAM10,PHLDB2,RELA,EGFL6,TGFB1I1,APBB1IP,MTSS1,PARVA,CDH6,MPDZ,SASH3,PCDH12,PRKCZ,PCDH17,PAG1,CRISP2,GLDN,STXBP3,PRNP,IGF1,SPON1,SELPLG,CNTN6,SCARF1,CD33,PARVB,CD81,IL6ST,IL12RB1,PCDHB7,CARMIL1,SERPINE1,PIK3R1,EMILIN2,PALLD,PLXNA2,TRAF6,ABL1,MBP,SORBS3,RND3,FPR2,PTPN6,CDH19,PPP1R12A,APC,PDPN,SFRP1,ITGAM,GATA3,S100A10,BVES,EDIL3,CD83,PXN,HAS2,MYL12A,BCL2,PTPRD,CCL21,UTRN,ZYX,CD200,TNF,IDO1,HMCN1,IL1B,KDR,HAS1,NUAK1,ITGA8,CLASP2,LAMC1,LAMB1,PARD3B,SOCS6,CNN3,MAP2K5,CD9,PCDH18,CD99L2,STXBP1,CLSTN2,RELN,SWAP70,DLC1,DDR2,TFRC,BCL6,FER,TWSG1,IGFBP7,ALOX15,PTPN11,DUSP3,AIF1,MAGI1,VCL,NR4A3,GRB2,ARHGAP6,NINJ2,EMP2,NFKBIZ,NEO1,CCL5,DST,COL14A1,DENND6A,ICAM4,IL32,PSTPIP1,CD55,DCHS1,RC3H1,STAB1,DUSP22,CCR1,MSN,SSPN,NID1,UNC13D,FBLN2,BOC,CCL2,NEGR1,CSTA,TLN1,LAMB2,SIGLEC1,CD1D,IQGAP1,ARHGEF7,ASTN1,FAT4,MYOT,CD4,KANK1,FYB2,PIEZO1,TNFRSF14,PEAK1,MARCHF7,HAVCR2,EPHA3,SOCS5,RS1,PPP3CA,CLEC4A,NDFIP1,ANTXR1,PCDHB16,ROBO2,NLGN4X,SIGLEC9,CORO1C,TNFAIP8L2,PRKCD,HLA-DPB1,CD86,GRAP2,ICOS,RSU1,CCR2,HLA-DPA1,AMIGO1,LPXN,PDCD1LG2,RAC2,DUSP26,ITGA7,NTNG2,FNDC3A,SYK,SELL,DOCK1,GNE,ITGA6,TBX21,ITGA4
blood vessel endothelial cell migration	8.56e-09	-2.46	103	SRF,ACVRL1,ETS1,CLEC14A,KLF4,NR4A1,STARD13,PPARG,GATA2,ANXA1,MAP3K3,VASH1,VEGFC,NRP1,SLIT2,NFE2L2,PIK3C2A,SP1,EGR3,ADTRP,AGTR2,NOTCH1,PDGFB,RGCC,JCAD,EFNB2,MEOX2,DLL4,ANGPT1,ID1,RHOJ,SOX18,RHOA,PRKD1,ABL1,SIRT1,KDR,MEF2C,PTGS2,MAP2K5,PRCP,PLK2,FGF2,EMP2,HMOX1,NOS3,PIK3R3,AKT3,CD40
blood vessel morphogenesis	8.56e-09	-2.22	514	SRF,CXCR2,RASIP1,FMNL3,CD160,JUNB,RAMP3,ZMIZ1,SOX17,DYSF,TIE1,ACVRL1,ETS1,AGTR1,CLEC14A,ANXA3,KLF4,ROCK1,ROBO4,SASH1,NR4A1,RECK,STARD13,GPR4,KLF2,SEMA5A,ADGRB3,CDH5,PPARG,BMPR1A,GATA2,APOLD1,NOTCH4,RSPO3,LDLR,PTPRM,ANXA1,HYAL1,ITGA5,C6,PTPRB,ENG,FOXF1,PPP1R16B,TMEM100,FZD4,MEIS1,PTGIS,EPAS1,ZFPM2,GJA5,TEK,S1PR1,ADAMTS9,AQP1,CLDN5,RAMP2,HHEX,MAP3K3,CD34,VASH1,VEGFC,TSPAN12,NRP1,SLIT2,JAM3,CALCRL,PECAM1,NIBAN2,RORA,EDN1,ELK3,NFE2L2,HEG1,NEDD4,PIK3C2A,PRKCB,TGFBR3,CCN3,SP1,CLIC4,RHOB,C5AR1,EGR3,RRAS,ADTRP,TBX2,SMAD7,HOXA5,WARS1,NOTCH1,RGCC,CCN2,CMA1,JCAD,BMPR2,STK4,TGFB2,CAV1,PROK2,TNFAIP3,GAB1,FLT4,PKD2,TIPARP,IL6,NDNF,EFNB2,MEOX2,TGFBR2,DLL4,TBX4,ANGPT1,COL4A3,CX3CR1,EDNRA,ID1,RHOJ,CCN1,RAPGEF3,CDH13,SOX18,ADIPOR2,RHOA,SEMA6A,FLT1,PRKD1,ARHGAP24,CX3CL1,FGFR2,PARVA,DCN,SPRY2,FGF9,MYLK,SERPINE1,GATA6,ABL1,CSPG4,SIRT1,RNH1,JUN,SFRP1,NR2F2,APLNR,HIF3A,HAS2,FOXJ2,CEMIP2,IL1B,KDR,PTGS2,DAB2IP,RAP1A,MAP2K5,MMP19,GRN,ENPEP,PRCP,PLK2,ENPP2,GNA13,F3,PF4,SLC12A6,SETD2,FGF2,GLUL,SGCD,PLCD1,FOLR1,EMP2,HMOX1,CYBB,PDGFRB,STAB1,TAL1,NOS3,PIK3R3,WASF2,CCL2,WNT7A,ADGRF5,TBX5,AKT3,CD40
cardiovascular system development	8.56e-09	-2.26	618	SRF,CXCR2,RASIP1,FMNL3,CD160,JUNB,RAMP3,ZMIZ1,SOX17,PPP3CB,DYSF,TIE1,ACVRL1,FOXO1,ETS1,AGTR1,CLEC14A,ANXA3,KLF4,ROCK1,PDE2A,ROBO4,SASH1,NR4A1,RECK,STARD13,GPR4,TMEM231,KLF2,ZFAND5,SEMA5A,ADGRB3,CDH5,PPARG,BMPR1A,GATA2,APOLD1,NOTCH4,RSPO3,LDLR,GJA4,PTPRM,KIT,ANXA1,HYAL1,ITGA5,C6,PTPRB,ENG,FOXF1,DYNC2H1,PPP1R16B,TMEM100,FZD4,MEIS1,SMAD6,PTGIS,EPAS1,ZFPM2,GJA5,TEK,S1PR1,ADAMTS9,AQP1,CLDN5,RAMP2,HHEX,MAP3K3,CD34,VASH1,VEGFC,TSPAN12,NRP1,SLIT2,EGR1,JAM3,CALCRL,PECAM1,NIBAN2,RORA,EDN1,ELK3,NFE2L2,HEG1,NEDD4,PIK3C2A,SOCS3,PRKCB,TGFBR3,CCN3,RAPGEF1,SP1,CLIC4,RHOB,C5AR1,EGR3,OSR1,RRAS,ADTRP,TBX2,LUZP1,TBX3,GPER1,SMAD7,HOXA5,WARS1,NOTCH1,PDGFB,RGCC,CCN2,CMA1,JCAD,ARHGEF15,MYH10,BMPR2,STK4,TGFB2,CAV1,PROK2,TNFAIP3,GAB1,FLT4,PKD2,TIPARP,IL6,NDNF,EFNB2,MEOX2,TGFBR2,DLL4,TBX4,ANGPT1,NKX3-1,WNT2,PCSK5,COL4A3,CX3CR1,EDNRA,ID1,RHOJ,CCN1,GPC3,RAPGEF3,CDH13,SOX18,ADIPOR2,RHOA,SEMA6A,FLT1,PRKD1,ARHGAP24,CX3CL1,ADAM10,FGFR2,PARVA,NDST1,LYL1,DCN,SPRY2,FGF9,MYLK,SERPINE1,GATA6,ABL1,CSPG4,SIRT1,RNH1,JUN,PDPN,SFRP1,NR2F2,APLNR,PRICKLE1,HIF3A,HAS2,FOXJ2,CEMIP2,IL1B,KDR,MEF2C,PTGS2,SGCB,DAB2IP,RAP1A,MAP2K5,MMP19,GRN,ENPEP,PRCP,PLK2,ENPP2,GNA13,F3,PF4,SLC12A6,SETD2,MAPK1,FGF2,IL6R,GLUL,SGCD,PLCD1,FOLR1,SNX17,EMP2,HMOX1,CYBB,PDGFRB,STAB1,TAL1,NOS3,PIK3R3,WASF2,CCL2,ACTA2,WNT7A,ADGRF5,TBX5,AKT3,CD40
catalytic activity acting on rna	8.56e-09	2.27	311	PARS2,DARS2,EXOSC4,MRPL58,EPRS1,TRPT1,AARS1,DROSHA,THUMPD3,TRIT1,POLR3K,BUD23,SND1,FTSJ3,MRM2,NOB1,MRM1,IARS2,EARS2,MED20,EXOSC5,CNOT1,APEX1,TFB1M,RNASEH2A,LARS1,CPSF3,LARS2,AARS2,TRMT2A,DUS4L,GARS1,ERI2,FEN1,HARS2,FARSA,RTCB,EXO1,POLR3D,METTL1,RPP40,TSEN54,DDX54,FTSJ1,TFB2M,SKIV2L,RARS1,YBEY,POLR2H,DUS1L,DDX41,DHX16,ANGEL1,PIWIL1,DDX56,WDR4,VARS2,RIDA,POLR2D,POLR2I,DDX23,DDX10,DDX31,VARS1,POP7,THUMPD2,TRMT2B,CRCP,PNPT1,TARBP1,YARS1,USB1,DHX34,NSUN2,TRNT1,DCPS,DUS2,DHX32,AGO3,MARS2,PTRH2,DDX55,DHX37,PUS1,TARS1,ISG20L2,TSEN34,MOV10L1,POLR1C,LACTB2,DDX39A,NT5C3A,IGHMBP2,NSUN3,IARS1,DDX4,TUT4,TRMT12,PARN,TRMT61A,DDX18,PRIM1,METTL15,POLR3A,EMG1,TWISTNB,DDX49,NOP2,LRRC47,PRIM2,TYW3,POLR3G,TERT,ZNRD1,POLR2G,DHX8,CD3EAP,ERI3,DDX42,PUS3,POP4,TRMT6,G3BP1,RRNAD1,RAMAC,QTRT1,TSN,POP1,DDX52,CARS1,RNASE7,PIWIL2,BRIP1,POLR2F,METTL8,DHX57,HARS1,ENDOV,FANCM
