disease.1	disease.2	category	pathway	overlap	nes.1	nes.2	fdr.1	fdr.2	genes.1	ngenes.2
Stomach cancer	Parkinson's disease	HallMark	tnfa signaling via nfkb	up-up	2.3	2.02	5.00e-10	1.63e-07	179	190
Stomach cancer	Parkinson's disease	HallMark	inflammatory response	up-up	2.25	1.99	5.00e-10	8.68e-07	197	192
Stomach cancer	Parkinson's disease	HallMark	il2 stat5 signaling	up-up	1.82	1.92	2.12e-05	4.49e-06	184	172
Stomach cancer	Parkinson's disease	HallMark	il6 jak stat3 signaling	up-up	2.04	2.09	1.76e-05	1.26e-05	78	85
Stomach cancer	Parkinson's disease	HallMark	complement	up-up	1.93	1.56	3.57e-06	2.79e-03	164	178
Stomach cancer	Parkinson's disease	HallMark	coagulation	up-up	1.62	1.6	2.82e-03	3.50e-03	121	130
Stomach cancer	Parkinson's disease	HallMark	allograft rejection	up-up	2.25	1.44	5.00e-10	7.95e-03	178	186
Stomach cancer	Parkinson's disease	HallMark	tgf beta signaling	up-up	1.48	1.65	3.46e-02	1.04e-02	50	49
Stomach cancer	Parkinson's disease	HallMark	interferon gamma response	up-up	2.49	1.44	5.00e-10	1.44e-02	172	170
Stomach cancer	Parkinson's disease	HallMark	interferon alpha response	up-up	2.27	1.51	7.20e-08	1.74e-02	79	77
Stomach cancer	Parkinson's disease	HallMark	epithelial mesenchymal transition	up-up	2.81	1.36	5.00e-10	2.19e-02	187	190
Stomach cancer	Parkinson's disease	HallMark	wnt beta catenin signaling	up-up	1.56	1.66	3.46e-02	2.37e-02	37	34
Stomach cancer	Parkinson's disease	HallMark	oxidative phosphorylation	down-down	-1.77	-3.09	3.27e-05	5.00e-09	172	187
Stomach cancer	Parkinson's disease	HallMark	fatty acid metabolism	down-down	-2.2	-1.9	6.24e-08	2.09e-05	130	138
Stomach cancer	Parkinson's disease	HallMark	adipogenesis	down-down	-1.67	-1.69	3.42e-04	3.97e-04	178	174
Stomach cancer	Parkinson's disease	HallMark	peroxisome	down-down	-1.62	-1.51	2.03e-03	1.35e-02	92	94
Stomach cancer	Parkinson's disease	HallMark	pancreas beta cells	down-down	-1.94	-1.66	9.75e-04	1.65e-02	39	39
Stomach cancer	Parkinson's disease	Gene Ontology	adaptive immune response	up-up	1.65	2.01	2.11e-04	1.26e-08	333	319
Stomach cancer	Parkinson's disease	Gene Ontology	anatomical structure formation involved in morphogenesis	up-up	1.78	1.61	5.47e-09	1.26e-08	957	882
Stomach cancer	Parkinson's disease	Gene Ontology	biological adhesion	up-up	1.61	1.53	8.62e-09	1.26e-08	1168	1082
Stomach cancer	Parkinson's disease	Gene Ontology	blood vessel morphogenesis	up-up	1.95	1.83	5.47e-09	1.26e-08	519	510
Stomach cancer	Parkinson's disease	Gene Ontology	cardiovascular system development	up-up	1.87	1.77	5.47e-09	1.26e-08	623	599
Stomach cancer	Parkinson's disease	Gene Ontology	chromatin	up-up	1.37	2.14	3.79e-03	1.26e-08	992	878
Stomach cancer	Parkinson's disease	Gene Ontology	chromatin organization	up-up	1.88	1.75	5.47e-09	1.26e-08	625	575
Stomach cancer	Parkinson's disease	Gene Ontology	chromosome	up-up	1.95	1.6	5.47e-09	1.26e-08	1416	1242
Stomach cancer	Parkinson's disease	Gene Ontology	cytokine production	up-up	1.83	1.8	5.47e-09	1.26e-08	635	606
Stomach cancer	Parkinson's disease	Gene Ontology	double stranded dna binding	up-up	1.33	1.99	1.18e-02	1.26e-08	831	754
Stomach cancer	Parkinson's disease	Gene Ontology	extracellular structure organization	up-up	2.22	1.97	5.47e-09	1.26e-08	325	310
Stomach cancer	Parkinson's disease	Gene Ontology	leukocyte differentiation	up-up	1.51	2.05	1.17e-03	1.26e-08	448	416
Stomach cancer	Parkinson's disease	Gene Ontology	lymphocyte activation	up-up	1.75	1.87	1.32e-07	1.26e-08	568	529
Stomach cancer	Parkinson's disease	Gene Ontology	lymphocyte differentiation	up-up	1.36	2.09	4.44e-02	1.26e-08	303	283
Stomach cancer	Parkinson's disease	Gene Ontology	negative regulation of biosynthetic process	up-up	1.43	1.68	7.80e-05	1.26e-08	1298	1167
Stomach cancer	Parkinson's disease	Gene Ontology	negative regulation of nucleobase containing compound metabolic process	up-up	1.48	1.78	7.20e-06	1.26e-08	1196	1078
Stomach cancer	Parkinson's disease	Gene Ontology	negative regulation of rna biosynthetic process	up-up	1.39	1.92	1.44e-03	1.26e-08	1049	950
Stomach cancer	Parkinson's disease	Gene Ontology	negative regulation of transcription by rna polymerase ii	up-up	1.32	2.03	2.71e-02	1.26e-08	732	667
Stomach cancer	Parkinson's disease	Gene Ontology	nuclear chromosome	up-up	1.58	1.89	1.41e-07	1.26e-08	1032	909
Stomach cancer	Parkinson's disease	Gene Ontology	positive regulation of cellular biosynthetic process	up-up	1.54	1.59	5.47e-09	1.26e-08	1664	1557
Stomach cancer	Parkinson's disease	Gene Ontology	positive regulation of nucleobase containing compound metabolic process	up-up	1.54	1.61	5.47e-09	1.26e-08	1579	1459
Stomach cancer	Parkinson's disease	Gene Ontology	positive regulation of rna metabolic process	up-up	1.43	1.67	2.39e-05	1.26e-08	1451	1339
Stomach cancer	Parkinson's disease	Gene Ontology	regulation of cell population proliferation	up-up	1.58	1.5	5.47e-09	1.26e-08	1360	1308
Stomach cancer	Parkinson's disease	Gene Ontology	regulation of immune system process	up-up	1.84	1.49	5.47e-09	1.26e-08	1244	1182
Stomach cancer	Parkinson's disease	Gene Ontology	response to bacterium	up-up	1.39	1.85	1.40e-02	1.26e-08	498	458
Stomach cancer	Parkinson's disease	Gene Ontology	tube development	up-up	1.7	1.73	5.47e-09	1.26e-08	902	857
Stomach cancer	Parkinson's disease	Gene Ontology	tube morphogenesis	up-up	1.8	1.76	5.47e-09	1.26e-08	732	694
Stomach cancer	Parkinson's disease	Gene Ontology	inflammatory response	up-up	1.8	1.71	5.47e-09	1.64e-08	596	567
Stomach cancer	Parkinson's disease	Gene Ontology	t cell activation	up-up	1.8	1.89	8.73e-07	1.73e-08	394	373
Stomach cancer	Parkinson's disease	Gene Ontology	regulation of cell activation	up-up	1.85	1.8	1.83e-08	4.55e-08	458	432
Stomach cancer	Parkinson's disease	Gene Ontology	transcription coregulator activity	up-up	1.6	1.78	1.11e-04	6.21e-08	481	461
Stomach cancer	Parkinson's disease	Gene Ontology	embryo development	up-up	1.58	1.55	1.45e-06	1.10e-07	890	796
Stomach cancer	Parkinson's disease	Gene Ontology	leukocyte cell cell adhesion	up-up	1.7	1.95	1.54e-04	1.36e-07	288	281
Stomach cancer	Parkinson's disease	Gene Ontology	regulation of lymphocyte activation	up-up	1.81	1.85	3.33e-06	1.37e-07	360	337
Stomach cancer	Parkinson's disease	Gene Ontology	circulatory system development	up-up	1.68	1.52	5.47e-09	1.38e-07	931	880
Stomach cancer	Parkinson's disease	Gene Ontology	chromatin binding	up-up	1.86	1.75	1.62e-08	2.51e-07	462	431
Stomach cancer	Parkinson's disease	Gene Ontology	cell activation	up-up	1.96	1.43	5.47e-09	2.55e-07	1145	1094
Stomach cancer	Parkinson's disease	Gene Ontology	immune system development	up-up	1.81	1.52	5.47e-09	3.99e-07	828	774
Stomach cancer	Parkinson's disease	Gene Ontology	positive regulation of locomotion	up-up	1.84	1.69	2.16e-08	4.16e-07	482	466
Stomach cancer	Parkinson's disease	Gene Ontology	regulation of vasculature development	up-up	1.71	1.91	1.60e-04	6.22e-07	286	274
Stomach cancer	Parkinson's disease	Gene Ontology	negative regulation of immune system process	up-up	1.7	1.79	3.23e-05	6.87e-07	371	357
