disease.1	disease.2	category	pathway	overlap	nes.1	nes.2	fdr.1	fdr.2	genes.1	ngenes.2
Colorectal cancer	Alzheimer's disease	HallMark	allograft rejection	down-up	-1.59	2.09	1.71e-03	7.03e-08	171	186
Colorectal cancer	Alzheimer's disease	HallMark	myogenesis	down-up	-1.51	1.85	3.34e-03	1.64e-05	163	194
Colorectal cancer	Alzheimer's disease	HallMark	kras signaling up	down-up	-1.31	1.43	4.90e-02	1.10e-02	161	190
Colorectal cancer	Alzheimer's disease	HallMark	myc targets v1	up-down	3.15	-2.54	8.33e-10	2.50e-09	157	182
Colorectal cancer	Alzheimer's disease	HallMark	mtorc1 signaling	up-down	2.39	-2.19	8.33e-10	6.78e-09	167	191
Colorectal cancer	Alzheimer's disease	HallMark	dna repair	up-down	2.3	-2.01	3.51e-09	9.30e-06	123	128
Colorectal cancer	Alzheimer's disease	HallMark	unfolded protein response	up-down	2.46	-1.99	8.33e-10	2.28e-05	89	105
Colorectal cancer	Alzheimer's disease	HallMark	uv response up	up-down	1.45	-1.48	2.41e-02	1.49e-02	140	152
Colorectal cancer	Alzheimer's disease	HallMark	myc targets v2	up-down	2.75	-1.57	8.33e-10	1.99e-02	46	52
Colorectal cancer	Alzheimer's disease	Gene Ontology	adaptive immune response	down-up	-1.85	2.36	3.33e-07	5.63e-09	317	320
Colorectal cancer	Alzheimer's disease	Gene Ontology	alpha beta t cell activation	down-up	-1.54	2.49	1.93e-02	5.63e-09	106	106
Colorectal cancer	Alzheimer's disease	Gene Ontology	biological adhesion	down-up	-1.43	1.92	4.14e-06	5.63e-09	1086	1084
Colorectal cancer	Alzheimer's disease	Gene Ontology	cell activation	down-up	-1.48	1.77	5.55e-07	5.63e-09	1072	1094
Colorectal cancer	Alzheimer's disease	Gene Ontology	cell cell adhesion	down-up	-1.42	1.87	8.22e-05	5.63e-09	654	633
Colorectal cancer	Alzheimer's disease	Gene Ontology	cell surface	down-up	-1.45	2.11	4.66e-05	5.63e-09	676	667
