disease.1	disease.2	category	pathway	overlap	nes.1	nes.2	fdr.1	fdr.2	genes.1	ngenes.2
Brain cancer	Parkinson's disease	HallMark	tnfa signaling via nfkb	up-up	2.24	2.02	7.14e-10	1.63e-07	183	190
Brain cancer	Parkinson's disease	HallMark	inflammatory response	up-up	1.84	1.99	7.59e-06	8.68e-07	197	192
Brain cancer	Parkinson's disease	HallMark	il2 stat5 signaling	up-up	1.82	1.92	8.11e-06	4.49e-06	184	172
Brain cancer	Parkinson's disease	HallMark	il6 jak stat3 signaling	up-up	2.34	2.09	1.68e-08	1.26e-05	78	85
Brain cancer	Parkinson's disease	HallMark	hypoxia	up-up	1.55	1.66	1.18e-03	2.10e-04	184	193
Brain cancer	Parkinson's disease	HallMark	p53 pathway	up-up	1.82	1.64	2.04e-05	2.25e-04	173	186
Brain cancer	Parkinson's disease	HallMark	complement	up-up	1.57	1.56	1.96e-03	2.79e-03	168	178
Brain cancer	Parkinson's disease	HallMark	coagulation	up-up	1.82	1.6	7.37e-05	3.50e-03	123	130
Brain cancer	Parkinson's disease	HallMark	allograft rejection	up-up	2.17	1.44	2.17e-09	7.95e-03	178	186
Brain cancer	Parkinson's disease	HallMark	tgf beta signaling	up-up	1.58	1.65	2.14e-02	1.04e-02	50	49
Brain cancer	Parkinson's disease	HallMark	interferon gamma response	up-up	2.78	1.44	7.14e-10	1.44e-02	173	170
Brain cancer	Parkinson's disease	HallMark	interferon alpha response	up-up	2.68	1.51	7.14e-10	1.74e-02	79	77
Brain cancer	Parkinson's disease	HallMark	epithelial mesenchymal transition	up-up	2.57	1.36	7.14e-10	2.19e-02	187	190
Brain cancer	Parkinson's disease	HallMark	wnt beta catenin signaling	up-up	1.57	1.66	2.65e-02	2.37e-02	37	34
Brain cancer	Alzheimer's disease	HallMark	epithelial mesenchymal transition	up-up	2.57	2.13	7.14e-10	4.14e-08	187	190
Brain cancer	Alzheimer's disease	HallMark	inflammatory response	up-up	1.84	2.12	7.59e-06	4.46e-08	197	192
Brain cancer	Alzheimer's disease	HallMark	allograft rejection	up-up	2.17	2.09	2.17e-09	7.03e-08	178	186
Brain cancer	Alzheimer's disease	HallMark	il6 jak stat3 signaling	up-up	2.34	2.19	1.68e-08	4.69e-06	78	85
Brain cancer	Alzheimer's disease	HallMark	coagulation	up-up	1.82	2.01	7.37e-05	9.30e-06	123	130
Brain cancer	Alzheimer's disease	HallMark	tnfa signaling via nfkb	up-up	2.24	1.74	7.14e-10	1.21e-04	183	190
Brain cancer	Alzheimer's disease	HallMark	il2 stat5 signaling	up-up	1.82	1.7	8.11e-06	2.69e-04	184	173
Brain cancer	Alzheimer's disease	HallMark	hypoxia	up-up	1.55	1.61	1.18e-03	3.75e-04	184	193
Brain cancer	Alzheimer's disease	HallMark	interferon gamma response	up-up	2.78	1.54	7.14e-10	3.51e-03	173	170
Brain cancer	Alzheimer's disease	HallMark	p53 pathway	up-up	1.82	1.5	2.04e-05	3.51e-03	173	186
Brain cancer	Alzheimer's disease	HallMark	complement	up-up	1.57	1.45	1.96e-03	1.01e-02	168	179
Brain cancer	Parkinson's disease	Gene Ontology	adaptive immune response	up-up	1.84	2.01	1.15e-06	1.26e-08	339	319
Brain cancer	Parkinson's disease	Gene Ontology	anatomical structure formation involved in morphogenesis	up-up	1.67	1.61	4.41e-09	1.26e-08	961	882
Brain cancer	Parkinson's disease	Gene Ontology	biological adhesion	up-up	1.4	1.53	7.62e-05	1.26e-08	1176	1082
Brain cancer	Parkinson's disease	Gene Ontology	blood vessel morphogenesis	up-up	2.02	1.83	4.41e-09	1.26e-08	521	510
Brain cancer	Parkinson's disease	Gene Ontology	cardiovascular system development	up-up	1.91	1.77	4.41e-09	1.26e-08	626	599
Brain cancer	Parkinson's disease	Gene Ontology	chromatin	up-up	1.44	2.14	7.24e-05	1.26e-08	1000	878
Brain cancer	Parkinson's disease	Gene Ontology	chromatin organization	up-up	1.51	1.75	1.67e-04	1.26e-08	631	575
Brain cancer	Parkinson's disease	Gene Ontology	chromosome	up-up	1.87	1.6	4.41e-09	1.26e-08	1430	1242
Brain cancer	Parkinson's disease	Gene Ontology	cis regulatory region binding	up-up	1.51	2.22	6.80e-04	1.26e-08	521	493
