disease.1	disease.2	category	pathway	overlap	nes.1	nes.2	fdr.1	fdr.2	genes.1	ngenes.2
Parkinson's disease	Brain cancer	HallMark	tnfa signaling via nfkb	up-up	2.02	2.24	1.63e-07	7.14e-10	190	183
Parkinson's disease	Brain cancer	HallMark	inflammatory response	up-up	1.99	1.84	8.68e-07	7.59e-06	192	197
Parkinson's disease	Brain cancer	HallMark	il2 stat5 signaling	up-up	1.92	1.82	4.49e-06	8.11e-06	172	184
Parkinson's disease	Brain cancer	HallMark	il6 jak stat3 signaling	up-up	2.09	2.34	1.26e-05	1.68e-08	85	78
Parkinson's disease	Brain cancer	HallMark	hypoxia	up-up	1.66	1.55	2.10e-04	1.18e-03	193	184
Parkinson's disease	Brain cancer	HallMark	p53 pathway	up-up	1.64	1.82	2.25e-04	2.04e-05	186	173
Parkinson's disease	Brain cancer	HallMark	complement	up-up	1.56	1.57	2.79e-03	1.96e-03	178	168
Parkinson's disease	Brain cancer	HallMark	coagulation	up-up	1.6	1.82	3.50e-03	7.37e-05	130	123
Parkinson's disease	Brain cancer	HallMark	allograft rejection	up-up	1.44	2.17	7.95e-03	2.17e-09	186	178
Parkinson's disease	Brain cancer	HallMark	tgf beta signaling	up-up	1.65	1.58	1.04e-02	2.14e-02	49	50
Parkinson's disease	Brain cancer	HallMark	interferon gamma response	up-up	1.44	2.78	1.44e-02	7.14e-10	170	173
Parkinson's disease	Brain cancer	HallMark	interferon alpha response	up-up	1.51	2.68	1.74e-02	7.14e-10	77	79
Parkinson's disease	Brain cancer	HallMark	epithelial mesenchymal transition	up-up	1.36	2.57	2.19e-02	7.14e-10	190	187
Parkinson's disease	Brain cancer	HallMark	wnt beta catenin signaling	up-up	1.66	1.57	2.37e-02	2.65e-02	34	37
Parkinson's disease	Kidney cancer	HallMark	tnfa signaling via nfkb	up-up	2.02	2.3	1.63e-07	5.56e-10	190	168
Parkinson's disease	Kidney cancer	HallMark	inflammatory response	up-up	1.99	2.56	8.68e-07	5.56e-10	192	191
Parkinson's disease	Kidney cancer	HallMark	il2 stat5 signaling	up-up	1.92	1.85	4.49e-06	2.12e-05	172	171
Parkinson's disease	Kidney cancer	HallMark	il6 jak stat3 signaling	up-up	2.09	2.44	1.26e-05	3.43e-09	85	75
Parkinson's disease	Kidney cancer	HallMark	hypoxia	up-up	1.66	2.14	2.10e-04	7.73e-09	193	173
Parkinson's disease	Kidney cancer	HallMark	p53 pathway	up-up	1.64	1.9	2.25e-04	5.02e-06	186	163
Parkinson's disease	Kidney cancer	HallMark	complement	up-up	1.56	2.05	2.79e-03	7.64e-08	178	163
Parkinson's disease	Kidney cancer	HallMark	allograft rejection	up-up	1.44	2.87	7.95e-03	5.56e-10	186	167
Parkinson's disease	Kidney cancer	HallMark	interferon gamma response	up-up	1.44	3	1.44e-02	5.56e-10	170	162
Parkinson's disease	Kidney cancer	HallMark	interferon alpha response	up-up	1.51	2.74	1.74e-02	5.56e-10	77	73
Parkinson's disease	Kidney cancer	HallMark	epithelial mesenchymal transition	up-up	1.36	2.02	2.19e-02	4.88e-07	190	175
Parkinson's disease	Kidney cancer	HallMark	wnt beta catenin signaling	up-up	1.66	1.83	2.37e-02	2.17e-03	34	35
Parkinson's disease	Kidney cancer	HallMark	oxidative phosphorylation	down-down	-3.09	-2.76	5.00e-09	5.56e-10	187	164
Parkinson's disease	Kidney cancer	HallMark	fatty acid metabolism	down-down	-1.9	-2.23	2.09e-05	3.72e-08	138	119
Parkinson's disease	Kidney cancer	HallMark	adipogenesis	down-down	-1.69	-1.47	3.97e-04	1.04e-02	174	172
Parkinson's disease	Kidney cancer	HallMark	peroxisome	down-down	-1.51	-1.6	1.35e-02	6.10e-03	94	85
Parkinson's disease	Stomach cancer	HallMark	tnfa signaling via nfkb	up-up	2.02	2.3	1.63e-07	5.00e-10	190	179
Parkinson's disease	Stomach cancer	HallMark	inflammatory response	up-up	1.99	2.25	8.68e-07	5.00e-10	192	197
Parkinson's disease	Stomach cancer	HallMark	il2 stat5 signaling	up-up	1.92	1.82	4.49e-06	2.12e-05	172	184
