disease.1	disease.2	category	pathway	overlap	nes.1	nes.2	fdr.1	fdr.2	genes.1	ngenes.2
Liver cancer	Alzheimer's disease	HallMark	inflammatory response	down-up	-1.87	2.12	8.76e-06	4.46e-08	192	192
Liver cancer	Alzheimer's disease	HallMark	allograft rejection	down-up	-1.84	2.09	2.38e-05	7.03e-08	174	186
Liver cancer	Alzheimer's disease	HallMark	il6 jak stat3 signaling	down-up	-1.67	2.19	1.43e-03	4.69e-06	78	85
Liver cancer	Alzheimer's disease	HallMark	coagulation	down-up	-2.05	2.01	3.04e-06	9.30e-06	122	130
Liver cancer	Alzheimer's disease	HallMark	myogenesis	down-up	-1.41	1.85	2.24e-02	1.64e-05	177	194
Liver cancer	Alzheimer's disease	HallMark	tnfa signaling via nfkb	down-up	-1.41	1.74	2.44e-02	1.21e-04	178	190
Liver cancer	Alzheimer's disease	HallMark	il2 stat5 signaling	down-up	-1.29	1.7	5.00e-02	2.69e-04	164	173
Liver cancer	Alzheimer's disease	HallMark	hypoxia	down-up	-1.29	1.61	5.00e-02	3.75e-04	179	193
Liver cancer	Alzheimer's disease	HallMark	kras signaling dn	down-up	-1.89	1.67	3.04e-06	3.75e-04	176	190
Liver cancer	Alzheimer's disease	HallMark	interferon gamma response	down-up	-1.53	1.54	4.44e-03	3.51e-03	156	170
Liver cancer	Alzheimer's disease	HallMark	complement	down-up	-1.56	1.45	2.73e-03	1.01e-02	160	179
Liver cancer	Alzheimer's disease	HallMark	kras signaling up	down-up	-1.52	1.43	3.69e-03	1.10e-02	175	190
Liver cancer	Alzheimer's disease	HallMark	estrogen response early	down-up	-1.61	1.32	1.35e-03	2.86e-02	178	186
Liver cancer	Alzheimer's disease	HallMark	myc targets v1	up-down	3.06	-2.54	1.00e-09	2.50e-09	169	182
Liver cancer	Alzheimer's disease	HallMark	mtorc1 signaling	up-down	1.88	-2.19	9.99e-06	6.78e-09	174	191
Liver cancer	Alzheimer's disease	HallMark	protein secretion	up-down	1.89	-2.31	3.50e-04	4.14e-08	81	91
Liver cancer	Alzheimer's disease	HallMark	dna repair	up-down	2.21	-2.01	2.89e-08	9.30e-06	123	128
Liver cancer	Alzheimer's disease	HallMark	unfolded protein response	up-down	2.21	-1.99	5.02e-08	2.28e-05	99	105
