disease.1	disease.2	category	pathway	overlap	nes.1	nes.2	fdr.1	fdr.2	genes.1	ngenes.2
Pancreatic cancer	Alzheimer's disease	HallMark	myogenesis	down-up	-1.35	1.85	3.11e-02	1.64e-05	165	194
Pancreatic cancer	Alzheimer's disease	HallMark	kras signaling dn	down-up	-2.21	1.67	1.53e-08	3.75e-04	174	190
Pancreatic cancer	Alzheimer's disease	HallMark	myc targets v1	up-down	2.38	-2.54	6.82e-10	2.50e-09	158	182
Pancreatic cancer	Alzheimer's disease	HallMark	mtorc1 signaling	up-down	2.39	-2.19	6.25e-10	6.78e-09	168	191
Pancreatic cancer	Alzheimer's disease	HallMark	protein secretion	up-down	2.18	-2.31	6.07e-06	4.14e-08	85	91
Pancreatic cancer	Alzheimer's disease	HallMark	dna repair	up-down	2.13	-2.01	1.16e-06	9.30e-06	124	128
Pancreatic cancer	Alzheimer's disease	Gene Ontology	dna binding transcription factor activity rna polymerase ii specific	down-up	-1.23	2.6	4.08e-02	5.63e-09	869	772
Pancreatic cancer	Alzheimer's disease	Gene Ontology	intrinsic component of plasma membrane	down-up	-1.69	1.56	6.36e-09	5.63e-09	1394	1295
Pancreatic cancer	Alzheimer's disease	Gene Ontology	molecular transducer activity	down-up	-1.72	2.28	6.36e-09	5.63e-09	929	853
Pancreatic cancer	Alzheimer's disease	Gene Ontology	cell fate specification	down-up	-1.65	2.43	2.88e-02	4.03e-07	79	76
Pancreatic cancer	Alzheimer's disease	Gene Ontology	g protein coupled receptor activity	down-up	-2.67	1.86	6.36e-09	7.50e-07	403	345
Pancreatic cancer	Alzheimer's disease	Gene Ontology	receptor regulator activity	down-up	-1.79	1.73	2.52e-06	4.43e-06	392	364
Pancreatic cancer	Alzheimer's disease	Gene Ontology	sensory perception of light stimulus	down-up	-2.35	1.87	9.79e-09	1.55e-04	178	156
Pancreatic cancer	Alzheimer's disease	Gene Ontology	peptide receptor activity	down-up	-2.31	1.96	3.09e-07	2.86e-04	125	122
Pancreatic cancer	Alzheimer's disease	Gene Ontology	growth factor activity	down-up	-1.66	1.86	1.39e-02	6.93e-04	124	133
Pancreatic cancer	Alzheimer's disease	Gene Ontology	circulatory system process	down-up	-1.42	1.47	7.71e-03	9.98e-04	443	462
Pancreatic cancer	Alzheimer's disease	Gene Ontology	cell differentiation in spinal cord	down-up	-1.69	2.16	4.10e-02	1.17e-03	46	35
Pancreatic cancer	Alzheimer's disease	Gene Ontology	olfactory receptor activity	down-up	-2.8	2.14	6.36e-09	1.23e-03	49	36
Pancreatic cancer	Alzheimer's disease	Gene Ontology	sensory perception	down-up	-2.28	1.47	6.36e-09	1.34e-03	486	429
Pancreatic cancer	Alzheimer's disease	Gene Ontology	neuron fate commitment	down-up	-1.81	2.06	1.08e-02	1.41e-03	52	47
Pancreatic cancer	Alzheimer's disease	Gene Ontology	sensory perception of chemical stimulus	down-up	-2.29	1.88	1.21e-06	1.63e-03	115	93
Pancreatic cancer	Alzheimer's disease	Gene Ontology	muscle contraction	down-up	-1.49	1.55	8.86e-03	2.42e-03	288	299
Pancreatic cancer	Alzheimer's disease	Gene Ontology	neuron fate specification	down-up	-1.95	2.07	1.41e-02	4.18e-03	29	25
Pancreatic cancer	Alzheimer's disease	Gene Ontology	spinal cord development	down-up	-1.58	1.76	3.98e-02	5.77e-03	88	76
Pancreatic cancer	Alzheimer's disease	Gene Ontology	g protein coupled receptor signaling pathway	down-up	-2.05	1.3	6.36e-09	7.10e-03	802	726
Pancreatic cancer	Alzheimer's disease	Gene Ontology	metal ion homeostasis	down-up	-1.34	1.3	1.38e-02	1.57e-02	541	538
Pancreatic cancer	Alzheimer's disease	Gene Ontology	acylglycerol homeostasis	down-up	-1.78	1.86	4.85e-02	1.96e-02	29	23
Pancreatic cancer	Alzheimer's disease	Gene Ontology	detection of stimulus involved in sensory perception	down-up	-2.44	1.64	4.08e-08	1.97e-02	126	101
