disease.1	disease.2	category	pathway	overlap	nes.1	nes.2	fdr.1	fdr.2	genes.1	ngenes.2
Thyroid cancer	Parkinson's disease	HallMark	tnfa signaling via nfkb	up-up	1.62	2.02	5.71e-04	1.63e-07	196	190
Thyroid cancer	Parkinson's disease	HallMark	inflammatory response	up-up	2.28	1.99	1.25e-09	8.68e-07	200	192
Thyroid cancer	Parkinson's disease	HallMark	il2 stat5 signaling	up-up	1.64	1.92	2.75e-04	4.49e-06	198	172
Thyroid cancer	Parkinson's disease	HallMark	il6 jak stat3 signaling	up-up	2.01	2.09	1.68e-05	1.26e-05	87	85
Thyroid cancer	Parkinson's disease	HallMark	hypoxia	up-up	1.31	1.66	3.11e-02	2.10e-04	200	193
Thyroid cancer	Parkinson's disease	HallMark	p53 pathway	up-up	1.68	1.64	3.23e-04	2.25e-04	195	186
Thyroid cancer	Parkinson's disease	HallMark	complement	up-up	1.8	1.56	1.17e-05	2.79e-03	198	178
Thyroid cancer	Parkinson's disease	HallMark	coagulation	up-up	2.16	1.6	5.56e-08	3.50e-03	137	130
Thyroid cancer	Parkinson's disease	HallMark	allograft rejection	up-up	2.06	1.44	2.09e-08	7.95e-03	198	186
Thyroid cancer	Parkinson's disease	HallMark	interferon gamma response	up-up	2.29	1.44	1.25e-09	1.44e-02	196	170
Thyroid cancer	Parkinson's disease	HallMark	interferon alpha response	up-up	2.29	1.51	5.56e-08	1.74e-02	94	77
Thyroid cancer	Parkinson's disease	HallMark	epithelial mesenchymal transition	up-up	2.38	1.36	1.25e-09	2.19e-02	199	190
Thyroid cancer	Parkinson's disease	HallMark	wnt beta catenin signaling	up-up	1.72	1.66	9.26e-03	2.37e-02	41	34
Thyroid cancer	Parkinson's disease	HallMark	oxidative phosphorylation	down-down	-2.56	-3.09	1.25e-09	5.00e-09	196	187
Thyroid cancer	Parkinson's disease	HallMark	fatty acid metabolism	down-down	-1.65	-1.9	1.49e-03	2.09e-05	154	138
Thyroid cancer	Parkinson's disease	HallMark	adipogenesis	down-down	-1.69	-1.69	2.84e-04	3.97e-04	197	174
Thyroid cancer	Alzheimer's disease	HallMark	epithelial mesenchymal transition	up-up	2.38	2.13	1.25e-09	4.14e-08	199	190
Thyroid cancer	Alzheimer's disease	HallMark	inflammatory response	up-up	2.28	2.12	1.25e-09	4.46e-08	200	192
Thyroid cancer	Alzheimer's disease	HallMark	allograft rejection	up-up	2.06	2.09	2.09e-08	7.03e-08	198	186
Thyroid cancer	Alzheimer's disease	HallMark	il6 jak stat3 signaling	up-up	2.01	2.19	1.68e-05	4.69e-06	87	85
Thyroid cancer	Alzheimer's disease	HallMark	coagulation	up-up	2.16	2.01	5.56e-08	9.30e-06	137	130
Thyroid cancer	Alzheimer's disease	HallMark	tnfa signaling via nfkb	up-up	1.62	1.74	5.71e-04	1.21e-04	196	190
Thyroid cancer	Alzheimer's disease	HallMark	il2 stat5 signaling	up-up	1.64	1.7	2.75e-04	2.69e-04	198	173
Thyroid cancer	Alzheimer's disease	HallMark	hypoxia	up-up	1.31	1.61	3.11e-02	3.75e-04	200	193
Thyroid cancer	Alzheimer's disease	HallMark	interferon gamma response	up-up	2.29	1.54	1.25e-09	3.51e-03	196	170
Thyroid cancer	Alzheimer's disease	HallMark	p53 pathway	up-up	1.68	1.5	3.23e-04	3.51e-03	195	186
Thyroid cancer	Alzheimer's disease	HallMark	complement	up-up	1.8	1.45	1.17e-05	1.01e-02	198	179
Thyroid cancer	Alzheimer's disease	HallMark	kras signaling up	up-up	1.49	1.43	2.88e-03	1.10e-02	198	190
Thyroid cancer	Alzheimer's disease	HallMark	apical junction	up-up	2.07	1.37	3.90e-08	1.69e-02	195	176
Thyroid cancer	Alzheimer's disease	HallMark	oxidative phosphorylation	down-down	-2.56	-3.37	1.25e-09	2.50e-09	196	187
Thyroid cancer	Alzheimer's disease	HallMark	fatty acid metabolism	down-down	-1.65	-1.98	1.49e-03	1.01e-05	154	138
Thyroid cancer	Alzheimer's disease	HallMark	unfolded protein response	down-down	-1.45	-1.99	4.39e-02	2.28e-05	109	105
Thyroid cancer	Alzheimer's disease	HallMark	adipogenesis	down-down	-1.69	-1.6	2.84e-04	3.43e-03	197	174
Thyroid cancer	Parkinson's disease	Gene Ontology	adaptive immune response	up-up	1.54	2.01	4.33e-04	1.26e-08	403	319
Thyroid cancer	Parkinson's disease	Gene Ontology	anatomical structure formation involved in morphogenesis	up-up	1.55	1.61	5.40e-08	1.26e-08	1048	882
Thyroid cancer	Parkinson's disease	Gene Ontology	biological adhesion	up-up	1.81	1.53	1.50e-08	1.26e-08	1330	1082
Thyroid cancer	Parkinson's disease	Gene Ontology	blood vessel morphogenesis	up-up	1.73	1.83	6.35e-08	1.26e-08	572	510
Thyroid cancer	Parkinson's disease	Gene Ontology	cardiovascular system development	up-up	1.6	1.77	1.01e-06	1.26e-08	688	599
Thyroid cancer	Parkinson's disease	Gene Ontology	cytokine production	up-up	1.59	1.8	2.63e-06	1.26e-08	725	606
Thyroid cancer	Parkinson's disease	Gene Ontology	extracellular structure organization	up-up	2.13	1.97	1.50e-08	1.26e-08	355	310
Thyroid cancer	Parkinson's disease	Gene Ontology	lymphocyte activation	up-up	1.34	1.87	5.68e-03	1.26e-08	654	529
