disease.1	disease.2	category	pathway	overlap	nes.1	nes.2	fdr.1	fdr.2	genes.1	ngenes.2
Bladder cancer	Alzheimer's disease	HallMark	epithelial mesenchymal transition	down-up	-2.64	2.13	4.55e-10	4.14e-08	193	190
Bladder cancer	Alzheimer's disease	HallMark	inflammatory response	down-up	-2.39	2.12	4.55e-10	4.46e-08	198	192
Bladder cancer	Alzheimer's disease	HallMark	allograft rejection	down-up	-2.49	2.09	4.55e-10	7.03e-08	185	186
Bladder cancer	Alzheimer's disease	HallMark	il6 jak stat3 signaling	down-up	-1.72	2.19	1.35e-03	4.69e-06	85	85
Bladder cancer	Alzheimer's disease	HallMark	coagulation	down-up	-1.75	2.01	1.30e-04	9.30e-06	131	130
Bladder cancer	Alzheimer's disease	HallMark	myogenesis	down-up	-2.02	1.85	2.85e-08	1.64e-05	193	194
Bladder cancer	Alzheimer's disease	HallMark	tnfa signaling via nfkb	down-up	-2.83	1.74	4.55e-10	1.21e-04	190	190
Bladder cancer	Alzheimer's disease	HallMark	il2 stat5 signaling	down-up	-1.87	1.7	1.31e-06	2.69e-04	194	173
Bladder cancer	Alzheimer's disease	HallMark	hypoxia	down-up	-1.37	1.61	1.45e-02	3.75e-04	196	193
Bladder cancer	Alzheimer's disease	HallMark	interferon gamma response	down-up	-2.16	1.54	4.55e-10	3.51e-03	189	170
Bladder cancer	Alzheimer's disease	HallMark	complement	down-up	-1.93	1.45	1.31e-06	1.01e-02	187	179
Bladder cancer	Alzheimer's disease	HallMark	kras signaling up	down-up	-2.45	1.43	4.55e-10	1.10e-02	188	190
Bladder cancer	Alzheimer's disease	HallMark	apical junction	down-up	-1.41	1.37	1.00e-02	1.69e-02	190	176
Bladder cancer	Alzheimer's disease	HallMark	estrogen response early	down-up	-1.72	1.32	6.58e-05	2.86e-02	184	186
Bladder cancer	Alzheimer's disease	HallMark	myc targets v1	up-down	2.65	-2.54	4.55e-10	2.50e-09	183	182
Bladder cancer	Alzheimer's disease	HallMark	mtorc1 signaling	up-down	1.67	-2.19	3.20e-04	6.78e-09	191	191
Bladder cancer	Alzheimer's disease	HallMark	dna repair	up-down	1.99	-2.01	1.71e-06	9.30e-06	139	128
Bladder cancer	Alzheimer's disease	HallMark	unfolded protein response	up-down	1.87	-1.99	6.69e-05	2.28e-05	104	105
Bladder cancer	Alzheimer's disease	HallMark	uv response up	up-down	1.42	-1.48	1.90e-02	1.49e-02	154	152
Bladder cancer	Alzheimer's disease	HallMark	myc targets v2	up-down	2.65	-1.57	4.55e-10	1.99e-02	53	52
Bladder cancer	Alzheimer's disease	Gene Ontology	adaptive immune response	down-up	-2.12	2.36	6.96e-09	5.63e-09	362	320
Bladder cancer	Alzheimer's disease	Gene Ontology	alpha beta t cell activation	down-up	-2.06	2.49	3.60e-05	5.63e-09	123	106
Bladder cancer	Alzheimer's disease	Gene Ontology	anatomical structure formation involved in morphogenesis	down-up	-1.79	2.09	6.96e-09	5.63e-09	1005	883
Bladder cancer	Alzheimer's disease	Gene Ontology	animal organ morphogenesis	down-up	-1.3	2.05	5.91e-04	5.63e-09	988	846
Bladder cancer	Alzheimer's disease	Gene Ontology	appendage development	down-up	-1.39	2.4	4.29e-02	5.63e-09	165	142
Bladder cancer	Alzheimer's disease	Gene Ontology	biological adhesion	down-up	-2.09	1.92	6.96e-09	5.63e-09	1255	1084
Bladder cancer	Alzheimer's disease	Gene Ontology	blood vessel morphogenesis	down-up	-2.08	2.36	6.96e-09	5.63e-09	545	510
Bladder cancer	Alzheimer's disease	Gene Ontology	bone development	down-up	-1.91	2.34	8.94e-06	5.63e-09	204	175
Bladder cancer	Alzheimer's disease	Gene Ontology	cardiovascular system development	down-up	-2.03	2.32	6.96e-09	5.63e-09	656	601
Bladder cancer	Alzheimer's disease	Gene Ontology	cartilage development	down-up	-2.01	2.31	1.99e-06	5.63e-09	188	167
Bladder cancer	Alzheimer's disease	Gene Ontology	cell activation	down-up	-1.78	1.77	6.96e-09	5.63e-09	1235	1094
Bladder cancer	Alzheimer's disease	Gene Ontology	cell cell adhesion	down-up	-1.9	1.87	6.96e-09	5.63e-09	749	633
Bladder cancer	Alzheimer's disease	Gene Ontology	cell fate commitment	down-up	-1.39	2.48	3.77e-02	5.63e-09	246	206
Bladder cancer	Alzheimer's disease	Gene Ontology	cell surface	down-up	-1.93	2.11	6.96e-09	5.63e-09	757	667
Bladder cancer	Alzheimer's disease	Gene Ontology	circulatory system development	down-up	-1.87	2.15	6.96e-09	5.63e-09	979	883
Bladder cancer	Alzheimer's disease	Gene Ontology	collagen containing extracellular matrix	down-up	-2.27	2.59	6.96e-09	5.63e-09	375	327
Bladder cancer	Alzheimer's disease	Gene Ontology	connective tissue development	down-up	-2.11	2.19	1.69e-08	5.63e-09	247	218
Bladder cancer	Alzheimer's disease	Gene Ontology	cytokine mediated signaling pathway	down-up	-1.42	1.78	2.87e-04	5.63e-09	681	635
Bladder cancer	Alzheimer's disease	Gene Ontology	cytokine production	down-up	-1.82	2.04	6.96e-09	5.63e-09	691	607
Bladder cancer	Alzheimer's disease	Gene Ontology	embryonic morphogenesis	down-up	-1.52	2.3	8.12e-05	5.63e-09	541	464
Bladder cancer	Alzheimer's disease	Gene Ontology	external side of plasma membrane	down-up	-2.27	2.31	6.96e-09	5.63e-09	285	258
Bladder cancer	Alzheimer's disease	Gene Ontology	extracellular matrix	down-up	-2.12	2.67	6.96e-09	5.63e-09	483	412
Bladder cancer	Alzheimer's disease	Gene Ontology	extracellular matrix structural constituent	down-up	-2.29	2.49	1.17e-08	5.63e-09	152	133
Bladder cancer	Alzheimer's disease	Gene Ontology	extracellular structure organization	down-up	-2.02	2.51	6.96e-09	5.63e-09	342	310
Bladder cancer	Alzheimer's disease	Gene Ontology	immune receptor activity	down-up	-2.45	2.8	6.96e-09	5.63e-09	112	104
Bladder cancer	Alzheimer's disease	Gene Ontology	immune system development	down-up	-1.44	1.87	2.95e-05	5.63e-09	890	774
Bladder cancer	Alzheimer's disease	Gene Ontology	inflammatory response	down-up	-2.05	2.04	6.96e-09	5.63e-09	646	567
Bladder cancer	Alzheimer's disease	Gene Ontology	leukocyte cell cell adhesion	down-up	-2.1	2.21	6.96e-09	5.63e-09	308	281
Bladder cancer	Alzheimer's disease	Gene Ontology	leukocyte differentiation	down-up	-1.93	2.14	6.96e-09	5.63e-09	472	416
Bladder cancer	Alzheimer's disease	Gene Ontology	leukocyte migration	down-up	-2.16	2.09	6.96e-09	5.63e-09	402	373
Bladder cancer	Alzheimer's disease	Gene Ontology	leukocyte proliferation	down-up	-2.14	2.21	6.96e-09	5.63e-09	272	246
Bladder cancer	Alzheimer's disease	Gene Ontology	lymphocyte activation	down-up	-2.01	2.09	6.96e-09	5.63e-09	607	529
Bladder cancer	Alzheimer's disease	Gene Ontology	lymphocyte differentiation	down-up	-1.94	2.24	3.37e-08	5.63e-09	323	283
Bladder cancer	Alzheimer's disease	Gene Ontology	molecular transducer activity	down-up	-1.5	2.28	2.08e-08	5.63e-09	1022	853
Bladder cancer	Alzheimer's disease	Gene Ontology	negative regulation of developmental process	down-up	-1.65	1.78	6.96e-09	5.63e-09	847	741
Bladder cancer	Alzheimer's disease	Gene Ontology	negative regulation of immune system process	down-up	-2.04	2.04	6.96e-09	5.63e-09	400	357
Bladder cancer	Alzheimer's disease	Gene Ontology	negative regulation of multicellular organismal process	down-up	-1.66	1.8	6.96e-09	5.63e-09	1093	967
Bladder cancer	Alzheimer's disease	Gene Ontology	positive regulation of cell population proliferation	down-up	-1.45	2.02	1.24e-05	5.63e-09	815	734
Bladder cancer	Alzheimer's disease	Gene Ontology	positive regulation of developmental process	down-up	-1.8	1.66	6.96e-09	5.63e-09	1239	1092
Bladder cancer	Alzheimer's disease	Gene Ontology	positive regulation of immune system process	down-up	-1.88	1.71	6.96e-09	5.63e-09	953	843
Bladder cancer	Alzheimer's disease	Gene Ontology	positive regulation of vasculature development	down-up	-2.36	2.44	6.96e-09	5.63e-09	172	158
Bladder cancer	Alzheimer's disease	Gene Ontology	regulation of cell activation	down-up	-2	2.11	6.96e-09	5.63e-09	498	432
Bladder cancer	Alzheimer's disease	Gene Ontology	regulation of cell adhesion	down-up	-2.03	1.83	6.96e-09	5.63e-09	624	563
Bladder cancer	Alzheimer's disease	Gene Ontology	regulation of immune system process	down-up	-1.92	1.83	6.96e-09	5.63e-09	1353	1185
Bladder cancer	Alzheimer's disease	Gene Ontology	regulation of leukocyte proliferation	down-up	-2.09	2.38	7.09e-08	5.63e-09	206	183
Bladder cancer	Alzheimer's disease	Gene Ontology	regulation of lymphocyte activation	down-up	-1.85	2.09	3.65e-08	5.63e-09	390	337
Bladder cancer	Alzheimer's disease	Gene Ontology	regulation of vasculature development	down-up	-2.38	2.18	6.96e-09	5.63e-09	298	274
Bladder cancer	Alzheimer's disease	Gene Ontology	response to bacterium	down-up	-1.77	2.17	4.38e-08	5.63e-09	531	459
Bladder cancer	Alzheimer's disease	Gene Ontology	response to biotic stimulus	down-up	-1.47	1.63	6.56e-08	5.63e-09	1257	1089
Bladder cancer	Alzheimer's disease	Gene Ontology	response to lipid	down-up	-1.52	1.72	2.70e-07	5.63e-09	848	784
Bladder cancer	Alzheimer's disease	Gene Ontology	response to molecule of bacterial origin	down-up	-1.85	2.11	6.21e-07	5.63e-09	313	289
Bladder cancer	Alzheimer's disease	Gene Ontology	response to wounding	down-up	-1.73	1.93	8.81e-08	5.63e-09	610	557
Bladder cancer	Alzheimer's disease	Gene Ontology	sensory organ development	down-up	-1.33	2.11	1.47e-02	5.63e-09	511	432
Bladder cancer	Alzheimer's disease	Gene Ontology	skeletal system development	down-up	-1.73	2.33	3.36e-07	5.63e-09	485	419
Bladder cancer	Alzheimer's disease	Gene Ontology	tube development	down-up	-1.73	2.35	6.96e-09	5.63e-09	955	858
Bladder cancer	Alzheimer's disease	Gene Ontology	tube morphogenesis	down-up	-1.84	2.34	6.96e-09	5.63e-09	769	694
Bladder cancer	Alzheimer's disease	Gene Ontology	t cell activation	down-up	-2.08	2.18	6.96e-09	5.63e-09	423	373
Bladder cancer	Alzheimer's disease	Gene Ontology	urogenital system development	down-up	-1.59	2.13	1.24e-04	5.63e-09	314	284
Bladder cancer	Alzheimer's disease	Gene Ontology	wound healing	down-up	-1.68	2.02	3.87e-07	5.63e-09	507	461
Bladder cancer	Alzheimer's disease	Gene Ontology	positive regulation of cell adhesion	down-up	-2.11	2	6.96e-09	8.21e-09	369	333
Bladder cancer	Alzheimer's disease	Gene Ontology	regulation of leukocyte differentiation	down-up	-1.98	2.13	6.13e-07	8.43e-09	250	218
Bladder cancer	Alzheimer's disease	Gene Ontology	response to cytokine	down-up	-1.51	1.6	2.38e-07	1.12e-08	1050	972
Bladder cancer	Alzheimer's disease	Gene Ontology	t cell differentiation	down-up	-1.78	2.22	5.88e-05	1.22e-08	224	197
Bladder cancer	Alzheimer's disease	Gene Ontology	cytokine receptor activity	down-up	-2.21	2.6	5.92e-06	1.33e-08	91	84
Bladder cancer	Alzheimer's disease	Gene Ontology	negative regulation of cytokine production	down-up	-1.63	2.12	9.84e-04	1.83e-08	246	220
Bladder cancer	Alzheimer's disease	Gene Ontology	regulation of cell cell adhesion	down-up	-1.9	1.96	2.81e-08	2.37e-08	371	332
Bladder cancer	Alzheimer's disease	Gene Ontology	renal system development	down-up	-1.61	2.09	7.25e-04	2.66e-08	279	249
Bladder cancer	Alzheimer's disease	Gene Ontology	defense response to other organism	down-up	-1.46	1.62	3.05e-06	2.75e-08	932	805
Bladder cancer	Alzheimer's disease	Gene Ontology	sensory system development	down-up	-1.36	2	1.29e-02	2.97e-08	351	297
Bladder cancer	Alzheimer's disease	Gene Ontology	appendage morphogenesis	down-up	-1.56	2.42	1.89e-02	3.63e-08	136	120
Bladder cancer	Alzheimer's disease	Gene Ontology	humoral immune response	down-up	-1.45	2.19	1.74e-02	4.22e-08	210	194
Bladder cancer	Alzheimer's disease	Gene Ontology	heart development	down-up	-1.79	1.82	2.02e-08	4.92e-08	520	460
Bladder cancer	Alzheimer's disease	Gene Ontology	gland development	down-up	-1.42	1.9	4.42e-03	4.99e-08	401	375
Bladder cancer	Alzheimer's disease	Gene Ontology	muscle structure development	down-up	-2.08	1.76	6.96e-09	4.99e-08	586	505
Bladder cancer	Alzheimer's disease	Gene Ontology	cytokine binding	down-up	-2.57	2.4	6.96e-09	5.18e-08	123	111
Bladder cancer	Alzheimer's disease	Gene Ontology	regulation of immune response	down-up	-1.78	1.62	6.96e-09	6.55e-08	881	775
Bladder cancer	Alzheimer's disease	Gene Ontology	positive regulation of cell activation	down-up	-1.86	2.06	8.72e-07	7.28e-08	299	263
Bladder cancer	Alzheimer's disease	Gene Ontology	regulation of immune effector process	down-up	-1.78	1.98	1.33e-06	7.72e-08	353	314
Bladder cancer	Alzheimer's disease	Gene Ontology	negative regulation of cell differentiation	down-up	-1.61	1.72	6.66e-07	8.51e-08	625	539
Bladder cancer	Alzheimer's disease	Gene Ontology	b cell activation	down-up	-1.72	2.11	2.58e-04	8.71e-08	219	191
Bladder cancer	Alzheimer's disease	Gene Ontology	regulation of t cell activation	down-up	-1.91	2.07	1.05e-07	9.03e-08	293	256
Bladder cancer	Alzheimer's disease	Gene Ontology	morphogenesis of a branching structure	down-up	-1.73	2.16	2.54e-04	1.02e-07	190	172
Bladder cancer	Alzheimer's disease	Gene Ontology	embryonic appendage morphogenesis	down-up	-1.7	2.39	2.68e-03	1.40e-07	116	105
Bladder cancer	Alzheimer's disease	Gene Ontology	branching morphogenesis of an epithelial tube	down-up	-1.64	2.31	6.89e-03	1.64e-07	143	129
Bladder cancer	Alzheimer's disease	Gene Ontology	t cell proliferation	down-up	-2.07	2.21	5.75e-07	1.66e-07	172	154
Bladder cancer	Alzheimer's disease	Gene Ontology	positive regulation of intracellular signal transduction	down-up	-1.76	1.6	6.96e-09	1.67e-07	910	794
Bladder cancer	Alzheimer's disease	Gene Ontology	receptor complex	down-up	-1.6	1.93	1.05e-04	1.67e-07	364	323
Bladder cancer	Alzheimer's disease	Gene Ontology	kidney epithelium development	down-up	-1.8	2.34	1.25e-03	1.81e-07	135	120
Bladder cancer	Alzheimer's disease	Gene Ontology	digestive system development	down-up	-1.65	2.34	3.96e-03	1.84e-07	133	120
Bladder cancer	Alzheimer's disease	Gene Ontology	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	down-up	-1.8	2.02	6.94e-05	3.03e-07	234	206
Bladder cancer	Alzheimer's disease	Gene Ontology	myeloid cell differentiation	down-up	-1.59	1.88	5.24e-05	4.28e-07	373	329
Bladder cancer	Alzheimer's disease	Gene Ontology	tissue morphogenesis	down-up	-1.37	1.69	1.15e-03	4.82e-07	621	537
Bladder cancer	Alzheimer's disease	Gene Ontology	tumor necrosis factor superfamily cytokine production	down-up	-2.07	2.24	3.20e-06	6.02e-07	140	124
Bladder cancer	Alzheimer's disease	Gene Ontology	gland morphogenesis	down-up	-1.87	2.28	4.42e-04	7.02e-07	115	109
Bladder cancer	Alzheimer's disease	Gene Ontology	side of membrane	down-up	-2.09	1.8	6.96e-09	7.99e-07	462	407
Bladder cancer	Alzheimer's disease	Gene Ontology	positive regulation of leukocyte cell cell adhesion	down-up	-2	2.08	1.91e-06	9.19e-07	202	183
Bladder cancer	Alzheimer's disease	Gene Ontology	respiratory system development	down-up	-1.41	2.09	3.96e-02	9.76e-07	188	167
Bladder cancer	Alzheimer's disease	Gene Ontology	cellular response to biotic stimulus	down-up	-1.57	2.05	4.25e-03	1.07e-06	213	194
Bladder cancer	Alzheimer's disease	Gene Ontology	epithelial cell development	down-up	-1.53	2.08	6.01e-03	1.07e-06	196	174
Bladder cancer	Alzheimer's disease	Gene Ontology	nephron epithelium development	down-up	-1.67	2.31	4.43e-03	1.19e-06	106	92
