disease.1	disease.2	category	pathway	overlap	nes.1	nes.2	fdr.1	fdr.2	genes.1	ngenes.2
Kidney cancer	Parkinson's disease	HallMark	tnfa signaling via nfkb	up-up	2.3	2.02	5.56e-10	1.63e-07	168	190
Kidney cancer	Parkinson's disease	HallMark	inflammatory response	up-up	2.56	1.99	5.56e-10	8.68e-07	191	192
Kidney cancer	Parkinson's disease	HallMark	il2 stat5 signaling	up-up	1.85	1.92	2.12e-05	4.49e-06	171	172
Kidney cancer	Parkinson's disease	HallMark	il6 jak stat3 signaling	up-up	2.44	2.09	3.43e-09	1.26e-05	75	85
Kidney cancer	Parkinson's disease	HallMark	hypoxia	up-up	2.14	1.66	7.73e-09	2.10e-04	173	193
Kidney cancer	Parkinson's disease	HallMark	p53 pathway	up-up	1.9	1.64	5.02e-06	2.25e-04	163	186
Kidney cancer	Parkinson's disease	HallMark	complement	up-up	2.05	1.56	7.64e-08	2.79e-03	163	178
Kidney cancer	Parkinson's disease	HallMark	allograft rejection	up-up	2.87	1.44	5.56e-10	7.95e-03	167	186
Kidney cancer	Parkinson's disease	HallMark	interferon gamma response	up-up	3	1.44	5.56e-10	1.44e-02	162	170
Kidney cancer	Parkinson's disease	HallMark	interferon alpha response	up-up	2.74	1.51	5.56e-10	1.74e-02	73	77
Kidney cancer	Parkinson's disease	HallMark	epithelial mesenchymal transition	up-up	2.02	1.36	4.88e-07	2.19e-02	175	190
Kidney cancer	Parkinson's disease	HallMark	wnt beta catenin signaling	up-up	1.83	1.66	2.17e-03	2.37e-02	35	34
Kidney cancer	Parkinson's disease	HallMark	oxidative phosphorylation	down-down	-2.76	-3.09	5.56e-10	5.00e-09	164	187
Kidney cancer	Parkinson's disease	HallMark	fatty acid metabolism	down-down	-2.23	-1.9	3.72e-08	2.09e-05	119	138
Kidney cancer	Parkinson's disease	HallMark	adipogenesis	down-down	-1.47	-1.69	1.04e-02	3.97e-04	172	174
Kidney cancer	Parkinson's disease	HallMark	peroxisome	down-down	-1.6	-1.51	6.10e-03	1.35e-02	85	94
Kidney cancer	Parkinson's disease	Gene Ontology	adaptive immune response	up-up	2.25	2.01	8.93e-09	1.26e-08	316	319
Kidney cancer	Parkinson's disease	Gene Ontology	anatomical structure formation involved in morphogenesis	up-up	1.32	1.61	7.12e-03	1.26e-08	884	882
Kidney cancer	Parkinson's disease	Gene Ontology	biological adhesion	up-up	1.46	1.53	2.85e-05	1.26e-08	1092	1082
Kidney cancer	Parkinson's disease	Gene Ontology	blood vessel morphogenesis	up-up	1.59	1.83	1.10e-04	1.26e-08	479	510
Kidney cancer	Parkinson's disease	Gene Ontology	cardiovascular system development	up-up	1.48	1.77	1.36e-03	1.26e-08	575	599
Kidney cancer	Parkinson's disease	Gene Ontology	chromatin organization	up-up	1.46	1.75	1.32e-03	1.26e-08	593	575
Kidney cancer	Parkinson's disease	Gene Ontology	chromosome	up-up	1.48	1.6	1.46e-06	1.26e-08	1322	1242
Kidney cancer	Parkinson's disease	Gene Ontology	cytokine production	up-up	2.01	1.8	8.93e-09	1.26e-08	605	606
Kidney cancer	Parkinson's disease	Gene Ontology	leukocyte differentiation	up-up	1.9	2.05	1.04e-08	1.26e-08	419	416
Kidney cancer	Parkinson's disease	Gene Ontology	lymphocyte activation	up-up	2.21	1.87	8.93e-09	1.26e-08	533	529
Kidney cancer	Parkinson's disease	Gene Ontology	lymphocyte differentiation	up-up	1.9	2.09	1.50e-06	1.26e-08	282	283
Kidney cancer	Parkinson's disease	Gene Ontology	negative regulation of biosynthetic process	up-up	1.37	1.68	4.60e-04	1.26e-08	1215	1167
Kidney cancer	Parkinson's disease	Gene Ontology	negative regulation of nucleobase containing compound metabolic process	up-up	1.38	1.78	5.85e-04	1.26e-08	1125	1078
Kidney cancer	Parkinson's disease	Gene Ontology	negative regulation of rna biosynthetic process	up-up	1.34	1.92	4.30e-03	1.26e-08	985	950
Kidney cancer	Parkinson's disease	Gene Ontology	negative regulation of transcription by rna polymerase ii	up-up	1.35	2.03	1.20e-02	1.26e-08	690	667
Kidney cancer	Parkinson's disease	Gene Ontology	positive regulation of cellular biosynthetic process	up-up	1.28	1.59	4.55e-03	1.26e-08	1574	1557
Kidney cancer	Parkinson's disease	Gene Ontology	positive regulation of nucleobase containing compound metabolic process	up-up	1.3	1.61	2.14e-03	1.26e-08	1488	1459
Kidney cancer	Parkinson's disease	Gene Ontology	positive regulation of rna metabolic process	up-up	1.23	1.67	4.30e-02	1.26e-08	1366	1339
Kidney cancer	Parkinson's disease	Gene Ontology	regulation of cell population proliferation	up-up	1.23	1.5	3.29e-02	1.26e-08	1285	1308
Kidney cancer	Parkinson's disease	Gene Ontology	regulation of immune system process	up-up	2.11	1.49	8.93e-09	1.26e-08	1167	1182
Kidney cancer	Parkinson's disease	Gene Ontology	response to bacterium	up-up	1.81	1.85	2.51e-08	1.26e-08	470	458
Kidney cancer	Parkinson's disease	Gene Ontology	tube morphogenesis	up-up	1.3	1.76	2.93e-02	1.26e-08	684	694
Kidney cancer	Parkinson's disease	Gene Ontology	inflammatory response	up-up	1.9	1.71	8.93e-09	1.64e-08	577	567
Kidney cancer	Parkinson's disease	Gene Ontology	t cell activation	up-up	2.26	1.89	8.93e-09	1.73e-08	371	373
Kidney cancer	Parkinson's disease	Gene Ontology	regulation of cell activation	up-up	2.08	1.8	8.93e-09	4.55e-08	433	432
Kidney cancer	Parkinson's disease	Gene Ontology	regulation of leukocyte differentiation	up-up	1.78	2.04	2.98e-04	6.21e-08	219	218
Kidney cancer	Parkinson's disease	Gene Ontology	transcription coregulator activity	up-up	1.48	1.78	5.00e-03	6.21e-08	458	461
Kidney cancer	Parkinson's disease	Gene Ontology	t cell differentiation	up-up	2.01	2.1	1.25e-06	1.23e-07	195	197
Kidney cancer	Parkinson's disease	Gene Ontology	leukocyte cell cell adhesion	up-up	2.22	1.95	8.93e-09	1.36e-07	270	281
Kidney cancer	Parkinson's disease	Gene Ontology	regulation of lymphocyte activation	up-up	2.23	1.85	8.93e-09	1.37e-07	339	337
Kidney cancer	Parkinson's disease	Gene Ontology	circulatory system development	up-up	1.34	1.52	1.06e-02	1.38e-07	861	880
Kidney cancer	Parkinson's disease	Gene Ontology	cell activation	up-up	2.12	1.43	8.93e-09	2.55e-07	1079	1094
Kidney cancer	Parkinson's disease	Gene Ontology	immune system development	up-up	1.81	1.52	8.93e-09	3.99e-07	772	774
Kidney cancer	Parkinson's disease	Gene Ontology	positive regulation of locomotion	up-up	1.57	1.69	3.81e-04	4.16e-07	457	466
Kidney cancer	Parkinson's disease	Gene Ontology	regulation of vasculature development	up-up	1.51	1.91	1.01e-02	6.22e-07	265	274
Kidney cancer	Parkinson's disease	Gene Ontology	negative regulation of immune system process	up-up	1.88	1.79	2.61e-07	6.87e-07	348	357
Kidney cancer	Parkinson's disease	Gene Ontology	b cell activation	up-up	2.1	2.03	1.29e-07	8.15e-07	192	191
Kidney cancer	Parkinson's disease	Gene Ontology	defense response to bacterium	up-up	1.86	2.1	2.25e-04	8.27e-07	166	156
Kidney cancer	Parkinson's disease	Gene Ontology	defense response	up-up	2.01	1.34	8.93e-09	9.10e-07	1211	1215
Kidney cancer	Parkinson's disease	Gene Ontology	response to molecule of bacterial origin	up-up	1.77	1.88	2.52e-05	9.61e-07	281	289
Kidney cancer	Parkinson's disease	Gene Ontology	regulation of cell adhesion	up-up	1.79	1.6	2.82e-08	9.65e-07	539	562
Kidney cancer	Parkinson's disease	Gene Ontology	covalent chromatin modification	up-up	1.53	1.73	2.65e-03	1.76e-06	373	364
Kidney cancer	Parkinson's disease	Gene Ontology	positive regulation of intracellular signal transduction	up-up	1.6	1.49	1.05e-06	2.01e-06	802	792
Kidney cancer	Parkinson's disease	Gene Ontology	cellular response to biotic stimulus	up-up	2.14	1.99	5.47e-08	2.46e-06	189	194
Kidney cancer	Parkinson's disease	Gene Ontology	immune receptor activity	up-up	1.76	2.17	6.92e-03	3.44e-06	95	104
Kidney cancer	Parkinson's disease	Gene Ontology	i kappab kinase nf kappab signaling	up-up	2.02	1.94	3.69e-07	3.94e-06	221	202
Kidney cancer	Parkinson's disease	Gene Ontology	regulation of immune effector process	up-up	1.96	1.79	8.75e-08	4.49e-06	305	313
Kidney cancer	Parkinson's disease	Gene Ontology	regulation of cellular component movement	up-up	1.42	1.47	1.09e-03	5.20e-06	796	801
Kidney cancer	Parkinson's disease	Gene Ontology	response to biotic stimulus	up-up	2.02	1.36	8.93e-09	5.42e-06	1081	1088
Kidney cancer	Parkinson's disease	Gene Ontology	regulation of immune response	up-up	2.27	1.47	8.93e-09	5.65e-06	755	772
Kidney cancer	Parkinson's disease	Gene Ontology	external side of plasma membrane	up-up	1.57	1.79	4.71e-03	7.97e-06	253	257
Kidney cancer	Parkinson's disease	Gene Ontology	positive regulation of interleukin 6 production	up-up	1.98	2.29	5.60e-04	8.50e-06	77	76
Kidney cancer	Parkinson's disease	Gene Ontology	cytokine binding	up-up	1.69	2.09	1.74e-02	8.72e-06	110	110
Kidney cancer	Parkinson's disease	Gene Ontology	cell motility	up-up	1.37	1.3	3.62e-04	8.91e-06	1273	1242
Kidney cancer	Parkinson's disease	Gene Ontology	positive regulation of multicellular organismal process	up-up	1.32	1.3	1.49e-03	1.12e-05	1396	1410
Kidney cancer	Parkinson's disease	Gene Ontology	positive regulation of cytokine production	up-up	2.13	1.68	8.93e-09	1.15e-05	360	364
Kidney cancer	Parkinson's disease	Gene Ontology	regulation of t cell activation	up-up	2.2	1.83	8.93e-09	1.21e-05	251	256
Kidney cancer	Parkinson's disease	Gene Ontology	regulation of adaptive immune response	up-up	2.09	2.05	9.69e-06	1.26e-05	128	129
Kidney cancer	Parkinson's disease	Gene Ontology	phagocytosis	up-up	2.09	1.83	1.56e-07	1.38e-05	200	214
Kidney cancer	Parkinson's disease	Gene Ontology	regulation of t cell differentiation	up-up	1.9	2.09	8.51e-04	1.54e-05	110	113
Kidney cancer	Parkinson's disease	Gene Ontology	regulation of lymphocyte differentiation	up-up	1.85	2	3.78e-04	1.61e-05	138	136
Kidney cancer	Parkinson's disease	Gene Ontology	transcription corepressor activity	up-up	1.61	1.87	8.33e-03	1.67e-05	196	189
Kidney cancer	Parkinson's disease	Gene Ontology	positive regulation of developmental process	up-up	1.24	1.32	4.50e-02	1.81e-05	1094	1090
Kidney cancer	Parkinson's disease	Gene Ontology	positive regulation of cell activation	up-up	2.11	1.76	8.93e-09	1.85e-05	253	263
Kidney cancer	Parkinson's disease	Gene Ontology	positive regulation of immune system process	up-up	2.15	1.44	8.93e-09	1.94e-05	823	841
Kidney cancer	Parkinson's disease	Gene Ontology	cell surface	up-up	1.46	1.48	1.29e-03	2.25e-05	670	665
Kidney cancer	Parkinson's disease	Gene Ontology	positive regulation of cell population proliferation	up-up	1.35	1.46	1.02e-02	2.25e-05	718	732
Kidney cancer	Parkinson's disease	Gene Ontology	chromosome organization	up-up	1.8	1.41	8.93e-09	2.42e-05	926	892
Kidney cancer	Parkinson's disease	Gene Ontology	leukocyte proliferation	up-up	2.15	1.79	8.93e-09	3.01e-05	243	246
Kidney cancer	Parkinson's disease	Gene Ontology	leukocyte migration	up-up	1.96	1.65	1.34e-08	3.06e-05	353	373
Kidney cancer	Parkinson's disease	Gene Ontology	interleukin 6 production	up-up	2.03	2.03	2.66e-05	5.04e-05	119	115
Kidney cancer	Parkinson's disease	Gene Ontology	b cell differentiation	up-up	1.79	2.06	2.77e-03	5.09e-05	100	102
Kidney cancer	Parkinson's disease	Gene Ontology	negative regulation of multi organism process	up-up	1.82	1.85	5.60e-04	5.18e-05	163	173
Kidney cancer	Parkinson's disease	Gene Ontology	regulation of leukocyte proliferation	up-up	2.21	1.86	8.93e-09	5.26e-05	183	183
Kidney cancer	Parkinson's disease	Gene Ontology	tumor necrosis factor superfamily cytokine production	up-up	2.08	1.94	4.47e-06	5.26e-05	120	124
Kidney cancer	Parkinson's disease	Gene Ontology	negative regulation of lymphocyte activation	up-up	2	2.01	5.60e-05	5.31e-05	118	120
Kidney cancer	Parkinson's disease	Gene Ontology	immune effector process	up-up	2.21	1.41	8.93e-09	5.37e-05	891	922
Kidney cancer	Parkinson's disease	Gene Ontology	cell cell adhesion	up-up	1.49	1.48	5.01e-04	5.81e-05	651	632
Kidney cancer	Parkinson's disease	Gene Ontology	regulation of leukocyte mediated immunity	up-up	1.97	1.86	1.45e-05	6.08e-05	157	161
Kidney cancer	Parkinson's disease	Gene Ontology	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	up-up	2.03	1.79	1.25e-06	6.93e-05	201	205
Kidney cancer	Parkinson's disease	Gene Ontology	cytokine receptor activity	up-up	1.66	2.08	2.73e-02	7.73e-05	78	84
Kidney cancer	Parkinson's disease	Gene Ontology	positive regulation of i kappab kinase nf kappab signaling	up-up	1.89	1.94	1.75e-04	7.73e-05	156	143
Kidney cancer	Parkinson's disease	Gene Ontology	myeloid cell differentiation	up-up	1.65	1.65	4.15e-04	1.00e-04	322	329
Kidney cancer	Parkinson's disease	Gene Ontology	positive regulation of leukocyte differentiation	up-up	1.92	1.95	3.62e-04	1.00e-04	118	127
Kidney cancer	Parkinson's disease	Gene Ontology	transcription factor binding	up-up	1.44	1.48	5.69e-03	1.02e-04	525	545
