disease.1	disease.2	category	pathway	overlap	nes.1	nes.2	fdr.1	fdr.2	genes.1	ngenes.2
Breast cancer	Parkinson's disease	HallMark	tnfa signaling via nfkb	down-up	-1.81	2.02	1.98e-06	1.63e-07	196	190
Breast cancer	Parkinson's disease	HallMark	il2 stat5 signaling	down-up	-1.38	1.92	1.41e-02	4.49e-06	198	172
Breast cancer	Parkinson's disease	HallMark	hypoxia	down-up	-1.66	1.66	7.03e-05	2.10e-04	200	193
Breast cancer	Parkinson's disease	HallMark	p53 pathway	down-up	-1.33	1.64	1.13e-02	2.25e-04	195	186
Breast cancer	Parkinson's disease	HallMark	coagulation	down-up	-1.52	1.6	4.93e-03	3.50e-03	137	130
Breast cancer	Parkinson's disease	HallMark	epithelial mesenchymal transition	down-up	-1.26	1.36	4.32e-02	2.19e-02	199	190
Breast cancer	Parkinson's disease	HallMark	wnt beta catenin signaling	down-up	-1.54	1.66	2.41e-02	2.37e-02	41	34
Breast cancer	Parkinson's disease	HallMark	myogenesis	down-up	-2.08	1.32	3.18e-09	3.80e-02	198	194
Breast cancer	Parkinson's disease	HallMark	myc targets v1	up-down	2.3	-1.98	8.33e-10	1.03e-06	193	182
Breast cancer	Parkinson's disease	HallMark	mtorc1 signaling	up-down	2.23	-1.9	8.33e-10	1.67e-06	196	190
Breast cancer	Parkinson's disease	HallMark	dna repair	up-down	1.76	-1.47	5.90e-05	2.19e-02	146	128
Breast cancer	Parkinson's disease	HallMark	myc targets v2	up-down	2.07	-1.57	8.83e-06	2.62e-02	56	52
Breast cancer	Parkinson's disease	HallMark	glycolysis	up-down	1.74	-1.37	1.17e-05	4.88e-02	198	182
Breast cancer	Alzheimer's disease	HallMark	epithelial mesenchymal transition	down-up	-1.26	2.13	4.32e-02	4.14e-08	199	190
Breast cancer	Alzheimer's disease	HallMark	coagulation	down-up	-1.52	2.01	4.93e-03	9.30e-06	137	130
Breast cancer	Alzheimer's disease	HallMark	myogenesis	down-up	-2.08	1.85	3.18e-09	1.64e-05	198	194
Breast cancer	Alzheimer's disease	HallMark	tnfa signaling via nfkb	down-up	-1.81	1.74	1.98e-06	1.21e-04	196	190
Breast cancer	Alzheimer's disease	HallMark	il2 stat5 signaling	down-up	-1.38	1.7	1.41e-02	2.69e-04	198	173
Breast cancer	Alzheimer's disease	HallMark	hypoxia	down-up	-1.66	1.61	7.03e-05	3.75e-04	200	193
Breast cancer	Alzheimer's disease	HallMark	p53 pathway	down-up	-1.33	1.5	1.13e-02	3.51e-03	195	186
Breast cancer	Alzheimer's disease	HallMark	kras signaling up	down-up	-1.5	1.43	3.15e-03	1.10e-02	198	190
Breast cancer	Alzheimer's disease	HallMark	apical junction	down-up	-1.31	1.37	1.64e-02	1.69e-02	195	176
