disease.1	disease.2	category	pathway	overlap	nes.1	nes.2	fdr.1	fdr.2	genes.1	ngenes.2
Prostate cancer	Parkinson's disease	HallMark	hypoxia	down-up	-1.79	1.66	1.98e-05	2.10e-04	184	193
Prostate cancer	Parkinson's disease	HallMark	tgf beta signaling	down-up	-1.53	1.65	2.72e-02	1.04e-02	51	49
Prostate cancer	Parkinson's disease	HallMark	interferon alpha response	down-up	-1.53	1.51	1.52e-02	1.74e-02	79	77
Prostate cancer	Parkinson's disease	HallMark	epithelial mesenchymal transition	down-up	-2.1	1.36	1.48e-09	2.19e-02	187	190
Prostate cancer	Parkinson's disease	HallMark	myogenesis	down-up	-2.07	1.32	1.96e-08	3.80e-02	177	194
Prostate cancer	Parkinson's disease	HallMark	myc targets v1	up-down	2.61	-1.98	1.48e-09	1.03e-06	169	182
Prostate cancer	Parkinson's disease	HallMark	mtorc1 signaling	up-down	1.67	-1.9	4.74e-04	1.67e-06	175	190
Prostate cancer	Parkinson's disease	HallMark	myc targets v2	up-down	2.43	-1.57	4.26e-07	2.62e-02	50	52
Prostate cancer	Parkinson's disease	HallMark	glycolysis	up-down	1.42	-1.37	2.22e-02	4.88e-02	177	182
Prostate cancer	Alzheimer's disease	HallMark	epithelial mesenchymal transition	down-up	-2.1	2.13	1.48e-09	4.14e-08	187	190
Prostate cancer	Alzheimer's disease	HallMark	myogenesis	down-up	-2.07	1.85	1.96e-08	1.64e-05	177	194
Prostate cancer	Alzheimer's disease	HallMark	hypoxia	down-up	-1.79	1.61	1.98e-05	3.75e-04	184	193
Prostate cancer	Alzheimer's disease	HallMark	kras signaling dn	down-up	-1.49	1.67	8.86e-03	3.75e-04	177	190
Prostate cancer	Alzheimer's disease	HallMark	apical junction	down-up	-1.91	1.37	1.14e-06	1.69e-02	182	176
Prostate cancer	Alzheimer's disease	HallMark	estrogen response early	down-up	-1.52	1.32	4.47e-03	2.86e-02	178	186
Prostate cancer	Alzheimer's disease	HallMark	myc targets v1	up-down	2.61	-2.54	1.48e-09	2.50e-09	169	182
Prostate cancer	Alzheimer's disease	HallMark	mtorc1 signaling	up-down	1.67	-2.19	4.74e-04	6.78e-09	175	191
Prostate cancer	Alzheimer's disease	HallMark	unfolded protein response	up-down	1.93	-1.99	5.55e-05	2.28e-05	99	105
Prostate cancer	Alzheimer's disease	HallMark	myc targets v2	up-down	2.43	-1.57	4.26e-07	1.99e-02	50	52
Prostate cancer	Parkinson's disease	Gene Ontology	anatomical structure formation involved in morphogenesis	down-up	-1.68	1.61	3.20e-08	1.26e-08	960	882
Prostate cancer	Parkinson's disease	Gene Ontology	biological adhesion	down-up	-1.6	1.53	3.20e-08	1.26e-08	1169	1082
Prostate cancer	Parkinson's disease	Gene Ontology	blood vessel morphogenesis	down-up	-1.71	1.83	1.26e-06	1.26e-08	519	510
Prostate cancer	Parkinson's disease	Gene Ontology	cardiovascular system development	down-up	-1.73	1.77	5.47e-08	1.26e-08	625	599
Prostate cancer	Parkinson's disease	Gene Ontology	cytokine production	down-up	-1.33	1.8	3.49e-02	1.26e-08	640	606
Prostate cancer	Parkinson's disease	Gene Ontology	extracellular structure organization	down-up	-1.77	1.97	7.59e-06	1.26e-08	326	310
Prostate cancer	Parkinson's disease	Gene Ontology	regulation of cell population proliferation	down-up	-1.48	1.5	1.49e-06	1.26e-08	1362	1308
Prostate cancer	Parkinson's disease	Gene Ontology	tube development	down-up	-1.59	1.73	5.18e-07	1.26e-08	904	857
Prostate cancer	Parkinson's disease	Gene Ontology	tube morphogenesis	down-up	-1.62	1.76	1.59e-06	1.26e-08	734	694
Prostate cancer	Parkinson's disease	Gene Ontology	epithelial cell differentiation	down-up	-1.54	1.73	7.81e-04	2.91e-08	570	532
Prostate cancer	Parkinson's disease	Gene Ontology	regulation of cell activation	down-up	-1.36	1.8	3.45e-02	4.55e-08	459	432
Prostate cancer	Parkinson's disease	Gene Ontology	embryo development	down-up	-1.44	1.55	5.47e-04	1.10e-07	893	796
Prostate cancer	Parkinson's disease	Gene Ontology	circulatory system development	down-up	-1.74	1.52	3.20e-08	1.38e-07	932	880
Prostate cancer	Parkinson's disease	Gene Ontology	cell activation	down-up	-1.26	1.43	2.99e-02	2.55e-07	1151	1094
Prostate cancer	Parkinson's disease	Gene Ontology	positive regulation of locomotion	down-up	-1.69	1.69	5.32e-06	4.16e-07	481	466
Prostate cancer	Parkinson's disease	Gene Ontology	regulation of vasculature development	down-up	-1.71	1.91	1.67e-04	6.22e-07	287	274
Prostate cancer	Parkinson's disease	Gene Ontology	negative regulation of multicellular organismal process	down-up	-1.63	1.47	3.20e-08	7.45e-07	1044	967
Prostate cancer	Parkinson's disease	Gene Ontology	regulation of cell adhesion	down-up	-1.58	1.6	8.29e-05	9.65e-07	584	562
Prostate cancer	Parkinson's disease	Gene Ontology	positive regulation of intracellular signal transduction	down-up	-1.39	1.49	4.09e-03	2.01e-06	855	792
Prostate cancer	Parkinson's disease	Gene Ontology	i kappab kinase nf kappab signaling	down-up	-1.57	1.94	1.01e-02	3.94e-06	231	202
Prostate cancer	Parkinson's disease	Gene Ontology	regulation of cellular component movement	down-up	-1.79	1.47	3.20e-08	5.20e-06	855	801
Prostate cancer	Parkinson's disease	Gene Ontology	skeletal system development	down-up	-1.8	1.67	2.90e-07	5.58e-06	456	419
Prostate cancer	Parkinson's disease	Gene Ontology	cell motility	down-up	-1.58	1.3	3.20e-08	8.91e-06	1361	1242
Prostate cancer	Parkinson's disease	Gene Ontology	embryonic organ development	down-up	-1.66	1.7	2.08e-04	1.12e-05	378	347
Prostate cancer	Parkinson's disease	Gene Ontology	positive regulation of multicellular organismal process	down-up	-1.38	1.3	1.76e-04	1.12e-05	1498	1410
Prostate cancer	Parkinson's disease	Gene Ontology	positive regulation of vasculature development	down-up	-1.64	1.97	8.94e-03	1.37e-05	164	158
Prostate cancer	Parkinson's disease	Gene Ontology	positive regulation of developmental process	down-up	-1.52	1.32	5.65e-07	1.81e-05	1176	1090
Prostate cancer	Parkinson's disease	Gene Ontology	reproductive system development	down-up	-1.46	1.66	1.43e-02	1.81e-05	376	361
Prostate cancer	Parkinson's disease	Gene Ontology	embryonic morphogenesis	down-up	-1.57	1.61	3.06e-04	2.01e-05	513	462
Prostate cancer	Parkinson's disease	Gene Ontology	extracellular matrix	down-up	-1.82	1.62	1.32e-07	2.13e-05	461	412
Prostate cancer	Parkinson's disease	Gene Ontology	cell surface	down-up	-1.59	1.48	9.32e-06	2.25e-05	695	665
Prostate cancer	Parkinson's disease	Gene Ontology	negative regulation of developmental process	down-up	-1.62	1.44	3.34e-07	3.69e-05	812	741
Prostate cancer	Parkinson's disease	Gene Ontology	muscle structure development	down-up	-1.76	1.56	5.47e-08	4.01e-05	543	504
Prostate cancer	Parkinson's disease	Gene Ontology	cell cell adhesion	down-up	-1.45	1.48	1.46e-03	5.81e-05	695	632
Prostate cancer	Parkinson's disease	Gene Ontology	positive regulation of i kappab kinase nf kappab signaling	down-up	-1.53	1.94	3.76e-02	7.73e-05	163	143
Prostate cancer	Parkinson's disease	Gene Ontology	collagen containing extracellular matrix	down-up	-1.97	1.66	3.20e-08	9.15e-05	355	327
Prostate cancer	Parkinson's disease	Gene Ontology	regulation of ossification	down-up	-1.85	1.8	1.83e-04	1.56e-04	175	157
Prostate cancer	Parkinson's disease	Gene Ontology	response to lipid	down-up	-1.39	1.4	3.13e-03	1.69e-04	798	782
Prostate cancer	Parkinson's disease	Gene Ontology	regulation of epithelial cell differentiation	down-up	-1.77	1.87	2.30e-03	1.70e-04	124	124
Prostate cancer	Parkinson's disease	Gene Ontology	locomotion	down-up	-1.54	1.21	3.20e-08	2.73e-04	1555	1404
Prostate cancer	Parkinson's disease	Gene Ontology	epithelium development	down-up	-1.52	1.32	3.14e-06	2.90e-04	1034	937
Prostate cancer	Parkinson's disease	Gene Ontology	regulation of intracellular signal transduction	down-up	-1.35	1.24	5.27e-04	3.16e-04	1534	1398
Prostate cancer	Parkinson's disease	Gene Ontology	cell substrate adhesion	down-up	-1.91	1.63	2.36e-07	3.28e-04	301	283
Prostate cancer	Parkinson's disease	Gene Ontology	negative regulation of cell activation	down-up	-1.56	1.84	2.90e-02	4.05e-04	164	159
Prostate cancer	Parkinson's disease	Gene Ontology	negative regulation of cell adhesion	down-up	-1.45	1.61	4.53e-02	7.46e-04	233	229
Prostate cancer	Parkinson's disease	Gene Ontology	cell fate commitment	down-up	-1.65	1.64	1.93e-03	7.72e-04	230	206
Prostate cancer	Parkinson's disease	Gene Ontology	regulation of cell cell adhesion	down-up	-1.43	1.53	2.28e-02	8.77e-04	349	332
Prostate cancer	Parkinson's disease	Gene Ontology	regulation of osteoblast differentiation	down-up	-1.98	1.85	9.88e-05	1.24e-03	106	94
Prostate cancer	Parkinson's disease	Gene Ontology	muscle organ development	down-up	-1.6	1.52	1.35e-03	1.28e-03	333	308
Prostate cancer	Parkinson's disease	Gene Ontology	renal system development	down-up	-1.83	1.6	9.32e-06	1.29e-03	265	247
Prostate cancer	Parkinson's disease	Gene Ontology	positive regulation of cell adhesion	down-up	-1.65	1.51	2.06e-04	1.52e-03	348	333
Prostate cancer	Parkinson's disease	Gene Ontology	wound healing	down-up	-1.73	1.43	1.07e-06	1.61e-03	468	461
Prostate cancer	Parkinson's disease	Gene Ontology	ossification	down-up	-1.57	1.51	1.96e-03	1.63e-03	346	320
Prostate cancer	Parkinson's disease	Gene Ontology	regulation of extrinsic apoptotic signaling pathway	down-up	-1.68	1.73	1.11e-02	1.67e-03	131	130
Prostate cancer	Parkinson's disease	Gene Ontology	regulation of endothelial cell migration	down-up	-1.89	1.72	1.38e-04	1.77e-03	139	133
Prostate cancer	Parkinson's disease	Gene Ontology	regulation of cell death	down-up	-1.3	1.2	1.09e-02	2.00e-03	1371	1311
Prostate cancer	Parkinson's disease	Gene Ontology	positive regulation of cell differentiation	down-up	-1.57	1.3	4.57e-06	2.20e-03	841	792
Prostate cancer	Parkinson's disease	Gene Ontology	urogenital system development	down-up	-1.88	1.54	1.26e-06	2.38e-03	298	282
Prostate cancer	Parkinson's disease	Gene Ontology	negative regulation of cell differentiation	down-up	-1.67	1.4	1.91e-06	2.49e-03	601	539
Prostate cancer	Parkinson's disease	Gene Ontology	sensory organ development	down-up	-1.6	1.41	7.79e-05	2.65e-03	486	429
Prostate cancer	Parkinson's disease	Gene Ontology	endothelial cell migration	down-up	-1.74	1.6	1.83e-03	2.96e-03	177	173
Prostate cancer	Parkinson's disease	Gene Ontology	regulation of dna binding transcription factor activity	down-up	-1.4	1.46	2.69e-02	3.29e-03	365	336
Prostate cancer	Parkinson's disease	Gene Ontology	negative regulation of cell population proliferation	down-up	-1.64	1.36	1.18e-05	3.69e-03	595	579
Prostate cancer	Parkinson's disease	Gene Ontology	negative regulation of immune effector process	down-up	-1.63	1.74	3.81e-02	4.06e-03	96	99
Prostate cancer	Parkinson's disease	Gene Ontology	integrin mediated signaling pathway	down-up	-1.88	1.83	1.13e-03	4.29e-03	93	90
Prostate cancer	Parkinson's disease	Gene Ontology	skeletal system morphogenesis	down-up	-1.79	1.59	2.05e-04	4.35e-03	208	191
Prostate cancer	Parkinson's disease	Gene Ontology	response to wounding	down-up	-1.77	1.34	3.54e-08	4.68e-03	566	557
Prostate cancer	Parkinson's disease	Gene Ontology	epithelial cell apoptotic process	down-up	-1.64	1.81	3.81e-02	5.29e-03	89	90
Prostate cancer	Parkinson's disease	Gene Ontology	gland morphogenesis	down-up	-1.76	1.69	8.29e-03	6.88e-03	104	109
Prostate cancer	Parkinson's disease	Gene Ontology	glomerulus development	down-up	-1.88	1.85	4.39e-03	7.23e-03	57	56
Prostate cancer	Parkinson's disease	Gene Ontology	signaling receptor binding	down-up	-1.56	1.15	6.77e-08	7.74e-03	1256	1183
Prostate cancer	Parkinson's disease	Gene Ontology	extracellular matrix structural constituent	down-up	-1.87	1.62	2.06e-04	7.91e-03	150	133
Prostate cancer	Parkinson's disease	Gene Ontology	negative regulation of cell death	down-up	-1.36	1.26	8.84e-03	8.16e-03	804	793
Prostate cancer	Parkinson's disease	Gene Ontology	cell differentiation involved in kidney development	down-up	-1.96	1.81	1.86e-03	8.73e-03	52	51
Prostate cancer	Parkinson's disease	Gene Ontology	bone development	down-up	-1.84	1.53	1.10e-04	9.25e-03	191	175
Prostate cancer	Parkinson's disease	Gene Ontology	regulation of cell differentiation	down-up	-1.53	1.16	3.20e-08	9.34e-03	1553	1406
Prostate cancer	Parkinson's disease	Gene Ontology	embryonic organ morphogenesis	down-up	-1.58	1.47	4.50e-03	9.45e-03	258	228
Prostate cancer	Parkinson's disease	Gene Ontology	appendage morphogenesis	down-up	-1.62	1.62	2.88e-02	1.00e-02	133	118
Prostate cancer	Parkinson's disease	Gene Ontology	regulation of chondrocyte differentiation	down-up	-1.84	1.8	1.68e-02	1.03e-02	47	42
Prostate cancer	Parkinson's disease	Gene Ontology	cell matrix adhesion	down-up	-1.82	1.52	9.61e-05	1.32e-02	193	186
Prostate cancer	Parkinson's disease	Gene Ontology	digestive system development	down-up	-1.86	1.64	3.75e-04	1.32e-02	126	119
Prostate cancer	Parkinson's disease	Gene Ontology	cartilage development	down-up	-1.97	1.52	6.39e-06	1.34e-02	179	167
Prostate cancer	Parkinson's disease	Gene Ontology	positive regulation of endothelial cell migration	down-up	-1.73	1.7	1.49e-02	1.41e-02	85	82
Prostate cancer	Parkinson's disease	Gene Ontology	regulation of chemotaxis	down-up	-1.55	1.51	2.11e-02	1.43e-02	181	179
Prostate cancer	Parkinson's disease	Gene Ontology	extrinsic apoptotic signaling pathway	down-up	-1.59	1.5	1.24e-02	1.44e-02	191	191
Prostate cancer	Parkinson's disease	Gene Ontology	tissue migration	down-up	-1.77	1.45	9.84e-05	1.57e-02	257	249
Prostate cancer	Parkinson's disease	Gene Ontology	enzyme linked receptor protein signaling pathway	down-up	-1.61	1.24	3.12e-07	1.74e-02	874	826
Prostate cancer	Parkinson's disease	Gene Ontology	negative regulation of growth	down-up	-1.61	1.48	1.05e-02	1.75e-02	205	204
Prostate cancer	Parkinson's disease	Gene Ontology	cytokine production involved in immune response	down-up	-1.72	1.61	1.63e-02	1.81e-02	89	93
Prostate cancer	Parkinson's disease	Gene Ontology	embryonic appendage morphogenesis	down-up	-1.66	1.64	2.69e-02	1.81e-02	114	103
Prostate cancer	Parkinson's disease	Gene Ontology	taxis	down-up	-1.55	1.28	2.99e-04	1.81e-02	545	514
Prostate cancer	Parkinson's disease	Gene Ontology	mesodermal cell differentiation	down-up	-1.92	1.79	1.64e-02	1.95e-02	26	28
Prostate cancer	Parkinson's disease	Gene Ontology	negative regulation of alpha beta t cell activation	down-up	-1.79	1.79	4.75e-02	1.95e-02	26	28
Prostate cancer	Parkinson's disease	Gene Ontology	side of membrane	down-up	-1.37	1.36	4.78e-02	2.09e-02	430	406
Prostate cancer	Parkinson's disease	Gene Ontology	positive regulation of mapk cascade	down-up	-1.53	1.33	1.75e-03	2.17e-02	446	437
Prostate cancer	Parkinson's disease	Gene Ontology	regulation of epithelial cell migration	down-up	-1.71	1.45	1.52e-03	2.29e-02	196	190
Prostate cancer	Parkinson's disease	Gene Ontology	regulation of endothelial cell differentiation	down-up	-1.88	1.81	1.19e-02	2.30e-02	27	29
Prostate cancer	Parkinson's disease	Gene Ontology	nephron development	down-up	-1.82	1.57	1.45e-03	2.36e-02	129	120
Prostate cancer	Parkinson's disease	Gene Ontology	ruffle	down-up	-1.55	1.48	4.99e-02	2.53e-02	153	145
Prostate cancer	Parkinson's disease	Gene Ontology	odontogenesis	down-up	-1.67	1.53	1.63e-02	2.66e-02	122	109
Prostate cancer	Parkinson's disease	Gene Ontology	negative regulation of defense response	down-up	-1.54	1.48	3.17e-02	2.68e-02	173	157
Prostate cancer	Parkinson's disease	Gene Ontology	connective tissue development	down-up	-1.8	1.39	7.77e-05	2.74e-02	238	218
Prostate cancer	Parkinson's disease	Gene Ontology	appendage development	down-up	-1.58	1.5	2.31e-02	2.78e-02	160	140
Prostate cancer	Parkinson's disease	Gene Ontology	ameboidal type cell migration	down-up	-1.85	1.34	1.37e-06	2.89e-02	341	330
Prostate cancer	Parkinson's disease	Gene Ontology	multicellular organismal homeostasis	down-up	-1.53	1.32	2.38e-03	2.90e-02	423	388
Prostate cancer	Parkinson's disease	Gene Ontology	osteoblast differentiation	down-up	-1.61	1.43	1.88e-02	3.07e-02	188	169
Prostate cancer	Parkinson's disease	Gene Ontology	positive regulation of epithelial cell migration	down-up	-1.69	1.51	1.44e-02	3.08e-02	125	122
Prostate cancer	Parkinson's disease	Gene Ontology	muscle tissue development	down-up	-1.63	1.37	2.54e-04	3.10e-02	337	316
Prostate cancer	Parkinson's disease	Gene Ontology	anchoring junction	down-up	-1.69	1.25	3.74e-07	3.15e-02	696	657
Prostate cancer	Parkinson's disease	Gene Ontology	cell substrate junction organization	down-up	-2.01	1.58	1.76e-04	3.17e-02	84	87
Prostate cancer	Parkinson's disease	Gene Ontology	multi multicellular organism process	down-up	-1.57	1.42	1.58e-02	3.17e-02	191	195
Prostate cancer	Parkinson's disease	Gene Ontology	positive regulation of protein modification process	down-up	-1.38	1.18	1.56e-03	3.23e-02	1028	963
Prostate cancer	Parkinson's disease	Gene Ontology	epithelial cell differentiation involved in kidney development	down-up	-1.81	1.72	1.63e-02	3.27e-02	43	43
Prostate cancer	Parkinson's disease	Gene Ontology	vascular endothelial growth factor receptor signaling pathway	down-up	-1.71	1.61	2.09e-02	3.29e-02	81	80
Prostate cancer	Parkinson's disease	Gene Ontology	animal organ morphogenesis	down-up	-1.7	1.2	3.20e-08	3.32e-02	943	845
Prostate cancer	Parkinson's disease	Gene Ontology	inositol lipid mediated signaling	down-up	-1.65	1.42	5.13e-03	3.40e-02	166	162
Prostate cancer	Parkinson's disease	Gene Ontology	regulation of bmp signaling pathway	down-up	-1.88	1.58	1.86e-03	3.75e-02	79	67
Prostate cancer	Parkinson's disease	Gene Ontology	cell junction assembly	down-up	-1.95	1.41	1.72e-06	3.79e-02	212	204
Prostate cancer	Parkinson's disease	Gene Ontology	transmembrane receptor protein tyrosine kinase signaling pathway	down-up	-1.57	1.24	9.80e-05	4.00e-02	610	584
Prostate cancer	Parkinson's disease	Gene Ontology	formation of primary germ layer	down-up	-1.85	1.53	1.40e-03	4.15e-02	103	94
Prostate cancer	Parkinson's disease	Gene Ontology	positive regulation of map kinase activity	down-up	-1.58	1.36	1.22e-02	4.18e-02	217	217
Prostate cancer	Parkinson's disease	Gene Ontology	regulation of cartilage development	down-up	-1.88	1.62	4.16e-03	4.47e-02	60	56
Prostate cancer	Parkinson's disease	Gene Ontology	growth factor binding	down-up	-1.63	1.53	2.19e-02	4.62e-02	119	119
Prostate cancer	Parkinson's disease	Gene Ontology	regulation of epithelial cell apoptotic process	down-up	-1.62	1.61	4.23e-02	4.62e-02	68	69
