disease.1	disease.2	category	pathway	overlap	nes.1	nes.2	fdr.1	fdr.2	genes.1	ngenes.2
Cervical cancer	Alzheimer's disease	HallMark	myogenesis	down-up	-1.79	1.85	2.18e-05	1.64e-05	183	194
Cervical cancer	Alzheimer's disease	HallMark	kras signaling dn	down-up	-1.62	1.67	2.24e-04	3.75e-04	176	190
Cervical cancer	Alzheimer's disease	HallMark	estrogen response early	down-up	-2.1	1.32	1.56e-08	2.86e-02	181	186
Cervical cancer	Alzheimer's disease	HallMark	myc targets v1	up-down	2.64	-2.54	6.25e-10	2.50e-09	180	182
Cervical cancer	Alzheimer's disease	HallMark	mtorc1 signaling	up-down	2.25	-2.19	6.25e-10	6.78e-09	180	191
Cervical cancer	Alzheimer's disease	HallMark	dna repair	up-down	2.24	-2.01	6.25e-10	9.30e-06	129	128
Cervical cancer	Alzheimer's disease	HallMark	unfolded protein response	up-down	1.92	-1.99	1.87e-05	2.28e-05	103	105
Cervical cancer	Alzheimer's disease	HallMark	uv response up	up-down	1.68	-1.48	6.52e-04	1.49e-02	148	152
Cervical cancer	Alzheimer's disease	HallMark	myc targets v2	up-down	2.3	-1.57	1.21e-07	1.99e-02	52	52
Cervical cancer	Alzheimer's disease	Gene Ontology	anatomical structure formation involved in morphogenesis	down-up	-1.2	2.09	3.17e-02	5.63e-09	962	883
Cervical cancer	Alzheimer's disease	Gene Ontology	biological adhesion	down-up	-1.36	1.92	5.86e-06	5.63e-09	1208	1084
Cervical cancer	Alzheimer's disease	Gene Ontology	blood vessel morphogenesis	down-up	-1.33	2.36	1.01e-02	5.63e-09	528	510
Cervical cancer	Alzheimer's disease	Gene Ontology	cardiovascular system development	down-up	-1.32	2.32	9.65e-03	5.63e-09	631	601
Cervical cancer	Alzheimer's disease	Gene Ontology	cell cell adhesion	down-up	-1.39	1.87	3.37e-04	5.63e-09	714	633
Cervical cancer	Alzheimer's disease	Gene Ontology	cell fate commitment	down-up	-1.39	2.48	3.07e-02	5.63e-09	233	206
Cervical cancer	Alzheimer's disease	Gene Ontology	cell motility	down-up	-1.13	1.77	3.62e-02	5.63e-09	1380	1245
Cervical cancer	Alzheimer's disease	Gene Ontology	circulatory system development	down-up	-1.25	2.15	2.49e-03	5.63e-09	943	883
Cervical cancer	Alzheimer's disease	Gene Ontology	collagen containing extracellular matrix	down-up	-1.77	2.59	1.03e-06	5.63e-09	367	327
Cervical cancer	Alzheimer's disease	Gene Ontology	epidermis development	down-up	-2.43	2.23	5.85e-09	5.63e-09	330	275
Cervical cancer	Alzheimer's disease	Gene Ontology	epithelial cell differentiation	down-up	-1.88	2.32	5.85e-09	5.63e-09	599	537
Cervical cancer	Alzheimer's disease	Gene Ontology	epithelium development	down-up	-1.51	1.93	1.32e-07	5.63e-09	1069	944
Cervical cancer	Alzheimer's disease	Gene Ontology	extracellular matrix	down-up	-1.81	2.67	2.93e-08	5.63e-09	472	412
Cervical cancer	Alzheimer's disease	Gene Ontology	extracellular matrix structural constituent	down-up	-1.69	2.49	2.77e-03	5.63e-09	149	133
Cervical cancer	Alzheimer's disease	Gene Ontology	intrinsic component of plasma membrane	down-up	-1.61	1.56	5.85e-09	5.63e-09	1465	1295
Cervical cancer	Alzheimer's disease	Gene Ontology	locomotion	down-up	-1	1.65	3.75e-02	5.63e-09	1583	1407
Cervical cancer	Alzheimer's disease	Gene Ontology	molecular transducer activity	down-up	-1.67	2.28	5.85e-09	5.63e-09	972	853
Cervical cancer	Alzheimer's disease	Gene Ontology	positive regulation of developmental process	down-up	-1.18	1.66	1.92e-02	5.63e-09	1178	1092
Cervical cancer	Alzheimer's disease	Gene Ontology	regulation of vasculature development	down-up	-1.36	2.18	4.11e-02	5.63e-09	287	274
Cervical cancer	Alzheimer's disease	Gene Ontology	response to bacterium	down-up	-1.27	2.17	4.90e-02	5.63e-09	501	459
Cervical cancer	Alzheimer's disease	Gene Ontology	skin development	down-up	-2.32	2.18	5.85e-09	5.63e-09	286	238
Cervical cancer	Alzheimer's disease	Gene Ontology	tube development	down-up	-1.32	2.35	2.58e-04	5.63e-09	917	858
Cervical cancer	Alzheimer's disease	Gene Ontology	tube morphogenesis	down-up	-1.32	2.34	1.18e-03	5.63e-09	742	694
Cervical cancer	Alzheimer's disease	Gene Ontology	urogenital system development	down-up	-1.55	2.13	1.10e-03	5.63e-09	301	284
Cervical cancer	Alzheimer's disease	Gene Ontology	epidermal cell differentiation	down-up	-2.56	2.26	5.85e-09	8.47e-09	231	189
Cervical cancer	Alzheimer's disease	Gene Ontology	renal system development	down-up	-1.41	2.09	1.76e-02	2.66e-08	268	249
Cervical cancer	Alzheimer's disease	Gene Ontology	cytokine binding	down-up	-1.6	2.4	9.63e-03	5.18e-08	121	111
Cervical cancer	Alzheimer's disease	Gene Ontology	receptor complex	down-up	-1.35	1.93	1.64e-02	1.67e-07	342	323
Cervical cancer	Alzheimer's disease	Gene Ontology	keratinocyte differentiation	down-up	-2.64	2.21	5.85e-09	1.68e-07	183	147
Cervical cancer	Alzheimer's disease	Gene Ontology	kidney epithelium development	down-up	-1.87	2.34	2.93e-04	1.81e-07	128	120
Cervical cancer	Alzheimer's disease	Gene Ontology	gland morphogenesis	down-up	-1.81	2.28	1.30e-03	7.02e-07	108	109
Cervical cancer	Alzheimer's disease	Gene Ontology	g protein coupled receptor activity	down-up	-2.14	1.86	5.85e-09	7.50e-07	430	345
Cervical cancer	Alzheimer's disease	Gene Ontology	nephron epithelium development	down-up	-1.65	2.31	1.06e-02	1.19e-06	99	92
Cervical cancer	Alzheimer's disease	Gene Ontology	defense response to bacterium	down-up	-1.64	2.11	1.49e-03	1.51e-06	183	157
Cervical cancer	Alzheimer's disease	Gene Ontology	epithelial cell proliferation	down-up	-1.39	1.82	1.45e-02	1.95e-06	338	321
Cervical cancer	Alzheimer's disease	Gene Ontology	regulation of cellular component movement	down-up	-1.24	1.54	3.11e-03	2.19e-06	862	803
Cervical cancer	Alzheimer's disease	Gene Ontology	growth factor binding	down-up	-1.62	2.21	1.08e-02	2.36e-06	132	120
Cervical cancer	Alzheimer's disease	Gene Ontology	mesonephros development	down-up	-1.89	2.21	8.42e-04	3.53e-06	92	87
Cervical cancer	Alzheimer's disease	Gene Ontology	receptor regulator activity	down-up	-1.48	1.73	1.05e-03	4.43e-06	419	364
Cervical cancer	Alzheimer's disease	Gene Ontology	metanephros development	down-up	-1.53	2.29	3.05e-02	7.02e-06	85	78
Cervical cancer	Alzheimer's disease	Gene Ontology	positive regulation of mapk cascade	down-up	-1.29	1.65	3.86e-02	1.08e-05	463	437
Cervical cancer	Alzheimer's disease	Gene Ontology	response to bmp	down-up	-1.57	2.12	1.54e-02	1.23e-05	141	122
Cervical cancer	Alzheimer's disease	Gene Ontology	multicellular organismal homeostasis	down-up	-1.41	1.65	5.56e-03	3.17e-05	419	388
Cervical cancer	Alzheimer's disease	Gene Ontology	glomerulus development	down-up	-1.92	2.3	2.27e-03	3.36e-05	58	56
Cervical cancer	Alzheimer's disease	Gene Ontology	pituitary gland development	down-up	-1.76	2.4	2.81e-02	3.98e-05	39	36
Cervical cancer	Alzheimer's disease	Gene Ontology	positive regulation of epithelial cell differentiation	down-up	-1.55	2.26	4.57e-02	4.59e-05	56	54
Cervical cancer	Alzheimer's disease	Gene Ontology	cardiac septum morphogenesis	down-up	-1.58	2.11	4.15e-02	1.08e-04	67	65
Cervical cancer	Alzheimer's disease	Gene Ontology	outflow tract morphogenesis	down-up	-1.7	2.14	1.52e-02	1.30e-04	72	72
Cervical cancer	Alzheimer's disease	Gene Ontology	scavenger receptor activity	down-up	-1.85	2.32	3.35e-03	1.30e-04	48	36
Cervical cancer	Alzheimer's disease	Gene Ontology	sensory perception of light stimulus	down-up	-1.49	1.87	1.52e-02	1.55e-04	194	156
Cervical cancer	Alzheimer's disease	Gene Ontology	keratinization	down-up	-2.95	2.11	5.85e-09	1.73e-04	111	81
Cervical cancer	Alzheimer's disease	Gene Ontology	taxis	down-up	-1.35	1.5	5.63e-03	1.96e-04	558	516
Cervical cancer	Alzheimer's disease	Gene Ontology	mesonephric tubule morphogenesis	down-up	-1.7	2.16	1.70e-02	2.54e-04	59	56
Cervical cancer	Alzheimer's disease	Gene Ontology	regulation of epidermis development	down-up	-1.59	2.09	2.93e-02	2.59e-04	81	72
Cervical cancer	Alzheimer's disease	Gene Ontology	mammary gland morphogenesis	down-up	-2.29	2.22	1.69e-05	2.62e-04	41	41
Cervical cancer	Alzheimer's disease	Gene Ontology	peptide receptor activity	down-up	-1.89	1.96	1.70e-04	2.86e-04	131	122
Cervical cancer	Alzheimer's disease	Gene Ontology	positive regulation of epithelial cell proliferation	down-up	-1.68	1.81	2.48e-03	4.31e-04	161	155
Cervical cancer	Alzheimer's disease	Gene Ontology	cornification	down-up	-3.11	2.05	5.85e-09	4.56e-04	88	73
Cervical cancer	Alzheimer's disease	Gene Ontology	renal tubule development	down-up	-1.53	2.02	3.27e-02	4.60e-04	87	78
Cervical cancer	Alzheimer's disease	Gene Ontology	molting cycle	down-up	-1.57	1.99	2.54e-02	6.57e-04	99	83
Cervical cancer	Alzheimer's disease	Gene Ontology	cardiac chamber morphogenesis	down-up	-1.63	1.88	8.20e-03	6.67e-04	118	114
Cervical cancer	Alzheimer's disease	Gene Ontology	growth factor activity	down-up	-1.75	1.86	1.26e-03	6.93e-04	137	133
Cervical cancer	Alzheimer's disease	Gene Ontology	muscle system process	down-up	-1.49	1.54	1.84e-03	7.21e-04	383	374
Cervical cancer	Alzheimer's disease	Gene Ontology	cardiac ventricle development	down-up	-1.76	1.86	1.82e-03	7.59e-04	117	106
Cervical cancer	Alzheimer's disease	Gene Ontology	muscle cell proliferation	down-up	-1.63	1.7	5.63e-03	9.19e-04	174	173
Cervical cancer	Alzheimer's disease	Gene Ontology	positive regulation of bmp signaling pathway	down-up	-1.74	2.23	4.96e-02	9.37e-04	31	29
Cervical cancer	Alzheimer's disease	Gene Ontology	kidney morphogenesis	down-up	-1.53	1.97	3.05e-02	9.51e-04	85	73
Cervical cancer	Alzheimer's disease	Gene Ontology	circulatory system process	down-up	-1.74	1.47	1.08e-07	9.98e-04	481	462
Cervical cancer	Alzheimer's disease	Gene Ontology	actinin binding	down-up	-1.75	2.15	2.78e-02	1.05e-03	33	31
Cervical cancer	Alzheimer's disease	Gene Ontology	cardiac septum development	down-up	-1.81	1.87	1.89e-03	1.18e-03	95	92
Cervical cancer	Alzheimer's disease	Gene Ontology	olfactory receptor activity	down-up	-2.1	2.14	1.41e-04	1.23e-03	67	36
Cervical cancer	Alzheimer's disease	Gene Ontology	keratin filament	down-up	-1.96	2.15	2.61e-03	1.29e-03	43	23
Cervical cancer	Alzheimer's disease	Gene Ontology	sensory perception	down-up	-1.84	1.47	5.85e-09	1.34e-03	530	429
Cervical cancer	Alzheimer's disease	Gene Ontology	sensory perception of chemical stimulus	down-up	-2.08	1.88	2.58e-06	1.63e-03	137	93
Cervical cancer	Alzheimer's disease	Gene Ontology	inositol lipid mediated signaling	down-up	-1.6	1.69	8.41e-03	1.98e-03	168	162
Cervical cancer	Alzheimer's disease	Gene Ontology	lipid binding	down-up	-1.27	1.39	1.35e-02	2.35e-03	626	530
Cervical cancer	Alzheimer's disease	Gene Ontology	muscle contraction	down-up	-1.68	1.55	5.44e-05	2.42e-03	307	299
Cervical cancer	Alzheimer's disease	Gene Ontology	positive regulation of animal organ morphogenesis	down-up	-1.64	1.91	1.58e-02	2.47e-03	79	69
Cervical cancer	Alzheimer's disease	Gene Ontology	regulation of renal system process	down-up	-1.7	2.07	3.59e-02	2.48e-03	33	34
Cervical cancer	Alzheimer's disease	Gene Ontology	nephron morphogenesis	down-up	-1.59	1.94	2.99e-02	2.53e-03	70	62
Cervical cancer	Alzheimer's disease	Gene Ontology	cardiac chamber development	down-up	-1.81	1.71	3.38e-04	2.71e-03	151	144
Cervical cancer	Alzheimer's disease	Gene Ontology	regulation of systemic arterial blood pressure	down-up	-1.73	1.85	5.74e-03	2.85e-03	84	85
Cervical cancer	Alzheimer's disease	Gene Ontology	heart formation	down-up	-2	2.07	5.13e-03	3.31e-03	24	22
Cervical cancer	Alzheimer's disease	Gene Ontology	steroid hormone receptor activity	down-up	-1.75	1.95	1.77e-02	3.47e-03	53	52
Cervical cancer	Alzheimer's disease	Gene Ontology	enzyme linked receptor protein signaling pathway	down-up	-1.16	1.33	3.54e-02	3.48e-03	899	827
Cervical cancer	Alzheimer's disease	Gene Ontology	hydrolase activity acting on acid phosphorus nitrogen bonds	down-up	-1.9	1.76	5.37e-05	3.53e-03	148	130
Cervical cancer	Alzheimer's disease	Gene Ontology	apical plasma membrane	down-up	-1.6	1.55	3.52e-04	3.99e-03	286	256
Cervical cancer	Alzheimer's disease	Gene Ontology	organ growth	down-up	-1.52	1.64	1.75e-02	4.66e-03	163	149
Cervical cancer	Alzheimer's disease	Gene Ontology	cell cell junction	down-up	-1.34	1.45	1.97e-02	4.73e-03	433	379
Cervical cancer	Alzheimer's disease	Gene Ontology	renal system process	down-up	-1.67	1.74	6.01e-03	5.31e-03	108	104
Cervical cancer	Alzheimer's disease	Gene Ontology	cell fate determination	down-up	-1.91	1.96	7.21e-03	6.12e-03	33	36
Cervical cancer	Alzheimer's disease	Gene Ontology	regulation of cytosolic calcium ion concentration	down-up	-1.34	1.49	2.52e-02	6.56e-03	307	304
Cervical cancer	Alzheimer's disease	Gene Ontology	g protein coupled receptor signaling pathway	down-up	-1.71	1.3	5.85e-09	7.10e-03	849	726
Cervical cancer	Alzheimer's disease	Gene Ontology	transmembrane receptor protein kinase activity	down-up	-1.79	1.77	3.60e-03	7.24e-03	74	72
Cervical cancer	Alzheimer's disease	Gene Ontology	prostate gland development	down-up	-2.03	1.87	7.49e-04	7.55e-03	46	45
Cervical cancer	Alzheimer's disease	Gene Ontology	ureter development	down-up	-2.09	1.98	2.60e-03	8.69e-03	16	12
Cervical cancer	Alzheimer's disease	Gene Ontology	structural constituent of muscle	down-up	-1.68	1.85	3.43e-02	9.62e-03	38	39
Cervical cancer	Alzheimer's disease	Gene Ontology	renal system vasculature development	down-up	-1.88	1.91	1.89e-02	1.25e-02	26	25
Cervical cancer	Alzheimer's disease	Gene Ontology	ammonium transmembrane transporter activity	down-up	-1.74	1.97	4.64e-02	1.33e-02	25	20
Cervical cancer	Alzheimer's disease	Gene Ontology	prostate gland morphogenesis	down-up	-1.88	1.91	1.15e-02	1.34e-02	27	26
Cervical cancer	Alzheimer's disease	Gene Ontology	renal system process involved in regulation of systemic arterial blood pressure	down-up	-1.99	1.92	4.96e-03	1.62e-02	23	24
Cervical cancer	Alzheimer's disease	Gene Ontology	striated muscle cell proliferation	down-up	-1.66	1.77	2.63e-02	1.77e-02	60	58
Cervical cancer	Alzheimer's disease	Gene Ontology	mammary gland duct morphogenesis	down-up	-2.35	1.89	3.39e-05	1.83e-02	29	30
Cervical cancer	Alzheimer's disease	Gene Ontology	ventricular septum development	down-up	-1.68	1.76	1.64e-02	1.91e-02	65	59
Cervical cancer	Alzheimer's disease	Gene Ontology	detection of stimulus involved in sensory perception	down-up	-2.14	1.64	6.56e-07	1.97e-02	149	101
Cervical cancer	Alzheimer's disease	Gene Ontology	apical part of cell	down-up	-1.37	1.41	2.07e-02	2.11e-02	347	311
Cervical cancer	Alzheimer's disease	Gene Ontology	bmp signaling pathway involved in heart development	down-up	-1.85	1.76	1.68e-02	2.20e-02	6	5
Cervical cancer	Alzheimer's disease	Gene Ontology	extracellular matrix structural constituent conferring compression resistance	down-up	-1.91	1.88	1.28e-02	2.20e-02	22	19
Cervical cancer	Alzheimer's disease	Gene Ontology	heparin binding	down-up	-1.62	1.51	6.43e-03	2.49e-02	152	132
Cervical cancer	Alzheimer's disease	Gene Ontology	sensory perception of smell	down-up	-2.1	1.68	3.95e-05	2.61e-02	83	52
Cervical cancer	Alzheimer's disease	Gene Ontology	glycosaminoglycan binding	down-up	-1.65	1.5	1.07e-03	2.61e-02	207	180
Cervical cancer	Alzheimer's disease	Gene Ontology	transmembrane receptor protein tyrosine kinase activity	down-up	-1.77	1.67	1.10e-02	2.65e-02	58	57
