disease.1	disease.2	category	pathway	overlap	nes.1	nes.2	fdr.1	fdr.2	genes.1	ngenes.2
Skin cancer melanoma	Alzheimer's disease	HallMark	myogenesis	down-up	-1.69	1.85	2.71e-04	1.64e-05	193	194
Skin cancer melanoma	Alzheimer's disease	HallMark	kras signaling dn	down-up	-1.48	1.67	3.43e-03	3.75e-04	189	190
Skin cancer melanoma	Alzheimer's disease	HallMark	p53 pathway	down-up	-1.58	1.5	1.37e-03	3.51e-03	190	186
Skin cancer melanoma	Alzheimer's disease	HallMark	apical junction	down-up	-1.39	1.37	1.53e-02	1.69e-02	176	176
Skin cancer melanoma	Alzheimer's disease	HallMark	estrogen response early	down-up	-2.11	1.32	3.02e-08	2.86e-02	191	186
Skin cancer melanoma	Alzheimer's disease	HallMark	myc targets v1	up-down	1.59	-2.54	3.07e-03	2.50e-09	186	182
Skin cancer melanoma	Alzheimer's disease	HallMark	mtorc1 signaling	up-down	1.65	-2.19	6.95e-04	6.78e-09	193	191
Skin cancer melanoma	Alzheimer's disease	HallMark	dna repair	up-down	2.01	-2.01	5.04e-06	9.30e-06	130	128
Skin cancer melanoma	Alzheimer's disease	HallMark	unfolded protein response	up-down	1.8	-1.99	6.72e-04	2.28e-05	107	105
Skin cancer melanoma	Alzheimer's disease	HallMark	uv response up	up-down	1.54	-1.48	6.51e-03	1.49e-02	150	152
Skin cancer melanoma	Alzheimer's disease	HallMark	myc targets v2	up-down	2.07	-1.57	1.09e-04	1.99e-02	51	52
Skin cancer melanoma	Alzheimer's disease	Gene Ontology	anatomical structure formation involved in morphogenesis	down-up	-1.33	2.09	5.19e-03	5.63e-09	888	883
Skin cancer melanoma	Alzheimer's disease	Gene Ontology	animal organ morphogenesis	down-up	-1.56	2.05	5.08e-06	5.63e-09	850	846
Skin cancer melanoma	Alzheimer's disease	Gene Ontology	biological adhesion	down-up	-1.3	1.92	8.01e-03	5.63e-09	1096	1084
Skin cancer melanoma	Alzheimer's disease	Gene Ontology	cardiovascular system development	down-up	-1.36	2.32	1.63e-02	5.63e-09	605	601
Skin cancer melanoma	Alzheimer's disease	Gene Ontology	cell motility	down-up	-1.29	1.77	3.26e-03	5.63e-09	1256	1245
