disease.1	disease.2	category	pathway	overlap	nes.1	nes.2	fdr.1	fdr.2	genes.1	ngenes.2
Lung cancer	Parkinson's disease	HallMark	tnfa signaling via nfkb	down-up	-2.88	2.02	8.33e-10	1.63e-07	179	190
Lung cancer	Parkinson's disease	HallMark	inflammatory response	down-up	-2.39	1.99	8.33e-10	8.68e-07	197	192
Lung cancer	Parkinson's disease	HallMark	il2 stat5 signaling	down-up	-1.75	1.92	1.04e-04	4.49e-06	184	172
Lung cancer	Parkinson's disease	HallMark	il6 jak stat3 signaling	down-up	-1.79	2.09	1.09e-03	1.26e-05	78	85
Lung cancer	Parkinson's disease	HallMark	hypoxia	down-up	-1.51	1.66	5.22e-03	2.10e-04	181	193
Lung cancer	Parkinson's disease	HallMark	complement	down-up	-1.77	1.56	6.20e-05	2.79e-03	164	178
Lung cancer	Parkinson's disease	HallMark	allograft rejection	down-up	-1.47	1.44	7.05e-03	7.95e-03	172	186
Lung cancer	Parkinson's disease	HallMark	tgf beta signaling	down-up	-2.19	1.65	2.31e-05	1.04e-02	50	49
Lung cancer	Parkinson's disease	HallMark	interferon gamma response	down-up	-2.2	1.44	5.03e-09	1.44e-02	172	170
Lung cancer	Parkinson's disease	HallMark	interferon alpha response	down-up	-2.07	1.51	2.31e-05	1.74e-02	78	77
Lung cancer	Parkinson's disease	HallMark	myogenesis	down-up	-1.92	1.32	5.43e-06	3.80e-02	176	194
Lung cancer	Parkinson's disease	HallMark	oxidative phosphorylation	up-down	1.62	-3.09	1.48e-03	5.00e-09	171	187
Lung cancer	Parkinson's disease	HallMark	myc targets v1	up-down	2.4	-1.98	8.33e-10	1.03e-06	167	182
Lung cancer	Parkinson's disease	HallMark	mtorc1 signaling	up-down	1.75	-1.9	1.05e-04	1.67e-06	174	190
Lung cancer	Parkinson's disease	HallMark	dna repair	up-down	1.68	-1.47	9.23e-04	2.19e-02	131	128
Lung cancer	Parkinson's disease	HallMark	myc targets v2	up-down	2.29	-1.57	1.21e-06	2.62e-02	49	52
Lung cancer	Parkinson's disease	HallMark	glycolysis	up-down	2.41	-1.37	8.33e-10	4.88e-02	176	182
Lung cancer	Alzheimer's disease	HallMark	inflammatory response	down-up	-2.39	2.12	8.33e-10	4.46e-08	197	192
Lung cancer	Alzheimer's disease	HallMark	allograft rejection	down-up	-1.47	2.09	7.05e-03	7.03e-08	172	186
Lung cancer	Alzheimer's disease	HallMark	il6 jak stat3 signaling	down-up	-1.79	2.19	1.09e-03	4.69e-06	78	85
Lung cancer	Alzheimer's disease	HallMark	myogenesis	down-up	-1.92	1.85	5.43e-06	1.64e-05	176	194
Lung cancer	Alzheimer's disease	HallMark	tnfa signaling via nfkb	down-up	-2.88	1.74	8.33e-10	1.21e-04	179	190
Lung cancer	Alzheimer's disease	HallMark	il2 stat5 signaling	down-up	-1.75	1.7	1.04e-04	2.69e-04	184	173
Lung cancer	Alzheimer's disease	HallMark	hypoxia	down-up	-1.51	1.61	5.22e-03	3.75e-04	181	193
Lung cancer	Alzheimer's disease	HallMark	interferon gamma response	down-up	-2.2	1.54	5.03e-09	3.51e-03	172	170
Lung cancer	Alzheimer's disease	HallMark	complement	down-up	-1.77	1.45	6.20e-05	1.01e-02	164	179
Lung cancer	Alzheimer's disease	HallMark	kras signaling up	down-up	-1.92	1.43	3.78e-06	1.10e-02	171	190
Lung cancer	Alzheimer's disease	HallMark	apical junction	down-up	-1.29	1.37	4.48e-02	1.69e-02	180	176
Lung cancer	Alzheimer's disease	HallMark	estrogen response early	down-up	-1.56	1.32	2.08e-03	2.86e-02	174	186
Lung cancer	Alzheimer's disease	HallMark	myc targets v1	up-down	2.4	-2.54	8.33e-10	2.50e-09	167	182
Lung cancer	Alzheimer's disease	HallMark	oxidative phosphorylation	up-down	1.62	-3.37	1.48e-03	2.50e-09	171	187
Lung cancer	Alzheimer's disease	HallMark	mtorc1 signaling	up-down	1.75	-2.19	1.05e-04	6.78e-09	174	191
Lung cancer	Alzheimer's disease	HallMark	dna repair	up-down	1.68	-2.01	9.23e-04	9.30e-06	131	128
Lung cancer	Alzheimer's disease	HallMark	unfolded protein response	up-down	1.7	-1.99	1.75e-03	2.28e-05	97	105
Lung cancer	Alzheimer's disease	HallMark	myc targets v2	up-down	2.29	-1.57	1.21e-06	1.99e-02	49	52
Lung cancer	Parkinson's disease	Gene Ontology	adaptive immune response	down-up	-1.92	2.01	6.17e-08	1.26e-08	329	319
Lung cancer	Parkinson's disease	Gene Ontology	anatomical structure formation involved in morphogenesis	down-up	-1.87	1.61	8.56e-09	1.26e-08	952	882
Lung cancer	Parkinson's disease	Gene Ontology	biological adhesion	down-up	-1.83	1.53	8.56e-09	1.26e-08	1152	1082
Lung cancer	Parkinson's disease	Gene Ontology	blood vessel morphogenesis	down-up	-2.22	1.83	8.56e-09	1.26e-08	514	510
Lung cancer	Parkinson's disease	Gene Ontology	cardiovascular system development	down-up	-2.26	1.77	8.56e-09	1.26e-08	618	599
Lung cancer	Parkinson's disease	Gene Ontology	cytokine production	down-up	-1.71	1.8	2.28e-08	1.26e-08	633	606
Lung cancer	Parkinson's disease	Gene Ontology	leukocyte differentiation	down-up	-1.68	2.05	1.25e-05	1.26e-08	443	416
Lung cancer	Parkinson's disease	Gene Ontology	lymphocyte activation	down-up	-1.58	1.87	1.60e-05	1.26e-08	560	529
Lung cancer	Parkinson's disease	Gene Ontology	lymphocyte differentiation	down-up	-1.42	2.09	1.36e-02	1.26e-08	299	283
Lung cancer	Parkinson's disease	Gene Ontology	molecular transducer activity	down-up	-1.54	1.67	7.72e-07	1.26e-08	948	851
Lung cancer	Parkinson's disease	Gene Ontology	positive regulation of transcription by rna polymerase ii	down-up	-1.21	1.8	3.72e-02	1.26e-08	1002	951
Lung cancer	Parkinson's disease	Gene Ontology	regulation of cell population proliferation	down-up	-1.54	1.5	8.56e-09	1.26e-08	1347	1308
Lung cancer	Parkinson's disease	Gene Ontology	regulation of immune system process	down-up	-1.9	1.49	8.56e-09	1.26e-08	1221	1182
Lung cancer	Parkinson's disease	Gene Ontology	response to bacterium	down-up	-1.99	1.85	8.56e-09	1.26e-08	492	458
Lung cancer	Parkinson's disease	Gene Ontology	tube development	down-up	-1.85	1.73	8.56e-09	1.26e-08	896	857
Lung cancer	Parkinson's disease	Gene Ontology	tube morphogenesis	down-up	-1.97	1.76	8.56e-09	1.26e-08	726	694
Lung cancer	Parkinson's disease	Gene Ontology	inflammatory response	down-up	-1.94	1.71	8.56e-09	1.64e-08	596	567
Lung cancer	Parkinson's disease	Gene Ontology	t cell activation	down-up	-1.7	1.89	1.31e-05	1.73e-08	389	373
Lung cancer	Parkinson's disease	Gene Ontology	regulation of cell activation	down-up	-1.84	1.8	3.17e-08	4.55e-08	451	432
Lung cancer	Parkinson's disease	Gene Ontology	regulation of leukocyte differentiation	down-up	-1.7	2.04	2.76e-04	6.21e-08	233	218
Lung cancer	Parkinson's disease	Gene Ontology	embryo development	down-up	-1.22	1.55	2.59e-02	1.10e-07	885	796
Lung cancer	Parkinson's disease	Gene Ontology	t cell differentiation	down-up	-1.54	2.1	9.93e-03	1.23e-07	207	197
Lung cancer	Parkinson's disease	Gene Ontology	leukocyte cell cell adhesion	down-up	-1.83	1.95	3.36e-06	1.36e-07	283	281
Lung cancer	Parkinson's disease	Gene Ontology	regulation of lymphocyte activation	down-up	-1.48	1.85	1.67e-03	1.37e-07	354	337
Lung cancer	Parkinson's disease	Gene Ontology	circulatory system development	down-up	-2.11	1.52	8.56e-09	1.38e-07	922	880
Lung cancer	Parkinson's disease	Gene Ontology	cell activation	down-up	-1.93	1.43	8.56e-09	2.55e-07	1133	1094
Lung cancer	Parkinson's disease	Gene Ontology	immune system development	down-up	-1.51	1.52	6.47e-06	3.99e-07	817	774
Lung cancer	Parkinson's disease	Gene Ontology	positive regulation of locomotion	down-up	-2.09	1.69	8.56e-09	4.16e-07	476	466
Lung cancer	Parkinson's disease	Gene Ontology	regulation of vasculature development	down-up	-2.3	1.91	8.56e-09	6.22e-07	286	274
Lung cancer	Parkinson's disease	Gene Ontology	negative regulation of immune system process	down-up	-1.92	1.79	1.35e-08	6.87e-07	361	357
Lung cancer	Parkinson's disease	Gene Ontology	negative regulation of multicellular organismal process	down-up	-1.71	1.47	8.56e-09	7.45e-07	1028	967
Lung cancer	Parkinson's disease	Gene Ontology	defense response to bacterium	down-up	-1.47	2.1	2.55e-02	8.27e-07	178	156
Lung cancer	Parkinson's disease	Gene Ontology	defense response	down-up	-1.69	1.34	8.56e-09	9.10e-07	1275	1215
Lung cancer	Parkinson's disease	Gene Ontology	response to molecule of bacterial origin	down-up	-2.13	1.88	8.56e-09	9.61e-07	291	289
Lung cancer	Parkinson's disease	Gene Ontology	regulation of cell adhesion	down-up	-1.94	1.6	8.56e-09	9.65e-07	572	562
Lung cancer	Parkinson's disease	Gene Ontology	positive regulation of intracellular signal transduction	down-up	-1.68	1.49	8.56e-09	2.01e-06	843	792
Lung cancer	Parkinson's disease	Gene Ontology	cellular response to biotic stimulus	down-up	-2.03	1.99	1.07e-06	2.46e-06	196	194
Lung cancer	Parkinson's disease	Gene Ontology	immune receptor activity	down-up	-2	2.17	2.33e-04	3.44e-06	100	104
Lung cancer	Parkinson's disease	Gene Ontology	i kappab kinase nf kappab signaling	down-up	-1.48	1.94	1.04e-02	3.94e-06	228	202
Lung cancer	Parkinson's disease	Gene Ontology	regulation of immune effector process	down-up	-2.08	1.79	8.56e-09	4.49e-06	320	313
Lung cancer	Parkinson's disease	Gene Ontology	regulation of cellular component movement	down-up	-2.14	1.47	8.56e-09	5.20e-06	846	801
Lung cancer	Parkinson's disease	Gene Ontology	response to biotic stimulus	down-up	-1.63	1.36	8.56e-09	5.42e-06	1141	1088
Lung cancer	Parkinson's disease	Gene Ontology	skeletal system development	down-up	-1.34	1.67	2.17e-02	5.58e-06	447	419
Lung cancer	Parkinson's disease	Gene Ontology	regulation of immune response	down-up	-1.88	1.47	8.56e-09	5.65e-06	784	772
Lung cancer	Parkinson's disease	Gene Ontology	external side of plasma membrane	down-up	-2.01	1.79	4.03e-08	7.97e-06	263	257
Lung cancer	Parkinson's disease	Gene Ontology	cytokine binding	down-up	-2.02	2.09	3.61e-05	8.72e-06	112	110
Lung cancer	Parkinson's disease	Gene Ontology	cell motility	down-up	-1.88	1.3	8.56e-09	8.91e-06	1345	1242
Lung cancer	Parkinson's disease	Gene Ontology	positive regulation of multicellular organismal process	down-up	-1.68	1.3	8.56e-09	1.12e-05	1483	1410
Lung cancer	Parkinson's disease	Gene Ontology	positive regulation of cytokine production	down-up	-1.52	1.68	1.60e-03	1.15e-05	381	364
Lung cancer	Parkinson's disease	Gene Ontology	regulation of t cell activation	down-up	-1.51	1.83	4.08e-03	1.21e-05	265	256
Lung cancer	Parkinson's disease	Gene Ontology	regulation of adaptive immune response	down-up	-2.07	2.05	5.52e-06	1.26e-05	134	129
Lung cancer	Parkinson's disease	Gene Ontology	positive regulation of vasculature development	down-up	-2.42	1.97	8.56e-09	1.37e-05	163	158
Lung cancer	Parkinson's disease	Gene Ontology	phagocytosis	down-up	-2.21	1.83	8.56e-09	1.38e-05	214	214
Lung cancer	Parkinson's disease	Gene Ontology	negative regulation of hemopoiesis	down-up	-1.75	2.09	3.92e-03	1.55e-05	115	113
Lung cancer	Parkinson's disease	Gene Ontology	positive regulation of developmental process	down-up	-1.73	1.32	8.56e-09	1.81e-05	1159	1090
Lung cancer	Parkinson's disease	Gene Ontology	positive regulation of cell activation	down-up	-1.67	1.76	2.94e-04	1.85e-05	269	263
Lung cancer	Parkinson's disease	Gene Ontology	positive regulation of immune system process	down-up	-1.82	1.44	8.56e-09	1.94e-05	863	841
Lung cancer	Parkinson's disease	Gene Ontology	extracellular matrix	down-up	-1.33	1.62	1.91e-02	2.13e-05	453	412
Lung cancer	Parkinson's disease	Gene Ontology	cell surface	down-up	-1.7	1.48	3.22e-08	2.25e-05	687	665
Lung cancer	Parkinson's disease	Gene Ontology	positive regulation of cell population proliferation	down-up	-1.5	1.46	3.34e-05	2.25e-05	754	732
Lung cancer	Parkinson's disease	Gene Ontology	leukocyte proliferation	down-up	-1.59	1.79	2.05e-03	3.01e-05	248	246
Lung cancer	Parkinson's disease	Gene Ontology	leukocyte migration	down-up	-1.85	1.65	7.80e-08	3.06e-05	369	373
Lung cancer	Parkinson's disease	Gene Ontology	negative regulation of developmental process	down-up	-1.62	1.44	3.61e-08	3.69e-05	798	741
Lung cancer	Parkinson's disease	Gene Ontology	muscle structure development	down-up	-1.68	1.56	1.00e-06	4.01e-05	537	504
Lung cancer	Parkinson's disease	Gene Ontology	interleukin 6 production	down-up	-1.78	2.03	1.33e-03	5.04e-05	126	115
Lung cancer	Parkinson's disease	Gene Ontology	regulation of leukocyte proliferation	down-up	-1.48	1.86	2.49e-02	5.26e-05	186	183
Lung cancer	Parkinson's disease	Gene Ontology	tumor necrosis factor superfamily cytokine production	down-up	-1.95	1.94	1.72e-04	5.26e-05	125	124
Lung cancer	Parkinson's disease	Gene Ontology	negative regulation of lymphocyte activation	down-up	-1.55	2.01	2.47e-02	5.31e-05	118	120
Lung cancer	Parkinson's disease	Gene Ontology	immune effector process	down-up	-1.93	1.41	8.56e-09	5.37e-05	933	922
Lung cancer	Parkinson's disease	Gene Ontology	cell cell adhesion	down-up	-1.79	1.48	8.56e-09	5.81e-05	688	632
Lung cancer	Parkinson's disease	Gene Ontology	regulation of leukocyte mediated immunity	down-up	-2.21	1.86	6.16e-08	6.08e-05	166	161
Lung cancer	Parkinson's disease	Gene Ontology	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	down-up	-1.78	1.79	9.21e-05	6.93e-05	217	205
Lung cancer	Parkinson's disease	Gene Ontology	cytokine receptor activity	down-up	-1.89	2.08	1.07e-03	7.73e-05	85	84
Lung cancer	Parkinson's disease	Gene Ontology	collagen containing extracellular matrix	down-up	-1.49	1.66	2.78e-03	9.15e-05	350	327
Lung cancer	Parkinson's disease	Gene Ontology	myeloid cell differentiation	down-up	-1.63	1.65	8.11e-05	1.00e-04	344	329
Lung cancer	Parkinson's disease	Gene Ontology	positive regulation of leukocyte differentiation	down-up	-1.86	1.95	9.34e-04	1.00e-04	128	127
Lung cancer	Parkinson's disease	Gene Ontology	in utero embryonic development	down-up	-1.48	1.71	3.83e-03	1.19e-04	327	299
Lung cancer	Parkinson's disease	Gene Ontology	response to cytokine	down-up	-1.76	1.35	8.56e-09	1.40e-04	947	971
Lung cancer	Parkinson's disease	Gene Ontology	cytokine mediated signaling pathway	down-up	-1.52	1.45	1.18e-04	1.51e-04	611	635
Lung cancer	Parkinson's disease	Gene Ontology	regulation of ossification	down-up	-1.62	1.8	5.65e-03	1.56e-04	174	157
Lung cancer	Parkinson's disease	Gene Ontology	response to lipid	down-up	-1.78	1.4	8.56e-09	1.69e-04	791	782
Lung cancer	Parkinson's disease	Gene Ontology	regulation of lymphocyte mediated immunity	down-up	-2.02	1.94	4.70e-05	1.71e-04	121	115
Lung cancer	Parkinson's disease	Gene Ontology	positive regulation of phosphatidylinositol 3 kinase signaling	down-up	-1.98	2.04	5.41e-04	2.20e-04	79	80
Lung cancer	Parkinson's disease	Gene Ontology	positive regulation of leukocyte cell cell adhesion	down-up	-1.64	1.77	4.11e-03	2.64e-04	185	183
Lung cancer	Parkinson's disease	Gene Ontology	locomotion	down-up	-1.88	1.21	8.56e-09	2.73e-04	1535	1404
Lung cancer	Parkinson's disease	Gene Ontology	peptidyl tyrosine modification	down-up	-1.57	1.6	9.56e-04	2.83e-04	312	308
Lung cancer	Parkinson's disease	Gene Ontology	positive regulation of immune response	down-up	-1.75	1.42	1.78e-08	2.88e-04	616	607
Lung cancer	Parkinson's disease	Gene Ontology	regulation of intracellular signal transduction	down-up	-1.62	1.24	8.56e-09	3.16e-04	1511	1398
Lung cancer	Parkinson's disease	Gene Ontology	pattern recognition receptor signaling pathway	down-up	-1.53	1.81	1.78e-02	3.22e-04	160	154
Lung cancer	Parkinson's disease	Gene Ontology	cell substrate adhesion	down-up	-1.98	1.63	3.63e-08	3.28e-04	294	283
Lung cancer	Parkinson's disease	Gene Ontology	positive regulation of lymphocyte differentiation	down-up	-1.76	1.99	7.18e-03	3.32e-04	79	83
