disease.1	disease.2	category	pathway	overlap	nes.1	nes.2	fdr.1	fdr.2	genes.1	ngenes.2
Head and neck cancer	Alzheimer's disease	HallMark	myogenesis	down-up	-1.38	1.85	1.40e-02	1.64e-05	177	194
Head and neck cancer	Alzheimer's disease	HallMark	kras signaling dn	down-up	-1.43	1.67	7.79e-03	3.75e-04	176	190
Head and neck cancer	Alzheimer's disease	HallMark	estrogen response early	down-up	-1.51	1.32	2.95e-03	2.86e-02	177	186
Head and neck cancer	Alzheimer's disease	HallMark	myc targets v1	up-down	2.63	-2.54	5.00e-10	2.50e-09	169	182
Head and neck cancer	Alzheimer's disease	HallMark	mtorc1 signaling	up-down	2.4	-2.19	5.00e-10	6.78e-09	175	191
Head and neck cancer	Alzheimer's disease	HallMark	dna repair	up-down	2.06	-2.01	6.27e-07	9.30e-06	131	128
Head and neck cancer	Alzheimer's disease	HallMark	unfolded protein response	up-down	2.04	-1.99	3.28e-06	2.28e-05	100	105
Head and neck cancer	Alzheimer's disease	HallMark	uv response up	up-down	1.71	-1.48	1.11e-03	1.49e-02	140	152
Head and neck cancer	Alzheimer's disease	HallMark	myc targets v2	up-down	2.5	-1.57	5.00e-10	1.99e-02	49	52
Head and neck cancer	Alzheimer's disease	Gene Ontology	skin development	down-up	-1.39	2.18	3.91e-02	5.63e-09	259	238
Head and neck cancer	Alzheimer's disease	Gene Ontology	epidermal cell differentiation	down-up	-1.64	2.26	2.28e-03	8.47e-09	209	189
Head and neck cancer	Alzheimer's disease	Gene Ontology	keratinocyte differentiation	down-up	-1.8	2.21	1.06e-03	1.68e-07	161	147
Head and neck cancer	Alzheimer's disease	Gene Ontology	keratinization	down-up	-1.96	2.11	2.26e-04	1.73e-04	97	81
Head and neck cancer	Alzheimer's disease	Gene Ontology	cornification	down-up	-2.06	2.05	1.27e-04	4.56e-04	76	73
Head and neck cancer	Alzheimer's disease	Gene Ontology	steroid hormone receptor activity	down-up	-1.94	1.95	4.82e-03	3.47e-03	50	52
Head and neck cancer	Alzheimer's disease	Gene Ontology	acylglycerol homeostasis	down-up	-1.79	1.86	3.27e-02	1.96e-02	28	23
Head and neck cancer	Alzheimer's disease	Gene Ontology	steroid hydroxylase activity	down-up	-2.07	1.87	3.12e-03	2.84e-02	21	28
Head and neck cancer	Alzheimer's disease	Gene Ontology	amide biosynthetic process	up-down	1.48	-2.19	1.35e-03	5.63e-09	632	566
Head and neck cancer	Alzheimer's disease	Gene Ontology	anaphase promoting complex dependent catabolic process	up-down	2.42	-2.58	3.92e-08	5.63e-09	68	67
Head and neck cancer	Alzheimer's disease	Gene Ontology	catalytic activity acting on rna	up-down	2.19	-2.15	1.48e-08	5.63e-09	320	257
Head and neck cancer	Alzheimer's disease	Gene Ontology	catalytic complex	up-down	1.73	-2.04	1.48e-08	5.63e-09	1134	990
Head and neck cancer	Alzheimer's disease	Gene Ontology	cellular amide metabolic process	up-down	1.35	-1.91	1.35e-02	5.63e-09	852	770
Head and neck cancer	Alzheimer's disease	Gene Ontology	cellular macromolecule catabolic process	up-down	1.56	-1.75	2.27e-06	5.63e-09	939	816
Head and neck cancer	Alzheimer's disease	Gene Ontology	cellular macromolecule localization	up-down	1.29	-1.71	4.96e-03	5.63e-09	1569	1416
Head and neck cancer	Alzheimer's disease	Gene Ontology	cellular protein catabolic process	up-down	1.52	-1.96	2.57e-04	5.63e-09	631	531
Head and neck cancer	Alzheimer's disease	Gene Ontology	cellular protein containing complex assembly	up-down	1.66	-2.06	1.10e-07	5.63e-09	803	747
Head and neck cancer	Alzheimer's disease	Gene Ontology	envelope	up-down	1.35	-2.48	7.72e-03	5.63e-09	981	826
Head and neck cancer	Alzheimer's disease	Gene Ontology	hydrolase activity acting on acid anhydrides	up-down	1.75	-1.84	1.48e-08	5.63e-09	699	613
Head and neck cancer	Alzheimer's disease	Gene Ontology	mitochondrial gene expression	up-down	2.08	-2.89	1.92e-06	5.63e-09	145	109
Head and neck cancer	Alzheimer's disease	Gene Ontology	mitochondrial translation	up-down	2.12	-2.91	1.57e-06	5.63e-09	121	92
Head and neck cancer	Alzheimer's disease	Gene Ontology	mitochondrial translational termination	up-down	1.92	-2.71	1.76e-03	5.63e-09	79	58
Head and neck cancer	Alzheimer's disease	Gene Ontology	modification dependent macromolecule catabolic process	up-down	1.48	-2.14	3.84e-03	5.63e-09	519	426
Head and neck cancer	Alzheimer's disease	Gene Ontology	ncrna metabolic process	up-down	2.09	-2.18	1.48e-08	5.63e-09	381	313
Head and neck cancer	Alzheimer's disease	Gene Ontology	ncrna processing	up-down	2.12	-2.13	1.48e-08	5.63e-09	306	264
Head and neck cancer	Alzheimer's disease	Gene Ontology	organellar ribosome	up-down	1.97	-2.77	4.11e-04	5.63e-09	78	56
Head and neck cancer	Alzheimer's disease	Gene Ontology	organonitrogen compound biosynthetic process	up-down	1.39	-1.72	1.31e-04	5.63e-09	1457	1277
Head and neck cancer	Alzheimer's disease	Gene Ontology	peptidase complex	up-down	2.17	-2.57	1.70e-05	5.63e-09	73	71
Head and neck cancer	Alzheimer's disease	Gene Ontology	peptide biosynthetic process	up-down	1.55	-2.15	4.14e-04	5.63e-09	516	461
Head and neck cancer	Alzheimer's disease	Gene Ontology	peptide metabolic process	up-down	1.42	-1.95	5.74e-03	5.63e-09	634	576
Head and neck cancer	Alzheimer's disease	Gene Ontology	proteasomal protein catabolic process	up-down	1.61	-2.08	5.68e-04	5.63e-09	401	338
Head and neck cancer	Alzheimer's disease	Gene Ontology	protein containing complex assembly	up-down	1.51	-1.67	7.63e-08	5.63e-09	1449	1324
Head and neck cancer	Alzheimer's disease	Gene Ontology	protein modification by small protein conjugation	up-down	1.59	-2.04	5.48e-06	5.63e-09	749	616
Head and neck cancer	Alzheimer's disease	Gene Ontology	protein modification by small protein conjugation or removal	up-down	1.64	-2.03	3.24e-08	5.63e-09	899	748
Head and neck cancer	Alzheimer's disease	Gene Ontology	ribonucleoprotein complex	up-down	1.92	-2.11	1.48e-08	5.63e-09	540	480
Head and neck cancer	Alzheimer's disease	Gene Ontology	ribonucleoprotein complex biogenesis	up-down	2.32	-2.33	1.48e-08	5.63e-09	334	315
Head and neck cancer	Alzheimer's disease	Gene Ontology	ribosome biogenesis	up-down	2.29	-2.23	1.48e-08	5.63e-09	229	211
Head and neck cancer	Alzheimer's disease	Gene Ontology	rna binding	up-down	2.17	-1.84	1.48e-08	5.63e-09	1325	1178
Head and neck cancer	Alzheimer's disease	Gene Ontology	rna processing	up-down	2.02	-1.83	1.48e-08	5.63e-09	742	653
Head and neck cancer	Alzheimer's disease	Gene Ontology	scf dependent proteasomal ubiquitin dependent protein catabolic process	up-down	1.94	-2.56	5.55e-04	5.63e-09	83	69
Head and neck cancer	Alzheimer's disease	Gene Ontology	translational elongation	up-down	1.87	-2.73	8.35e-04	5.63e-09	113	90
Head and neck cancer	Alzheimer's disease	Gene Ontology	translational termination	up-down	1.97	-2.76	1.83e-04	5.63e-09	93	72
Head and neck cancer	Alzheimer's disease	Gene Ontology	trna metabolic process	up-down	1.89	-2.47	8.89e-05	5.63e-09	158	126
Head and neck cancer	Alzheimer's disease	Gene Ontology	endopeptidase complex	up-down	2.26	-2.61	3.87e-06	5.80e-09	57	55
Head and neck cancer	Alzheimer's disease	Gene Ontology	cellular amino acid metabolic process	up-down	1.53	-2.11	5.71e-03	7.85e-09	291	257
Head and neck cancer	Alzheimer's disease	Gene Ontology	cellular protein complex disassembly	up-down	1.61	-2.27	1.10e-02	9.23e-09	184	160
Head and neck cancer	Alzheimer's disease	Gene Ontology	regulation of cell cycle g2 m phase transition	up-down	2.44	-2.18	1.48e-08	3.66e-08	184	173
Head and neck cancer	Alzheimer's disease	Gene Ontology	regulation of cellular amino acid metabolic process	up-down	2.34	-2.56	4.85e-07	6.99e-08	55	52
Head and neck cancer	Alzheimer's disease	Gene Ontology	catalytic activity acting on a trna	up-down	1.75	-2.42	3.83e-03	8.71e-08	107	83
Head and neck cancer	Alzheimer's disease	Gene Ontology	protein catabolic process	up-down	1.44	-1.72	1.19e-03	9.09e-08	757	648
Head and neck cancer	Alzheimer's disease	Gene Ontology	ribonucleotide binding	up-down	1.57	-1.54	1.48e-08	1.28e-07	1541	1386
Head and neck cancer	Alzheimer's disease	Gene Ontology	nucleolus	up-down	1.93	-1.72	1.48e-08	1.33e-07	749	667
Head and neck cancer	Alzheimer's disease	Gene Ontology	cell cycle g2 m phase transition	up-down	2.32	-2.07	1.48e-08	1.64e-07	235	218
Head and neck cancer	Alzheimer's disease	Gene Ontology	protein polyubiquitination	up-down	1.59	-2.06	3.94e-03	1.83e-07	262	219
Head and neck cancer	Alzheimer's disease	Gene Ontology	negative regulation of cell cycle g2 m phase transition	up-down	2.29	-2.33	3.40e-07	3.09e-07	89	84
Head and neck cancer	Alzheimer's disease	Gene Ontology	protein modification by small protein removal	up-down	2.08	-2.03	1.48e-08	4.07e-07	231	218
Head and neck cancer	Alzheimer's disease	Gene Ontology	protein localization to organelle	up-down	1.38	-1.65	5.10e-03	5.09e-07	764	715
Head and neck cancer	Alzheimer's disease	Gene Ontology	transferase complex	up-down	1.7	-1.71	9.45e-08	9.44e-07	665	565
Head and neck cancer	Alzheimer's disease	Gene Ontology	mitochondrial large ribosomal subunit	up-down	2.03	-2.46	6.13e-04	1.25e-06	52	35
Head and neck cancer	Alzheimer's disease	Gene Ontology	posttranscriptional regulation of gene expression	up-down	1.99	-1.81	1.48e-08	1.32e-06	479	445
Head and neck cancer	Alzheimer's disease	Gene Ontology	regulation of cellular amine metabolic process	up-down	2.23	-2.36	2.14e-06	1.50e-06	71	70
Head and neck cancer	Alzheimer's disease	Gene Ontology	organelle localization	up-down	1.66	-1.73	6.36e-06	2.02e-06	522	479
Head and neck cancer	Alzheimer's disease	Gene Ontology	protein containing complex disassembly	up-down	1.48	-1.96	2.58e-02	2.06e-06	271	238
Head and neck cancer	Alzheimer's disease	Gene Ontology	rrna metabolic process	up-down	2.17	-2.1	2.38e-08	2.09e-06	180	158
Head and neck cancer	Alzheimer's disease	Gene Ontology	mrna metabolic process	up-down	1.84	-1.67	1.48e-08	2.87e-06	668	614
Head and neck cancer	Alzheimer's disease	Gene Ontology	unfolded protein binding	up-down	1.81	-2.22	3.62e-03	3.94e-06	88	84
Head and neck cancer	Alzheimer's disease	Gene Ontology	ribonucleoprotein complex subunit organization	up-down	2.04	-2.07	3.74e-06	5.07e-06	148	151
Head and neck cancer	Alzheimer's disease	Gene Ontology	protein folding	up-down	1.64	-2.04	1.25e-02	5.43e-06	167	157
Head and neck cancer	Alzheimer's disease	Gene Ontology	microtubule cytoskeleton	up-down	1.7	-1.56	1.48e-08	7.96e-06	1020	836
Head and neck cancer	Alzheimer's disease	Gene Ontology	microtubule	up-down	1.66	-1.84	2.58e-04	8.19e-06	344	284
Head and neck cancer	Alzheimer's disease	Gene Ontology	regulation of transcription from rna polymerase ii promoter in response to hypoxia	up-down	2.14	-2.27	4.99e-05	8.83e-06	68	70
Head and neck cancer	Alzheimer's disease	Gene Ontology	adenyl nucleotide binding	up-down	1.63	-1.48	1.48e-08	1.24e-05	1274	1147
Head and neck cancer	Alzheimer's disease	Gene Ontology	antigen processing and presentation of peptide antigen	up-down	2.2	-2	3.24e-08	1.42e-05	145	154
Head and neck cancer	Alzheimer's disease	Gene Ontology	macromolecule catabolic process	up-down	1.5	-1.5	1.82e-06	1.71e-05	1133	998
Head and neck cancer	Alzheimer's disease	Gene Ontology	microtubule based process	up-down	1.67	-1.66	3.04e-06	2.64e-05	617	513
Head and neck cancer	Alzheimer's disease	Gene Ontology	proteasome accessory complex	up-down	1.95	-2.35	6.94e-03	2.73e-05	23	23
Head and neck cancer	Alzheimer's disease	Gene Ontology	trna processing	up-down	1.82	-2.11	2.79e-03	3.53e-05	114	89
Head and neck cancer	Alzheimer's disease	Gene Ontology	rna splicing via transesterification reactions	up-down	1.89	-1.79	8.84e-07	4.97e-05	290	261
Head and neck cancer	Alzheimer's disease	Gene Ontology	rna catabolic process	up-down	1.83	-1.74	2.91e-06	6.04e-05	309	294
Head and neck cancer	Alzheimer's disease	Gene Ontology	protein containing complex localization	up-down	1.65	-1.8	2.08e-03	8.83e-05	237	214
Head and neck cancer	Alzheimer's disease	Gene Ontology	ribonucleoprotein complex binding	up-down	1.92	-2.02	3.26e-04	9.86e-05	109	97
Head and neck cancer	Alzheimer's disease	Gene Ontology	nucleotide excision repair	up-down	1.72	-2.06	1.44e-02	1.14e-04	95	94
Head and neck cancer	Alzheimer's disease	Gene Ontology	rna localization	up-down	2.22	-1.83	1.48e-08	1.67e-04	180	176
Head and neck cancer	Alzheimer's disease	Gene Ontology	proteasome core complex	up-down	2	-2.18	6.11e-03	1.69e-04	16	16
Head and neck cancer	Alzheimer's disease	Gene Ontology	nuclear outer membrane endoplasmic reticulum membrane network	up-down	1.36	-1.5	5.10e-03	1.73e-04	871	740
Head and neck cancer	Alzheimer's disease	Gene Ontology	antigen processing and presentation of exogenous peptide antigen via mhc class i	up-down	2.25	-2.14	3.56e-06	1.76e-04	62	61
Head and neck cancer	Alzheimer's disease	Gene Ontology	regulation of mrna catabolic process	up-down	2.1	-1.88	5.10e-07	1.99e-04	164	156
Head and neck cancer	Alzheimer's disease	Gene Ontology	cellular component disassembly	up-down	1.69	-1.64	6.16e-06	2.39e-04	459	414
Head and neck cancer	Alzheimer's disease	Gene Ontology	nuclear envelope	up-down	1.61	-1.66	3.41e-04	2.51e-04	394	357
Head and neck cancer	Alzheimer's disease	Gene Ontology	amine metabolic process	up-down	1.98	-1.96	7.93e-05	2.73e-04	119	111
Head and neck cancer	Alzheimer's disease	Gene Ontology	drug binding	up-down	1.57	-1.4	1.48e-08	2.88e-04	1417	1289
Head and neck cancer	Alzheimer's disease	Gene Ontology	proteasomal ubiquitin independent protein catabolic process	up-down	2.06	-2.15	1.67e-03	2.89e-04	18	18
Head and neck cancer	Alzheimer's disease	Gene Ontology	establishment of organelle localization	up-down	1.59	-1.69	2.07e-03	3.31e-04	337	316
Head and neck cancer	Alzheimer's disease	Gene Ontology	regulation of catabolic process	up-down	1.53	-1.49	2.98e-05	4.09e-04	824	747
Head and neck cancer	Alzheimer's disease	Gene Ontology	antigen processing and presentation	up-down	2.1	-1.77	2.09e-07	4.17e-04	176	184
