pathway	padj	NES	size	leadingEdge
kegg - cell cycle	5.87e-09	2.6	105	CCNA2,CHEK1,SKP2,CDC7,CCNB1,ANAPC5,CDC6,MCM6,MCM2,ESPL1,ORC1,CCNB2,CDC25A,CDK1,CDC45,E2F3,MCM3,YWHAQ,PLK1,MCM4,CCND1,CDC20,BUB1,PCNA,MAD2L1,HDAC2,CDK2,MCM5,TTK,CDC25B,MYC,E2F5,CCNE1,ORC6,PRKDC,MAD2L2,TFDP1,CDC25C,DBF4,BUB3,ORC3,RBL1,PKMYT1,CCNE2,WEE1,ORC5,ATR,CDC16,YWHAG,CDC23
kegg - parkinsons disease	5.87e-09	-2.57	86	CYCS,SLC25A4,ATP5F1A,NDUFB8,COX8A,UQCR10,COX6C,NDUFS2,NDUFS3,NDUFC1,COX4I1,COX5A,UBB,COX5B,UQCRC1,SDHB,NDUFB1,NDUFS7,ATP5MC3,ATP5PB,SDHA,UQCRB,NDUFA1,COX7C,UQCRC2,UQCRQ,UQCRFS1,NDUFV1,UBE2J1,SLC25A5,NDUFS4,NDUFB10,ATP5F1C,ATP5PF,ATP5PO,SDHD,NDUFA5,NDUFB4,COX6A1,COX7B,COX7A2,ATP5F1D,ATP5MC1,SLC18A2,SNCA,NDUFB7,UQCR11,ATP5PD,NDUFB3,CASP9,CASP3,NDUFV2,COX6B1,COX6A2,COX7A1,PRKN,NDUFB2,NDUFB5
kegg - spliceosome	5.87e-09	2.4	99	PPIL1,PRPF3,SF3B3,EFTUD2,TCERG1,SNRPA,PRPF19,PRPF4,LSM5,PRPF38B,NCBP2,U2AF2,SRSF7,LSM8,SNRNP70,SNRPB,PRPF31,EIF4A3,SNRPD1,PUF60,USP39,CHERP,DHX8,SF3B1,CDC5L,LSM4,DDX23,MAGOHB,SNRPG,SNRPD2,BUD31,SNRPC,WBP11,LSM2,PRPF6,DDX46,SMNDC1,LSM7,SRSF6,SRSF1,HNRNPC,SF3B2,THOC2,XAB2,PPIH,HNRNPU,SNRPA1,ALYREF,SNRNP40,SNRPE,SNRPF,SF3A3,NCBP1,CTNNBL1,U2AF1
pid - foxm1 pathway	5.87e-09	2.74	32	NEK2,CCNA2,SKP2,CENPA,CCNB1,BIRC5,CCNB2,CDK1,AURKB,PLK1,CCND1,CDK2,CDC25B,MYC,CCNE1,CENPB,CENPF,ETV5,CKS1B,BRCA2
reactome - activation of atr in response to replication stress	5.87e-09	2.71	33	CHEK1,CLSPN,CDC7,CDC6,MCM6,MCM2,MCM10,ORC1,CDC25A,CDC45,MCM3,MCM4,CDK2,MCM5,ORC6,RFC3,RFC2,CDC25C,DBF4,ORC3,MCM8,ORC5,ATR,RPA3,RAD1
reactome - activation of the pre replicative complex	5.87e-09	2.66	30	CDT1,CDC7,CDC6,POLA2,MCM6,MCM2,MCM10,ORC1,CDC45,MCM3,MCM4,PRIM1,CDK2,MCM5,ORC6,DBF4,ORC3,MCM8,POLE3,ORC5,PRIM2,POLE2,RPA3
reactome - cell cycle	5.87e-09	2.79	514	KIF23,KIF18A,NEK2,CDT1,CCNA2,ZWILCH,CHEK1,RRM2,SKP2,CLSPN,H2AX,TK1,CENPA,CDC7,CCNB1,CENPU,ANAPC5,GINS2,CDC6,POLA2,KNL1,MCM6,NUF2,MCM2,TP53BP1,MCM10,SKA1,KIF2C,CDCA8,BLM,RAD51,EXO1,NCAPG,ESPL1,BIRC5,ORC1,CCNB2,SGO2,CDCA5,SPC25,HJURP,KIF20A,CDC25A,NUP160,BORA,LIG1,PSME3,CDK1,PLK4,CDC45,E2F3,KNTC1,NUP43,RANGAP1,MCM3,YWHAQ,AURKB,CENPI,PLK1,LYN,MCM4,LIN9,NDE1,TUBA4A,POLD1,HMMR,GINS1,BRIP1,MASTL,NUP58,CCND1,CDC20,NCAPH,PSME4,BUB1,ZWINT,GINS3,PCNA,H2AZ1,MIS18A,NDC80,MAD2L1,SPDL1,PRIM1,CENPE,NUP188,NUP155,FBXO5,RUVBL1,CDK2,OIP5,NCAPD3,MCM5,ERCC6L,RCC2,SMC2,PSMD1,ODF2,MND1,CDC25B,H3C2,TMPO,MYC,TUBB,BRCA1,PSMB7,E2F5,CCNE1,ORC6,NUP107,UBE2C,MYBL2,NBN,PSMD14,CENPF,INCENP,TFDP1,NDC1,RFC3,NUP93,RUVBL2,ACD,MIS18BP1,MDC1,AJUBA,TYMS,CEP41,RFC2,NUP37,PSMC3IP,MRE11,CDC25C,DBF4,BUB3,ORC3,PSMB2,RBBP7,CENPO,ESCO2,RBL1,GINS4,CKS1B,TUBGCP4,CENPJ,UBE2I,WRAP53,PSMD2,PKMYT1,BRCA2,PSMC2,PSMD3,ITGB3BP,CCNE2,NUP210,CEP250,H4C4,MCM8,SUN1,POLE3,XPO1,LMNB1,NUP98,NEDD1,WEE1,POT1,ORC5,HDAC8,TOP3A,NUP35,BARD1,EMD,DSN1,POLD2,ATR,CENPH,CCP110,CDC16,YWHAG,TUBGCP3,CDC23,PSMD11,AKT2,PSMD5,E2F6,PRIM2,PSMA1,NUP133,RAE1,CEP131,NUP153,KPNB1,PSMC4,CENPQ,PHF8,POLE2,KIF2A,CENPW,PHF20,RPA3,LBR,CUL1,NCAPH2,TOPBP1,PSMB5,E2F1,AAAS,CEP72,LEMD3,PSMA3,DSCC1,CEP135,CLASP2,SMC1A,PSMB4,CHTF18,TERF1,RAD1,GAR1,TNPO1,PSMD8,HAUS8,MAPRE1,SEH1L,CETN2,UBE2V2,HAUS6,ANAPC10,DYNC1LI1,BABAM1,PIAS4,PSMB1,PDS5B,RAD51C,ZW10,UIMC1,PCBP4,CEP164,PDS5A,PSMA2,RNF8,SGO1,SPAST,BANF1,CEP290,SMC3,H2BC11,SEM1,NUP42,CSNK2A2,CEP76,UBE2N
reactome - cell cycle checkpoints	5.87e-09	2.96	233	KIF18A,CCNA2,ZWILCH,CHEK1,CLSPN,H2AX,CENPA,CDC7,CCNB1,CENPU,ANAPC5,CDC6,KNL1,MCM6,NUF2,MCM2,TP53BP1,MCM10,SKA1,KIF2C,CDCA8,BLM,EXO1,BIRC5,ORC1,CCNB2,SGO2,SPC25,CDC25A,NUP160,PSME3,CDK1,CDC45,KNTC1,NUP43,RANGAP1,MCM3,YWHAQ,AURKB,CENPI,PLK1,MCM4,NDE1,BRIP1,CDC20,PSME4,BUB1,ZWINT,NDC80,MAD2L1,SPDL1,CENPE,CDK2,MCM5,ERCC6L,RCC2,PSMD1,BRCA1,PSMB7,CCNE1,ORC6,NUP107,UBE2C,NBN,PSMD14,CENPF,INCENP,RFC3,MDC1,RFC2,NUP37,MRE11,CDC25C,DBF4,BUB3,ORC3,PSMB2,CENPO,PSMD2,PKMYT1,PSMC2,PSMD3,ITGB3BP,CCNE2,H4C4,MCM8,XPO1,NUP98,WEE1,ORC5,TOP3A,BARD1,DSN1,ATR,CENPH,CDC16,YWHAG,CDC23,PSMD11,PSMD5,PSMA1,NUP133,PSMC4,CENPQ,KIF2A,PHF20,RPA3,TOPBP1,PSMB5,PSMA3,CLASP2,PSMB4,RAD1,PSMD8,MAPRE1,SEH1L,UBE2V2,ANAPC10,DYNC1LI1,BABAM1,PIAS4,PSMB1,ZW10,UIMC1,PCBP4,PSMA2,RNF8,SGO1,H2BC11,SEM1
reactome - cell cycle mitotic	5.87e-09	2.76	420	KIF23,KIF18A,NEK2,CDT1,CCNA2,ZWILCH,RRM2,SKP2,H2AX,TK1,CENPA,CDC7,CCNB1,CENPU,ANAPC5,GINS2,CDC6,POLA2,KNL1,MCM6,NUF2,MCM2,MCM10,SKA1,KIF2C,CDCA8,NCAPG,ESPL1,BIRC5,ORC1,CCNB2,SGO2,CDCA5,SPC25,KIF20A,CDC25A,NUP160,BORA,LIG1,PSME3,CDK1,PLK4,CDC45,E2F3,KNTC1,NUP43,RANGAP1,MCM3,AURKB,CENPI,PLK1,LYN,MCM4,LIN9,NDE1,TUBA4A,POLD1,HMMR,GINS1,MASTL,NUP58,CCND1,CDC20,NCAPH,PSME4,BUB1,ZWINT,GINS3,PCNA,H2AZ1,NDC80,MAD2L1,SPDL1,PRIM1,CENPE,NUP188,NUP155,FBXO5,CDK2,NCAPD3,MCM5,ERCC6L,RCC2,SMC2,PSMD1,ODF2,CDC25B,H3C2,TMPO,MYC,TUBB,PSMB7,E2F5,CCNE1,ORC6,NUP107,UBE2C,MYBL2,PSMD14,CENPF,INCENP,TFDP1,NDC1,RFC3,NUP93,AJUBA,TYMS,CEP41,RFC2,NUP37,CDC25C,DBF4,BUB3,ORC3,PSMB2,CENPO,ESCO2,RBL1,GINS4,CKS1B,TUBGCP4,CENPJ,UBE2I,PSMD2,PKMYT1,PSMC2,PSMD3,ITGB3BP,CCNE2,NUP210,CEP250,H4C4,MCM8,POLE3,XPO1,LMNB1,NUP98,NEDD1,WEE1,ORC5,HDAC8,NUP35,EMD,DSN1,POLD2,CENPH,CCP110,CDC16,YWHAG,TUBGCP3,CDC23,PSMD11,AKT2,PSMD5,E2F6,PRIM2,PSMA1,NUP133,RAE1,CEP131,NUP153,KPNB1,PSMC4,CENPQ,PHF8,POLE2,KIF2A,RPA3,LBR,CUL1,NCAPH2,PSMB5,E2F1,AAAS,CEP72,LEMD3,PSMA3,CEP135,CLASP2,SMC1A,PSMB4,TNPO1,PSMD8,HAUS8,MAPRE1,SEH1L,CETN2,HAUS6,ANAPC10,DYNC1LI1,PSMB1,PDS5B,ZW10,CEP164,PDS5A,PSMA2,SGO1,SPAST,BANF1,CEP290,SMC3,H2BC11,SEM1,NUP42,CSNK2A2,CEP76
reactome - chromosome maintenance	5.87e-09	2.52	80	H2AX,CENPA,CENPU,POLA2,KNL1,BLM,HJURP,LIG1,CENPI,POLD1,PCNA,H2AZ1,MIS18A,PRIM1,RUVBL1,OIP5,RFC3,RUVBL2,ACD,MIS18BP1,RFC2,RBBP7,CENPO,WRAP53,ITGB3BP,H4C4,POT1,POLD2,CENPH,PRIM2,CENPQ,CENPW,RPA3,DSCC1,CHTF18,TERF1,GAR1,H2BC11,RPA2,NHP2,RFC1,CENPN,FEN1,CENPM,WRN
