pathway	padj	NES	size	leadingEdge
kegg - lysosome	2.48e-08	2.31	116	CTSC,CTSK,GLA,ATP6V0C,PLA2G15,HEXA,CLTB,NPC1,GM2A,SGSH,ATP6V1H,LGMN,MAN2B1,CLN5,ATP6AP1,NPC2,GAA,SUMF1,FUCA1,GNPTAB,CTSD,GALNS,CTSB,ATP6V0A1,CTSL,HEXB,ACP2,LAMP2,CTSA,AP4M1,NAGPA,GNS,LAPTM4B,LAPTM4A,CTSH,CTNS,SCARB2,ATP6V0B,CLN3,CTSW,NAPSA,NAGA,LAMP3,CTSG,CTSF,ASAH1,PPT1,CD63,NEU1,TCIRG1,ARSA,AP1S1,ACP5,AP3M2,MCOLN1,PSAP,IGF2R,AP1M2,LAMP1,PSAPL1,GALC,GGA1,SLC11A2,ABCA2,SLC17A5
naba - matrisome	2.48e-08	1.67	951	CTSC,SPARC,SERPINF1,C1QB,PLXNA1,COL6A1,MMP2,CLEC4E,SULF2,CTSK,HPSE,CCL5,MMP12,LGALS1,IL10,LGALS2,PLXND1,PLXDC2,CCL8,PLAU,COLEC11,VWF,EMILIN2,CXCL9,S100A9,PCOLCE,TNFSF4,CLEC10A,WNT10A,LOXL3,MMP9,MMP1,C1QA,HTRA4,COL1A2,CLEC2B,FCN3,LGALS3,GREM1,LAMB2,BMP2,OGFOD2,SERPINB6,TNFSF13,CSTA,CXCL10,CLEC12A,CCL21,VEGFC,DPT,FCN1,CST7,CXCL11,MXRA5,S100A4,CCN3,SDC4,IGFBP3,ADAMDEC1,HTRA1,FBLN7,EMID1,COL5A1,ANGPT4,ANXA3,LTBP2,COL18A1,SFRP2,IL18,SERPING1,CST3,LOXL1,S100A13,FAM20A,COL6A3,LTBP3,FN1,THBS3,COL4A2,SRPX,IGFBP7,CCL18,SERPINA1,TNFSF13B,CCL4,SCUBE2,CXCL13,CTSD,CTSB,CCL17,MMP7,ITIH5,ANXA5,CTSL,ECM1,TIMP1,BGN,NID2,S100A6,HTRA3,LGALS9,PLAT,TGFBI,ABI3BP,IL12A,CXCL3,EPYC,CCL11,COL1A1,IL1RN,MFAP5,ADAM15,COL6A6,S100B,IL6,MFAP4,S100A3,SEMA3F,S100A8,HBEGF,CTSA,IL15,CBLN2,WNT11,F12,GDF10,ANGPTL2,HSPG2,XCL1,SFRP4,PCOLCE2,C17orf58,COL5A2,TNFSF15,CLEC4A,A2M,CILP,SRGN,IFNG,MEP1A,CLEC4D,P4HA2,CHAD,THBS1,PRSS12,DCN,ITIH3,SULF1,CTSH,EFEMP2,ISM1,FSTL1,MFAP2,HMCN1,FBLN5,RSPO3,CTHRC1,CCL19,S100A11,SERPINE1,MST1,CTSW,IGFBP6,CLEC7A,HAPLN3,SERPINB9,FBLN1,ANXA2,CXCL12,POSTN,CCN1,LGALSL,MMP3,COLEC12,SLIT1,CCL22,CCN4,SERPINE2,FGL2,ARTN,FMOD,EGFL6,CTSG,CTSF,VWA5A,COL15A1,COL16A1,MEGF10,FLG2,ANXA4,TLL2,CRELD2,COL4A1,SPOCK1,LOXL4,ANXA1,FNDC1,TGM1,FBN1,COL9A2,FGFBP1,SPP1,CHRDL1,LAMA4,NELL2,CST4,P4HTM,ADIPOQ,F13A1,PLOD3,CD109,CXCL6,IGSF10,BMP5,PLOD1,ADAMTS3,EFEMP1,EGFLAM,CLEC5A,PRL,S100A16,FGF19,FGF2,COL5A3,PRELP,IL1B,FGF13,LMAN1,CCL2,C1QTNF1,CSF1,COL6A2,S100A10,SRPX2,CST2,COL8A2,THBS2,FGFBP2,PZP,CX3CL1,EBI3,IFNA5,GLDN,CCN5,LTBP1,LAMB3,C1QC,TNFAIP6,CXCL1,COL4A4,PLOD2,ITLN1,COL8A1,ADAM9,OGFOD1,LAMC1,USH2A,COL6A5,CCL26,RPTN
naba - matrisome associated	2.48e-08	1.6	685	CTSC,SERPINF1,C1QB,PLXNA1,MMP2,CLEC4E,SULF2,CTSK,HPSE,CCL5,MMP12,LGALS1,IL10,LGALS2,PLXND1,PLXDC2,CCL8,PLAU,COLEC11,CXCL9,S100A9,TNFSF4,CLEC10A,WNT10A,LOXL3,MMP9,MMP1,C1QA,HTRA4,CLEC2B,FCN3,LGALS3,GREM1,BMP2,OGFOD2,SERPINB6,TNFSF13,CSTA,CXCL10,CLEC12A,CCL21,VEGFC,FCN1,CST7,CXCL11,S100A4,SDC4,ADAMDEC1,HTRA1,ANGPT4,ANXA3,SFRP2,IL18,SERPING1,CST3,LOXL1,S100A13,FAM20A,CCL18,SERPINA1,TNFSF13B,CCL4,SCUBE2,CXCL13,CTSD,CTSB,CCL17,MMP7,ITIH5,ANXA5,CTSL,TIMP1,S100A6,HTRA3,LGALS9,PLAT,IL12A,CXCL3,CCL11,IL1RN,ADAM15,S100B,IL6,S100A3,SEMA3F,S100A8,HBEGF,CTSA,IL15,CBLN2,WNT11,F12,GDF10,ANGPTL2,XCL1,SFRP4,C17orf58,TNFSF15,CLEC4A,A2M,IFNG,MEP1A,CLEC4D,P4HA2,PRSS12,ITIH3,SULF1,CTSH,ISM1,FSTL1,CCL19,S100A11,SERPINE1,MST1,CTSW,CLEC7A,SERPINB9,ANXA2,CXCL12,LGALSL,MMP3,COLEC12,CCL22,SERPINE2,ARTN,EGFL6,CTSG,CTSF,MEGF10,FLG2,ANXA4,TLL2,LOXL4,ANXA1,TGM1,FGFBP1,CHRDL1,CST4,P4HTM,F13A1,PLOD3,CD109,CXCL6,BMP5,PLOD1,ADAMTS3,CLEC5A,PRL,S100A16,FGF19,FGF2,IL1B,FGF13,LMAN1,CCL2,C1QTNF1,CSF1,S100A10,CST2,FGFBP2,PZP,CX3CL1,EBI3
reactome - cellular responses to external stimuli	2.48e-08	1.75	550	PSMB5,MT2A,MT1X,MT1G,RRAGD,MT1H,CSRP1,TUBB6,KPTN,FKBP4,ATP6V0C,MAPKAPK3,MAPK3,H2BC12,CCNE1,RPL39,CDKN1A,NCF2,TXN,ATP6V1E1,ATOX1,ATP6V1H,PSMC5,MT1E,ATP6V1D,H1-0,DDIT3,MOV10,ATP6V1A,PSMB4,PSMA5,WDR24,RPL24,PSMC2,RPL6,MT1F,CEBPB,SOD1,PSMA3,PSMD2,DCTN1,PSMD9,IGFBP7,RPS27A,PRDX6,MAPKAPK2,DCTN2,RPS27L,DNAJA1,NUP62,GPX8,CDK4,H2AC6,RPS19BP1,ELOB,NUP93,RPL41,HSPB1,TNFRSF21,RNF2,CBX6,EPAS1,IL6,RPS4X,GPX3,NUP85,TXN2,ANAPC7,NUP98,PSMD13,ATP6V0E1,HSPA12B,DYNC1I2,LAMTOR2,ATP6V1F,RPL27,RHEB,PSMC1,ATF4,ATP6V0B,PSME1,DNAJB6,DYNLL1,GSTP1,HSPB2,PSMA7,PSMD10,GPX1,ATF3,PRDX1,PPP1R15A,WDR59,DCTN6,RPL10L,RLN1,TCIRG1,PSMD4,RPS14,DYNC1LI1,BAG3,TNIK,PHC2,UBB,MT1M,H2AJ,RPS19,ATP6V1B2,FKBP5,ETS2,RPS8,HSF1,P4HB,TUBA1A,SH3BP4,ELOC,MLST8,HSP90AB1,PSMB9,PSMB1,HDAC6,RPL37A,RPL23A,PSMB2,RPL18,RPS17,UBE2D1,RPS10,H1-2,PSMC6,SEC13,DCTN5,RPL39L,CRYAB,HSPA6,MINK1,EIF2S1,PSMA4,PSMA1,CDK6,RPS28,GSR,RPS27,CDKN2A,PSMB8,TRIB3,RPL22L1,PSMB6,RPL35,RPL14,RPL36,NUDT2,MAP3K5,RPS24,PSMA2,ID1,RPL15,PSMD11,SOD2,RPL26L1,LAMTOR1,MRPL18,CYCS,RPL7,ANAPC10,VEGFA,SOD3,EGLN3,DCTN4,NUP160,HIGD1A,PSMD5,SERPINH1,LAMTOR3,RPLP0,RPS16,RPS7,RPS23,EZH2,EIF2AK4,RPS21,PSMB7,PSMD12,RPL37,HIRA,HSPA9,NPRL3,RPS9,RPL32,HIKESHI,PSMD8,EIF2S2,NUP37,HSPA14,PSMD14,RPLP1,CDC23,NUP43,PSMD3,IFNB1,DEDD2,RPL11,SEH1L,RBX1,PSMB10,RRAGC,C12orf66,DCTN3,NUP35,ACD,HSPA4L,TXNRD1,RPL9,H2AZ1,NUP188,PSMF1,SESN1,PSMD1,PSMB3,DNAJB1,CBX2,RPL29,RPL12
reactome - innate immune system	2.48e-08	1.78	982	CTSC,BRI3,C1QB,CHI3L1,PSMB5,CLEC4E,CFP,CTSK,TLR2,HPSE,CYSTM1,GYG1,ATG7,POLR3H,GLA,GPR84,PAK1,ITGAX,RAP2B,ATP6V0C,C5AR1,PLAU,NOD2,CYFIP1,MAPKAPK3,PLD1,COLEC11,S100A9,C3AR1,CLEC10A,TNFRSF1B,STOM,TRPM2,MMP9,SIGLEC15,C3,C1QA,MAPK3,FCN3,RNF216,C2,LGALS3,RAC1,NCF2,GM2A,MNDA,TXN,ATP6V1E1,SERPINB6,CHIT1,CLEC12A,ATOX1,DYNLT1,FRK,ATP6V1H,FCN1,NAPRT,PSMC5,ATP6V1D,NIT2,LY96,PSTPIP1,ANPEP,LGMN,MAN2B1,LCP2,NPC2,TYROBP,ATP6V1A,CD33,PSMB4,PSMA5,ARL8A,PSMC2,CD4,SUGT1,SERPING1,CST3,LAIR1,HLA-A,FABP5,ABI2,RNF135,PSMA3,PSMD2,GAA,DEGS1,IRAK1,CD14,CFD,PSMD9,FTL,SERPINA1,RPS27A,PRDX6,FUCA1,CLU,TLR8,LTF,MAPKAPK2,CTSD,RAB18,GALNS,CTSB,ATP6V0A1,POLR2L,RIPK3,FPR1,CCL17,RAB5C,HK3,RHOF,ITGAM,CTSL,TLR4,PRDX4,GRN,PIGR,NLRC5,PLEKHO2,SIGIRR,ATAD3B,BCL2L1,HEBP2,P2RX7,SIRPA,GHDC,HCK,HEXB,ACAA1,DHX58,STING1,LAMP2,TREM1,S100B,S100A8,BPIFB4,CTSA,GAB2,NKIRAS2,LYZ,SIGLEC9,CLEC4A,PSMD13,PTX3,SLC27A2,RIPK1,PLD2,CLEC4D,ATP6V0E1,CFH,FCER1G,DUSP6,GSDMD,GNS,LAMTOR2,POLR3G,DDX41,TRAF2,DUSP7,TXK,UBE2L6,IMPDH1,CTSH,VAT1,ATP6V1F,CFHR5,C1S,DGAT1,PSMC1,CFHR2,LILRB2,ATP6V0B,CASP1,S100A11,CDC34,MVP,TREM2,PSME1,DYNLL1,ORM1,C1R,NCKIPSD,CREG1,CLEC7A,ANXA2,VPS35L,NCSTN,GNLY,CD300A,PLPP4,GSTP1,PIK3R2,PYCARD,ITPR2,SIGLEC5,PSMA7,PLD3,CD3G,PIK3C3,CCL22,PNP,NFKBIA,PSMD10,OLR1,IDH1,FGL2,PADI2,ITGAV,PRCP,CD93,PYGL,BST1,CTSG,AGPAT2,ASAH1,TOLLIP,CD63,PTPRJ,RAB14,EEF2,FLG2,CD58,NEU1,CD247,COMMD9,TNFAIP3,TCIRG1,A1BG,PGLYRP3,ARSA,PSMD4,DYNC1LI1,UBB,VAMP8,SVIP,C1orf35,ATP6V1B2,SDCBP,COMMD3,GGH,DUSP3,PLA2G2A,PGRMC1,LCN2,HSP90AB1,PSMB9,IQGAP2,PSAP,CLEC5A,C6,IGF2R,C7,PSMB1,RAB24,PRKACA,IL1B,RNASE6,FUCA2,AP2A2,PPP2CB,LAMP1,DEFB124,APRT,ISG15,PSMB2,CHGA,PLCG1,RAB31,CD44,UBE2D1,IRAK3,CD59,IFNA5,PIN1,BTRC,DERA,PSMC6,ITK,C1QC,TNFAIP6,PDZD11,CXCL1,PLAUR,ITLN1,PDXK,CCR2,HSPA6,FGR,PGM1,ABL1,TRAF3,PROS1,ADGRE5,PRKCQ,NLRX1,ITGB2,TOM1,NCKAP1,PANX1,VNN1,CD209,FCGR2A,PSMA4,DPP7,PSMA1
reactome - metabolism of amino acids and derivatives	2.48e-08	1.82	342	PSMB5,IL4I1,ECHS1,GCAT,ACAT1,PYCR1,RPL39,TST,SQOR,GLUL,ADI1,NNMT,PSMC5,PSMB4,PSMA5,RPL24,SAT1,PSMC2,RPL6,PSMA3,PSMD2,PYCR3,PSMD9,FAH,RIMKLA,RPS27A,SLC25A10,ACAD8,RPS27L,IDO1,BCKDK,GRHPR,QDPR,RPL41,RPS4X,ETHE1,ASS1,AMT,TXN2,ASPG,PSTK,SRM,PSMD13,SLC6A12,RPL27,PSMC1,PSME1,RIDA,PSMA7,PSMD10,SLC7A5,CPS1,RPL10L,SCLY,CKB,GCSH,CKM,PSMD4,RPS14,SERINC5,RPS19,RPS8,SMS,EEF1E1,HYKK,PRODH2,PSMB9,OAZ2,SUOX,PSMB1,GAMT,SLC6A8,AIMP2,NDUFAB1,RPL37A,NMRAL1,RPL23A,KYAT1,PSMB2,RPL18,RPS17,RPS10,DHTKD1,PSMC6,OTC,RPL39L,OGDH,MCCC2,ADO,GCDH,ALDH9A1,SLC25A13,OCA2,PSMA4,PSMA1,HSD17B10,HIBCH,SLC25A21,RPS28,GSR,RPS27,TDO2,PSMB8,RPL22L1,PSMB6,RPL35,RPL14,RPL36,SMOX,GOT2,PCBD1,RPS24,PSMA2,RPL15,PSMD11,RPL26L1,APIP,GLDC,RPL7,INMT,KARS1,PSMD5,AUH,AHCY,RPLP0,RPS16,RPS7,RPS23,HNMT,RPS21,PSMB7,RIMKLB,PSMD12,RPL37,ASMT,RPS9,RPL32,CARNMT1,PSMD8,PSMD14,RPLP1,SLC25A15,PSMD3,RARS1,PAPSS2,RPL11,MPST,PSMB10,BBOX1,AADAT,TXNRD1,PXMP2,RPL9,AFMID,PSMF1,DLD,PSMD1,PSPH,PSAT1,PSMB3,ALDH7A1,MTR,DLAT,SEPHS2,RPL29,RPL12,SLC3A2,ASRGL1,EPRS1,RPS6,RPL30,OAZ3,NQO1,RPS18,RPS5,RPL8,PSMD7
reactome - neutrophil degranulation	2.48e-08	2.07	458	CTSC,BRI3,CHI3L1,CFP,TLR2,HPSE,CYSTM1,GYG1,ATG7,GLA,GPR84,ITGAX,RAP2B,ATP6V0C,C5AR1,PLAU,CYFIP1,PLD1,S100A9,C3AR1,TNFRSF1B,STOM,TRPM2,MMP9,C3,LGALS3,RAC1,GM2A,MNDA,SERPINB6,CHIT1,CLEC12A,DYNLT1,FRK,FCN1,NAPRT,ATP6V1D,NIT2,ANPEP,MAN2B1,NPC2,TYROBP,CD33,PSMA5,ARL8A,PSMC2,CST3,LAIR1,HLA-A,FABP5,PSMD2,GAA,DEGS1,CD14,CFD,FTL,SERPINA1,PRDX6,FUCA1,LTF,CTSD,RAB18,GALNS,CTSB,ATP6V0A1,FPR1,RAB5C,HK3,RHOF,ITGAM,PRDX4,GRN,PIGR,PLEKHO2,ATAD3B,HEBP2,SIRPA,GHDC,HEXB,ACAA1,STING1,LAMP2,S100A8,CTSA,LYZ,SIGLEC9,PSMD13,PTX3,SLC27A2,CLEC4D,FCER1G,GSDMD,GNS,LAMTOR2,IMPDH1,CTSH,VAT1,DGAT1,LILRB2,S100A11,MVP,DYNLL1,ORM1,CREG1,ANXA2,VPS35L,NCSTN,CD300A,GSTP1,PYCARD,SIGLEC5,PNP,OLR1,IDH1,FGL2,PADI2,ITGAV,PRCP,CD93,PYGL,BST1,CTSG,AGPAT2,ASAH1,TOLLIP,CD63,PTPRJ,RAB14,EEF2,FLG2,CD58,NEU1,COMMD9,TCIRG1,A1BG,ARSA,DYNC1LI1,VAMP8,SVIP,C1orf35,SDCBP,COMMD3,GGH,PGRMC1,LCN2,HSP90AB1,IQGAP2,PSAP,CLEC5A,IGF2R,PSMB1,RAB24,FUCA2,AP2A2,LAMP1,APRT,RAB31,CD44,CD59,DERA,TNFAIP6,CXCL1,PLAUR,PDXK,HSPA6,FGR,PGM1,ADGRE5,ITGB2,TOM1,VNN1,FCGR2A,DPP7,NBEAL2,DNAJC5,DNAJC3,ATP8B4,ADAM8,SURF4,ANO6,LILRB3,B2M,CKAP4,SERPINB1,C6orf120,HLA-C,PSMA2,PSMD11
reactome - regulation of expression of slits and robos	2.48e-08	2.07	149	PSMB5,RPL39,MAGOHB,PSMC5,PSMB4,PSMA5,RPL24,PSMC2,RPL6,PSMA3,PSMD2,PSMD9,RPS27A,LDB1,RPS27L,ELOB,RPL41,RPS4X,PSMD13,RPL27,PSMC1,PSME1,DAG1,PSMA7,SLIT1,PSMD10,ROBO3,RPL10L,PSMD4,RPS14,UBB,RPS19,RPS8,NCBP2,ELOC,PSMB9,PSMB1,LHX3,RPL37A,GSPT1,RPL23A,PSMB2,RPL18,RPS17,ROBO1,RPS10,PSMC6,RPL39L,PSMA4,PSMA1,ETF1,RPS28,RPS27,PSMB8,RPL22L1,PSMB6,RPL35,RPL14,RPL36,RPS24,PSMA2,RPL15,PSMD11,RPL26L1,RPL7,PSMD5,RPLP0,RPS16,RPS7,RPS23,RPS21,PSMB7,PSMD12,RPL37,RPS9,RPL32,PSMD8,PSMD14,RPLP1,PSMD3,RPL11,RBX1,PSMB10,RPL9,PSMF1,PSMD1,PSMB3,RPL29,RPL12,RPS6,RPL30,RPS18,RPS5,RPL8,PSMD7
reactome - translation	2.48e-08	2.04	267	MRPL24,MRPL20,RPL39,SSR4,MRPL36,EIF2B3,WARS1,RPL24,RPL6,MRPL46,SSR3,MRPS5,RPS27A,MRPS7,ERAL1,LARS2,EIF4EBP1,RPS27L,MRPL14,RPL41,MRPS2,WARS2,MRPL17,MRPL55,TSFM,RPS4X,MRPS17,FARS2,MRPL16,RPN1,DARS2,EIF2B5,GADD45GIP1,RPL27,MRPS28,MRPL4,MRPS14,MRPS16,NARS2,SEC61B,RPL10L,MRPS26,EEF2,MRPS11,MRPS34,MRPL42,MTIF2,PARS2,RPS14,MRPL12,RPS19,RPS8,EEF1E1,MRPL22,SPCS1,SEC61A1,MRPL2,MRPS33,AIMP2,MRPL40,RPL37A,AURKAIP1,MRPL19,GSPT1,RPL23A,RPL18,RPS17,EIF2B4,VARS2,RPS10,RPL39L,MRPL33,CHCHD1,EIF3M,MRPL41,MRPL9,EIF2S1,MRPL34,MRPL50,MRPL47,MRPL32,FARSB,PPA1,ETF1,FARSA,MRRF,RPS28,EIF3B,EIF2B2,MRPL3,RPS27,RPL22L1,MRPL52,RPL35,RPL14,RPL36,MRPS15,MRPL13,SSR2,CARS1,MRPL21,MRPS25,RPS24,RPL15,MRPS6,RPL26L1,MRPS18C,CARS2,MRPL11,MRPL18,TARS1,MRPL35,RPL7,MRPL27,KARS1,MRPL43,RPLP0,RPS16,RPN2,RPS7,RPS23,MRPL54,MRPS9,RPS21,RPL37,MRPS35,MRPL1,RPS9,RPL32,MRPS23,EIF2S2,N6AMT1,AARS1,EIF1AX,RPLP1,RARS1,MRPL28,RPL11,NARS1,HARS1,SRPRB,MRPS18A,RPL9,TUFM,MRPS10,MRPL38,RPL29,RPL12,MRPL51,GFM1,YARS2,MRPL49,EPRS1,RPS6,MRPL10,RPL30,MRPL15,RPS18,YARS1,APEH,RPS5,RPL8,MRPL23
reactome - extracellular matrix organization	2.63e-07	1.82	295	SPARC,COL6A1,MMP2,CTSK,MMP12,ITGAX,VWF,EMILIN2,PCOLCE,LOXL3,MMP9,MMP1,COL1A2,TMPRSS6,LAMB2,BMP2,PPIB,SDC4,HTRA1,COL5A1,LTBP2,COL18A1,LOXL1,COL6A3,LTBP3,FN1,COL4A2,CTSD,CTSB,CAPNS1,MMP7,ITGAM,CTSL,TIMP1,BGN,NID2,VCAM1,COL1A1,MFAP5,ADAM15,COL6A6,MFAP4,HSPG2,COLGALT1,PCOLCE2,ITGA6,ITGA5,COL5A2,A2M,CDH1,P4HA2,THBS1,DCN,EFEMP2,MFAP2,FBLN5,SERPINE1,FBLN1,NCSTN,MMP3,DAG1,CRTAP,ITGB5,JAM2,ITGAV,FMOD,CTSG,KDR,COL15A1,COL16A1,TLL2,COL4A1,LOXL4,FBN1,COL9A2,CAPN10,SPP1,LAMA4,ITGA7,CAPNS2,P4HB,PLOD3,CD151,PLOD1,ADAMTS3,EFEMP1,FGF2,COL5A3,COL6A2,CASK,COL8A2,CD44,LTBP1,LAMB3,COL4A4,ITGA10,PLOD2,COL8A1,ADAM9,LAMC1,COL6A5,LAMB1,LOXL2,ITGB2,COL21A1,SDC3,LUM,CAPN2,CASP3,P3H2,COL11A1,ADAM8,JAM3
