pathway	padj	NES	size	leadingEdge
kegg - neuroactive ligand receptor interaction	4.85e-09	-2.93	229	SSTR2,AGTR2,GRIA3,NPY1R,VIPR2,GABRG2,TAAR9,NPY5R,P2RX1,SCTR,GRM4,CHRNB3,NMUR1,TRHR,TAAR8,GLP1R,LPAR3,CCKBR,ADRA2C,SSTR3,PTH2R,HTR4,GRM1,CHRM3,GRIK4,GALR3,GABRB1,FSHR,GABRA5,PRLR,OPRL1,ADCYAP1R1,GLRA3,AVPR2,GRID2,MAS1,GALR1,S1PR5,SSTR4,PRLHR,P2RY1,ADRA2B,GRIA4,GABBR2,CCKAR,HCRTR2,PLG,NMBR,P2RX4,HTR1A,CTSG,ADORA1,BRS3,NTSR2,HTR5A,PRL,CHRNA2,CHRNG,GRIN3B,CRHR2,HTR1E,GRIK3,KISS1R,MC3R,TACR3,GRIK5,TAAR2,HCRTR1,P2RY4,GCGR,GLRB,UTS2R,DRD5,ADRA2A,CNR2,GABRG3,P2RX3,GPR156,MCHR2,DRD2,CHRNE,GRM2,F2,GRID1,GRIN2C,TSHB,GLRA1,GLRA2,OPRK1,GRIK2,NPFFR2,AGTR1,GABRB3,P2RX2,GABRR1,GABRA1,CHRM4,MLNR,PTGER1,LHCGR,RXFP2,GHSR,GPR83,CHRNA4,PTGER3,HRH3,NPY2R,GRM7,HTR1F,GABRG1,OPRD1,DRD4,HTR1B,ADRA1D,CHRND,GABRA4,TAAR5,F2RL3,GRIA2,ADRB2,GPR50,NPBWR1,ADRA1A,HTR7,CGA,MCHR1,GRIN1,GALR2,CHRM2,GRIA1,THRB,ADRB1,GABRQ,GRIN2B,GHR,CHRNA10,GRIK1,DRD3,SSTR5,GLP2R,OPRM1,CHRM1,S1PR4,MTNR1B,HTR6,CHRNB4,P2RX6,GRM3,MC4R,MC2R,FSHB,TACR1,EDNRB,S1PR2,GRIN2A,ADRA1B,NPFFR1
kegg - olfactory transduction	4.85e-09	-2.7	74	OR1G1,OR12D3,GUCA1C,OR2L13,PDE1C,CAMK2B,OR3A2,OR6A2,OR13C4,OR4D2,OR10H2,OR10C1,OR7A5,OR1E1,CNGB1,OR10J1,CALML3,OR7E24,OR1F1,OR5V1,OR1C1,OR10H3,OR2W1,OR3A1,CNGA3,CALML6,OR2H1,OR2S2,CALML5,GUCA1A,CNGA4,OR5P2,OR51B2,CAMK2A,OR8D1,OR10A5,OR2B2,OR5I1,PRKACG,OR2F1,OR7C2,OR7D2,OR10A4,GUCA1B,OR2C1,OR5L2,OR12D2,OR5P3,OR8D2,OR1A1,OR51B4,OR7A10,OR1A2,OR1Q1,OR8B8,OR1D2,OR52A1,OR3A3
reactome - adaptive immune system	4.85e-09	2.15	583	GAN,AP1S3,ITPR3,CTSV,LMO7,KIF15,KIF20A,TUBA4A,UBA6,PAK1,KIF18A,SEM1,CD1A,KIF23,UBE2L3,KIF11,SMURF1,RAB7A,KIF5B,PSMC6,PSMD14,CENPE,MYD88,UBE2K,FBXO32,HLA-F,PSMA4,CTSA,UBE2Q1,NECTIN2,RNF25,UBA1,DYNC1I2,PSMB3,PSMA5,B2M,PSMB2,PSMC2,UBAC1,PSMC4,KRAS,RAC1,KIF2C,TRIP12,YWHAB,PPL,PSMD1,DCTN5,ITGB5,AP2B1,PSMD10,CDC23,KLHL20,VAMP3,CARD11,PSMB8,UBE2A,HERC6,DYNC1H1,PSMB4,RNF213,ELOC,BCL10,CAPZA1,TAPBP,TRIM21,DYNC1LI2,UBE2C,PSMD2,UBE3B,CUL2,PSMC1,NCK1,UBA3,SNAP23,UBE2Z,ASB7,AP2M1,PSMA1,TPP2,PSMA3,ITGB1,VASP,RIPK2,LNPEP,PPP2R5E,PSMD7,BTN3A2,PPIA,SH3KBP1,CTSH,VAMP8,RNF111,CTSB,ITGAV,CLTC,XDH,PSMD4,BTBD1,WWP1,NFKBIE,SOS1,KEAP1,CTSC,DTX3L,LYN,CDC20,TAP2,PSMD13,BTN3A1,CTSS,CAPZA2,RAP1B,NEDD4,RBCK1,FBXO7,CBLB,PSME4,UBR4,PSMD11,PLCG1,PSME1,PTPN6,RNF7,UBE2L6,TRIM32,AP1S1,RLIM,GLMN,ITCH,PIK3CA,IFITM1,SIAH1,KIFAP3,CD300LF,RNF34,KIF2A,COL3A1,RICTOR,ACTR1A,ZNRF1,PSMD3,PSME3,UBE2D3,DAPP1,ELOB,RNF6,CLTA,UBE2V2,MAP3K7,UBE3A,CALR,SEC23A,PTPN22,UBE2D1,PSMB1,LGMN,SRC,HLA-DQA1,UBE2W,STX4,SYK,LCK,SKP2,SEC24D,TRIM37,PSMD8,ENAH,INPP5D,KIF3A,CD74,CYBA,FBXL13,ITGB2,WSB1,GRB2,FYB1,RNF19A,PTPRC,UBC,CTSK,HECW2,ACTR10,UBE2E1,SEC24B,CLEC2D,RAP1A,CD207,SMURF2,RBX1,HECTD1,TNFRSF14,FYN,DCAF1,RNF123,SKP1,RNF41,RELA,CUL1,ITGA4,CD80,HLA-DOB,REL,DYNLL1,HLA-DMB,SEC24A,RNF144B,MALT1,TRAF7,HLA-DMA,KLHL2,SLAMF7,FBXO22,PTPN11,CD300A,PJA1,HLA-DPA1,MTOR,UBE2N,TRAF6,HLA-DPB1,TREM1,PDCD1LG2,CD3G,RBBP6,UBE2S,ICAM1,ATG7,AP1M1,TLR2,AP1M2,UBE2D2,CTSO,CLEC2B,PSMC3,NFKB1,KLHL5,LAIR1,CHUK,CD86,VAV1,PIK3R1,NCF2,ASB13,JAML,UBE2Q2,MAP3K8,ORAI2,CDC26,ICAM2,CUL3,CYBB,RNF19B,TLR1,CTLA4,FBXO11,DYNC1LI1,PRKACB,HERC5,FKBP1A,TLR4,CSK,RNF217,NCF4,CD3D,CDH1,SELL,RASGRP3,TAB2,LCP2,LILRB4,CD4,PSMC5,AP2S1,TRPC1,MRC2,CD96,PRKG1,CUL5,PPP2R5D,CD274,PPP2CB,SEC61A2,TYROBP,DNM1,PSMB5,PSMA2,TLR6,LY96,SLAMF6,TREM2,MRC1,ITGAL
reactome - cell cycle	4.85e-09	2.95	526	H2BC21,SUN1,HDAC1,H2AC6,PRIM2,H2BC5,SFN,PCNA,MCM10,ANKLE2,CENPF,NDE1,MCM2,KIF20A,NUF2,CDK2,NCAPG2,IST1,TUBA4A,CDK7,ZWILCH,CENPU,MCM4,TPR,KIF18A,SEM1,CCNB1,KIF23,KNTC1,CDC25B,NEK2,TYMS,CCNB2,PSMC6,NOP10,PSMD14,CCNA2,ESCO1,NDC80,CENPJ,CENPE,RRM2,ZWINT,PRKCA,BUB3,NCAPG,PLK4,BORA,HJURP,NUP155,CETN2,PSMA4,BRCA2,DYNC1I2,RBBP8,ORC2,BARD1,PSMB3,CABLES1,PSMA5,POLE2,CDC6,RCC2,PSMB2,PSMC2,KNL1,CDK1,RNF8,HMMR,PSMC4,RAB2A,KIF2C,NDC1,YWHAB,E2F3,PSMD1,NUP107,PSMD10,SPDL1,NEK7,CDC23,LIN9,MASTL,SGO2,CDCA8,MCM6,PSMB8,DYNC1H1,PSMB4,OPTN,TP53BP1,YWHAH,DIDO1,SMC2,CENPI,MRE11,BIRC5,NEDD1,DYNC1LI2,UBE2C,TUBB,PSMD2,KPNB1,BLZF1,PSMC1,MIS18A,RAE1,TOPBP1,TAOK1,MIS18BP1,CEP41,NUP37,RAD51,CCNE1,CCNE2,CENPW,CHMP4B,POT1,BRIP1,DSN1,PDS5B,LMNB1,PSMA1,PSMA3,ATR,MND1,RHNO1,PPP2R5E,PSMD7,DNA2,RSF1,ARPP19,CDC45,NSL1,ORC6,NME7,RFC3,CDC7,RAN,ERCC6L,CEP135,H2AC8,BLM,CHMP2A,PSMD4,MLH3,XPO1,RUVBL1,LYN,MAD2L1,CDC20,SPC25,WEE1,PSMD13,NUP93,LBR,NCAPD3,PPP2R2A,CEP290,NUP133,NCAPH,PSME4,CCP110,PSMD11,MDM2,PSME1,TMPO,PPP1R12A,TNPO1,EXO1,CDKN1B,RNF168,NUP50,MAPK3,DYRK1A,KIF2A,GINS1,OIP5,ACTR1A,SPAST,SGO1,BABAM2,PSMD3,PSME3,NUP58,CHMP2B,STN1,UBE2V2,PHF20,TFDP1,SDCCAG8,H2AZ1,PSMC3IP,ITGB3BP,UBE2D1,LMNA,DBF4,PSMB1,SKA1,MAPRE1,SRC,CENPQ,CNEP1R1,PTK6,YWHAG,TK1,CCND3,SKP2,MAX,BRCA1,PSMD8,RPA4,TUBGCP3,NUP98,MCM8,HAUS6,CKS1B,UBC,OFD1,RPA2,CDKN2A,UBE2E1,WAPL,RAD1,NBN,RBX1,LIN54,H2BC12,SMC1A,SKP1,CDK5RAP2,SMARCA5,FBXO5,FGFR1OP,CUL1,ESCO2,UBE2I,DYNLL1,CDKN2B,NUP42,RFC5,HUS1,NIPBL,HAUS2,POLD4,NUP85,CENPA,CDCA5,FEN1,UBE2N,CLIP1,CLSPN,BUB1,ODF2,BRCC3,TP53,NUP188,CHMP7,PPP1CB,TUBGCP2,ORC4,GINS3,CHEK1,CENPN,HDAC8,ORC3,AURKB,MCM3,E2F6,PSMC3
reactome - cell cycle checkpoints	4.85e-09	3.05	237	H2BC21,H2BC5,SFN,MCM10,CENPF,NDE1,MCM2,NUF2,CDK2,ZWILCH,CENPU,MCM4,KIF18A,SEM1,CCNB1,KNTC1,CCNB2,PSMC6,PSMD14,CCNA2,NDC80,CENPE,ZWINT,BUB3,PSMA4,DYNC1I2,RBBP8,ORC2,BARD1,PSMB3,PSMA5,CDC6,RCC2,PSMB2,PSMC2,KNL1,CDK1,RNF8,PSMC4,KIF2C,YWHAB,PSMD1,NUP107,PSMD10,SPDL1,CDC23,SGO2,CDCA8,MCM6,PSMB8,DYNC1H1,PSMB4,TP53BP1,YWHAH,CENPI,MRE11,BIRC5,DYNC1LI2,UBE2C,PSMD2,PSMC1,TOPBP1,TAOK1,NUP37,CCNE1,CCNE2,BRIP1,DSN1,PSMA1,PSMA3,ATR,RHNO1,PPP2R5E,PSMD7,DNA2,CDC45,NSL1,ORC6,RFC3,CDC7,ERCC6L,BLM,PSMD4,XPO1,MAD2L1,CDC20,SPC25,WEE1,PSMD13,NUP133,PSME4,PSMD11,MDM2,PSME1,EXO1,CDKN1B,RNF168,KIF2A,SGO1,BABAM2,PSMD3,PSME3,UBE2V2,PHF20,ITGB3BP,UBE2D1,DBF4,PSMB1,SKA1,MAPRE1,CENPQ,YWHAG,BRCA1,PSMD8,NUP98,MCM8,UBC,RPA2,CDKN2A,UBE2E1,RAD1,NBN,H2BC12,DYNLL1,RFC5,HUS1,NUP85,CENPA,UBE2N,CLIP1,CLSPN,BUB1,BRCC3,TP53,ORC4,CHEK1,CENPN,ORC3,AURKB,MCM3,PSMC3
reactome - cell cycle mitotic	4.85e-09	2.96	430	H2BC21,HDAC1,H2AC6,PRIM2,H2BC5,PCNA,MCM10,ANKLE2,CENPF,NDE1,MCM2,KIF20A,NUF2,CDK2,NCAPG2,IST1,TUBA4A,CDK7,ZWILCH,CENPU,MCM4,TPR,KIF18A,SEM1,CCNB1,KIF23,KNTC1,CDC25B,NEK2,TYMS,CCNB2,PSMC6,PSMD14,CCNA2,ESCO1,NDC80,CENPJ,CENPE,RRM2,ZWINT,PRKCA,BUB3,NCAPG,PLK4,BORA,NUP155,CETN2,PSMA4,DYNC1I2,ORC2,PSMB3,CABLES1,PSMA5,POLE2,CDC6,RCC2,PSMB2,PSMC2,KNL1,CDK1,HMMR,PSMC4,RAB2A,KIF2C,NDC1,E2F3,PSMD1,NUP107,PSMD10,SPDL1,NEK7,CDC23,LIN9,MASTL,SGO2,CDCA8,MCM6,PSMB8,DYNC1H1,PSMB4,OPTN,SMC2,CENPI,BIRC5,NEDD1,DYNC1LI2,UBE2C,TUBB,PSMD2,KPNB1,BLZF1,PSMC1,RAE1,TAOK1,CEP41,NUP37,CCNE1,CCNE2,CHMP4B,DSN1,PDS5B,LMNB1,PSMA1,PSMA3,PPP2R5E,PSMD7,DNA2,ARPP19,CDC45,NSL1,ORC6,NME7,RFC3,CDC7,RAN,ERCC6L,CEP135,H2AC8,CHMP2A,PSMD4,XPO1,LYN,MAD2L1,CDC20,SPC25,WEE1,PSMD13,NUP93,LBR,NCAPD3,PPP2R2A,CEP290,NUP133,NCAPH,PSME4,CCP110,PSMD11,PSME1,TMPO,PPP1R12A,TNPO1,CDKN1B,NUP50,MAPK3,DYRK1A,KIF2A,GINS1,ACTR1A,SPAST,SGO1,PSMD3,PSME3,NUP58,CHMP2B,TFDP1,SDCCAG8,H2AZ1,ITGB3BP,UBE2D1,LMNA,DBF4,PSMB1,SKA1,MAPRE1,SRC,CENPQ,CNEP1R1,PTK6,YWHAG,TK1,CCND3,SKP2,MAX,PSMD8,RPA4,TUBGCP3,NUP98,MCM8,HAUS6,CKS1B,UBC,OFD1,RPA2,CDKN2A,UBE2E1,WAPL,RBX1,LIN54,H2BC12,SMC1A,SKP1,CDK5RAP2,FBXO5,FGFR1OP,CUL1,ESCO2,UBE2I,DYNLL1,CDKN2B,NUP42,RFC5,NIPBL,HAUS2,POLD4,NUP85,CENPA,CDCA5,FEN1,CLIP1,BUB1,ODF2,TP53,NUP188,CHMP7,PPP1CB,TUBGCP2,ORC4,GINS3,CENPN,HDAC8,ORC3,AURKB,MCM3,E2F6,PSMC3
reactome - class a 1 rhodopsin like receptors	4.85e-09	-2.24	277	SSTR2,GHRL,AGTR2,NPY1R,CXCL12,C5,KEL,TAAR9,NPY5R,HEBP1,GPHA2,OXER1,PROKR2,POMC,NMUR1,TRHR,TAAR8,LPAR3,CCKBR,ADRA2C,RLN2,SSTR3,UTS2B,HTR4,CHRM3,GALR3,FSHR,NPY,GPR55,OPRL1,AVPR2,GALR1,S1PR5,SSTR4,SST,PRLHR,P2RY1,ADRA2B,CCR10,CCKAR,ECE2,HCRTR2,FFAR1,NMBR,HTR1A,ADORA1,BRS3,NTSR2,HTR5A,AVP,HTR1E,KISS1R,MC3R,PLPPR5,PTGDR2,TACR3,TRH,TAAR2,HCRTR1,P2RY4,UTS2R,PLPPR3,DRD5,ADRA2A,CNR2,PDYN,OPN5,PROK2,MCHR2,DRD2,INSL3,HCRT,F2,TSHB,CCL25,OPN1SW,GNRH2,OPRK1,GPHB5,NPFFR2,PLPPR1,AGTR1,CCL16,RRH,CHRM4,MLNR,PTGER1,LHCGR,RXFP2,GHSR,EDN3,PTGER3,HRH3,MLN,NPY2R,ACKR1,HTR1F,OXT,OPRD1,DRD4,HTR1B,ADRA1D,TAAR5,F2RL3,ADRB2,RHO,NPBWR1,ECE1,ADRA1A,CXCR5,NPW,HTR7,CGA,MCHR1,PRLH,GALR2,RLN3,CHRM2,PYY,EDN2,RGR,ADRB1,QRFPR,TAC1,RXFP3,GPER1,DRD3,SSTR5,KNG1,KISS1,OPRM1,CHRM1,GPR37L1,S1PR4,MTNR1B,HTR6,PF4,INSL5,C5AR2,GAL,MC4R,MC2R,GPR31,FSHB,TACR1,EDNRB,S1PR2,PPY,PLPPR2,ADRA1B,NPFFR1,TAC3,CCL23,PNOC,MC5R,XCR1,CNR1
reactome - cyclin a cdk2 associated events at s phase entry	4.85e-09	2.66	75	CDK2,CDK7,SEM1,CDC25B,PSMC6,PSMD14,CCNA2,PSMA4,PSMB3,CABLES1,PSMA5,PSMB2,PSMC2,PSMC4,PSMD1,PSMD10,LIN9,PSMB8,PSMB4,PSMD2,PSMC1,CCNE1,CCNE2,PSMA1,PSMA3,PSMD7,PSMD4,WEE1,PSMD13,PSMD11,PSME1,CDKN1B,PSMD3,PSME3,TFDP1,PSMB1,PTK6,SKP2,MAX,PSMD8,CKS1B,UBC,LIN54,SKP1,CUL1
reactome - cytokine signaling in immune system	4.85e-09	2.03	672	MET,PML,GATA3,OAS1,TRIM29,IL20RB,RASA1,IFI27,TRIM31,IFI6,SDC1,BCL2L1,OAS2,OAS3,DUSP10,MX1,DLG1,IL1A,ERBB2,XAF1,OASL,CCL20,CAMK2G,ADAR,STAT6,LCN2,IRAK2,TPR,SEM1,DUSP6,SQSTM1,PSMC6,IRF9,VCL,PSMD14,MYD88,KITLG,STX1A,POU2F1,EIF2AK2,IRF6,RASAL2,RSAD2,HLA-F,NUP155,PSMA4,NF1,SOD1,IFIT2,SMAD3,IL1RN,PSMB3,PSMA5,MMP1,IFIT3,B2M,IFI35,PSMB2,EIF4E2,PSMC2,IL1RAP,STAT2,PSMC4,KRAS,NDC1,PTK2,YWHAB,RASA3,PSMD1,SHC1,NUP107,TNFRSF11B,SP100,TNFRSF11A,PSMD10,PELI1,NKIRAS2,IL18,PSMB8,PSMB4,EDAR,GSTO1,STAT1,CAPZA1,PHB,IQGAP1,TRIM21,RASA2,BIRC5,IRS1,GBP4,PSMD2,KPNA4,EIF4G3,KPNB1,TBK1,PSMC1,IL1R2,RAE1,TALDO1,UBA3,CASP3,RNASEL,CFL1,NUP37,IL10RB,SNRPA1,ACTB,LMNB1,MUC1,TRIM38,PSMA1,IFIT1,PSMA3,ITGB1,KPNA3,SERPINB2,RIPK2,PPP2R5E,PSMD7,IFNGR2,PPIA,MAPK14,SMARCA4,SPTBN1,TRIM14,TNIP2,HNRNPF,PRKCD,TNFSF11,TNFRSF1A,IL4R,PSMD4,SOS1,SPTAN1,HNRNPDL,LYN,BIRC3,NOD1,TIMP1,DDX58,PSMD13,OSMR,NUP93,RAP1B,SPRED1,NEDD4,IRF1,IRAK3,NUP133,IRF2,CXCL10,RPS6KA1,TRIM68,PTAFR,PSME4,PSMD11,PLCG1,PSME1,KPNA1,CBL,PTPN6,IL2RA,PTPN9,UBE2L6,ISG15,CXCL8,FN1,ANXA1,LIF,NUP50,MAPK3,PIK3CA,IFITM1,MMP9,HMGB1,TRAF3,BST2,MIF,ADAM17,MID1,PSMD3,PSME3,NUP58,ALOX5,PIK3R4,LAMTOR2,MAP3K7,CREB1,HIF1A,IFNGR1,FGF20,PSMB1,ERBB3,TNFSF15,MAPKAPK2,SRC,MMP3,MAP2K1,HLA-DQA1,STX4,AREG,SYK,LCK,EREG,FSCN1,TXLNA,TRIM22,CRKL,PSMD8,IL7R,EGFR,FRS2,NUP98,MSN,INPP5D,TNFSF13B,PTPN1,EIF4G1,ITGB2,CNN2,GRB2,ZEB1,UBC,KPNA5,UBE2E1,APP,RAP1A,DUSP3,IFNAR2,GBP5,RBX1,TNFRSF14,FYN,LTBR,PAQR3,SKP1,PTGS2,RELA,SPRED2,CUL1,CD80,IFITM2,PITPNA,PDGFRB,MMP2,MAPK8,NUP42,NOD2,PEA15,PPP5C,HBEGF,ITGAM,IL18R1,PTPN11,RELB,IL15RA,EIF4A3,NUP85,HLA-DPA1,KIT,RANBP9,EIF4E,FLNA,TNFRSF1B,HAVCR2,UBE2N,TRAF6,RPS6KA3,HLA-DPB1,TP53,VEGFA,TRIM2
reactome - deubiquitination	4.85e-09	2.49	227	H2BC21,H2AC6,H2BC5,GATA3,YOD1,TNIP1,STAMBP,POLB,SEM1,OTUD7B,PSMC6,ACTL6A,PSMD14,CCNA2,IFIH1,PSMA4,SMAD3,BARD1,PSMB3,PSMA5,MAT2B,PSMB2,PSMC2,CDK1,PSMC4,PSMD1,PSMD10,USP4,PSMB8,PSMB4,ABRAXAS2,PSMD2,AXIN2,PSMC1,USP14,ACTB,USP37,PSMA1,H2AW,PSMA3,RIPK2,PSMD7,ASXL2,INO80C,RHOA,TGFBR1,TNIP2,H2AC8,USP48,USP33,PSMD4,VCPIP1,KEAP1,RUVBL1,RNF128,BIRC3,NOD1,CDC20,DDX58,PSMD13,USP10,VCP,PSME4,CCP110,PSMD11,MDM2,PSME1,ATXN3,STAM,KDM1B,JOSD1,TRAF3,BABAM2,INO80D,PSMD3,PSME3,TFPT,MAP3K7,HIF1A,UBE2D1,RNF135,PSMB1,SKP2,BRCA1,PSMD8,TADA3,ACTR5,UFD1,UBC,SMURF2,H2BC12,RNF123,TGFBR2,USP3,INO80,MYSM1,CYLD,NOD2,ADRM1,USP34,TRAF6,CLSPN,BRCC3,TP53,MBD5,RIPK1,DDB2,PSMC3,USP25,USP7,SMAD2,BABAM1
