pathway	padj	NES	size	leadingEdge
kegg - neuroactive ligand receptor interaction	6.38e-09	-2.19	247	CHRNA10,MLNR,GALR1,GRM3,PRL,PTGER3,ADRB2,NPFFR2,CHRM5,GH1,VIPR1,P2RY4,FSHR,ADRA1D,FSHB,GABBR2,MC4R,TSHB,TBXA2R,CHRND,ADRA1A,MC5R,GRIK2,GPR50,HTR4,MCHR1,P2RX3,DRD2,CHRNB3,OPRD1,NPY2R,GRIA1,VIPR2,NMBR,HRH4,GALR2,DRD3,CHRM2,CCKBR,GLRA1,MCHR2,GABRA6,THRB,HTR2C,GRIK5,ADRA1B,EDNRB,GHSR,GCGR,GRIN2C,SSTR1,GRIA4,CCKAR,GRM6,TAAR9,ADRB1,PLG,AGTR2,GRIN2D,TSHR,OPRL1,PTGER1,TACR1,ADRA2B,NMUR1,LPAR1,GLRA3,CHRNA4,GABRR2,AVPR2,AVPR1A,GALR3,GABRQ,GRIA2,HCRTR2,GLRA2,CRHR2,P2RX1,MC3R,SSTR3,PRSS2,S1PR1,HRH3,P2RX2,NTSR2,GABRA1,CTSG,GRIA3,DRD4,ADCYAP1R1,PRSS3,GRM5,RXFP2,CHRNB2,MC2R,LPAR3,GABRR1,GHR,HTR2A,GRIK3,GABRB2,GABRA3,CNR2,ADRB3,GRIN3B,OPRM1,TRHR,GRID2,GABRG2,TAAR5,NPFFR1,GABRB3,HTR7,GRIK1,BDKRB1,GRIN3A,GRM7,HTR5A,BRS3,HRH2
kegg - olfactory transduction	6.38e-09	-3.44	346	OR51F1,OR9Q2,OR6K3,OR2G3,OR52B2,OR4B1,OR2L13,OR56A3,OR5AN1,CNGA3,OR6T1,OR51F2,OR2B11,OR51S1,PRKACG,OR5P2,OR13C4,OR2L3,OR2G2,OR13C8,OR52B4,OR6M1,OR9I1,OR6C74,OR52K1,OR2V2,OR5AU1,OR4D5,OR2T10,OR51G1,OR2M2,OR6N1,OR5T1,OR8H2,OR10H4,OR13C2,OR4S1,OR9K2,OR52B6,OR6C2,OR2C1,OR1C1,OR51L1,OR52W1,OR13C3,OR7A10,OR7C1,OR10G8,OR5T3,OR13F1,OR2B2,OR10G4,OR51M1,OR7G1,OR2A2,CALML6,OR4A5,OR4D10,OR1G1,OR10H5,OR4L1,OR8I2,OR9G4,OR51I1,OR5D16,OR10C1,OR9A2,OR1L3,OR1K1,OR6C75,OR10T2,OR2Z1,OR6V1,OR5M10,OR8B4,OR5A2,OR5M8,OR5R1,OR2AE1,OR5AC2,OR6S1,OR5F1,OR4C3,OR4C46,OR5V1,OR4P4,PRKACA,OR1J2,OR10G3,OR2W1,OR2L2,OR4K14,OR52N4,OR56B1,OR5A1,OR51Q1,OR10Q1,OR10H2,OR4S2,OR8D4,OR8H1,OR1L4,OR52I2,OR4E2,OR6C3,OR4C11,OR4K15,OR13D1,OR5M3,CAMK2B,OR1A1,OR52K2,OR51B4,OR8D2,OR2F2,OR51A7,CALML3,OR1E1,OR13G1,OR8J3,OR13C9,OR10Z1,OR4A16,OR2Y1,OR14C36,OR8H3,OR2T6,OR10AD1,OR8B8,OR5D13,OR7A17,OR2M4,OR5M11,OR8K3,OR6C4,CAMK2A,OR5B17,OR10X1,OR5AK2,OR2S2,OR10AG1,OR3A2,OR5AR1,OR2T4,OR5J2,OR9Q1,OR2A14,CALML5,OR5AP2,OR2AK2,OR52M1,PDC,OR8J1,OR6B2,OR6X1,OR51B5,OR6A2,OR6C1,OR6F1,OR51D1,OR2A12,OR2K2,OR10J3,OR4K17,OR2D3,OR5B12,OR6Y1,OR5P3,OR52E4,OR7C2,OR10P1,OR1Q1,OR8K5,OR2T27,OR51A2,OR8S1,OR4C15,OR51E2,OR11A1,OR1M1,OR10G7,OR5C1,OR4C12,OR51B6,GUCA1A,OR1S1,OR10A3,OR5L2,OR2M5,OR52E8,OR6K2,OR11L1,OR1I1,GUCA1C,OR4A47,OR1L8,OR52J3,OR10R2,OR5T2,OR1L1,OR2G6,OR56A4,OR14A16,OR3A1,OR7G2,OR6B1,OR11H6,OR10S1,OR1J4,OR4N2,OR1J1,OR5L1,OR52L1,OR10H3,OR51A4,CLCA2,OR56A1,OR13J1,OR2A25,OR13A1,OR11G2,OR2T1,OR2T11,OR13H1,OR56B4,OR10A7,OR4K13,OR51G2,OR4N5,OR6C68,OR5B3,OR2A5,GUCA1B,OR4X1,OR52R1,OR2M7,OR7D4,OR8G1,OR10A5,OR4D11,OR5D18,OR6K6,OR6C70,OR4D9,OR14I1,PDE1C,OR6C76,OR6B3
kegg - spliceosome	6.38e-09	2.6	111	RBM22,HNRNPU,LSM5,SF3A2,SF3A1,U2AF1,LSM8,PCBP1,HSPA2,HNRNPK,MAGOHB,SRSF2,EFTUD2,SNRPB2,RBM8A,LSM2,SNRPB,SNRPA1,SNRPG,THOC1,SF3B4,SF3B3,DDX42,SLU7,EIF4A3,SNU13,SRSF1,DHX15,SF3B1,HNRNPA1,PRPF6,TRA2A,MAGOH,DHX8,TCERG1,SF3B6,DDX5,LSM4,NCBP2,SNRPD2,THOC2,PPIH,CRNKL1,SNRPD1,LSM7,U2AF2,HNRNPM,SMNDC1,XAB2,DDX46,SNRPF,SRSF9,SNRNP40,AQR,ALYREF,DHX38,RBM25,DHX16,SNRPA,ZMAT2,CDC5L,SF3B2,SRSF6,SNRPC,HSPA8,TRA2B,PRPF31,PHF5A,PUF60,WBP11,SNW1,SNRNP70,PRPF38A
reactome - biological oxidations	6.38e-09	-2.29	184	MGST1,CHAC2,CYP1A1,CYP11B1,CYP4A22,SULT6B1,SLC35D1,GLYAT,NNMT,CYP1A2,CYP8B1,ACSM5,CES3,CYP2D6,CYP3A43,CMBL,ADH1B,ALDH2,GSTA5,ADH5,CYP4A11,MAT1A,NQO2,POR,GLYATL1,TPMT,CYP2C19,CYP2U1,ADH6,ABHD10,SULT2A1,CYP4F2,CYP2B6,GLYATL2,UGT3A1,GSTM5,CYP26C1,CYP26A1,CYP2J2,CYP4B1,SULT1E1,UGT2B10,NAT2,NAT1,GSTA2,FMO3,UGT2B28,PAPSS2,PTGIS,ADH1A,ADH4,CYP4F22,CYP2C9,N6AMT1,CYP19A1,CYP39A1,GCLM,AADAC,CYP11A1,AKR7A3,SLC26A1,ADH1C,CYP2C8,SULT1A2,ACY3,CHAC1,CYP4F12,CYP3A4,GSTA1,SULT1A1,GSTZ1,MTRR,CES2,UGT2B7,RXRA,SULT4A1,UGT2B4,CYP2E1,AKR7L,GSTA3,CYP7A1,PAOX,AOC2,FDXR,CYP2C18,AKR7A2,GSTO1,EPHX1,FMO2,UGT3A2,CYP2F1,AOC1,CYP27A1,GSTO2,CYP4F11
reactome - cellular responses to external stimuli	6.38e-09	2	527	RPS4X,LMNB1,NUP107,H2BC7,H1-2,NOX4,NFKB1,EGLN3,ATP6V1C1,NBN,EIF2S3,H1-4,H4C2,H2BC12,RPL5,H2AC20,RPS27A,NUP43,TCIRG1,RPS20,MDM4,EZH2,H1-3,CDKN2A,RPS24,TPR,RAE1,RPS15A,PSMB9,NCF2,H2BC4,RPS15,CBX4,PSMB8,PSMB10,SUZ12,NUP133,MAPK1,RRAGD,ERO1A,RPS13,MINK1,H2BC6,H2BC21,HSPA2,DNAJC7,RPS11,RPS5,RPS28,RPS3,CABIN1,CA9,RPL18A,RBBP7,H2BC9,H3C3,CDK2,RPLP1,RAD50,CBX2,CDC23,E2F2,NUP205,E2F3,RPL9,CDK4,RPL8,CCNE2,RPL18,RPS17,EHMT2,CYBA,HSPA14,H3C7,SP1,ATF2,ATP7A,GRB10,RPS3A,H4C3,ANAPC1,RPL35A,DEDD2,RPS6,H2AC8,H2BC8,CEBPG,H2BC10,NUP35,LAMTOR1,CREBBP,RRAGB,ATP6V1A,H2AJ,RPS6KA1,VHL,ATP6V1B1,NUP98,RPS2,RPL7,MAPKAPK5,HSP90AB1,H2BC5,TNFRSF21,PSMB4,NUP155,CCNE1,HSBP1,IGFBP7,RPL36,UBE2E1,PSMD10,PSME1,CCNA2,H4C5,DNAJB6,TUBA1B,RBBP4,H3C12,RPL26,MAPKAPK2,TERF2,HSPA4L,SOD2,H2BC3,DCTN2,RRAGC,RPL10A,RPLP2,ETS1,RPL3,NUP54,PTGES3,DYNC1H1,RPS16,SEM1,TUBA4A,LAMTOR4,PHC3,CXCL8,H1-5,RPL11,EGLN1,NUP160,ARNT,PSMD14,RPL4,NUP210,AAAS,NUP37,CDK6,NUP42,HIF1A,NUP153,GSK3B,H4C1,DDIT3,H2AZ1,NCF4,DYNC1I2,RPL10,NUP93,PSME2,H3-3B,DYNLL1,H2AC6,CCAR2,HSPB1,DCTN4,UBA52,TP53,ATP6V1F,MDM2,PSMF1,EIF2AK1,RPL38,RPS19,HSPH1,RPS23,DNAJB1,HSP90AA1,PSMB3,HMGA1,DCTN5,H4C9,H2AC4,EP300,RPLP0,GPX2,TNRC6B,RPL39L,RPL30,ATR,YWHAE,PSMA6,EEF1A1,PSMC5,PSMD1,SERPINH1,ANAPC5,ASNS,NUP58,TUBA1A,MAPK8,H2BU1,VEGFA,PSMD4,HSPA13,EP400,CAPZB,MAPK11,MAP2K6,PSMA1,ATP6V0B,H2AX,HSPA8,MAPKAPK3,FKBP4,LAMTOR3,PHC2,ANAPC7,BAG5,DYNC1LI2,GSTP1,MIOS,RNF2,PSMC4,RPA2,UBE2D2,PRDX5,ELOC,CAPZA2,MAP4K4,CUL2,HSF1,PSMC6,MAPK9,E2F1,NUP85,TERF1,GPX8,STIP1,UBE2D1,TNRC6C,CBX8,GCN1,H4C13,TRIB3,PSMC2,PSMA4,DNAJA2,RB1,UBE2C,ACTR10,RPS14,RPS21,RPA1,MAPK14,H2AC14,RPS9,H2BC17,NUP50,CAMK2D,ATP6V1G1,TFDP1
reactome - cell cycle	6.38e-09	2.61	601	LMNB1,NUP107,H2BC7,MIS18BP1,EML4,DIDO1,SMC4,PPP1CC,NBN,ITGB3BP,LIG1,SMC1A,STAG2,H4C2,SFI1,STAG1,CDC7,LIN9,CENPU,MCM4,H2BC12,DYRK1A,RRM2,H2AC20,BRCA1,RPS27A,NUP43,NEK2,TOPBP1,MCM6,EXO1,NUF2,MCM7,MDM4,DSN1,MAU2,CDKN2A,NDE1,TPR,RAE1,RFC3,LBR,CDC25B,BLM,SYNE2,PSMB9,H2BC4,PPP2R5E,DSCC1,PSMB8,PSMB10,BRCA2,COP1,RFC4,CEP135,NUP133,MND1,MAPK1,POLD1,HDAC1,DKC1,RHNO1,SMC3,H2BC6,ESCO1,PRIM1,BIRC5,H2BC21,HSPA2,CENPP,NIPBL,YWHAH,KNTC1,E2F5,MCM3,MASTL,RAD1,BABAM2,RBBP7,NCAPD2,RAB2A,H2BC9,PTK6,RFC5,YWHAB,OIP5,RPA4,RFC1,CHMP4C,GMNN,H3C3,CDK2,SPAST,PPP1CB,RAD50,CDC23,WAPL,E2F2,BUB3,NUP205,POLD3,E2F3,CDC14A,PDS5B,XPO1,HMMR,CDK4,RAD21,CENPM,CCNE2,PTTG1,ORC4,CDK1,H3C7,TYMS,CETN2,PPP2R1A,BUB1,CDT1,CENPF,NCAPG,H4C3,ANAPC1,SRC,NINL,TOP2A,SET,CCNB1,H2AC8,LEMD3,H2BC8,BORA,H2BC10,NUP35,KNL1,SPC25,PCM1,PIAS4,VRK1,H2AJ,POLE3,MAX,RBBP8,HJURP,MAPRE1,LYN,NUP98,TAOK1,HSP90AB1,MCM10,H2BC5,CSNK2B,MAD2L1,PSMB4,NUP155,CCNE1,ESCO2,CCP110,ALMS1,CEP70,UBE2E1,LCMT1,TUBGCP2,PSMD10,NCAPH,OFD1,PSME1,CCNA2,ORC5,CDCA5,H4C5,CDC20,ZWINT,KPNB1,TUBA1B,SMC2,LIN54,RBBP4,H3C12,GORASP2,CENPQ,MCM2,ORC1,WRN,TERF2,PRKCA,PDS5A,AURKB,CEP290,BABAM1,H2BC3,OPTN,DCTN2,NSL1,CEP72,SFN,RCC2,CTDNEP1,HAUS6,NUMA1,NUP54,RANGAP1,ENSA,ESPL1,DYNC1H1,CHMP4B,SEM1,CHEK1,ZNF385A,TUBA4A,GINS1,RMI1,VRK2,NUP160,GINS2,SUMO1,PSMD14,IST1,NUP210,AAAS,NUP37,CDC6,MLH3,ZWILCH,CDK6,NUP42,CENPJ,GAR1,CHMP2B,SGO2,KIF18A,NUP153,GSK3B,H4C1,PSMC3IP,POLA2,H2AZ1,CENPK,YWHAQ,DYNC1I2,FOXM1,NUP93,PSME2,H3-3B,MIS18A,DYNLL1,H2AC6,CC2D1B,TUBB,UBA52,TP53,CCND2,AKAP9,RFC2,FBXO5,GINS3,MDM2,PSMF1,ABRAXAS1,CEP192,CEP164,HSP90AA1,PSMB3,FBXW11,CCNB2,H4C9,H2AC4,KIF23,TMPO,EP300,CEP41,RUVBL1,SKA2,HDAC8,KIF2C,TNPO1,CENPW,ATR,CEP131,MYBL2,YWHAE,PSMA6,POLE4,PSMC5,SPDL1,PSMD1,ANAPC5,TPX2,CDK7,NUP58,TUBA1A,LEMD2,FEN1,CHTF18,H2BU1,CSNK1D,RUVBL2,PSMD4,CDCA8,MCM5,CDC45,KIF20A,INCENP,PSMA1,NME7,NDC80,H2AX,CSNK2A2,ARPP19,CENPI,SMARCA5,CNTRL,AURKA,ANAPC7,CDC25C,CLSPN,DYNC1LI2,PSMC4,YWHAZ,RPA2,PLK1,RNF168,CKS1B,PRKAR2B,SYCP2,PPP2R2A,ORC2,B9D2,PLK4,HAUS4,PSMC6,UBE2I,E2F1,STN1,NUP85,RAD17,ZW10,TERF1,CEP63,KIF2A,PPME1,SGO1
reactome - cell cycle checkpoints	6.38e-09	2.5	266	NUP107,H2BC7,PPP1CC,NBN,ITGB3BP,H4C2,CDC7,CENPU,MCM4,H2BC12,BRCA1,RPS27A,NUP43,TOPBP1,MCM6,EXO1,NUF2,MCM7,MDM4,DSN1,CDKN2A,NDE1,RFC3,BLM,PSMB9,H2BC4,PPP2R5E,PSMB8,PSMB10,COP1,RFC4,NUP133,RHNO1,H2BC6,BIRC5,H2BC21,CENPP,YWHAH,KNTC1,MCM3,RAD1,BABAM2,H2BC9,RFC5,YWHAB,CDK2,RAD50,CDC23,BUB3,XPO1,CENPM,CCNE2,ORC4,CDK1,PPP2R1A,BUB1,CENPF,H4C3,ANAPC1,CCNB1,H2BC8,H2BC10,KNL1,SPC25,PIAS4,RBBP8,MAPRE1,NUP98,TAOK1,MCM10,H2BC5,MAD2L1,PSMB4,CCNE1,UBE2E1,PSMD10,PSME1,CCNA2,ORC5,H4C5,CDC20,ZWINT,CENPQ,MCM2,ORC1,WRN,AURKB,BABAM1,H2BC3,NSL1,SFN,RCC2,RANGAP1,DYNC1H1,SEM1,CHEK1,ZNF385A,RMI1,NUP160,SUMO1,PSMD14,NUP37,CDC6,ZWILCH,SGO2,KIF18A,H4C1,CENPK,YWHAQ,DYNC1I2,PSME2,DYNLL1,UBA52,TP53,RFC2,MDM2,PSMF1,ABRAXAS1,PSMB3,CCNB2,H4C9,SKA2,KIF2C,ATR,YWHAE,PSMA6,PSMC5,SPDL1,PSMD1,ANAPC5,H2BU1,PSMD4,CDCA8,MCM5,CDC45,INCENP,PSMA1,NDC80,H2AX,CENPI,ANAPC7,CDC25C,CLSPN,DYNC1LI2,PSMC4,YWHAZ,RPA2,PLK1,RNF168,ORC2,B9D2,PSMC6,NUP85,RAD17,ZW10,KIF2A,SGO1,UBE2D1,H4C13,CENPH,PSMC2,PSMA4,UBE2C,RPA1,PAFAH1B1,CHEK2,CENPE
reactome - cell cycle mitotic	6.38e-09	2.63	499	LMNB1,NUP107,H2BC7,EML4,SMC4,PPP1CC,ITGB3BP,LIG1,SMC1A,STAG2,H4C2,SFI1,STAG1,CDC7,LIN9,CENPU,MCM4,H2BC12,DYRK1A,RRM2,H2AC20,RPS27A,NUP43,NEK2,MCM6,NUF2,MCM7,DSN1,MAU2,CDKN2A,NDE1,TPR,RAE1,RFC3,LBR,CDC25B,PSMB9,H2BC4,PPP2R5E,PSMB8,PSMB10,RFC4,CEP135,NUP133,MAPK1,POLD1,HDAC1,SMC3,H2BC6,ESCO1,PRIM1,BIRC5,H2BC21,CENPP,NIPBL,KNTC1,E2F5,MCM3,MASTL,NCAPD2,RAB2A,H2BC9,PTK6,RFC5,RPA4,RFC1,CHMP4C,GMNN,H3C3,CDK2,SPAST,PPP1CB,CDC23,WAPL,E2F2,BUB3,NUP205,POLD3,E2F3,CDC14A,PDS5B,XPO1,HMMR,CDK4,RAD21,CENPM,CCNE2,PTTG1,ORC4,CDK1,H3C7,TYMS,CETN2,PPP2R1A,BUB1,CDT1,CENPF,NCAPG,H4C3,ANAPC1,SRC,NINL,TOP2A,SET,CCNB1,H2AC8,LEMD3,H2BC8,BORA,H2BC10,NUP35,KNL1,SPC25,PCM1,VRK1,H2AJ,POLE3,MAX,MAPRE1,LYN,NUP98,TAOK1,HSP90AB1,MCM10,H2BC5,CSNK2B,MAD2L1,PSMB4,NUP155,CCNE1,ESCO2,CCP110,ALMS1,CEP70,UBE2E1,LCMT1,TUBGCP2,PSMD10,NCAPH,OFD1,PSME1,CCNA2,ORC5,CDCA5,H4C5,CDC20,ZWINT,KPNB1,TUBA1B,SMC2,LIN54,RBBP4,H3C12,GORASP2,CENPQ,MCM2,ORC1,PRKCA,PDS5A,AURKB,CEP290,H2BC3,OPTN,DCTN2,NSL1,CEP72,RCC2,CTDNEP1,HAUS6,NUMA1,NUP54,RANGAP1,ENSA,ESPL1,DYNC1H1,CHMP4B,SEM1,TUBA4A,GINS1,VRK2,NUP160,GINS2,SUMO1,PSMD14,IST1,NUP210,AAAS,NUP37,CDC6,ZWILCH,CDK6,NUP42,CENPJ,CHMP2B,SGO2,KIF18A,NUP153,GSK3B,H4C1,POLA2,H2AZ1,CENPK,DYNC1I2,FOXM1,NUP93,PSME2,H3-3B,DYNLL1,H2AC6,CC2D1B,TUBB,UBA52,TP53,CCND2,AKAP9,RFC2,FBXO5,GINS3,PSMF1,CEP192,CEP164,HSP90AA1,PSMB3,FBXW11,CCNB2,H4C9,H2AC4,KIF23,TMPO,EP300,CEP41,SKA2,HDAC8,KIF2C,TNPO1,CEP131,MYBL2,YWHAE,PSMA6,POLE4,PSMC5,SPDL1,PSMD1,ANAPC5,TPX2,CDK7,NUP58,TUBA1A,LEMD2,FEN1,H2BU1,CSNK1D,PSMD4,CDCA8,MCM5,CDC45,KIF20A,INCENP,PSMA1,NME7,NDC80,H2AX,CSNK2A2,ARPP19
reactome - chromatin modifying enzymes	6.38e-09	2.52	233	H2BC7,NFKB1,SMYD2,H4C2,KMT2C,H2BC12,H2AC20,SMARCB1,SMARCC2,KMT5B,KDM3A,MECOM,SMARCD1,EZH2,KAT6A,H2BC4,SUZ12,SMARCE1,HDAC1,KDM3B,KMT2B,H2BC6,H2BC21,H2AC13,JADE2,SMARCC1,CHD4,RBBP7,CARM1,H2BC9,SETD1A,H3C3,PHF21A,SMYD3,MRGBP,ARID2,GATAD2B,OGT,CDK4,EPC1,EHMT2,ARID4B,H3C7,SETDB1,ATF2,ARID1B,NSD3,RCOR1,ACTL6A,KMT2A,H4C3,NFKB2,H2AC8,BRPF3,KANSL1,H2BC8,H2BC10,ARID5B,CREBBP,SMARCA4,H2AW,H2AJ,PRMT1,YEATS2,RPS2,MCRS1,KDM1B,HCFC1,H2BC5,H2AC17,RBBP5,KDM5C,KAT6B,HDAC2,KDM5B,H4C5,MTA3,RBBP4,H3C12,JADE3,TAF10,KDM4A,HMG20B,H2BC3,BRMS1,KAT2A,DR1,KDM6A,TBL1XR1,SUPT3H,KANSL2,KMT2D,ING4,KMT5C,SETDB2,H4C1,H2AZ1,H2AC6,H2AC12,KDM2B,DNMT3A,BRD1,H4C9,H2AC4,ACTB,EP300,RUVBL1,HDAC8,VPS72,MSL3,AEBP2,KANSL3,H2BU1,RUVBL2,ENY2,EP400,H2AX,ARID1A,SUV39H1,HDAC3,WDR5,SETD6,ASH2L,PRMT5,MTA1,NCOA1,TADA2A,SETD2,NSD1,NCOR1,SUPT20H,TADA1,H4C13,SAP30L,GATAD2A,ING3,ARID4A,TAF5L,BRD8,ELP2,NCOA2,H2AC14,H2BC17,PADI2
reactome - chromosome maintenance	6.38e-09	2.49	98	H2BC7,MIS18BP1,ITGB3BP,LIG1,H4C2,CENPU,H2BC12,H2AC20,RFC3,BLM,H2BC4,DSCC1,RFC4,POLD1,DKC1,H2BC6,PRIM1,H2BC21,CENPP,RBBP7,H2BC9,RFC5,OIP5,RFC1,POLD3,CENPM,H4C3,H2AC8,H2BC8,H2BC10,KNL1,H2AJ,HJURP,H2BC5,H4C5,RBBP4,CENPQ,WRN,TERF2,H2BC3,GAR1,H4C1,POLA2,H2AZ1,CENPK,MIS18A,H2AC6,RFC2,H4C9,H2AC4,RUVBL1,CENPW,FEN1,CHTF18,H2BU1,RUVBL2,H2AX,CENPI,SMARCA5
