pathway	padj	NES	size	leadingEdge
naba - matrisome	2.79e-08	-1.69	764	CSF1,COL8A2,MGP,CLCF1,MXRA5,VWA5A,SEMA6B,IGFBP3,CCL22,TNC,OGFOD2,TIMP4,FLT3LG,CTSK,CRELD2,CCL7,CTSV,CRLF3,COL8A1,COMP,TNFSF8,GDNF,SERPINI1,CCL20,TIMP3,CXCL9,ST14,PAPPA2,ADAM28,THBS1,CHAD,NODAL,S100A3,THBS4,SNED1,IL6,CCN1,PLG,HGF,SERPINA5,ADAM19,CXCL2,LAMC3,FCN2,FGFBP1,MMRN1,CHRD,CNTF,SERPINC1,IL16,REG1A,LAMB3,NTN3,EGLN3,CLEC1B,WNT4,SDC4,TGM3,TGM2,CXCL3,SERPINB13,CXCL10,PLXNA2,FGF22,LEFTY1,MEPE,CLEC10A,IFNA1,ADAMTSL4,AGT,CCL2,RELN,ADAMTS5,ADAM23,AREG,C1QL1,PLOD2,IFNG,ANGPTL4,IL18,S100B,ANXA11,PF4V1,GAS6,CCL23,FGF18,ITIH5,TGFBI,SRPX2,IL25,SERPINA3,SEMA3C,CST2,GPC5,IL1RN,ADAMDEC1,SERPINE2,SEMA5A,FGF23,MASP1,PF4,PDGFB,PRG3,BMP8A,CCL18,CXCL12,NDNF,GDF5,CXCL1,MMP27,BMP7,INHBA,FASLG,HABP2,SLPI,AMELX,AGRN,ANXA5,VWF,MUC5AC,EGFL6,TNFAIP6,CTSL,PDGFC,CXCL5,CST3,SERPINB7,CCL13,CTSS,FGF3,PSPN,CST4,LGALS2,MASP2,OSM,HYAL3,COL5A3,CTF1,SERPINB2,CLEC5A,CXCL6,ADAM15,IL22,LAMA5,CLEC7A,C1QA,FGF6,CLEC2D,S100A5,CCL4,EREG,PPBP,SERPINF2,LGALSL,ADAM2,FN1,CTSA,COL4A1,CELA2B,SEMA3A,BMP3,FBN2,AMBP,FBN1,GDF2,IL36G,DCN,S100A11,EGF,SERPINB8,F2,CTSB,MUC1,FSTL3,CTSE,VEGFA,ACAN,CRLF1,CTSC,SERPINB10,INSL5,TNFSF13,SULF1,IL17B,FGF21,C1QB,COL9A1,CSF3,CTSD,MUC7,PCSK6,TGM4,CTSH,HPSE,F12,NELL2,COL6A3,PLOD1,IFNW1,MMP9,FBLN5,SFRP5,COL17A1,PRELP,CLEC1A,HTRA1,FGF13,BMP5,COL4A2,CST5,SEMA4A,ADAM8,CLEC4A,MMP2,SBSPON,INSL6,VCAN,FGL2,S100P,ELSPBP1,TINAGL1,PLXNB3,PARM1,TNR,P4HA2,ANXA3,IFNA10,SDC3,CSH1,COL15A1,LPA,CST6,IFNA4,PI3,CLEC4E,S100A10,ELN,COL11A1,SCUBE3,COL9A3,CTSG,SFTPD,MMP12,FGA,ELANE,TLL1,ABI3BP,PLXDC2,ANGPT4,WNT2B,IGFBP7,IL7,FCN1,AMBN,COL19A1,CLEC4M,PCOLCE2,COL18A1,CRNN,SERPINA6,TNFSF14,GH2,ADIPOQ,CLC,LOXL1,PRG2,SFTPC,CST7,WNT7A,SFRP1,LGALS3,THBS2,CSTA,CCL19,ADAMTS13,EGLN1,COLEC12,TGFA,LGI2,IFNA21,CCL5,FST,SERPINA1,SEMA4C,COL11A2,CRISPLD2,MMP8,MMP24,FGL1,ADAMTS8,COL4A4,CD209,LGALS14
naba - matrisome associated	2.79e-08	-1.76	562	CSF1,CLCF1,SEMA6B,CCL22,OGFOD2,TIMP4,FLT3LG,CTSK,CCL7,CTSV,CRLF3,TNFSF8,GDNF,SERPINI1,CCL20,TIMP3,CXCL9,ST14,PAPPA2,ADAM28,NODAL,S100A3,IL6,PLG,HGF,SERPINA5,ADAM19,CXCL2,FCN2,FGFBP1,CHRD,CNTF,SERPINC1,IL16,REG1A,EGLN3,CLEC1B,WNT4,SDC4,TGM3,TGM2,CXCL3,SERPINB13,CXCL10,PLXNA2,FGF22,LEFTY1,CLEC10A,IFNA1,ADAMTSL4,AGT,CCL2,ADAMTS5,ADAM23,AREG,C1QL1,PLOD2,IFNG,ANGPTL4,IL18,S100B,ANXA11,PF4V1,CCL23,FGF18,ITIH5,IL25,SERPINA3,SEMA3C,CST2,GPC5,IL1RN,ADAMDEC1,SERPINE2,SEMA5A,FGF23,MASP1,PF4,PDGFB,BMP8A,CCL18,CXCL12,GDF5,CXCL1,MMP27,BMP7,INHBA,FASLG,HABP2,SLPI,ANXA5,MUC5AC,EGFL6,CTSL,PDGFC,CXCL5,CST3,SERPINB7,CCL13,CTSS,FGF3,PSPN,CST4,LGALS2,MASP2,OSM,HYAL3,CTF1,SERPINB2,CLEC5A,CXCL6,ADAM15,IL22,CLEC7A,C1QA,FGF6,CLEC2D,S100A5,CCL4,EREG,PPBP,SERPINF2,LGALSL,ADAM2,CTSA,CELA2B,SEMA3A,BMP3,AMBP,GDF2,IL36G,S100A11,EGF,SERPINB8,F2,CTSB,MUC1,FSTL3,CTSE,VEGFA,CRLF1,CTSC,SERPINB10,INSL5,TNFSF13,SULF1,IL17B,FGF21,C1QB,CSF3,CTSD,MUC7,PCSK6,TGM4,CTSH,HPSE,F12,PLOD1,IFNW1,MMP9,SFRP5,CLEC1A,HTRA1,FGF13,BMP5,CST5,SEMA4A,ADAM8,CLEC4A,MMP2,INSL6,S100P,PLXNB3,PARM1,P4HA2,ANXA3,IFNA10,SDC3,CSH1,LPA,CST6,IFNA4,PI3,CLEC4E,S100A10,SCUBE3,CTSG,SFTPD,MMP12,ELANE,TLL1,PLXDC2,ANGPT4,WNT2B,IL7,FCN1,CLEC4M,CRNN,SERPINA6,TNFSF14,GH2,CLC,LOXL1,SFTPC,CST7,WNT7A,SFRP1,LGALS3,CSTA,CCL19,ADAMTS13,EGLN1,COLEC12,TGFA,IFNA21,CCL5,FST,SERPINA1,SEMA4C,MMP8,MMP24,ADAMTS8,CD209,LGALS14,PLXDC1,PDGFD,CTSZ,INHBE,CCL24,FGF14,WNT10B,ADAM30
reactome - class a 1 rhodopsin like receptors	2.79e-08	-2.15	269	CXCR5,TAC3,P2RY10,GPR35,CCL22,GNRH2,GPR4,CCL7,APP,PNOC,CCL20,CXCL9,HRH2,C3,P2RY6,AVPR1A,MC3R,GPR31,CXCL2,AVPR2,CXCL3,CXCL10,CCR2,PTGER4,LPAR1,ECE1,ADORA3,CCR5,NPBWR2,NMUR1,AGT,CCL2,GPR68,AVP,LPAR2,PLPPR2,DRD2,CCR4,CNR1,CXCR1,NMB,ADRA2A,POMC,CCL23,RGR,C5AR2,OXT,FFAR2,GPR183,FPR2,AVPR1B,PPY,GAL,PF4,PLPPR3,ADRA2B,CXCL12,CXCL1,P2RY2,PTAFR,CCRL2,HTR2A,CXCR3,GALR2,CXCL5,TACR2,UTS2,CCL13,C3AR1,RLN2,SST,CYSLTR1,HRH4,F2RL1,CXCL6,P2RY13,GPR18,HTR1B,BRS3,CCL4,PPBP,CXCR6,HTR1A,F2,ACKR1,GALR3,CCR1,INSL5,CCR10,HEBP1,GPR65,KEL,PYY,CMKLR1,FPR1,HTR4,ADRB2,EDN1,DRD5,S1PR5,CHRM5,PRLH,CXCR4,C5AR1,GPER1,HTR1D,XK,PDYN,CCR7,ACKR4,OPN3
reactome - gpcr ligand binding	2.79e-08	-1.91	367	GNG3,CXCR5,TAC3,P2RY10,GPR35,CRHR2,CCL22,GNRH2,GPR4,CCL7,APP,PNOC,CCL20,CXCL9,HRH2,C3,P2RY6,AVPR1A,MC3R,ADM2,GPR31,CXCL2,ADGRE1,FZD4,GNG5,WNT4,AVPR2,CXCL3,CD55,CXCL10,CALCB,CCR2,PTGER4,LPAR1,ECE1,ADORA3,CCR5,NPBWR2,NMUR1,GHRHR,AGT,CCL2,GPR68,AVP,LPAR2,PLPPR2,DRD2,CCR4,CNR1,CXCR1,NMB,ADRA2A,POMC,CCL23,RGR,GNB3,GNB2,C5AR2,OXT,FFAR2,GPR183,FPR2,AVPR1B,PPY,CRHR1,GAL,PF4,PLPPR3,ADRA2B,CXCL12,CXCL1,ADGRE3,P2RY2,PTAFR,CCRL2,HTR2A,SCT,CXCR3,GALR2,CXCL5,GIPR,TACR2,UTS2,CCL13,C3AR1,FZD9,RLN2,SST,CYSLTR1,HRH4,F2RL1,CXCL6,P2RY13,GPR18,HTR1B,BRS3,CCL4,PPBP,CXCR6,HTR1A,CALCRL,F2,ACKR1,GALR3,CCR1,INSL5,CCR10,HEBP1,GPR65,KEL,PYY,CMKLR1,FPR1,HTR4,ADRB2,PTCH2,EDN1,ADM,DRD5,S1PR5,CHRM5,PRLH,CXCR4,C5AR1,PTH2R,GPER1,RAMP2,HTR1D,XK,PDYN,CCR7,ACKR4,OPN3,ADRA1B,SSTR4,WNT2B,GPR132,CXCR2,CRH,HCAR3,GNG11,GNGT1,PTGER2,WNT7A,OPRK1,EDN2,OXTR,S1PR4,CCL19,NTS,CCL5
reactome - innate immune system	2.79e-08	-1.77	860	ADA2,ACTB,IGLV6-57,CFL1,LPO,RPS6KA2,PTPRC,IGF2R,PELI1,NFKB1,UBE2M,BCL2L1,CCL22,PSMB3,VAMP8,MAP3K1,CTSK,ATP6V0A1,RNASE6,GLA,IQGAP1,ATP6V1F,TRAF3,CTSV,PRKCSH,APP,P2RX7,DEFA5,MAN2B1,ARPC4,UBA52,ERP44,C2,C3,BIRC2,BIRC3,ARSA,MAP2K6,FOS,HEBP2,VCP,ATP8A1,ATP6V0C,LYN,FCN2,CD4,PRCP,DUSP4,B2M,RELB,GRB2,NOD2,NPC2,ATP7A,NFKB2,ATP6V0D1,PTPRJ,DSG1,HLA-B,ARPC3,CASP9,CEACAM3,ARPC2,CD55,HCK,MS4A2,TOM1,HLA-E,RAC2,CCR2,DEFA6,ACTR3,GAA,SYK,GM2A,SIGLEC9,QSOX1,HLA-A,AIM2,MEFV,CALML5,NOS3,CAP1,CLEC10A,METTL7A,IFNA1,ITGAV,CYBA,GALNS,PRKCD,IGLV1-44,HLA-C,CXCR1,ATP6V0B,WAS,GZMM,S100B,CHIT1,HMOX2,POLR2L,GRN,GGH,TANK,AGPAT2,SLC27A2,IGHG1,TBK1,MAGT1,C5AR2,LAMP1,BPIFA1,TAX1BP1,ACTR2,SERPINA3,EPX,RIPK2,FPR2,RAP1A,DTX4,DEFB1,MASP1,AOC1,PRG3,MAPK13,WASF3,RAB3D,CAPZA1,CXCL1,ADGRE3,SHC1,CD180,MYH9,OSTF1,ATP11B,MYO5A,SIGLEC5,SLPI,ACPP,PTAFR,TREM2,ADGRG3,CNN2,MYD88,MUC5AC,TNFAIP6,CTSL,NFKBIA,AGL,TLR8,CST3,PADI2,CFD,ZBP1,CTSS,C3AR1,CD59,FCAR,MASP2,ART1,SLCO4C1,LILRA3,CHGA,POLR3K,TLR4,QPCT,TOLLIP,MANBA,B4GALT1,DSC1,CLEC5A,ORM1,TUBB4B,LAMP2,ITGB2,PLEKHO2,SNAP29,AMPD3,CREBBP,CLEC7A,C1QA,PGLYRP1,HK3,RETN,PPBP,PTPN6,CYB5R3,ITGAM,RAB31,CTSA,GCA,CD14,ITGAX,OLR1,ATP8B4,CD33,FOLR3,ENPP4,PLCG2,S100A11,TCIRG1,BST1,ALDH3B1,F2,CD177,CTSB,RPS6KA1,CDA,PTX3,FCGR1A,CYLD,STK10,TREM1,ARPC1B,MUC1,MAPK3,SIRPA,ANPEP,SEMG1,CTSC,CFP,DDOST,CYBB,SERPINB10,RAF1,MGAM,LY86,C1QB,CAMP,GPI,ATP6AP2,HP,CTSD,MUC7,TICAM1,CTSH,GUSB,HPSE,ICAM3,LTA4H,LILRB3,AGER,PYGL,TLR1,RAB27A,MMP9,PSTPIP1,SLC2A3,AZU1,CAT,FPR1,NCF4,LBP,PSMD4,IKBKE,PSMA7,YPEL5,RHOF,PRTN3,C7,KCMF1,OLFM4,TLR2,MVP,FCER1G,TCN1,MAPK7,ASAH1,ADAM8,LAMTOR2,ITCH,CLEC4A,RNASE3,CUL1,FGL2,S100P,ACAA1,TMEM63A,PECAM1,HTN3,CAB39,AGA,TTR,CRISP3,ALDOA,PROS1,C5AR1,AHSG,FCGR2A,IFNA10,UBE2D1,TNFRSF1B,CEACAM1,ARPC5,C1S,IFNA4,NLRP3,PI3,CLEC4E,GYG1,NOS1,PPIE,APOB,CEACAM6,CFI,TYROBP,XRCC5,ATG12,PDPK1,CTSG,SFTPD,MNDA,FGA,ELANE,MS4A3,DERA,CPNE3,PSMD12,PGM1,IMPDH1,LCN2,PAK1,SDCBP,PLAUR,GOLGA7,PLD1,DEGS1,FCN1,DNM3,RHOG,PIK3CB,FGR,NCF2,CXCR2,DOCK2,SNAP23,PPP3CB,IRAK3,ALAD,ITGAL,RASGRP1,RAP2C,BTK,PLA2G2A,ALOX5,PIK3R2,FCGR3B,PRG2,GNS,PGAM1,PPP3CA,CD63
reactome - metabolism of rna	2.79e-08	2.07	536	UPF3B,PAIP1,RPL10L,PSME1,RNMT,CDC5L,CNOT3,TPR,DDX42,GEMIN8,FTSJ1,GLE1,CNOT2,NOP14,SEH1L,TRMT1,BYSL,GCFC2,PRORP,FTSJ3,RANBP2,TTC37,PRMT5,CNOT9,RPP40,DIMT1,PCF11,SRRM2,RRP1,TRMT12,LSM2,OSGEP,EXOSC2,BMS1,RPS11,NOL9,GTF2H4,HNRNPU,WDR46,TRMT61A,PRPF6,RPL30,EXOSC5,NHP2,WDR18,RPS6,RBM17,RRP9,POLR2C,PABPN1,DDX52,ELAC2,FCF1,WDR77,RPL9,NUP43,NUP153,SRSF6,PSMC5,HNRNPA0,HSPB1,RPL36,WDR43,RPS4X,TRMT61B,PPP2R1A,PES1,SRRM1,NSUN6,TGS1,DHX9,SNUPN,SMG6,TRIT1,THOC2,NCBP2,RPP14,DCP1A,NOL11,SMG7,POLR2A,HNRNPA3,QTRT1,PUS1,NCL,RPLP2,THOC1,PAN2,NUP54,SNU13,METTL3,RPL10A,XPO1,DCP2,UTP14A,CNOT6,SMG9,ZNF473,MPHOSPH10,GSPT2,RPS2,PDCD11,EIF4B,RPS24,RPL34,SRSF5,PUS3,PAPOLA,GTF2F2,NUP133,HNRNPUL1,TSEN2,UTP3,RPS18,WBP11,HBS1L,TFB1M,YWHAZ,CSTF2T,RPS15,LAS1L,CDKAL1,SET,SENP3,DDX6,UTP6,HNRNPC,RPL19,PSMC6,CSNK1D,GTF2H1,SRSF11,TRMT11,KHSRP,EIF4E,SRSF1,SMNDC1,POP1,PSMA1,RPL7,SF1,RPS5,RPS23,PUF60,CRNKL1,RBM28,NUP205,CHTOP,RPL3,RPS19,RTRAF,POLR2B,PELP1,HNRNPH1,C2orf49,TRMT13,PABPC1,RPL31,RPL39,PSMD11,WDR3,EPRS1,TEX10,SF3B1,UTP20,NAT10,RPS9,PSMB6,MAPK11,RPL23A,AKT1,RPS8,CSTF3,CNOT7,RPS12,RPL12,SNRPB2,TRA2B,PRKCA,TSR3,GTPBP3,GTF2H3,SF3A2,SMG5,FIP1L1,PRPF19,SNRPE,POLR2H,PRPF8,MNAT1,RPL35A,RPL38,YBX1,RPS29,SNRPD1,UTP11,NUP98,SNRPA,RPL14,RPL32,CHERP,RPLP0,EXOSC9,PRPF4,RPS25,THOC6,RAN,PARN,HNRNPA1,RPS7,RBM5,U2SURP,RPL37A,KRR1,RPS3,XPOT,SNRNP70,MTO1,SNRPC,CNOT8,RPS15A,RBM8A,RPL6,PQBP1,RNPS1,IMP4,HNRNPR,MTERF4,DIS3,TUT4,BCAS2,RPL41,QTRT2,THADA,PSMD10,PPWD1,DDX1,UPF2,UTP25,TSR1,RPP38
reactome - neutrophil degranulation	2.79e-08	-2.13	407	ADA2,PTPRC,IGF2R,NFKB1,VAMP8,ATP6V0A1,GLA,IQGAP1,MAN2B1,ERP44,C3,ARSA,HEBP2,VCP,ATP8A1,ATP6V0C,PRCP,B2M,NPC2,PTPRJ,DSG1,HLA-B,CEACAM3,CD55,TOM1,GAA,GM2A,SIGLEC9,QSOX1,HLA-A,CALML5,CAP1,METTL7A,ITGAV,CYBA,GALNS,PRKCD,HLA-C,CXCR1,CHIT1,HMOX2,GRN,GGH,AGPAT2,SLC27A2,MAGT1,LAMP1,ACTR2,SERPINA3,EPX,FPR2,RAP1A,AOC1,PRG3,RAB3D,CXCL1,ADGRE3,OSTF1,ATP11B,SIGLEC5,SLPI,ACPP,PTAFR,ADGRG3,CNN2,TNFAIP6,AGL,CST3,PADI2,CFD,CTSS,C3AR1,CD59,FCAR,SLCO4C1,LILRA3,QPCT,TOLLIP,MANBA,B4GALT1,DSC1,CLEC5A,ORM1,TUBB4B,LAMP2,ITGB2,PLEKHO2,SNAP29,AMPD3,PGLYRP1,HK3,RETN,PPBP,PTPN6,CYB5R3,ITGAM,RAB31,CTSA,GCA,CD14,ITGAX,OLR1,ATP8B4,CD33,FOLR3,ENPP4,S100A11,TCIRG1,BST1,ALDH3B1,CD177,CTSB,CDA,PTX3,STK10,SIRPA,ANPEP,CTSC,CFP,DDOST,CYBB,SERPINB10,MGAM,CAMP,GPI,ATP6AP2,HP,CTSD,CTSH,GUSB,HPSE,LTA4H,LILRB3,PYGL,RAB27A,MMP9,SLC2A3,AZU1,CAT,FPR1,YPEL5,RHOF,PRTN3,KCMF1,OLFM4,TLR2,MVP,FCER1G,TCN1,ASAH1,ADAM8,LAMTOR2,RNASE3,FGL2,S100P,ACAA1,TMEM63A,PECAM1,CAB39,AGA,TTR,CRISP3,ALDOA,C5AR1,AHSG,FCGR2A,TNFRSF1B,CEACAM1,ARPC5,GYG1,PPIE,CEACAM6,TYROBP,XRCC5,CTSG,MNDA,ELANE,MS4A3,DERA,CPNE3,PSMD12,PGM1,IMPDH1,LCN2,SDCBP,PLAUR,GOLGA7,PLD1,DEGS1,FCN1,RHOG,FGR,CXCR2,DOCK2,SNAP23,ALAD,ITGAL,RAP2C,ALOX5,FCGR3B,PRG2,GNS,PGAM1,CD63,CEACAM8,LGALS3,STOM,PLAC8,DNAJC3,VNN1,CPPED1,SERPINA1,PSMB7,CRISPLD2,GSN,MMP8,ATG7,APEH,ARSB,FTL,DEFA4,CTSZ,PSEN1,GLIPR1
reactome - rrna processing	2.79e-08	2.24	159	RPL10L,NOP14,BYSL,PRORP,FTSJ3,RPP40,DIMT1,RRP1,EXOSC2,BMS1,RPS11,NOL9,WDR46,RPL30,EXOSC5,NHP2,WDR18,RPS6,RRP9,DDX52,ELAC2,FCF1,RPL9,RPL36,WDR43,RPS4X,PES1,RPP14,NOL11,NCL,RPLP2,SNU13,RPL10A,UTP14A,MPHOSPH10,RPS2,PDCD11,RPS24,RPL34,UTP3,RPS18,TFB1M,RPS15,LAS1L,SENP3,UTP6,RPL19,CSNK1D,RPL7,RPS5,RPS23,RBM28,RPL3,RPS19,PELP1,RPL31,RPL39,WDR3,TEX10,UTP20,NAT10,RPS9,RPL23A,RPS8,RPS12,RPL12,TSR3,RPL35A,RPL38,RPS29,UTP11,RPL14,RPL32,RPLP0,EXOSC9,RPS25,RPS7,RPL37A,KRR1,RPS3,RPS15A,RPL6,IMP4,MTERF4,DIS3,RPL41,UTP25,TSR1,RPP38,RPL24,RPL29,DDX49,EXOSC10,RPS10
reactome - peptide ligand binding receptors	2.87e-07	-2.21	164	CXCR5,TAC3,CCL22,CCL7,APP,PNOC,CCL20,CXCL9,C3,AVPR1A,MC3R,CXCL2,AVPR2,CXCL3,CXCL10,CCR2,ECE1,CCR5,NPBWR2,NMUR1,AGT,CCL2,AVP,CCR4,CXCR1,NMB,POMC,CCL23,C5AR2,OXT,FPR2,AVPR1B,PPY,GAL,PF4,CXCL12,CXCL1,CCRL2,CXCR3,GALR2,CXCL5,TACR2,UTS2,CCL13,C3AR1,RLN2,SST,F2RL1,CXCL6,BRS3,CCL4,PPBP,CXCR6,F2,ACKR1,GALR3,CCR1,INSL5,CCR10,HEBP1,KEL,PYY,FPR1,EDN1,PRLH,CXCR4,C5AR1,GPER1,XK,PDYN,CCR7,ACKR4,SSTR4,CXCR2,OPRK1,EDN2,OXTR,CCL19,NTS,CCL5,HCRTR1
kegg - cytokine cytokine receptor interaction	1.08e-06	-1.98	230	CSF1,CXCR5,CLCF1,CCL22,MET,IL10RB,FLT3LG,TNFRSF17,TNFRSF9,CCL7,TNFSF8,CCL20,CXCL9,IL6,HGF,CXCL2,CD40,CNTF,IL5RA,IFNAR2,CXCL3,CXCL10,CCR2,TNFRSF13B,IL17RA,CCR5,IL4R,IFNA1,ACVRL1,CCL2,IFNGR2,KDR,CCR4,IL21R,CXCR1,IFNG,IL18,PF4V1,CCL23,TGFBR2,IL22RA1,IL25,PF4,PDGFB,CCL18,CXCL12,GDF5,CXCL1,BMP7,INHBA,FASLG,CSF2RA,CXCR3,PDGFC,TNFRSF8,IL18R1,CXCL5,PRLR,IL2RB,CCL13,IL10RA,OSM,ACVR2A,CTF1,CXCL6,IL18RAP,IL22,PLEKHO2,TNFRSF12A,CCL4,EPOR,PPBP,IL1R1,CXCR6,TNFRSF10C,AMHR2,EGF,VEGFA,CCR1,CCR10,EDAR,TNFSF13,IL17B,CSF3,IL6R,LTBR,IFNGR1,IL1R2,IFNW1,KIT,MPL,CSF3R,CSF2RB
